APVA Structural State Machine Study v0.1 - Aggregate
========================================================

Instruments: 6E, NQ, CL
Structural states are compressed from family-path signatures.

Aggregate Structural State Table
================================
             State               6E_N            6E_Freq            6E_Cont            6E_Fail               NQ_N            NQ_Freq            NQ_Cont            NQ_Fail               CL_N            CL_Freq            CL_Cont            CL_Fail             ValidN           MeanFreq           MeanCont           MeanFail
RecoveryResolution               4873             13.82%             46.29%             49.59%                198             10.26%             54.59%             44.90%                396             14.75%             48.56%             50.65%                  3             12.94%             49.81%             48.38%
ExhaustionPersistence               3652             10.36%             46.07%             48.88%                189              9.79%             46.81%             52.13%                301             11.21%             49.00%             50.33%                  3             10.45%             47.29%             50.45%
CompressionProcessing               6435             18.25%             46.21%             48.92%                179              9.27%             49.44%             50.56%                326             12.15%             47.65%             51.41%                  3             13.22%             47.77%             50.30%
 NeutralProcessing              11331             32.14%             46.43%             47.96%                745             38.60%             49.32%             50.68%                876             32.64%             49.00%             50.18%                  3             34.46%             48.25%             49.61%
ReassertionProcessing               6942             19.69%             46.42%             48.21%                484             25.08%             47.93%             51.24%                628             23.40%             49.68%             49.68%                  3             22.72%             48.01%             49.71%
    DecayToNeutral               1239              3.51%             45.41%             50.61%                 77              3.99%             46.05%             53.95%                 96              3.58%             50.55%             49.45%                  3              3.69%             47.34%             51.34%
DestructiveRotation                682              1.93%             46.72%             49.10%                 34              1.76%             44.12%             55.88%                 51              1.90%             50.98%             49.02%                  3              1.87%             47.27%             51.34%
ConstructiveEmergence                 16              0.05%             56.25%             43.75%                  2              0.10%             50.00%             50.00%                  1              0.04%              0.00%            100.00%                  3              0.06%             35.42%             64.58%
    MixedStructure                 90              0.26%             39.76%             54.22%                 22              1.14%             50.00%             50.00%                  9              0.34%             66.67%             33.33%                  3              0.58%             52.14%             45.85%

Aggregate Transition Table
==========================

Lag 1
Source                       Target                           6E_N    6E_Prob    6E_Lift     NQ_N    NQ_Prob    NQ_Lift     CL_N    CL_Prob    CL_Lift  ValidN   MeanProb   MeanLift
ConstructiveEmergence        NeutralProcessing                   6     37.50%      1.167        1     50.00%      1.297        0      0.00%        N/A       2     43.75%      1.232
ExhaustionPersistence        ConstructiveEmergence               2      0.05%      1.207        0      0.00%        N/A        0      0.00%        N/A       1      0.05%      1.207
DecayToNeutral               ReassertionProcessing             334     26.96%      1.369       16     20.78%      0.829       21     21.88%      0.936       3     23.20%      1.045
MixedStructure               NeutralProcessing                  27     30.00%      0.934        7     31.82%      0.825        4     44.44%      1.363       3     35.42%      1.040
NeutralProcessing            ReassertionProcessing            2119     18.70%      0.950      169     22.75%      0.906      212     24.20%      1.035       3     21.88%      0.964
ExhaustionPersistence        DestructiveRotation                50      1.37%      0.708        4      2.12%      1.203        3      1.00%      0.525       3      1.49%      0.812
MixedStructure               RecoveryResolution                  9     10.00%      0.724        2      9.09%      0.887        0      0.00%        N/A       2      9.55%      0.805
ReassertionProcessing        NeutralProcessing                1765     25.43%      0.791      136     28.10%      0.729      160     25.48%      0.781       3     26.34%      0.767
ExhaustionPersistence        MixedStructure                      5      0.14%      0.536        0      0.00%        N/A        1      0.33%      0.992       2      0.23%      0.764
CompressionProcessing        DestructiveRotation               100      1.55%      0.803        2      1.12%      0.635        5      1.54%      0.808       3      1.40%      0.749
RecoveryResolution           ExhaustionPersistence             372      7.63%      0.737       10      5.05%      0.516       44     11.14%      0.992       3      7.94%      0.748
MixedStructure               ReassertionProcessing              13     14.44%      0.734        3     13.64%      0.544        2     22.22%      0.950       3     16.77%      0.743
ExhaustionPersistence        DecayToNeutral                    124      3.40%      0.966        4      2.12%      0.531        7      2.33%      0.651       3      2.61%      0.716
CompressionProcessing        RecoveryResolution                527      8.19%      0.593       19     10.61%      1.036       23      7.08%      0.479       3      8.63%      0.702
MixedStructure               ExhaustionPersistence               6      6.67%      0.644        1      4.55%      0.465        1     11.11%      0.992       3      7.44%      0.700
MixedStructure               CompressionProcessing               7      7.78%      0.426        0      0.00%        N/A        1     11.11%      0.915       2      9.44%      0.671
CompressionProcessing        ExhaustionPersistence             476      7.40%      0.714        7      3.91%      0.400       29      8.92%      0.794       3      6.74%      0.636
ConstructiveEmergence        ExhaustionPersistence               1      6.25%      0.603        0      0.00%        N/A        0      0.00%        N/A       1      6.25%      0.603
CompressionProcessing        ReassertionProcessing             659     10.24%      0.520       31     17.32%      0.691       43     13.23%      0.564       3     13.60%      0.592
CompressionProcessing        NeutralProcessing                1209     18.79%      0.585       36     20.11%      0.522       67     20.62%      0.630       3     19.84%      0.579
DestructiveRotation          MixedStructure                      1      0.15%      0.574        0      0.00%        N/A        0      0.00%        N/A       1      0.15%      0.574
CompressionProcessing        DecayToNeutral                    157      2.44%      0.694        4      2.23%      0.561        5      1.54%      0.429       3      2.07%      0.561
ReassertionProcessing        ExhaustionPersistence             364      5.24%      0.506       27      5.58%      0.570       40      6.37%      0.568       3      5.73%      0.548
NeutralProcessing            DestructiveRotation               151      1.33%      0.689        7      0.94%      0.534        7      0.80%      0.421       3      1.02%      0.548
DecayToNeutral               ExhaustionPersistence              61      4.92%      0.475        3      3.90%      0.398        8      8.33%      0.744       3      5.72%      0.539
NeutralProcessing            MixedStructure                     15      0.13%      0.519        3      0.40%      0.354        2      0.23%      0.681       3      0.25%      0.518
NeutralProcessing            DecayToNeutral                    226      1.99%      0.568       12      1.62%      0.404       17      1.94%      0.543       3      1.85%      0.505
DestructiveRotation          ReassertionProcessing              73     10.72%      0.544        6     17.65%      0.704        3      5.88%      0.252       3     11.42%      0.500
CompressionProcessing        MixedStructure                      7      0.11%      0.426        1      0.56%      0.491        0      0.00%        N/A       2      0.33%      0.458
ReassertionProcessing        RecoveryResolution                513      7.39%      0.535       21      4.34%      0.423       38      6.05%      0.410       3      5.93%      0.456
ExhaustionPersistence        ReassertionProcessing             344      9.42%      0.478       17      8.99%      0.359       31     10.30%      0.440       3      9.57%      0.426
ExhaustionPersistence        NeutralProcessing                 490     13.42%      0.418       28     14.81%      0.384       45     14.95%      0.458       3     14.39%      0.420
DestructiveRotation          NeutralProcessing                  73     10.72%      0.333        2      5.88%      0.153       12     23.53%      0.721       3     13.38%      0.402
DecayToNeutral               RecoveryResolution                 69      5.57%      0.403        3      3.90%      0.380        6      6.25%      0.424       3      5.24%      0.402
NeutralProcessing            CompressionProcessing             858      7.57%      0.415       22      2.96%      0.319       41      4.68%      0.386       3      5.07%      0.373
NeutralProcessing            ExhaustionPersistence             426      3.76%      0.363       31      4.17%      0.425       27      3.08%      0.275       3      3.67%      0.354
ConstructiveEmergence        CompressionProcessing               1      6.25%      0.342        0      0.00%        N/A        0      0.00%        N/A       1      6.25%      0.342
ReassertionProcessing        CompressionProcessing             446      6.43%      0.352       13      2.69%      0.290       21      3.34%      0.276       3      4.15%      0.306
NeutralProcessing            RecoveryResolution                484      4.27%      0.309       22      2.96%      0.288       41      4.68%      0.317       3      3.97%      0.305
RecoveryResolution           DestructiveRotation                33      0.68%      0.350        1      0.51%      0.287        2      0.51%      0.266       3      0.56%      0.301
DecayToNeutral               CompressionProcessing             108      8.72%      0.478        1      1.30%      0.140        3      3.12%      0.257       3      4.38%      0.292
ExhaustionPersistence        CompressionProcessing             173      4.74%      0.260        6      3.17%      0.343        6      1.99%      0.164       3      3.30%      0.255
DestructiveRotation          CompressionProcessing              19      2.79%      0.153        1      2.94%      0.317        1      1.96%      0.162       3      2.56%      0.211
RecoveryResolution           DecayToNeutral                     46      0.94%      0.269        1      0.51%      0.127        3      0.76%      0.212       3      0.74%      0.202
RecoveryResolution           NeutralProcessing                 254      5.21%      0.162       17      8.59%      0.223       20      5.06%      0.155       3      6.29%      0.180
RecoveryResolution           ReassertionProcessing             160      3.28%      0.167       10      5.05%      0.202       12      3.04%      0.130       3      3.79%      0.166

Lag 3
Source                       Target                           6E_N    6E_Prob    6E_Lift     NQ_N    NQ_Prob    NQ_Lift     CL_N    CL_Prob    CL_Lift  ValidN   MeanProb   MeanLift
ConstructiveEmergence        MixedStructure                      4     25.00%     97.953        0      0.00%        N/A        0      0.00%        N/A       1     25.00%     97.953
MixedStructure               ConstructiveEmergence               1      1.11%     24.488        0      0.00%        N/A        0      0.00%        N/A       1      1.11%     24.488
MixedStructure               MixedStructure                      5      5.56%     21.767        0      0.00%        N/A        0      0.00%        N/A       1      5.56%     21.767
DestructiveRotation          ConstructiveEmergence               3      0.44%      9.695        0      0.00%        N/A        0      0.00%        N/A       1      0.44%      9.695
ConstructiveEmergence        ExhaustionPersistence               1      6.25%      0.603        0      0.00%        N/A        1    100.00%      8.927       2     53.12%      4.765
DestructiveRotation          MixedStructure                      4      0.59%      2.298        0      0.00%        N/A        1      1.96%      5.854       2      1.27%      4.076
ConstructiveEmergence        DecayToNeutral                      2     12.50%      3.558        0      0.00%        N/A        0      0.00%        N/A       1     12.50%      3.558
ExhaustionPersistence        ExhaustionPersistence            1173     32.12%      3.101       68     35.98%      3.680       97     32.23%      2.877       3     33.44%      3.219
ExhaustionPersistence        ConstructiveEmergence               2      0.05%      1.207        1      0.53%      5.114        0      0.00%        N/A       2      0.29%      3.160
DestructiveRotation          DestructiveRotation                48      7.05%      3.639        1      2.94%      1.672        4      7.84%      4.132       3      5.94%      3.148
DecayToNeutral               MixedStructure                      9      0.73%      2.846        0      0.00%        N/A        0      0.00%        N/A       1      0.73%      2.846
CompressionProcessing        CompressionProcessing            2333     36.25%      1.987       56     31.28%      3.378      101     31.08%      2.554       3     32.87%      2.640
RecoveryResolution           RecoveryResolution               1601     32.85%      2.377       63     31.82%      3.106      141     35.70%      2.416       3     33.46%      2.633
ReassertionProcessing        ConstructiveEmergence               3      0.04%      0.952        0      0.00%        N/A        1      0.16%      4.279       2      0.10%      2.616
