Stop,Target,CollisionMode,Count,MeanOutcome,MedianOutcome,TStat,WinRate,LossRate,ProfitFactor,MinOutcome,MaxOutcome,Top5PctShareOfPositiveSum,Top10PctShareOfPositiveSum
8.0,20.0,conservative,47,1.0,-0.5,0.7416466489830891,0.46808510638297873,0.5106382978723404,1.3235800344234079,-8.0,20.0,0.31209362808842656,0.5201560468140443
12.0,24.0,conservative,47,0.9680851063829787,0.0,0.624368396286805,0.48936170212765956,0.48936170212765956,1.2732732732732732,-12.0,24.0,0.33962264150943394,0.5660377358490566
4.0,16.0,conservative,47,0.8936170212765957,-4.0,0.8523856482320972,0.3829787234042553,0.6170212765957447,1.3879907621247114,-4.0,16.0,0.3194675540765391,0.5324459234608985
2.0,20.0,conservative,47,0.8670212765957447,-2.0,0.9249051843587835,0.23404255319148937,0.7659574468085106,1.5659722222222223,-2.0,20.0,0.532150776053215,0.7782705099778271
2.0,24.0,conservative,47,0.8563829787234043,-2.0,0.872059596889265,0.23404255319148937,0.7659574468085106,1.5590277777777777,-2.0,24.0,0.6414253897550112,0.77728285077951
8.0,16.0,conservative,47,0.8297872340425532,-0.5,0.6577596000930095,0.46808510638297873,0.5106382978723404,1.2685025817555937,-8.0,16.0,0.26051560379918587,0.43419267299864317
12.0,20.0,conservative,47,0.8085106382978723,0.0,0.5498433278061853,0.48936170212765956,0.48936170212765956,1.2282282282282282,-12.0,20.0,0.293398533007335,0.4889975550122249
10.0,32.0,conservative,47,0.7819148936170213,-0.5,0.48205328665600256,0.46808510638297873,0.5106382978723404,1.2190760059612518,-10.0,32.0,0.46943765281173594,0.6430317848410758
2.0,16.0,conservative,47,0.7712765957446809,-2.0,0.9059546281631579,0.23404255319148937,0.7659574468085106,1.5034722222222223,-2.0,16.0,0.44341801385681295,0.7390300230946882
10.0,24.0,conservative,47,0.6808510638297872,-0.5,0.452036158696101,0.46808510638297873,0.5106382978723404,1.1907600596125187,-10.0,24.0,0.360450563204005,0.6007509386733417
