APVA Context-to-Topology Study v0.1 - Cross-Instrument Aggregate
================================================================
Input instruments: 6E, NQ, CL
Replication threshold: topology present count >= 20 in at least two instruments.
Effects compare historical context for topology-present versus topology-absent bars.

Aggregate Topology-Feature Table
================================
Topology                               Group     Feature                            Effect_6E   Effect_NQ   Effect_CL Valid  Pos  Neg  MeanEffect
Accepted+Expanding                     Negative  Prev10ExpandingCount               -0.115140   -0.094901   -0.151945     3    0    3   -0.120662
Accepted+Expanding                     Negative  Prev10PeakCount                     0.026099   -0.069809   -0.019865     3    1    2   -0.021192
Accepted+Expanding                     Negative  Prev10ClimacticCount                0.029644   -0.005540   -0.074309     3    1    2   -0.016735
Accepted+Expanding                     Negative  Prev10Dominance                    -0.045095   -0.077123   -0.033895     3    0    3   -0.052038
Accepted+Expanding                     Negative  Prev10NetAcceptance                -0.071140   -0.034519   -0.032487     3    0    3   -0.046049
Accepted+Expanding                     Negative  Prev20AcceptedCount                -0.036230   -0.058814   -0.105205     3    0    3   -0.066750
Accepted+Expanding                     Negative  Prev20CompressedCount               0.034822    0.063881    0.094608     3    3    0    0.064437
Accepted+Expanding                     Negative  Prev20DissipatingCount              0.027516    0.053332    0.061338     3    3    0    0.047395
Accepted+Expanding                     Negative  Prev20ExpandingCount               -0.079254   -0.096610   -0.140792     3    0    3   -0.105552
Accepted+Expanding                     Negative  Prev20PeakCount                     0.019182   -0.028065   -0.013660     3    1    2   -0.007515
Accepted+Expanding                     Negative  Prev20ClimacticCount                0.017516   -0.018640   -0.101249     3    1    2   -0.034124
Accepted+Expanding                     Negative  Prev20Dominance                    -0.016525   -0.031955   -0.058580     3    0    3   -0.035687
Accepted+Expanding                     Negative  Prev20NetAcceptance                -0.041054   -0.026411   -0.071946     3    0    3   -0.046470
Accepted+Dissipating                   Negative  Prev5AcceptedCount                  0.076095    0.124310    0.133494     3    3    0    0.111300
Accepted+Dissipating                   Negative  Prev5CompressedCount               -0.076479   -0.139882   -0.122836     3    0    3   -0.113066
Accepted+Dissipating                   Negative  Prev5DissipatingCount              -0.000907   -0.099161   -0.115729     3    0    3   -0.071932
Accepted+Dissipating                   Negative  Prev5ExpandingCount                 0.118897    0.262666    0.196313     3    3    0    0.192625
Accepted+Dissipating                   Negative  Prev5PeakCount                      0.080599    0.032068    0.116020     3    3    0    0.076229
Accepted+Dissipating                   Negative  Prev5ClimacticCount                 0.117679    0.169858    0.136830     3    3    0    0.141456
Accepted+Dissipating                   Negative  Prev5Dominance                      0.063427    0.076070    0.060640     3    3    0    0.066712
Accepted+Dissipating                   Negative  Prev5NetAcceptance                 -0.003546    0.082021    0.013548     3    2    1    0.030674
Accepted+Dissipating                   Negative  Prev10AcceptedCount                 0.058189    0.104288    0.084700     3    3    0    0.082392
Accepted+Dissipating                   Negative  Prev10CompressedCount              -0.060314   -0.111811   -0.073541     3    0    3   -0.081889
Accepted+Dissipating                   Negative  Prev10DissipatingCount              0.020802   -0.094037   -0.031550     3    1    2   -0.034928
Accepted+Dissipating                   Negative  Prev10ExpandingCount                0.089329    0.237178    0.147730     3    3    0    0.158079
Accepted+Dissipating                   Negative  Prev10PeakCount                     0.057001    0.003869    0.108586     3    3    0    0.056486
Accepted+Dissipating                   Negative  Prev10ClimacticCount                0.082041    0.108243    0.073802     3    3    0    0.088029
Accepted+Dissipating                   Negative  Prev10Dominance                     0.058276    0.055441    0.055106     3    3    0    0.056274
Accepted+Dissipating                   Negative  Prev10NetAcceptance                -0.002496    0.082347   -0.027005     3    1    2    0.017615
Accepted+Dissipating                   Negative  Prev20AcceptedCount                 0.057289    0.052716    0.088979     3    3    0    0.066328
Accepted+Dissipating                   Negative  Prev20CompressedCount              -0.058579   -0.078144   -0.048101     3    0    3   -0.061608
Accepted+Dissipating                   Negative  Prev20DissipatingCount              0.045262   -0.090737    0.006045     3    2    1   -0.013143
Accepted+Dissipating                   Negative  Prev20ExpandingCount                0.073986    0.192078    0.131824     3    3    0    0.132629
Accepted+Dissipating                   Negative  Prev20PeakCount                     0.053714   -0.022175    0.075060     3    2    1    0.035533
Accepted+Dissipating                   Negative  Prev20ClimacticCount                0.064262    0.141571    0.010266     3    3    0    0.072033
Accepted+Dissipating                   Negative  Prev20Dominance                     0.067304    0.019438    0.061352     3    3    0    0.049365
Accepted+Dissipating                   Negative  Prev20NetAcceptance                -0.001465    0.058609    0.007647     3    2    1    0.021597
Accepted+Dissipating+Peak              Negative  Prev5AcceptedCount                  0.264677    0.531392    0.453763     3    3    0    0.416611
Accepted+Dissipating+Peak              Negative  Prev5CompressedCount               -0.261552   -0.521859   -0.477479     3    0    3   -0.420297
Accepted+Dissipating+Peak              Negative  Prev5DissipatingCount              -0.134257   -0.337376   -0.244515     3    0    3   -0.238716
Accepted+Dissipating+Peak              Negative  Prev5ExpandingCount                 0.530607    0.912367    0.542177     3    3    0    0.661717
Accepted+Dissipating+Peak              Negative  Prev5PeakCount                      0.540824    0.541324    0.620936     3    3    0    0.567694
Accepted+Dissipating+Peak              Negative  Prev5ClimacticCount                 0.450568    0.679972    0.435948     3    3    0    0.522163
Accepted+Dissipating+Peak              Negative  Prev5Dominance                      0.159876    0.326850    0.297847     3    3    0    0.261524
Accepted+Dissipating+Peak              Negative  Prev5NetAcceptance                 -0.206938    0.056473   -0.132697     3    1    2   -0.094388
Accepted+Dissipating+Peak              Negative  Prev10AcceptedCount                 0.189975    0.335198    0.410451     3    3    0    0.311875
Accepted+Dissipating+Peak              Negative  Prev10CompressedCount              -0.188846   -0.326345   -0.440063     3    0    3   -0.318418
Accepted+Dissipating+Peak              Negative  Prev10DissipatingCount             -0.074247   -0.262562   -0.080789     3    0    3   -0.139199
Accepted+Dissipating+Peak              Negative  Prev10ExpandingCount                0.367600    0.660209    0.327446     3    3    0    0.451751
Accepted+Dissipating+Peak              Negative  Prev10PeakCount                     0.428261    0.314600    0.435564     3    3    0    0.392808
Accepted+Dissipating+Peak              Negative  Prev10ClimacticCount                0.236044    0.385152    0.237217     3    3    0    0.286138
Accepted+Dissipating+Peak              Negative  Prev10Dominance                     0.123117    0.180253    0.334548     3    3    0    0.212639
Accepted+Dissipating+Peak              Negative  Prev10NetAcceptance                -0.197360    0.033320   -0.054048     3    1    2   -0.072696
Accepted+Dissipating+Peak              Negative  Prev20AcceptedCount                 0.120276    0.271755    0.135866     3    3    0    0.175966
Accepted+Dissipating+Peak              Negative  Prev20CompressedCount              -0.118716   -0.220348   -0.128804     3    0    3   -0.155956
Accepted+Dissipating+Peak              Negative  Prev20DissipatingCount             -0.073055   -0.255791   -0.101758     3    0    3   -0.143535
Accepted+Dissipating+Peak              Negative  Prev20ExpandingCount                0.187322    0.503487    0.180893     3    3    0    0.290567
Accepted+Dissipating+Peak              Negative  Prev20PeakCount                     0.228402    0.169574    0.094481     3    3    0    0.164153
Accepted+Dissipating+Peak              Negative  Prev20ClimacticCount                0.011105    0.291318   -0.079435     3    2    1    0.074329
