BarIndex,Time,Open,High,Low,Close,Volume,Geometry,VolumePolarity,VolumeDelta,VolumeRank20,VolumeRank50,Range,RangeDelta,RangeRank20,Body,BodyDelta,BodyRank20,CloseLocation,OverlapRatio,CloseInsidePriorRange,CloseInsidePriorBody,BreaksPriorHigh,BreaksPriorLow,ParticipationState,ExpansionState,CompressionState,DissipationState,AcceptanceState,SignificanceState,EvidenceFlags
1412,"2026-05-01 08:15:00",97.68,97.84,97.46,97.5,1176,"LLLH","Red","Down",0.2,0.36,0.38,"Up",0.2,0.18,"Down",0.2,0.105263,0.578947,False,False,False,True,"Falling","Local","Absent","Local","Accepted","Minor","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
1413,"2026-05-01 08:20:00",97.48,97.72,97.26,97.53,1271,"LLLH","Black","Up",0.25,0.48,0.46,"Up",0.35,0.05,"Down",0.1,0.586957,0.565217,True,True,False,True,"Rising","Local","Local","Absent","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;AcceptanceContained;CompressionLocal"
1414,"2026-05-01 08:25:00",97.52,97.72,97.41,97.5,555,"InsideBar","Red","Down",0.05,0.02,0.31,"Down",0.1,0.02,"Down",0.05,0.290323,1,True,True,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CloseInsidePriorBody;CompressionClustered"
1415,"2026-05-01 08:30:00",97.48,98.24,97.25,97.82,2278,"OutsideBar","Black","Up",0.7,0.8,0.99,"Up",0.95,0.34,"Up",0.65,0.575758,0.313131,False,False,True,True,"Rising","Climactic","Absent","Absent","Accepted","Structural","RangePeak20;RangeClimactic20;BreaksPriorHigh;BreaksPriorLow;AcceptanceAccepted"
1416,"2026-05-01 08:35:00",97.79,97.81,97.27,97.49,1234,"InsideBar","Red","Down",0.3,0.44,0.54,"Down",0.55,0.3,"Down",0.55,0.407407,1,True,True,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CloseInsidePriorBody;CompressionClustered"
1417,"2026-05-01 08:40:00",97.47,97.72,97.3,97.42,1206,"InsideBar","Red","Down",0.3,0.34,0.42,"Down",0.35,0.05,"Down",0.2,0.285714,1,True,False,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CompressionClustered"
1418,"2026-05-01 08:45:00",97.42,97.5,97.01,97.02,1115,"LLLH","Red","Down",0.25,0.26,0.49,"Up",0.5,0.4,"Up",0.9,0.020408,0.408163,False,False,False,True,"Falling","Local","Absent","Local","Accepted","Minor","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
1419,"2026-05-01 08:50:00",97.04,97.21,96.91,96.99,1926,"LLLH","Red","Up",0.7,0.64,0.3,"Down",0.1,0.05,"Down",0.25,0.266667,0.666667,False,False,False,True,"Rising","Absent","Absent","Local","Accepted","Moderate","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
1420,"2026-05-01 08:55:00",96.99,97.41,96.76,96.77,1902,"OutsideBar","Red","Down",0.65,0.6,0.65,"Up",0.9,0.22,"Up",0.5,0.015385,0.461538,False,False,True,True,"Falling","Strong","Absent","Local","Accepted","Structural","RangePeak20;BreaksPriorHigh;BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
1421,"2026-05-01 09:00:00",96.76,97.06,96.52,96.82,2154,"LLLH","Black","Up",0.9,0.74,0.54,"Down",0.75,0.06,"Down",0.3,0.555556,0.555556,True,True,False,True,"Peak","Absent","Local","Local","Contained","Major","VolumePeak20;BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
1422,"2026-05-01 09:05:00",96.85,96.87,96.47,96.68,1099,"LLLH","Red","Down",0.2,0.18,0.4,"Down",0.4,0.17,"Up",0.4,0.525,0.875,True,False,False,True,"Falling","Absent","Clustered","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionClustered"
1423,"2026-05-01 09:10:00",96.71,96.95,96.58,96.9,991,"HHHL","Black","Down",0.15,0.1,0.37,"Down",0.25,0.19,"Up",0.5,0.864865,0.783784,False,False,True,False,"Falling","Absent","Absent","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
1424,"2026-05-01 09:15:00",96.9,97.01,96.63,96.8,871,"HHHL","Red","Down",0.1,0.04,0.38,"Up",0.4,0.1,"Down",0.35,0.447368,0.842105,True,True,True,False,"Falling","Local","Local","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
1425,"2026-05-01 09:20:00",96.81,96.95,96.73,96.83,479,"InsideBar","Black","Down",0.05,0.02,0.22,"Down",0.05,0.02,"Down",0.1,0.454545,1,True,True,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CloseInsidePriorBody;CompressionClustered"
1426,"2026-05-01 09:25:00",96.81,97.74,96.56,97.45,3895,"OutsideBar","Black","Up",1,0.94,1.18,"Up",1,0.64,"Up",1,0.754237,0.186441,False,False,True,True,"Peak","Climactic","Absent","Absent","Accepted","Structural","VolumePeak20;RangePeak20;RangeClimactic20;BreaksPriorHigh;BreaksPriorLow;AcceptanceAccepted"
1427,"2026-05-01 09:30:00",97.45,98.35,97.4,98.29,4481,"HHHL","Black","Up",1,0.94,0.95,"Down",0.9,0.84,"Up",1,0.936842,0.357895,False,False,True,False,"Peak","Strong","Absent","Local","Accepted","Structural","VolumePeak20;RangePeak20;BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
1428,"2026-05-01 09:35:00",98.31,98.34,97.89,97.9,1953,"InsideBar","Red","Down",0.8,0.62,0.45,"Down",0.55,0.41,"Down",0.85,0.022222,1,True,True,False,False,"Peak","Absent","Clustered","Absent","Unresolved","Major","VolumePeak20;CloseInsidePriorRange;CloseInsidePriorBody;CompressionClustered"
1429,"2026-05-01 09:40:00",97.92,98.06,97.64,97.66,1148,"LLLH","Red","Down",0.35,0.26,0.42,"Down",0.5,0.26,"Down",0.65,0.047619,0.404762,False,False,False,True,"Falling","Absent","Absent","Local","Accepted","Minor","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
1430,"2026-05-01 09:45:00",97.68,97.77,97.44,97.73,902,"LLLH","Black","Down",0.2,0.1,0.33,"Down",0.2,0.05,"Down",0.25,0.878788,0.393939,True,True,False,True,"Falling","Absent","Local","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
1431,"2026-05-01 09:50:00",97.75,97.86,97.55,97.58,841,"HHHL","Red","Down",0.15,0.06,0.31,"Down",0.2,0.17,"Up",0.5,0.096774,0.709677,True,False,True,False,"Falling","Absent","Local","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionLocal"
1432,"2026-05-01 09:55:00",97.59,97.68,97.31,97.39,737,"LLLH","Red","Down",0.15,0.06,0.37,"Up",0.35,0.2,"Up",0.6,0.216216,0.351351,False,False,False,True,"Falling","Local","Absent","Local","Accepted","Minor","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
