APVA Neutral Failure Timing Study v0.1 - 6E
================================================================================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
ReferenceFailureCount: 2052
StableControlCount: 14630
Purpose: Test causal NeutralFailure timing as a warning score overlay.

1. Reference Failure Inventory
FailureNode | Count | Count_6E | Count_CL | Count_NQ | Probability
NeutralProcessing_Age2 | 931 | 931 | 0 | 0 | 45.37%
DestructiveRotation | 2.2222 | 38.89% | VolumeRelativeToRollingMean
DecayToNeutral | 0.0000 | 0.00% | N/A

8. False Positive Anatomy Table
AgeBucket | SignalPattern | Count | SubsequentPhase
2 | EfficiencyPressure+CloseExtremePressure+PolarityInstability | 54 | NeutralProcessing_Age3
2 | RangePressure+VolumePressure+PolarityInstability | 41 | NeutralProcessing_Age3
6-10 | RangePressure+VolumePressure+PolarityInstability | 40 | NeutralProcessing_Age6-10
3 | RangePressure+VolumePressure+PolarityInstability | 39 | NeutralProcessing_Age4
3 | EfficiencyPressure+CloseExtremePressure+PolarityInstability | 37 | NeutralProcessing_Age4
5 | EfficiencyPressure+CloseExtremePressure+PolarityInstability | 37 | NeutralProcessing_Age6-10
6-10 | EfficiencyPressure+CloseExtremePressure+PolarityInstability | 34 | NeutralProcessing_Age6-10
2 | BodyPressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 34 | NeutralProcessing_Age3
6-10 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 32 | NeutralProcessing_Age6-10
6-10 | BodyPressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 31 | NeutralProcessing_Age6-10
6-10 | RangePressure+VolumePressure+EfficiencyPressure+PolarityInstability | 30 | NeutralProcessing_Age6-10
4 | RangePressure+VolumePressure+PolarityInstability | 30 | NeutralProcessing_Age5
6-10 | BodyPressure+EfficiencyPressure+CloseExtremePressure | 29 | NeutralProcessing_Age6-10
2 | BodyPressure+EfficiencyPressure+CloseExtremePressure | 28 | NeutralProcessing_Age3
4 | EfficiencyPressure+CloseExtremePressure+PolarityInstability | 28 | NeutralProcessing_Age5
6-10 | RangePressure+VolumePressure+CloseExtremePressure+PolarityInstability | 28 | NeutralProcessing_Age6-10
2 | BodyPressure+EfficiencyPressure+PolarityInstability | 27 | NeutralProcessing_Age3
6-10 | VolumePressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 24 | NeutralProcessing_Age6-10
6-10 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure | 24 | NeutralProcessing_Age6-10
5 | RangePressure+VolumePressure+PolarityInstability | 23 | NeutralProcessing_Age6-10
4 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure | 23 | NeutralProcessing_Age5
11-20 | EfficiencyPressure+CloseExtremePressure+PolarityInstability | 22 | NeutralProcessing_Age11-20
3 | BodyPressure+EfficiencyPressure+CloseExtremePressure | 22 | NeutralProcessing_Age4
3 | VolumePressure+CloseExtremePressure+PolarityInstability | 22 | NeutralProcessing_Age4
6-10 | RangePressure+VolumePressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 22 | NeutralProcessing_Age6-10
