APVA Memory Forecast Study v0.1
============================================================================================================
Diagnostics
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Node count: 41

1. Memory Stream Reconstruction
Bar | StateAgeNode | NodeCategory | MemoryStrength | HalfLife | ForecastConfidence | EntropyGrowth | AttentionCategory
160 | RecoveryResolution_Age1 | Secondary Node | 0.2497 | 5.00 | 0.2484 | 1.9626 | Secondary Node
161 | RecoveryResolution_Age2 | Secondary Node | 0.2814 | 3.00 | 0.4808 | 2.3364 | Secondary Node
162 | RecoveryResolution_Age3 | Secondary Node | 0.2098 | 3.00 | 0.5657 | 1.9592 | Secondary Node
163 | RecoveryResolution_Age4 | Insufficient Node | 0.2431 | 3.00 | 0.2500 | 2.2443 | Insufficient Node
164 | CompressionProcessing_Age1 | Secondary Node | 0.2107 | 3.00 | 0.2623 | 1.7972 | Secondary Node
165 | ExhaustionPersistence_Age1 | Secondary Node | 0.1775 | 11.00 | 0.0600 | 1.2226 | Secondary Node
166 | ExhaustionPersistence_Age2 | Secondary Node | 0.2372 | 3.00 | 0.5493 | 2.3244 | Secondary Node
167 | ExhaustionPersistence_Age3 | Weak Node | 0.1959 | 2.00 | 0.3077 | 2.0053 | Weak Node
168 | ExhaustionPersistence_Age4 | Weak Node | 0.1838 | 2.00 | 0.1818 | 1.3685 | Weak Node
169 | ExhaustionPersistence_Age5 | Weak Node | 0.1513 | 5.00 | 0.0690 | 1.2532 | Weak Node
170 | ExhaustionPersistence_Age6-10 | Insufficient Node | 0.1782 | 3.00 | 0.0690 | 1.5124 | Insufficient Node
171 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 0.2611 | 1.7484 | Secondary Node
172 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 0.4161 | 1.6504 | Core Node
173 | NeutralProcessing_Age2 | Core Node | 0.2651 | 5.00 | 0.3685 | 1.6844 | Core Node
174 | NeutralProcessing_Age3 | Core Node | 0.3511 | 5.00 | 0.6385 | 2.0830 | Core Node
175 | NeutralProcessing_Age4 | Core Node | 0.3683 | 5.00 | 0.8841 | 2.4809 | Core Node
176 | NeutralProcessing_Age5 | Core Node | 0.3132 | 5.00 | 0.7500 | 2.1684 | Core Node
177 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 0.5680 | 1.7671 | Core Node
178 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 0.5680 | 1.7671 | Core Node
179 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 0.1706 | 1.1466 | Weak Node
180 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 0.4161 | 1.6504 | Core Node
181 | NeutralProcessing_Age2 | Core Node | 0.2651 | 5.00 | 0.3685 | 1.6844 | Core Node
182 | NeutralProcessing_Age3 | Core Node | 0.3511 | 5.00 | 0.6385 | 2.0830 | Core Node
183 | NeutralProcessing_Age4 | Core Node | 0.3683 | 5.00 | 0.8841 | 2.4809 | Core Node
184 | NeutralProcessing_Age5 | Core Node | 0.3132 | 5.00 | 0.7500 | 2.1684 | Core Node
185 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 0.5680 | 1.7671 | Core Node
186 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 0.5680 | 1.7671 | Core Node
187 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 0.5680 | 1.7671 | Core Node
188 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 0.5680 | 1.7671 | Core Node
189 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 0.5680 | 1.7671 | Core Node
190 | NeutralProcessing_Age11-20 | Secondary Node | 0.2868 | 5.00 | 0.6633 | 2.0203 | Secondary Node
191 | NeutralProcessing_Age11-20 | Secondary Node | 0.2868 | 5.00 | 0.6633 | 2.0203 | Secondary Node
192 | RecoveryResolution_Age1 | Secondary Node | 0.2497 | 5.00 | 0.2484 | 1.9626 | Secondary Node
193 | CompressionProcessing_Age1 | Secondary Node | 0.2107 | 3.00 | 0.2623 | 1.7972 | Secondary Node
194 | CompressionProcessing_Age2 | Weak Node | 0.2038 | 3.00 | 0.1754 | 1.6725 | Weak Node
195 | CompressionProcessing_Age3 | Secondary Node | 0.2152 | 3.00 | 0.4179 | 1.7733 | Secondary Node
196 | CompressionProcessing_Age4 | Weak Node | 0.2023 | 2.00 | 0.2652 | 1.6005 | Weak Node
197 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 0.0955 | 1.5273 | Weak Node
198 | ReassertionProcessing_Age2 | Weak Node | 0.1927 | 3.00 | 0.0253 | 1.8779 | Weak Node
199 | CompressionProcessing_Age1 | Secondary Node | 0.2107 | 3.00 | 0.2623 | 1.7972 | Secondary Node
200 | CompressionProcessing_Age2 | Weak Node | 0.2038 | 3.00 | 0.1754 | 1.6725 | Weak Node
201 | CompressionProcessing_Age3 | Secondary Node | 0.2152 | 3.00 | 0.4179 | 1.7733 | Secondary Node
202 | CompressionProcessing_Age4 | Weak Node | 0.2023 | 2.00 | 0.2652 | 1.6005 | Weak Node
203 | CompressionProcessing_Age5 | Weak Node | 0.1950 | 3.00 | 0.1809 | 1.3643 | Weak Node
204 | CompressionProcessing_Age6-10 | Weak Node | 0.1905 | 2.00 | 0.2308 | 1.4210 | Weak Node
205 | CompressionProcessing_Age6-10 | Weak Node | 0.1905 | 2.00 | 0.2308 | 1.4210 | Weak Node
206 | CompressionProcessing_Age6-10 | Weak Node | 0.1905 | 2.00 | 0.2308 | 1.4210 | Weak Node
207 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 0.4161 | 1.6504 | Core Node
208 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 0.0955 | 1.5273 | Weak Node
209 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 0.4161 | 1.6504 | Core Node
210 | NeutralProcessing_Age2 | Core Node | 0.2651 | 5.00 | 0.3685 | 1.6844 | Core Node
211 | NeutralProcessing_Age3 | Core Node | 0.3511 | 5.00 | 0.6385 | 2.0830 | Core Node
212 | NeutralProcessing_Age4 | Core Node | 0.3683 | 5.00 | 0.8841 | 2.4809 | Core Node
213 | NeutralProcessing_Age5 | Core Node | 0.3132 | 5.00 | 0.7500 | 2.1684 | Core Node
214 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 0.5680 | 1.7671 | Core Node
215 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 0.5680 | 1.7671 | Core Node
216 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 0.5680 | 1.7671 | Core Node
217 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 0.0955 | 1.5273 | Weak Node
218 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 0.4161 | 1.6504 | Core Node
219 | NeutralProcessing_Age2 | Core Node | 0.2651 | 5.00 | 0.3685 | 1.6844 | Core Node
