APVA Phase Transition Matrix Study v0.1 - 6E
=============================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Structural state counts: {'MixedStructure': 3671, 'NeutralProcessing': 16992, 'ReassertionProcessing': 2011, 'RecoveryResolution': 1696, 'CompressionProcessing': 6489, 'ExhaustionPersistence': 1884, 'DecayToNeutral': 1486, 'DestructiveRotation': 948, 'ConstructiveEmergence': 83}
Lifecycle phase counts: {'Terminal': 7908, 'Growth': 6973, 'Maturity': 2937, 'Insufficient': 68, 'Birth': 12364, 'Decay': 5010}
Valid phase observations: 35192

Section 1 - Phase Counts
========================
Phase              Count  Frequency
Birth              12364     35.07%
Growth              6973     19.78%
Maturity            2937      8.33%
Decay               5010     14.21%
Terminal            7908     22.43%
Insufficient          68      0.19%

Section 2 - Phase -> NextState Tables
=====================================
Phase           H NextState                        Count  Probability      Lift
DestructiveRotation          Maturity        5 CompressionProcessing               17       17.00%     0.924
DestructiveRotation          Maturity        5 NeutralProcessing                   55       55.00%     1.141
DestructiveRotation          Maturity        5 ReassertionProcessing                3        3.00%     0.526
DestructiveRotation          Maturity        5 DecayToNeutral                       4        4.00%     0.949
DestructiveRotation          Maturity        5 DestructiveRotation                  4        4.00%     1.488
DestructiveRotation          Maturity        5 MixedStructure                      11       11.00%     1.058
DestructiveRotation          Terminal        5 RecoveryResolution                  39        4.67%     0.971
DestructiveRotation          Terminal        5 ExhaustionPersistence               48        5.75%     1.076
DestructiveRotation          Terminal        5 CompressionProcessing              153       18.32%     0.996
DestructiveRotation          Terminal        5 NeutralProcessing                  393       47.07%     0.977
DestructiveRotation          Terminal        5 ReassertionProcessing               38        4.55%     0.798
DestructiveRotation          Terminal        5 DecayToNeutral                      45        5.39%     1.279
DestructiveRotation          Terminal        5 DestructiveRotation                 26        3.11%     1.158
DestructiveRotation          Terminal        5 ConstructiveEmergence                4        0.48%     2.035
DestructiveRotation          Terminal        5 MixedStructure                      89       10.66%     1.025
DestructiveRotation          Insufficient    5 RecoveryResolution                   1        8.33%     1.732
DestructiveRotation          Insufficient    5 NeutralProcessing                    9       75.00%     1.556
DestructiveRotation          Insufficient    5 MixedStructure                       2       16.67%     1.602
ConstructiveEmergence        Birth           5 RecoveryResolution                   3        3.61%     0.751
ConstructiveEmergence        Birth           5 ExhaustionPersistence                3        3.61%     0.676
ConstructiveEmergence        Birth           5 CompressionProcessing               11       13.25%     0.720
ConstructiveEmergence        Birth           5 NeutralProcessing                   44       53.01%     1.100
ConstructiveEmergence        Birth           5 ReassertionProcessing                9       10.84%     1.901
ConstructiveEmergence        Birth           5 DecayToNeutral                       2        2.41%     0.572
ConstructiveEmergence        Birth           5 DestructiveRotation                  2        2.41%     0.896
ConstructiveEmergence        Birth           5 MixedStructure                       9       10.84%     1.042
MixedStructure               Growth          5 RecoveryResolution                  25        7.04%     1.464
MixedStructure               Growth          5 ExhaustionPersistence               18        5.07%     0.949
MixedStructure               Growth          5 CompressionProcessing               66       18.59%     1.010
MixedStructure               Growth          5 NeutralProcessing                  167       47.04%     0.976
MixedStructure               Growth          5 ReassertionProcessing               14        3.94%     0.691
MixedStructure               Growth          5 DecayToNeutral                      17        4.79%     1.136
MixedStructure               Growth          5 DestructiveRotation                  6        1.69%     0.629
MixedStructure               Growth          5 ConstructiveEmergence                1        0.28%     1.197
MixedStructure               Growth          5 MixedStructure                      41       11.55%     1.110
MixedStructure               Maturity        5 RecoveryResolution                   3        7.14%     1.485
MixedStructure               Maturity        5 ExhaustionPersistence                5       11.90%     2.228
MixedStructure               Maturity        5 CompressionProcessing                8       19.05%     1.035
MixedStructure               Maturity        5 NeutralProcessing                   17       40.48%     0.840
MixedStructure               Maturity        5 ReassertionProcessing                1        2.38%     0.417
MixedStructure               Maturity        5 DestructiveRotation                  1        2.38%     0.885
MixedStructure               Maturity        5 MixedStructure                       7       16.67%     1.602
MixedStructure               Terminal        5 RecoveryResolution                 156        4.78%     0.994
MixedStructure               Terminal        5 ExhaustionPersistence              174        5.33%     0.998
MixedStructure               Terminal        5 CompressionProcessing              677       20.75%     1.127
MixedStructure               Terminal        5 NeutralProcessing                 1572       48.18%     1.000
MixedStructure               Terminal        5 ReassertionProcessing              160        4.90%     0.860
MixedStructure               Terminal        5 DecayToNeutral                     136        4.17%     0.989
MixedStructure               Terminal        5 DestructiveRotation                 56        1.72%     0.638
MixedStructure               Terminal        5 ConstructiveEmergence               10        0.31%     1.302
MixedStructure               Terminal        5 MixedStructure                     322        9.87%     0.949
MixedStructure               Insufficient    5 ExhaustionPersistence                1       11.11%     2.079
MixedStructure               Insufficient    5 NeutralProcessing                    7       77.78%     1.614
MixedStructure               Insufficient    5 MixedStructure                       1       11.11%     1.068

Section 5 - Entropy Analysis
============================
Phase           H     Count    Entropy  NormEntropy DominantDestination          DominantProb DominantLift
Birth           1     12364     1.5945       0.7257 NeutralProcessing                  42.31%        0.878
Birth           2     12363     1.7678       0.8046 NeutralProcessing                  36.95%        0.767
Birth           3     12363     1.6137       0.7344 NeutralProcessing                  44.45%        0.922
Birth           5     12362     1.6350       0.7441 NeutralProcessing                  46.10%        0.957
Growth          1      6973     1.3916       0.6334 NeutralProcessing                  53.43%        1.109
Growth          2      6973     1.2546       0.5710 NeutralProcessing                  61.90%        1.284
Growth          3      6973     1.2995       0.5914 NeutralProcessing                  61.94%        1.285
Growth          5      6973     1.5977       0.7271 NeutralProcessing                  49.18%        1.020
Maturity        1      2937     1.4262       0.6859 NeutralProcessing                  50.15%        1.041
Maturity        2      2937     1.4334       0.6524 NeutralProcessing                  51.28%        1.064
Maturity        3      2937     1.6106       0.7330 NeutralProcessing                  47.57%        0.987
Maturity        5      2937     1.6259       0.7400 NeutralProcessing                  47.26%        0.981
Decay           1      5010     1.1899       0.5415 NeutralProcessing                  66.77%        1.385
Decay           2      5010     1.4151       0.6440 NeutralProcessing                  59.36%        1.232
Decay           3      5010     1.5040       0.6845 NeutralProcessing                  54.89%        1.139
Decay           5      5010     1.5908       0.7240 NeutralProcessing                  50.52%        1.048
Terminal        1      7907     1.8109       0.8242 NeutralProcessing                  40.60%        0.842
Terminal        2      7907     1.6736       0.7617 NeutralProcessing                  45.68%        0.948
Terminal        3      7906     1.8064       0.8221 NeutralProcessing                  38.06%        0.790
Terminal        5      7905     1.5810       0.7195 NeutralProcessing                  49.35%        1.024
Insufficient    1        68     1.7550       0.9019 CompressionProcessing              25.00%        1.358
Insufficient    2        68     1.8479       0.8887 CompressionProcessing              30.88%        1.678
Insufficient    3        68     1.7571       0.8450 NeutralProcessing                  32.35%        0.671
Insufficient    5        68     1.1519       0.5919 NeutralProcessing                  63.24%        1.312

Section 6 - Dominant Destinations
=================================
Phase           H DominantState                 Probability      Lift
Birth           1 NeutralProcessing                  42.31%     0.878
Birth           2 NeutralProcessing                  36.95%     0.767
Birth           3 NeutralProcessing                  44.45%     0.922
Birth           5 NeutralProcessing                  46.10%     0.957
Growth          1 NeutralProcessing                  53.43%     1.109
Growth          2 NeutralProcessing                  61.90%     1.284
Growth          3 NeutralProcessing                  61.94%     1.285
Growth          5 NeutralProcessing                  49.18%     1.020
Maturity        1 NeutralProcessing                  50.15%     1.041
Maturity        2 NeutralProcessing                  51.28%     1.064
Maturity        3 NeutralProcessing                  47.57%     0.987
Maturity        5 NeutralProcessing                  47.26%     0.981
Decay           1 NeutralProcessing                  66.77%     1.385
Decay           2 NeutralProcessing                  59.36%     1.232
Decay           3 NeutralProcessing                  54.89%     1.139
Decay           5 NeutralProcessing                  50.52%     1.048
Terminal        1 NeutralProcessing                  40.60%     0.842
Terminal        2 NeutralProcessing                  45.68%     0.948
Terminal        3 NeutralProcessing                  38.06%     0.790
Terminal        5 NeutralProcessing                  49.35%     1.024
Insufficient    1 CompressionProcessing              25.00%     1.358
Insufficient    2 CompressionProcessing              30.88%     1.678
Insufficient    3 NeutralProcessing                  32.35%     0.671
Insufficient    5 NeutralProcessing                  63.24%     1.312

Section 7 - Phase vs Age Entropy Comparison
===========================================
State                         H  AgeEntropy  PhaseEntropy   Reduction
RecoveryResolution            1      0.8661        0.8716     -0.0055
RecoveryResolution            2      1.1555        1.1584     -0.0028
RecoveryResolution            3      1.0995        1.1024     -0.0029
RecoveryResolution            5      1.6520        1.6534     -0.0013
ExhaustionPersistence         1      1.3924        1.4226     -0.0302
ExhaustionPersistence         2      1.5821        1.5970     -0.0149
ExhaustionPersistence         3      1.7300        1.7363     -0.0063
ExhaustionPersistence         5      1.6445        1.6469     -0.0024
CompressionProcessing         1      1.1927        1.1934     -0.0006
CompressionProcessing         2      1.4240        1.4251     -0.0011
CompressionProcessing         3      1.5800        1.5804     -0.0004
CompressionProcessing         5      1.6292        1.6309     -0.0017
NeutralProcessing             1      1.0350        1.0431     -0.0081
NeutralProcessing             2      1.2613        1.2669     -0.0056
NeutralProcessing             3      1.2677        1.2687     -0.0011
NeutralProcessing             5      1.5813        1.5819     -0.0005
ReassertionProcessing         1      1.3286        1.4094     -0.0808
ReassertionProcessing         2      1.5127        1.5291     -0.0164
ReassertionProcessing         3      1.7243        1.7730     -0.0487
ReassertionProcessing         5      1.5182        1.5202     -0.0020
DecayToNeutral                1      1.1580        1.1580      0.0000
DecayToNeutral                2      1.8321        1.8321      0.0000
DecayToNeutral                3      1.6314        1.6314      0.0000
DecayToNeutral                5      1.6658        1.6658      0.0000
DestructiveRotation           1      1.7900        1.7904     -0.0005
DestructiveRotation           2      1.8440        1.8462     -0.0022
DestructiveRotation           3      1.8797        1.8818     -0.0022
DestructiveRotation           5      1.6104        1.6107     -0.0003
ConstructiveEmergence         1      1.1780        1.1780      0.0000
ConstructiveEmergence         2      1.4544        1.4544      0.0000
ConstructiveEmergence         3      1.5104        1.5104      0.0000
ConstructiveEmergence         5      1.5056        1.5056      0.0000
MixedStructure                1      1.7488        1.7490     -0.0002
MixedStructure                2      1.6608        1.6610     -0.0002
MixedStructure                3      1.8471        1.8474     -0.0002
MixedStructure                5      1.5778        1.5778     -0.0001

Section 8 - Outcome Layer
=========================
Phase          StatePhase                       Count      MeanDR    MedianDR      Cont      Fail      Flat      Skew
Birth                                           10694    -0.00001     0.00000    46.54%    48.36%     5.10%    -1.82%
Growth                                           5913    -0.00001     0.00000    46.78%    48.15%     5.07%    -1.37%
Maturity                                         2607    -0.00003    -0.00005    45.03%    50.40%     4.56%    -5.37%
Decay                                            4350    -0.00001     0.00000    45.45%    49.47%     5.08%    -4.02%
Terminal                                         7474    -0.00001     0.00000    46.39%    48.41%     5.20%    -2.02%
Insufficient                                       64     0.00006     0.00008    56.25%    37.50%     6.25%    18.75%
Birth          RecoveryResolution                 900    -0.00003    -0.00005    45.67%    50.56%     3.78%    -4.89%
Maturity       RecoveryResolution                 303    -0.00003    -0.00005    42.90%    54.13%     2.97%   -11.22%
Terminal       RecoveryResolution                 235     0.00002    -0.00005    47.66%    50.64%     1.70%    -2.98%
Insufficient   RecoveryResolution                  24     0.00011     0.00017    62.50%    29.17%     8.33%    33.33%
Birth          ExhaustionPersistence             1106    -0.00001     0.00000    47.65%    46.56%     5.79%     1.08%
Maturity       ExhaustionPersistence              299    -0.00007    -0.00005    42.47%    52.51%     5.02%   -10.03%
Decay          ExhaustionPersistence              381    -0.00005    -0.00010    42.52%    54.07%     3.41%   -11.55%
Terminal       ExhaustionPersistence               55     0.00002     0.00000    49.09%    45.45%     5.45%     3.64%
Birth          CompressionProcessing             2631    -0.00001     0.00000    46.94%    48.50%     4.56%    -1.56%
Growth         CompressionProcessing             1493    -0.00004    -0.00005    44.41%    50.64%     4.96%    -6.23%
Maturity       CompressionProcessing              763    -0.00003    -0.00005    46.00%    50.59%     3.41%    -4.59%
Decay          CompressionProcessing              489     0.00001     0.00000    46.22%    48.67%     5.11%    -2.45%
Terminal       CompressionProcessing              489    -0.00001     0.00000    44.79%    49.90%     5.32%    -5.11%
Insufficient   CompressionProcessing                5    -0.00010    -0.00035    40.00%    60.00%     0.00%   -20.00%
Birth          NeutralProcessing                 4710    -0.00001     0.00000    45.82%    48.77%     5.41%    -2.95%
Growth         NeutralProcessing                 4079    -0.00000     0.00000    47.76%    47.17%     5.07%     0.59%
Maturity       NeutralProcessing                 1101    -0.00001     0.00000    45.50%    48.77%     5.72%    -3.27%
Decay          NeutralProcessing                 3480    -0.00001     0.00000    45.66%    49.08%     5.26%    -3.42%
Terminal       NeutralProcessing                  786    -0.00001     0.00000    46.69%    46.06%     7.25%     0.64%
Terminal       ReassertionProcessing             1967    -0.00000     0.00000    46.47%    48.45%     5.08%    -1.98%
Insufficient   ReassertionProcessing               15    -0.00003     0.00005    53.33%    40.00%     6.67%    13.33%
Birth          DecayToNeutral                    1265    -0.00001     0.00000    47.75%    46.72%     5.53%     1.03%
Maturity       DestructiveRotation                 99    -0.00005     0.00000    44.44%    49.49%     6.06%    -5.05%
Terminal       DestructiveRotation                789    -0.00001     0.00000    46.77%    49.68%     3.55%    -2.92%
Insufficient   DestructiveRotation                 11    -0.00001    -0.00010    36.36%    54.55%     9.09%   -18.18%
Birth          ConstructiveEmergence               82    -0.00002     0.00005    51.22%    46.34%     2.44%     4.88%
Growth         MixedStructure                     341    -0.00002     0.00000    45.45%    48.97%     5.57%    -3.52%
Maturity       MixedStructure                      42    -0.00001     0.00000    50.00%    50.00%     0.00%     0.00%
Terminal       MixedStructure                    3153    -0.00002     0.00000    46.27%    48.30%     5.42%    -2.03%
Insufficient   MixedStructure                       9     0.00023     0.00025    77.78%    22.22%     0.00%    55.56%

Section 9 - Population B
========================
Population B unavailable from Study 44 source bars.
Required DissipationContained + Lateral + Mature + Aligned membership fields are not exposed by the reused Study 44 lifecycle loader.
Skipped gracefully; no Population B membership was inferred.

Section 10 - Mechanical Research Notes
======================================
- Lowest normalized phase entropy: Decay t+1 (0.5415).
- Largest phase-vs-age entropy reduction: DecayToNeutral t+1 (0.0000).
- Lifecycle phases are inherited from Study 44 hazard-only inference.
- Outcomes are reported separately and are not used to define phase.
