APVA Phase Transition Matrix Study v0.1 - 6E
=============================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Structural state counts: {'MixedStructure': 3671, 'NeutralProcessing': 16992, 'ReassertionProcessing': 2011, 'RecoveryResolution': 1696, 'CompressionProcessing': 6489, 'ExhaustionPersistence': 1884, 'DecayToNeutral': 1486, 'DestructiveRotation': 948, 'ConstructiveEmergence': 83}
Lifecycle phase counts: {'Terminal': 7908, 'Growth': 6973, 'Maturity': 2937, 'Insufficient': 68, 'Birth': 12364, 'Decay': 5010}
Valid phase observations: 35192

Section 1 - Phase Counts
========================
Phase              Count  Frequency
Birth              12364     35.07%
Growth              6973     19.78%
Maturity            2937      8.33%
Decay               5010     14.21%
Terminal            7908     22.43%
Insufficient          68      0.19%

Section 2 - Phase -> NextState Tables
=====================================
Phase           H NextState                        Count  Probability      Lift
Growth          5 RecoveryResolution                 325        4.66%     0.969
Growth          5 ExhaustionPersistence              342        4.90%     0.918
Growth          5 CompressionProcessing             1202       17.24%     0.937
Growth          5 NeutralProcessing                 3429       49.18%     1.020
Growth          5 ReassertionProcessing              448        6.42%     1.126
Growth          5 DecayToNeutral                     274        3.93%     0.932
Growth          5 DestructiveRotation                195        2.80%     1.040
Growth          5 ConstructiveEmergence               14        0.20%     0.853
Growth          5 MixedStructure                     744       10.67%     1.026
Maturity        5 RecoveryResolution                 143        4.87%     1.012
Maturity        5 ExhaustionPersistence              165        5.62%     1.051
Maturity        5 CompressionProcessing              569       19.37%     1.053
Maturity        5 NeutralProcessing                 1388       47.26%     0.981
Maturity        5 ReassertionProcessing              164        5.58%     0.979
Maturity        5 DecayToNeutral                     115        3.92%     0.929
Maturity        5 DestructiveRotation                 98        3.34%     1.241
Maturity        5 ConstructiveEmergence                8        0.27%     1.157
Maturity        5 MixedStructure                     287        9.77%     0.939
Decay           5 RecoveryResolution                 236        4.71%     0.979
Decay           5 ExhaustionPersistence              250        4.99%     0.934
Decay           5 CompressionProcessing              774       15.45%     0.839
Decay           5 NeutralProcessing                 2531       50.52%     1.048
Decay           5 ReassertionProcessing              329        6.57%     1.151
Decay           5 DecayToNeutral                     210        4.19%     0.994
Decay           5 DestructiveRotation                151        3.01%     1.121
Decay           5 ConstructiveEmergence                9        0.18%     0.763
Decay           5 MixedStructure                     520       10.38%     0.998
Terminal        5 RecoveryResolution                 367        4.64%     0.965
Terminal        5 ExhaustionPersistence              419        5.30%     0.992
Terminal        5 CompressionProcessing             1459       18.46%     1.003
Terminal        5 NeutralProcessing                 3901       49.35%     1.024
Terminal        5 ReassertionProcessing              415        5.25%     0.920
Terminal        5 DecayToNeutral                     345        4.36%     1.035
Terminal        5 DestructiveRotation                163        2.06%     0.767
Terminal        5 ConstructiveEmergence               23        0.29%     1.236
Terminal        5 MixedStructure                     813       10.28%     0.989
