APVA Excursion Destinations Study v0.1 - 6E
================================================================================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Destination event count: 747

1. Destination Inventory
DestinationFamily | Count | Count_6E | Count_CL | Count_NQ | Probability | ReplicationCount
ReassertionProcessing | TrueRangeRelativeToPrevious | t-1 | 0.8224 | 0.7321 | 0.4353
ReassertionProcessing | TrueRangeRelativeToPrevious | t-2 | 1.2572 | 1.0000 | 0.6960
ReassertionProcessing | TrueRangeRelativeToPrevious | t-3 | 1.1317 | 1.0000 | 0.6432
ReassertionProcessing | TrueRangeRelativeToPrevious | t-5 | 1.0202 | 1.0000 | 0.4666
ReassertionProcessing | VolumeRelativeToPrevious | t-1 | 1.2150 | 0.8489 | 3.3639
ReassertionProcessing | VolumeRelativeToPrevious | t-2 | 1.3382 | 1.1135 | 1.0243
ReassertionProcessing | VolumeRelativeToPrevious | t-3 | 1.3382 | 1.0150 | 1.6512
ReassertionProcessing | VolumeRelativeToPrevious | t-5 | 1.0543 | 0.9351 | 0.6363
ReassertionProcessing | VolumeRelativeToRollingMean | t-1 | 0.5046 | 0.4555 | 0.3399
ReassertionProcessing | VolumeRelativeToRollingMean | t-2 | 0.5748 | 0.5403 | 0.3034
ReassertionProcessing | VolumeRelativeToRollingMean | t-3 | 0.5214 | 0.4604 | 0.3057
ReassertionProcessing | VolumeRelativeToRollingMean | t-5 | 0.4911 | 0.4494 | 0.2636
ReassertionProcessing | VolumeRelativeToSessionMean | t-1 | 0.4515 | 0.3357 | 0.4283
ReassertionProcessing | VolumeRelativeToSessionMean | t-2 | 0.5373 | 0.4120 | 0.4623
ReassertionProcessing | VolumeRelativeToSessionMean | t-3 | 0.4981 | 0.3897 | 0.4543
ReassertionProcessing | VolumeRelativeToSessionMean | t-5 | 0.4835 | 0.3726 | 0.4053
ReassertionProcessing | EfficiencyRatio | t-1 | 0.4713 | 0.5000 | 0.3434
ReassertionProcessing | EfficiencyRatio | t-2 | 0.5052 | 0.5000 | 0.3017
ReassertionProcessing | EfficiencyRatio | t-3 | 0.4972 | 0.5000 | 0.3034
ReassertionProcessing | EfficiencyRatio | t-5 | 0.3999 | 0.3750 | 0.2816
ReassertionProcessing | CloseLocation | t-1 | 0.4927 | 0.5000 | 0.3623
ReassertionProcessing | CloseLocation | t-2 | 0.4575 | 0.5000 | 0.3430
ReassertionProcessing | CloseLocation | t-3 | 0.4847 | 0.5000 | 0.3622
ReassertionProcessing | CloseLocation | t-5 | 0.5022 | 0.5000 | 0.3264
ReassertionProcessing | MemoryStrength | t-1 | 0.2232 | 0.2232 | 0.0000
ReassertionProcessing | MemoryStrength | t-2 | 0.2492 | 0.2232 | 0.0408
ReassertionProcessing | MemoryStrength | t-3 | 0.2912 | 0.3132 | 0.0617
ReassertionProcessing | MemoryStrength | t-5 | 0.3174 | 0.3511 | 0.0480
ReassertionProcessing | BranchEntropy | t-1 | 1.1703 | 1.1703 | 0.0000
ReassertionProcessing | BranchEntropy | t-2 | 1.0536 | 1.1703 | 0.1831
ReassertionProcessing | BranchEntropy | t-3 | 0.8459 | 0.7665 | 0.3020
ReassertionProcessing | BranchEntropy | t-5 | 0.8762 | 0.8439 | 0.2952
ReassertionProcessing | PolarityFlipFlag | t-1 | 0.6464 | 1.0000 | 0.4781
