APVA Loop Closure Study v0.1 - 6E
================================================================================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Loop candidates: 2061

1. Loop Inventory
Instrument | CompleteLoopCount | IncompleteNoExcursionCount | IncompleteNoReturnCount | CompletionRate | MeanLoopDuration | MedianLoopDuration | MaxLoopDuration
6E | 2052 | 4 | 5 | 99.56% | 10.8762 | 9.0000 | 50
Aggregate | 2052 | 4 | 5 | 99.56% | 10.8762 | 9.0000 | 50

2. Phase Duration Table
LoopPhase | MeanDuration | MedianDuration | MaxDuration | PercentOfLoop
ReassertionProcessing -> DestructiveRotation | 14 | 0.68% | 1 | 3.0714
MixedStructure -> ReassertionProcessing | 12 | 0.58% | 1 | 2.0000
CompressionProcessing -> ExhaustionPersistence | 12 | 0.58% | 1 | 3.7500
CompressionProcessing -> ExhaustionPersistence -> CompressionProcessing | 11 | 0.54% | 1 | 5.5455
RecoveryResolution -> CompressionProcessing | 11 | 0.54% | 1 | 3.8182
MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing | 11 | 0.54% | 1 | 8.0000
CompressionProcessing -> MixedStructure | 10 | 0.49% | 1 | 2.0000
DestructiveRotation | 10 | 0.49% | 1 | 1.1000
ReassertionProcessing -> DestructiveRotation -> DecayToNeutral | 9 | 0.44% | 1 | 3.6667
ReassertionProcessing -> MixedStructure -> DecayToNeutral | 9 | 0.44% | 1 | 3.7778
ConstructiveEmergence | 8 | 0.39% | 1 | 1.0000
MixedStructure -> DecayToNeutral -> MixedStructure -> DecayToNeutral | 8 | 0.39% | 1 | 4.5000
CompressionProcessing -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing | 8 | 0.39% | 1 | 9.3750
MixedStructure -> ExhaustionPersistence -> RecoveryResolution | 8 | 0.39% | 1 | 5.3750
CompressionProcessing -> RecoveryResolution | 8 | 0.39% | 1 | 2.0000
