APVA Trajectory Study v0.1 - 6E
===============================
Instrument: 6E
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Valid polarity rows: 31107
Family counts: {'A': 181, 'B': 3069, 'C': 5456, 'D': 6497, 'N': 20057}
Total path windows by length: {3: 35258, 4: 35257, 5: 35256}
Study 30 family precedence reused exactly: A, then B, then C, then D, then N.

Section 1 - Family Path Tables
==============================
Path                               Len    Count   Frequency    Expected       OER
D->N->N->B->N                        5       58     0.00%     0.00%   100.00%   100.00%
C->N->B->N->N                        5       57     0.00%     3.51%   100.00%   100.00%
D->N->C->N->D                        5       56     0.00%     0.00%    82.14%    98.21%
D->N->D->C->N                        5       54     0.00%     1.85%   100.00%   100.00%
N->C->C->N->D                        5       54     0.00%     0.00%    94.44%   100.00%
N->C->N->B->N                        5       54     1.85%     3.70%   100.00%   100.00%
N->N->C->D->N                        5       54     0.00%     0.00%   100.00%   100.00%
B->B->N->N->N                        5       53     0.00%     0.00%   100.00%   100.00%
C->N->D->N->C                        5       53     3.77%     3.77%    75.47%    94.34%
D->C->N->D->N                        5       53     0.00%     3.77%   100.00%   100.00%
N->N->C->B->C                        5       52     1.92%     3.85%    78.85%    92.31%
B->N->N->N->C                        5       51     0.00%     0.00%    74.51%    92.16%
C->C->N->N->C                        5       51     1.96%     3.92%    80.39%    92.16%
D->N->N->C->B                        5       51     0.00%     1.96%    54.90%    78.43%
N->C->C->C->C                        5       51     0.00%     1.96%    82.35%    86.27%
N->N->D->C->B                        5       51     0.00%     0.00%    64.71%    84.31%
N->N->N->C->D                        5       51     0.00%     0.00%    84.31%    98.04%
C->B->C->N->N                        5       50     0.00%     2.00%    98.00%   100.00%
D->N->C->C->N                        5       50     0.00%     4.00%   100.00%   100.00%
D->N->C->N->C                        5       50     0.00%     4.00%    64.00%    84.00%
N->B->D->N->N                        5       50     6.00%     6.00%   100.00%   100.00%
C->N->N->B->N                        5       49     2.04%     4.08%    97.96%   100.00%
N->C->B->C->N                        5       49     4.08%     6.12%   100.00%   100.00%
C->N->N->D->C                        5       48     2.08%     4.17%    83.33%    91.67%
N->C->N->N->B                        5       48     0.00%     2.08%    60.42%    81.25%
N->D->D->N->C                        5       48     4.17%     4.17%    81.25%    89.58%
C->C->C->C->N                        5       47     0.00%     2.13%   100.00%   100.00%
N->B->N->C->N                        5       46     2.17%     2.17%   100.00%   100.00%
N->C->B->N->D                        5       46     4.35%     4.35%    86.96%    93.48%
N->N->C->N->B                        5       46     0.00%     4.35%    56.52%    82.61%
C->N->C->C->N                        5       45     8.89%     8.89%   100.00%   100.00%
D->N->D->B->N                        5       45     0.00%     2.22%   100.00%   100.00%
N->C->N->C->B                        5       45     2.22%     4.44%    73.33%    88.89%
N->C->N->D->C                        5       44     0.00%     0.00%    84.09%    95.45%
N->D->C->N->C                        5       44     0.00%     4.55%    90.91%    97.73%
C->N->C->N->C                        5       43     6.98%     6.98%    88.37%   100.00%
N->N->D->D->C                        5       43     0.00%     2.33%    67.44%    86.05%
B->C->C->N->N                        5       42     0.00%     0.00%   100.00%   100.00%
B->D->N->D->N                        5       42     2.38%     2.38%   100.00%   100.00%
B->N->D->N->D                        5       42     0.00%     0.00%    85.71%    97.62%
D->N->C->B->N                        5       42     0.00%     2.38%   100.00%   100.00%
N->N->N->B->D                        5       42     4.76%     4.76%    90.48%   100.00%
C->C->C->B->N                        5       41     2.44%     2.44%   100.00%   100.00%
C->N->C->N->D                        5       41     2.44%     2.44%    80.49%    97.56%
C->N->N->N->B                        5       41     0.00%     0.00%    65.85%    82.93%
N->C->N->C->C                        5       41     0.00%     0.00%    92.68%    97.56%
C->N->N->C->B                        5       40     2.50%     2.50%    65.00%    80.00%
C->N->N->D->D                        5       40     2.50%     5.00%    87.50%   100.00%
D->N->N->D->B                        5       40     2.50%     5.00%    65.00%    75.00%
C->B->N->N->C                        5       39     0.00%     0.00%    82.05%    89.74%
C->N->D->C->N                        5       39     0.00%     5.13%   100.00%   100.00%
D->D->N->C->N                        5       39     0.00%     0.00%   100.00%   100.00%
N->B->N->N->C                        5       39     0.00%     2.56%    71.79%    87.18%
B->D->N->N->D                        5       38     0.00%     2.63%    81.58%    97.37%
C->B->C->C->N                        5       38     0.00%     0.00%   100.00%   100.00%
C->B->D->N->N                        5       38     0.00%     0.00%   100.00%   100.00%
N->D->D->C->N                        5       38     0.00%     0.00%   100.00%   100.00%
N->D->D->D->N                        5       38     0.00%     0.00%   100.00%   100.00%
B->N->N->D->C                        5       37     0.00%     0.00%    86.49%    94.59%
C->B->N->C->N                        5       37     0.00%     0.00%   100.00%   100.00%
D->B->N->N->D                        5       37     0.00%     0.00%    86.49%   100.00%
N->C->C->B->C                        5       37     0.00%     0.00%    78.38%    86.49%
N->D->C->B->N                        5       37     0.00%     0.00%   100.00%   100.00%
N->N->D->D->D                        5       37     0.00%     0.00%    83.78%    91.89%
N->N->N->B->B                        5       37     0.00%     0.00%    62.16%    81.08%
B->C->N->N->D                        5       36     0.00%     0.00%    83.33%   100.00%
N->B->B->N->N                        5       36     0.00%     0.00%   100.00%   100.00%
N->N->B->N->C                        5       36     2.78%     2.78%    75.00%    91.67%
B->C->N->C->N                        5       35     0.00%     0.00%   100.00%   100.00%
C->N->C->B->N                        5       35     0.00%     0.00%   100.00%   100.00%
N->C->B->N->C                        5       35     2.86%     2.86%    82.86%    97.14%
B->C->N->D->N                        5       34     0.00%     0.00%   100.00%   100.00%
C->N->D->D->N                        5       34     0.00%     5.88%   100.00%   100.00%
C->B->B->N->N                        5       33     3.03%     6.06%   100.00%   100.00%
D->D->N->N->C                        5       33     0.00%     0.00%    84.85%    90.91%
D->N->B->N->D                        5       33     0.00%     3.03%    81.82%    93.94%
B->C->B->N->N                        5       32     0.00%     0.00%   100.00%   100.00%
B->C->N->N->C                        5       32     3.12%     3.12%    84.38%   100.00%
B->N->N->C->C                        5       32     0.00%     3.12%    90.62%    96.88%
C->C->N->C->C                        5       32     6.25%     9.38%    87.50%    93.75%
C->D->N->D->N                        5       32     3.12%     3.12%   100.00%   100.00%
C->D->N->N->D                        5       32     0.00%     0.00%    96.88%   100.00%
D->N->D->N->B                        5       32     0.00%     0.00%    65.62%    87.50%
N->N->B->C->C                        5       32     0.00%     0.00%    84.38%    90.62%
C->C->B->C->N                        5       31     0.00%     0.00%   100.00%   100.00%
C->C->C->C->C                        5       31    29.03%    29.03%    80.65%    93.55%
C->C->N->B->N                        5       31     0.00%     3.23%   100.00%   100.00%
C->N->C->N->B                        5       31     3.23%     3.23%    54.84%    74.19%
D->C->B->N->N                        5       31     0.00%     0.00%   100.00%   100.00%
N->C->B->B->N                        5       31     3.23%     6.45%   100.00%   100.00%
N->D->C->N->B                        5       31     3.23%     3.23%    54.84%    77.42%
N->N->B->B->N                        5       31     0.00%     0.00%   100.00%   100.00%
N->N->B->C->B                        5       31     0.00%     0.00%    74.19%    80.65%
N->N->C->B->B                        5       31     0.00%     0.00%    70.97%    83.87%
N->N->D->B->C                        5       31     0.00%     6.45%    77.42%    93.55%
B->B->N->D->N                        5       30     0.00%     0.00%   100.00%   100.00%
C->C->B->C->C                        5       30     6.67%     6.67%    83.33%    86.67%
C->N->C->C->C                        5       30     3.33%     3.33%    90.00%    96.67%
D->N->C->C->B                        5       30     0.00%     0.00%    60.00%    80.00%
N->C->C->C->B                        5       30     0.00%     0.00%    70.00%    83.33%
N->D->B->D->N                        5       30     0.00%     0.00%   100.00%   100.00%
N->D->B->N->D                        5       30     0.00%     0.00%    73.33%    86.67%
B->N->N->B->N                        5       29     0.00%     0.00%   100.00%   100.00%
C->C->C->N->C                        5       29     0.00%     0.00%    89.66%    96.55%
D->C->N->C->N                        5       29     0.00%     0.00%   100.00%   100.00%
D->C->N->N->C                        5       29     0.00%     6.90%    89.66%   100.00%
N->B->C->C->N                        5       29     0.00%     0.00%   100.00%   100.00%
N->C->B->D->N                        5       29     0.00%     6.90%   100.00%   100.00%
N->D->B->N->C                        5       29     0.00%     0.00%    93.10%    96.55%
B->B->C->N->N                        5       28     0.00%     0.00%    96.43%   100.00%
C->N->B->C->N                        5       28     3.57%     3.57%   100.00%   100.00%
D->N->C->C->C                        5       28     0.00%     0.00%    82.14%    96.43%
D->N->D->C->C                        5       28     0.00%     0.00%    75.00%    85.71%
N->C->B->C->C                        5       28     0.00%     0.00%    89.29%    92.86%
C->N->B->N->C                        5       27     0.00%     0.00%    81.48%    96.30%
C->N->C->D->N                        5       27     3.70%     3.70%   100.00%   100.00%
D->N->N->B->C                        5       27     0.00%     0.00%    70.37%    96.30%
N->D->B->C->N                        5       27     3.70%     3.70%   100.00%   100.00%
N->N->D->D->B                        5       27     0.00%     0.00%    51.85%    92.59%
A->N->N->N->N                        5       26     0.00%     0.00%   100.00%   100.00%
B->N->C->C->N                        5       26     0.00%     0.00%   100.00%   100.00%
B->N->C->N->D                        5       26     0.00%     0.00%    84.62%    96.15%
B->N->D->N->C                        5       26     0.00%     0.00%    76.92%    96.15%
B->N->N->D->D                        5       26     0.00%     0.00%    84.62%   100.00%
C->C->D->N->N                        5       26     0.00%     0.00%   100.00%   100.00%
D->D->C->N->N                        5       26     0.00%     0.00%   100.00%   100.00%
D->D->D->N->N                        5       26     0.00%     0.00%   100.00%   100.00%
N->B->C->B->N                        5       26     0.00%     0.00%   100.00%   100.00%
N->B->D->N->D                        5       26     0.00%     0.00%    92.31%   100.00%
N->C->N->D->D                        5       26     0.00%     0.00%    96.15%    96.15%
N->D->D->B->N                        5       26     0.00%     0.00%   100.00%   100.00%
N->N->D->C->D                        5       26     0.00%     0.00%    76.92%   100.00%
B->N->N->N->B                        5       25     0.00%     0.00%    56.00%    68.00%
C->B->N->C->C                        5       25     4.00%     8.00%    92.00%   100.00%
C->B->N->N->B                        5       25     4.00%     8.00%    60.00%    72.00%
C->C->B->N->C                        5       25     0.00%     4.00%    76.00%    96.00%
D->B->D->N->N                        5       25     0.00%     0.00%   100.00%   100.00%
N->D->N->B->C                        5       25     0.00%     0.00%    76.00%    92.00%
B->B->N->N->D                        5       24     4.17%     4.17%    87.50%    91.67%
C->B->C->B->N                        5       24     0.00%     0.00%   100.00%   100.00%
C->B->C->N->C                        5       24     0.00%     0.00%    83.33%   100.00%
C->C->C->C->B                        5       24     0.00%     0.00%    75.00%    83.33%
C->N->C->C->B                        5       24     0.00%     4.17%    54.17%    87.50%
D->B->N->D->N                        5       24     0.00%     0.00%   100.00%   100.00%
D->B->N->N->C                        5       24     0.00%     4.17%    87.50%   100.00%
N->B->N->C->C                        5       24     0.00%     0.00%    79.17%    83.33%
N->C->B->C->B                        5       24     0.00%     0.00%    58.33%    75.00%
N->C->C->D->N                        5       24     0.00%     0.00%   100.00%   100.00%
N->C->N->B->C                        5       24     4.17%     4.17%    83.33%    87.50%
N->C->N->D->B                        5       24     0.00%     0.00%    70.83%    87.50%
N->D->C->C->B                        5       24     0.00%     0.00%    50.00%    75.00%
N->N->C->B->D                        5       24     0.00%     0.00%    75.00%   100.00%
C->B->B->C->N                        5       23     0.00%     0.00%   100.00%   100.00%
C->B->C->C->C                        5       23     0.00%     0.00%    95.65%   100.00%
C->C->B->N->D                        5       23     0.00%     0.00%    78.26%   100.00%
C->N->B->N->D                        5       23     0.00%     0.00%    91.30%   100.00%
C->N->D->B->N                        5       23     0.00%     0.00%   100.00%   100.00%
C->N->D->N->B                        5       23     0.00%     4.35%    60.87%    91.30%
C->N->N->D->B                        5       23     0.00%     0.00%    52.17%    69.57%
D->N->N->B->D                        5       23     0.00%     0.00%    91.30%   100.00%
N->B->N->B->N                        5       23     0.00%     0.00%   100.00%   100.00%
N->C->D->N->C                        5       23     0.00%     0.00%    86.96%    95.65%
N->D->B->B->N                        5       23     4.35%     4.35%   100.00%   100.00%
N->D->C->C->C                        5       23     0.00%     0.00%    52.17%    78.26%
N->D->C->D->N                        5       23     0.00%     0.00%   100.00%   100.00%
N->N->D->B->D                        5       23     0.00%     4.35%    82.61%    91.30%
B->C->C->C->N                        5       22     4.55%     4.55%   100.00%   100.00%
B->C->C->N->C                        5       22     0.00%     0.00%    77.27%    90.91%
C->C->C->B->C                        5       22     4.55%     4.55%    90.91%   100.00%
C->N->C->B->C                        5       22     0.00%     4.55%    95.45%    95.45%
N->C->C->B->B                        5       22     0.00%     0.00%    86.36%    90.91%
N->C->D->N->D                        5       22     0.00%     0.00%    81.82%   100.00%
B->D->C->N->N                        5       21     0.00%     0.00%   100.00%   100.00%
C->C->C->N->D                        5       21     0.00%     0.00%    90.48%   100.00%
C->C->N->N->B                        5       21     0.00%     0.00%    57.14%    76.19%
D->B->C->N->N                        5       21     0.00%     0.00%   100.00%   100.00%
D->B->N->C->N                        5       21     0.00%     0.00%   100.00%   100.00%
D->C->C->N->C                        5       21     0.00%     4.76%    80.95%    90.48%
D->C->D->N->N                        5       21     0.00%     0.00%   100.00%   100.00%
D->C->N->B->N                        5       21     4.76%     4.76%   100.00%   100.00%
D->D->N->N->B                        5       21     0.00%     0.00%    47.62%    80.95%
D->N->N->C->D                        5       21     0.00%     0.00%    85.71%   100.00%
N->D->N->B->D                        5       21     0.00%     0.00%   100.00%   100.00%
N->D->N->C->D                        5       21     0.00%     0.00%    85.71%   100.00%
N->N->B->B->C                        5       21     0.00%     0.00%    76.19%    95.24%
B->C->C->B->N                        5       20     0.00%     0.00%   100.00%   100.00%
B->N->B->N->N                        5       20     0.00%     0.00%   100.00%   100.00%
B->N->C->C->B                        5       20     0.00%     0.00%    65.00%    85.00%
B->N->C->N->C                        5       20     0.00%     0.00%    75.00%    90.00%
B->N->D->C->N                        5       20     5.00%     5.00%   100.00%   100.00%
C->B->C->N->D                        5       20     0.00%     0.00%   100.00%   100.00%
C->N->B->C->C                        5       20     0.00%     0.00%    80.00%    95.00%
C->N->D->C->C                        5       20     0.00%     0.00%    65.00%    85.00%
C->N->N->B->C                        5       20     0.00%     0.00%    80.00%    90.00%
D->D->B->N->N                        5       20     0.00%     0.00%   100.00%   100.00%
N->B->C->N->C                        5       20     0.00%     0.00%    85.00%    95.00%
N->C->C->N->B                        5       20     0.00%     0.00%    50.00%    70.00%
N->D->C->B->C                        5       20     0.00%     0.00%    75.00%    90.00%
N->D->N->B->B                        5       20     0.00%     0.00%    65.00%    80.00%
N->N->B->D->C                        5       20     0.00%     0.00%    85.00%    85.00%

Section 10 - Constructive / Destructive Path Classes
====================================================
ClassPath                                                  Len    Count       OER      Cont      Fail
Neutral->Neutral->Neutral                                    3     6376    0.9825   47.20%   47.26%
Neutral->Destructive->Neutral                                3     4765    1.2321   46.61%   47.98%
Neutral->Neutral->Destructive                                3     4321    1.1173   46.49%   47.97%
Destructive->Neutral->Neutral                                3     4059    1.0495   46.25%   48.84%
Destructive->Neutral->Destructive                            3     2593    1.1251   45.12%   49.94%
Neutral->Destructive->Destructive                            3     1957    0.8491   46.97%   48.16%
Destructive->Destructive->Neutral                            3     1776    0.7706   46.63%   48.61%
Destructive->Destructive->Destructive                        3      940    0.6844   45.77%   49.52%
Constructive->Neutral->Neutral                               3      881    0.8378   47.02%   47.44%
Neutral->Destructive->Constructive                           3      792    1.2638   45.97%   50.08%
Destructive->Constructive->Neutral                           3      765    1.2207   48.12%   46.88%
Neutral->Constructive->Neutral                               3      625    0.5944   41.25%   53.11%
Neutral->Neutral->Constructive                               3      620    0.5896   48.11%   47.32%
Constructive->Neutral->Destructive                           3      601    0.9590   46.71%   49.92%
Constructive->Destructive->Neutral                           3      599    0.9559   45.53%   49.11%
Destructive->Destructive->Constructive                       3      553    1.4807   45.23%   51.45%
Destructive->Constructive->Destructive                       3      536    1.4352   42.08%   53.77%
Destructive->Neutral->Constructive                           3      488    0.7787   49.51%   46.32%
Neutral->Constructive->Destructive                           3      449    0.7165   46.15%   48.42%
Constructive->Destructive->Destructive                       3      372    0.9961   46.36%   50.13%
Destructive->Constructive->Constructive                      3      242    2.3832   44.50%   49.00%
Constructive->Constructive->Neutral                          3      209    1.2266   39.66%   55.17%
Constructive->Destructive->Constructive                      3      198    1.9499   48.81%   47.62%
Constructive->Constructive->Destructive                      3      184    1.8120   42.93%   54.35%
Neutral->Constructive->Constructive                          3      151    0.8862   42.64%   51.16%
Constructive->Neutral->Constructive                          3      117    0.6867   43.30%   51.55%
Constructive->Constructive->Constructive                     3       89    3.2235   37.66%   58.44%
Neutral->Neutral->Neutral->Neutral                           4     3628    0.9829   45.30%   48.58%
Neutral->Neutral->Destructive->Neutral                       4     2784    1.2655   46.09%   48.53%
Neutral->Destructive->Neutral->Neutral                       4     2756    1.2528   46.25%   49.38%
Neutral->Neutral->Neutral->Destructive                       4     2440    1.1092   45.62%   48.15%
Destructive->Neutral->Neutral->Neutral                       4     2257    1.0260   50.16%   44.92%
Neutral->Destructive->Neutral->Destructive                   4     1722    1.3135   44.67%   50.50%
Destructive->Neutral->Destructive->Neutral                   4     1624    1.2388   47.79%   46.48%
Destructive->Neutral->Neutral->Destructive                   4     1558    1.1884   47.52%   47.85%
Neutral->Destructive->Destructive->Neutral                   4     1129    0.8612   45.22%   49.68%
Neutral->Neutral->Destructive->Destructive                   4     1116    0.8513   47.14%   47.32%
Destructive->Destructive->Neutral->Neutral                   4      982    0.7490   46.05%   48.09%
Destructive->Neutral->Destructive->Destructive               4      666    0.8524   47.57%   48.33%
Destructive->Destructive->Neutral->Destructive               4      654    0.8371   46.24%   48.28%
Neutral->Destructive->Destructive->Destructive               4      523    0.6694   47.97%   47.78%
Constructive->Neutral->Neutral->Neutral                      4      490    0.8192   47.04%   48.52%
Destructive->Destructive->Destructive->Neutral               4      472    0.6041   45.41%   49.52%
Destructive->Constructive->Neutral->Neutral                  4      443    1.2428   47.46%   49.44%
Neutral->Neutral->Destructive->Constructive                  4      421    1.1811   42.35%   52.35%
Neutral->Destructive->Constructive->Neutral                  4      416    1.1670   46.53%   49.42%
Constructive->Neutral->Destructive->Neutral                  4      357    1.0015   45.28%   50.49%
Neutral->Constructive->Neutral->Neutral                      4      330    0.5517   45.45%   46.25%
Constructive->Neutral->Neutral->Destructive                  4      323    0.9061   48.10%   47.15%
Constructive->Destructive->Neutral->Neutral                  4      321    0.9005   46.88%   46.48%
Neutral->Neutral->Neutral->Constructive                      4      308    0.5149   49.03%   45.56%
Neutral->Destructive->Destructive->Constructive              4      305    1.4358   47.91%   48.29%
Destructive->Neutral->Destructive->Constructive              4      302    1.4216   48.09%   50.00%
Neutral->Neutral->Constructive->Neutral                      4      298    0.4982   40.66%   53.94%
Destructive->Destructive->Destructive->Destructive           4      293    0.6293   41.64%   53.24%
Neutral->Destructive->Neutral->Constructive                  4      287    0.8051   50.42%   45.76%
Destructive->Neutral->Constructive->Neutral                  4      273    0.7659   40.71%   53.10%
Destructive->Constructive->Neutral->Destructive              4      270    1.2710   48.31%   47.19%
Destructive->Constructive->Destructive->Neutral              4      267    1.2569   49.34%   44.98%
Neutral->Destructive->Constructive->Destructive              4      262    1.2333   46.90%   47.67%
Destructive->Destructive->Constructive->Neutral              4      261    1.2286   50.91%   43.18%
Neutral->Constructive->Neutral->Destructive                  4      246    0.6901   47.95%   49.18%
Destructive->Neutral->Neutral->Constructive                  4      244    0.6845   48.94%   48.40%
Neutral->Constructive->Destructive->Neutral                  4      242    0.6789   41.62%   52.79%
Neutral->Neutral->Constructive->Destructive                  4      241    0.6761   47.92%   45.83%
Constructive->Destructive->Neutral->Destructive              4      217    1.0215   45.33%   50.47%
Destructive->Destructive->Constructive->Destructive          4      196    1.5482   31.44%   65.98%
Constructive->Destructive->Destructive->Neutral              4      175    0.8238   58.23%   39.87%
Constructive->Neutral->Destructive->Destructive              4      175    0.8238   43.68%   52.87%
Destructive->Constructive->Destructive->Destructive          4      175    1.3823   50.00%   46.55%
Destructive->Destructive->Destructive->Constructive          4      175    1.3823   40.91%   55.84%
Destructive->Neutral->Constructive->Destructive              4      162    0.7626   43.95%   52.23%
Destructive->Destructive->Neutral->Constructive              4      140    0.6590   46.67%   49.17%
Neutral->Constructive->Destructive->Destructive              4      132    0.6214   41.67%   56.06%
Constructive->Destructive->Destructive->Destructive          4      124    0.9795   46.34%   47.97%
Neutral->Destructive->Constructive->Constructive             4      114    1.9737   41.94%   48.39%
Destructive->Constructive->Constructive->Neutral             4      109    1.8871   40.22%   56.52%
Constructive->Constructive->Neutral->Neutral                 4      108    1.1143   49.48%   43.30%
Destructive->Destructive->Constructive->Constructive         4       96    2.7889   49.38%   46.91%
Destructive->Constructive->Destructive->Constructive         4       94    2.7308   51.81%   46.99%
Destructive->Constructive->Constructive->Destructive         4       93    2.7018   44.09%   55.91%
Constructive->Constructive->Destructive->Neutral             4       90    1.5582   44.16%   51.95%
Constructive->Destructive->Constructive->Neutral             4       88    1.5236   47.30%   45.95%
Constructive->Constructive->Neutral->Destructive             4       85    1.4716   37.80%   60.98%
Neutral->Neutral->Constructive->Constructive                 4       81    0.8357   37.68%   55.07%
Constructive->Destructive->Constructive->Destructive         4       78    2.2660   52.56%   43.59%
Neutral->Constructive->Destructive->Constructive             4       75    1.2985   49.18%   42.62%
Constructive->Destructive->Destructive->Constructive         4       73    2.1207   44.62%   53.85%
Constructive->Neutral->Destructive->Constructive             4       69    1.1946   58.18%   36.36%
Constructive->Neutral->Neutral->Constructive                 4       68    0.7016   41.07%   51.79%
Constructive->Constructive->Destructive->Destructive         4       65    1.8883   46.15%   47.69%
Neutral->Constructive->Constructive->Neutral                 4       62    0.6397   38.78%   55.10%
Constructive->Destructive->Neutral->Constructive             4       61    1.0561   51.92%   42.31%
Neutral->Constructive->Constructive->Destructive             4       60    1.0388   41.67%   53.33%
Constructive->Neutral->Constructive->Neutral                 4       54    0.5572   46.81%   48.94%
Destructive->Neutral->Constructive->Constructive             4       53    0.9176   47.83%   45.65%
Destructive->Constructive->Neutral->Constructive             4       52    0.9003   47.73%   47.73%
Neutral->Constructive->Neutral->Constructive                 4       49    0.5056   45.00%   47.50%
Constructive->Neutral->Constructive->Destructive             4       46    0.7964   44.44%   48.89%
Destructive->Constructive->Constructive->Constructive        4       40    4.2738   41.18%   52.94%
Constructive->Constructive->Constructive->Neutral            4       38    2.4196   39.39%   51.52%
Constructive->Destructive->Constructive->Constructive        4       32    3.4191   38.46%   57.69%
Constructive->Constructive->Constructive->Destructive        4       31    3.3122   41.94%   51.61%
Constructive->Constructive->Destructive->Constructive        4       29    3.0985   37.50%   62.50%
Neutral->Constructive->Constructive->Constructive            4       29    1.8466   24.00%   72.00%
Constructive->Constructive->Constructive->Constructive       4       20    7.8592   50.00%   50.00%
Neutral->Neutral->Neutral->Neutral->Neutral                  5     2102    1.0011   45.85%   47.84%
Neutral->Neutral->Neutral->Destructive->Neutral              5     1644    1.3138   46.46%   47.78%
Neutral->Neutral->Destructive->Neutral->Neutral              5     1640    1.3106   45.55%   50.34%
Neutral->Destructive->Neutral->Neutral->Neutral              5     1563    1.2491   50.16%   45.05%
Neutral->Neutral->Neutral->Neutral->Destructive              5     1357    1.0845   45.62%   48.17%
Destructive->Neutral->Neutral->Neutral->Neutral              5     1261    1.0077   45.00%   48.92%
Neutral->Destructive->Neutral->Destructive->Neutral          5     1077    1.4443   48.89%   45.90%
Neutral->Destructive->Neutral->Neutral->Destructive          5     1041    1.3960   49.02%   45.51%
Neutral->Neutral->Destructive->Neutral->Destructive          5      990    1.3276   44.19%   50.46%
Destructive->Neutral->Neutral->Destructive->Neutral          5      962    1.2900   44.74%   50.37%
Destructive->Neutral->Destructive->Neutral->Neutral          5      897    1.2029   46.08%   48.74%
Destructive->Neutral->Neutral->Neutral->Destructive          5      886    1.1881   44.86%   48.52%
Neutral->Neutral->Destructive->Destructive->Neutral          5      666    0.8931   43.60%   50.63%
Neutral->Destructive->Destructive->Neutral->Neutral          5      623    0.8354   44.61%   50.19%
Destructive->Neutral->Destructive->Neutral->Destructive      5      614    1.3816   45.23%   50.49%
Neutral->Neutral->Neutral->Destructive->Destructive          5      579    0.7764   46.06%   47.11%
Destructive->Destructive->Neutral->Neutral->Neutral          5      524    0.7027   48.85%   46.79%
Destructive->Neutral->Neutral->Destructive->Destructive      5      432    0.9721   48.71%   47.06%
Neutral->Destructive->Destructive->Neutral->Destructive      5      429    0.9653   45.67%   47.36%
Neutral->Destructive->Neutral->Destructive->Destructive      5      429    0.9653   47.06%   49.18%
Destructive->Destructive->Neutral->Destructive->Neutral      5      411    0.9248   44.26%   49.58%
Destructive->Destructive->Neutral->Neutral->Destructive      5      389    0.8753   44.47%   53.16%
Destructive->Neutral->Destructive->Destructive->Neutral      5      375    0.8438   46.13%   49.03%
Neutral->Neutral->Destructive->Destructive->Destructive      5      288    0.6480   48.60%   47.20%
Neutral->Destructive->Destructive->Destructive->Neutral      5      283    0.6368   46.99%   47.39%
Destructive->Destructive->Destructive->Neutral->Neutral      5      268    0.6030   49.33%   43.50%
Constructive->Neutral->Neutral->Neutral->Neutral             5      265    0.7789   42.45%   52.83%
Neutral->Destructive->Constructive->Neutral->Neutral         5      240    1.1837   44.74%   52.11%
Destructive->Constructive->Neutral->Neutral->Neutral         5      234    1.1541   48.47%   47.45%
Neutral->Neutral->Destructive->Constructive->Neutral         5      232    1.1442   47.37%   48.42%
Constructive->Neutral->Destructive->Neutral->Neutral         5      219    1.0801   52.27%   44.89%
Neutral->Neutral->Neutral->Destructive->Constructive         5      217    1.0702   40.59%   56.47%
Neutral->Destructive->Neutral->Destructive->Constructive     5      215    1.7793   47.83%   49.46%
Neutral->Constructive->Neutral->Neutral->Neutral             5      198    0.5820   45.78%   49.40%
Constructive->Neutral->Neutral->Neutral->Destructive         5      196    0.9667   48.72%   46.67%
Destructive->Neutral->Destructive->Destructive->Destructive   5      183    0.6910   47.49%   49.16%
Constructive->Neutral->Neutral->Destructive->Neutral         5      178    0.8779   50.00%   45.33%
Destructive->Destructive->Neutral->Destructive->Destructive   5      177    0.6683   51.45%   42.20%
Destructive->Constructive->Neutral->Neutral->Destructive     5      171    1.4152   52.69%   42.51%
Constructive->Destructive->Neutral->Neutral->Neutral         5      170    0.8384   54.17%   38.19%
Neutral->Neutral->Constructive->Neutral->Neutral             5      169    0.4967   40.94%   48.82%
Neutral->Neutral->Neutral->Neutral->Constructive             5      169    0.4967   45.32%   51.08%
Neutral->Destructive->Neutral->Constructive->Neutral         5      166    0.8187   44.53%   49.64%
Destructive->Destructive->Destructive->Neutral->Destructive   5      165    0.6230   43.21%   53.70%
Destructive->Neutral->Neutral->Destructive->Constructive     5      164    1.3572   44.20%   50.00%
Neutral->Neutral->Destructive->Destructive->Constructive     5      162    1.3407   47.14%   47.86%
Destructive->Destructive->Constructive->Neutral->Neutral     5      159    1.3159   52.38%   44.44%
Neutral->Constructive->Neutral->Destructive->Neutral         5      157    0.7743   48.15%   47.41%
Neutral->Destructive->Destructive->Destructive->Destructive   5      157    0.5928   38.22%   57.32%
Destructive->Neutral->Destructive->Constructive->Neutral     5      154    1.2745   44.19%   51.16%
Neutral->Neutral->Destructive->Neutral->Constructive         5      154    0.7595   50.00%   46.83%
Neutral->Destructive->Neutral->Neutral->Constructive         5      152    0.7497   53.39%   46.61%
Neutral->Destructive->Constructive->Neutral->Destructive     5      150    1.2414   45.95%   50.00%
Destructive->Constructive->Neutral->Destructive->Neutral     5      149    1.2331   42.06%   53.97%
Neutral->Destructive->Destructive->Constructive->Neutral     5      149    1.2331   51.56%   40.62%
Neutral->Neutral->Neutral->Constructive->Neutral             5      145    0.4262   40.00%   55.83%
Neutral->Destructive->Constructive->Destructive->Neutral     5      141    1.1669   41.80%   52.46%
Destructive->Constructive->Destructive->Neutral->Neutral     5      140    1.1586   48.25%   42.98%
