APVA Interpretation Arbitration Study v0.1
Research only. No optimization, fitting, machine learning, trading rules, or future leakage.

Diagnostics
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
State counts: RecoveryResolution=1696, ExhaustionPersistence=1884, CompressionProcessing=6489, NeutralProcessing=16992, ReassertionProcessing=2011, DecayToNeutral=1486, DestructiveRotation=948, ConstructiveEmergence=83, MixedStructure=3671
Age counts: 1=18224, 2=6199, 3=3147, 4=2008, 5=1539, 6-10=3165, 11-20=896, 21+=82
Validated context counts: B=310, C=255, D=233
Candidate interpretation counts: ValidatedContext=798, PreviousDistinctContext=35256, CurrentStateAge=35260

1. Reliability tables
InterpretationType | InterpretationKey | Count | PersistenceRate_t1 | ExitRate_t1 | Entropy_t1 | NormalizedEntropy_t1 | DominantDestination | DominantProbability_t1 | ReliabilityScore
PreviousDistinctContext | DecayToNeutral->DestructiveRotation+Age2 | 17 | 17.65% | 82.35% | 1.7275 | 0.9641 | DecayToNeutral | 29.41% | -0.4935
PreviousDistinctContext | DecayToNeutral->DestructiveRotation+Age3 | 3 | 0.00% | 100.00% | -0.0000 | 0.0000 | DecayToNeutral | 100.00% | 0.0000
PreviousDistinctContext | DecayToNeutral->MixedStructure+Age1 | 422 | 24.88% | 75.12% | 1.5157 | 0.7289 | DecayToNeutral | 46.21% | -0.0180
PreviousDistinctContext | DecayToNeutral->MixedStructure+Age2 | 105 | 12.38% | 87.62% | 1.7689 | 0.9091 | DecayToNeutral | 27.62% | -0.5091
PreviousDistinctContext | DecayToNeutral->MixedStructure+Age3 | 13 | 7.69% | 92.31% | 1.1570 | 0.8346 | DecayToNeutral | 53.85% | -0.2192
PreviousDistinctContext | DecayToNeutral->MixedStructure+Age4 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | DecayToNeutral | 100.00% | 0.0000
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age1 | 811 | 53.14% | 46.86% | 1.2651 | 0.7060 | NeutralProcessing | 53.14% | 0.3568
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age11-20 | 94 | 72.34% | 27.66% | 0.9546 | 0.5328 | NeutralProcessing | 72.34% | 0.9140
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age2 | 431 | 54.06% | 45.94% | 1.0959 | 0.6809 | NeutralProcessing | 54.06% | 0.4003
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age21+ | 14 | 85.71% | 14.29% | 0.4101 | 0.5917 | NeutralProcessing | 85.71% | 1.1226
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age3 | 233 | 100.00% | 0.00% | -0.0000 | 0.0000 | NeutralProcessing | 100.00% | 2.0000
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age4 | 233 | 86.27% | 13.73% | 0.6153 | 0.3434 | NeutralProcessing | 86.27% | 1.3819
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age5 | 201 | 76.62% | 23.38% | 0.8717 | 0.4865 | NeutralProcessing | 76.62% | 1.0459
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age6-10 | 429 | 70.63% | 29.37% | 1.0044 | 0.5606 | NeutralProcessing | 70.63% | 0.8520
PreviousDistinctContext | DecayToNeutral->ReassertionProcessing+Age1 | 19 | 10.53% | 89.47% | 0.9551 | 0.8694 | MixedStructure | 47.37% | -0.2905
PreviousDistinctContext | DecayToNeutral->ReassertionProcessing+Age2 | 2 | 0.00% | 100.00% | -0.0000 | 0.0000 | DestructiveRotation | 100.00% | 0.0000
PreviousDistinctContext | DestructiveRotation->CompressionProcessing+Age1 | 28 | 92.86% | 7.14% | 0.2573 | 0.3712 | CompressionProcessing | 92.86% | 1.4859
PreviousDistinctContext | DestructiveRotation->CompressionProcessing+Age2 | 26 | 50.00% | 50.00% | 0.9078 | 0.8263 | CompressionProcessing | 50.00% | 0.1737
PreviousDistinctContext | DestructiveRotation->CompressionProcessing+Age3 | 13 | 84.62% | 15.38% | 0.5360 | 0.4879 | CompressionProcessing | 84.62% | 1.2045
PreviousDistinctContext | DestructiveRotation->CompressionProcessing+Age4 | 11 | 63.64% | 36.36% | 0.8600 | 0.7828 | CompressionProcessing | 63.64% | 0.4900
PreviousDistinctContext | DestructiveRotation->CompressionProcessing+Age5 | 7 | 14.29% | 85.71% | 0.7963 | 0.7248 | NeutralProcessing | 71.43% | 0.0000
