BarIndex,Time,Open,High,Low,Close,Volume,Geometry,VolumePolarity,VolumeDelta,VolumeRank20,VolumeRank50,Range,RangeDelta,RangeRank20,Body,BodyDelta,BodyRank20,CloseLocation,OverlapRatio,CloseInsidePriorRange,CloseInsidePriorBody,BreaksPriorHigh,BreaksPriorLow,ParticipationState,ExpansionState,CompressionState,DissipationState,AcceptanceState,SignificanceState,EvidenceFlags
537,"2026-05-07 13:50:00",28672.75,28688.5,28649,28659.5,990,"HHHL","Red","Down",0.2,0.08,39.5,"Down",0.65,13.25,"Down",0.5,0.265823,0.797468,True,True,True,False,"Falling","Absent","Local","Local","Contained","Moderate","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
538,"2026-05-07 13:55:00",28661,28667.25,28644.25,28649.5,767,"LLLH","Red","Down",0.15,0.06,23,"Down",0.3,11.5,"Down",0.4,0.228261,0.793478,True,False,False,True,"Falling","Absent","Local","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionLocal"
539,"2026-05-07 14:00:00",28649.5,28656.5,28633,28644,1228,"LLLH","Red","Up",0.3,0.12,23.5,"Up",0.35,5.5,"Down",0.4,0.468085,0.521277,False,False,False,True,"Rising","Local","Absent","Absent","Accepted","Minor","BreaksPriorLow;AcceptanceAccepted"
540,"2026-05-08 06:35:00",28878.5,28970,28859.5,28963,15159,"HHHL","Black","Up",1,0.98,110.5,"Up",0.95,84.5,"Up",1,0.936652,0,False,False,True,False,"Climactic","Climactic","Absent","Absent","Accepted","SessionDefining","VolumePeak20;VolumeClimactic50;RangePeak20;RangeClimactic20;BreaksPriorHigh;AcceptanceAccepted"
541,"2026-05-08 06:40:00",28963.5,28983,28949,28965.25,9655,"HHHL","Black","Down",0.8,0.9,34,"Down",0.5,1.75,"Down",0.05,0.477941,0.617647,True,False,True,False,"Peak","Absent","Local","Local","Contained","Structural","VolumePeak20;BreaksPriorHigh;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionLocal"
542,"2026-05-08 06:45:00",28966,28997,28941.5,28996.75,9066,"OutsideBar","Black","Down",0.75,0.88,55.5,"Up",0.8,30.75,"Up",0.8,0.995495,0.612613,False,False,True,True,"Falling","Strong","Absent","Local","Accepted","Major","RangePeak20;BreaksPriorHigh;BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
543,"2026-05-08 06:50:00",28997,29075,28996.75,29066.25,13043,"HHHL","Black","Up",0.9,0.94,78.25,"Up",0.9,69.25,"Up",0.95,0.888179,0.003195,False,False,True,False,"Peak","Strong","Absent","Absent","Accepted","Structural","VolumePeak20;RangePeak20;BreaksPriorHigh;AcceptanceAccepted"
544,"2026-05-08 06:55:00",29066.5,29085.25,29041.75,29060.5,8434,"HHHL","Red","Down",0.65,0.84,43.5,"Down",0.65,6,"Down",0.45,0.431034,0.764368,True,True,True,False,"Falling","Absent","Local","Local","Contained","Moderate","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
545,"2026-05-08 07:00:00",29059.75,29111.25,29045.5,29107.25,7555,"HHHL","Black","Down",0.6,0.76,65.75,"Up",0.8,47.5,"Up",0.8,0.939163,0.604563,False,False,True,False,"Falling","Strong","Absent","Local","Accepted","Major","RangePeak20;BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
546,"2026-05-08 07:05:00",29106.5,29129,29081.25,29116,11174,"HHHL","Black","Up",0.85,0.92,47.75,"Down",0.7,9.5,"Down",0.45,0.727749,0.628272,False,False,True,False,"Peak","Absent","Absent","Local","Accepted","Structural","VolumePeak20;BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
547,"2026-05-08 07:10:00",29115.75,29123,29090,29109.5,6714,"InsideBar","Red","Down",0.6,0.72,33,"Down",0.4,6.25,"Down",0.45,0.590909,1,True,True,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Moderate","CloseInsidePriorRange;CloseInsidePriorBody;CompressionClustered"
548,"2026-05-08 07:15:00",29108.75,29113,29075.5,29100.75,8049,"LLLH","Red","Up",0.7,0.82,37.5,"Up",0.5,8,"Up",0.5,0.673333,0.613333,True,False,False,True,"Rising","Local","Local","Absent","Contained","Moderate","BreaksPriorLow;CloseInsidePriorRange;AcceptanceContained;CompressionLocal"
549,"2026-05-08 07:20:00",29099.75,29118.5,29087.5,29114.25,5948,"HHHL","Black","Down",0.55,0.62,31,"Down",0.4,14.5,"Up",0.7,0.862903,0.822581,False,False,True,False,"Falling","Absent","Clustered","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted;CompressionClustered"
550,"2026-05-08 07:25:00",29114.25,29150,29109,29149.75,7060,"HHHL","Black","Up",0.6,0.76,41,"Up",0.6,35.5,"Up",0.8,0.993902,0.231707,False,False,True,False,"Rising","Local","Absent","Absent","Accepted","Moderate","BreaksPriorHigh;AcceptanceAccepted"
