BarIndex,Time,Open,High,Low,Close,Volume,Geometry,VolumePolarity,VolumeDelta,VolumeRank20,VolumeRank50,Range,RangeDelta,RangeRank20,Body,BodyDelta,BodyRank20,CloseLocation,OverlapRatio,CloseInsidePriorRange,CloseInsidePriorBody,BreaksPriorHigh,BreaksPriorLow,ParticipationState,ExpansionState,CompressionState,DissipationState,AcceptanceState,SignificanceState,EvidenceFlags
9857,"2026-01-21 11:55:00",1.17775,1.1779,1.1777,1.1778,253,"HHHL","Black","Up",0.15,0.06,0.0002,"Down",0.15,0.00005,"Down",0.45,0.5,0.75,True,True,True,False,"Rising","Absent","Local","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
9858,"2026-01-21 12:00:00",1.17775,1.1778,1.1775,1.1776,518,"LLLH","Red","Up",0.75,0.3,0.0003,"Up",0.6,0.00015,"Up",0.6,0.333333,0.333333,False,False,False,True,"Rising","Local","Absent","Absent","Accepted","Moderate","BreaksPriorLow;AcceptanceAccepted"
9859,"2026-01-21 12:05:00",1.1776,1.17765,1.1774,1.17765,593,"LLLH","Black","Up",0.85,0.36,0.00025,"Down",0.3,0.00005,"Down",0.5,1,0.6,True,True,False,True,"Peak","Absent","Local","Local","Contained","Major","VolumePeak20;HighVolumeLowRange;BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
9860,"2026-01-21 12:10:00",1.17765,1.1777,1.1774,1.17745,378,"OutsideBar","Red","Down",0.4,0.18,0.0003,"Up",0.6,0.0002,"Up",0.7,0.166667,0.833333,True,False,True,False,"Falling","Local","Local","Local","Contained","Moderate","BreaksPriorHigh;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionLocal"
9861,"2026-01-21 12:15:00",1.17745,1.17765,1.17745,1.17765,197,"InsideBar","Black","Down",0.1,0.04,0.0002,"Down",0.2,0.0002,"Flat",0.75,1,1,True,True,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CloseInsidePriorBody;CompressionClustered"
9862,"2026-01-21 12:20:00",1.17765,1.1778,1.17755,1.17775,341,"HHHL","Black","Up",0.4,0.16,0.00025,"Up",0.25,0.0001,"Down",0.5,0.8,0.4,False,False,True,False,"Rising","Local","Absent","Absent","Accepted","Minor","BreaksPriorHigh;AcceptanceAccepted"
9863,"2026-01-21 12:25:00",1.1778,1.17835,1.1778,1.1783,554,"HHHL","Black","Up",0.85,0.42,0.00055,"Up",1,0.0005,"Up",1,0.909091,0,False,False,True,False,"Peak","Climactic","Absent","Absent","Accepted","Structural","VolumePeak20;RangePeak20;RangeClimactic20;BreaksPriorHigh;AcceptanceAccepted"
9864,"2026-01-21 12:30:00",1.1783,1.17845,1.1759,1.1765,10168,"OutsideBar","Red","Up",1,1,0.00255,"Up",1,0.0018,"Up",1,0.235294,0.215686,False,False,True,True,"Climactic","Climactic","Absent","Absent","Accepted","SessionDefining","VolumePeak20;VolumeClimactic50;RangePeak20;RangeClimactic20;BreaksPriorHigh;BreaksPriorLow;AcceptanceAccepted"
9865,"2026-01-21 12:35:00",1.1765,1.17665,1.1758,1.1764,3605,"LLLH","Red","Down",0.95,0.94,0.00085,"Down",0.95,0.0001,"Down",0.5,0.705882,0.882353,True,False,False,True,"Peak","Climactic","Clustered","Local","Contained","Structural","VolumePeak20;RangePeak20;RangeClimactic20;BreaksPriorLow;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionClustered"
9866,"2026-01-21 12:40:00",1.1764,1.1765,1.17595,1.17615,1914,"InsideBar","Red","Down",0.9,0.86,0.00055,"Down",0.9,0.00025,"Up",0.8,0.363636,1,True,False,False,False,"Peak","Strong","Clustered","Absent","Unresolved","Structural","VolumePeak20;RangePeak20;CloseInsidePriorRange;CompressionClustered"
9867,"2026-01-21 12:45:00",1.17615,1.1764,1.1756,1.1759,1775,"LLLH","Red","Down",0.85,0.84,0.0008,"Up",0.9,0.00025,"Up",0.85,0.375,0.5625,False,False,False,True,"Peak","Strong","Absent","Local","Accepted","Structural","VolumePeak20;RangePeak20;BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
9868,"2026-01-21 12:50:00",1.17595,1.1761,1.1757,1.1761,1519,"InsideBar","Black","Down",0.8,0.8,0.0004,"Down",0.7,0.00015,"Down",0.45,1,1,True,True,False,False,"Peak","Absent","Clustered","Absent","Unresolved","Major","VolumePeak20;CloseInsidePriorRange;CloseInsidePriorBody;CompressionClustered"
9869,"2026-01-21 12:55:00",1.1761,1.17645,1.17605,1.1764,1088,"HHHL","Black","Down",0.75,0.7,0.0004,"Flat",0.7,0.0003,"Up",0.85,0.875,0.125,False,False,True,False,"Falling","Absent","Absent","Local","Accepted","Moderate","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
9870,"2026-01-21 13:00:00",1.17635,1.17715,1.17635,1.17705,2341,"HHHL","Black","Up",0.9,0.9,0.0008,"Up",0.9,0.0007,"Up",0.95,0.875,0.125,False,False,True,False,"Peak","Strong","Absent","Absent","Accepted","Structural","VolumePeak20;RangePeak20;BreaksPriorHigh;AcceptanceAccepted"
9871,"2026-01-21 13:05:00",1.17705,1.1771,1.1764,1.1765,1278,"InsideBar","Red","Down",0.7,0.76,0.0007,"Down",0.8,0.00055,"Down",0.9,0.142857,1,True,True,False,False,"Falling","Strong","Clustered","Absent","Unresolved","Major","RangePeak20;CloseInsidePriorRange;CloseInsidePriorBody;CompressionClustered"
9872,"2026-01-21 13:10:00",1.1765,1.17675,1.17635,1.1764,591,"LLLH","Red","Down",0.5,0.44,0.0004,"Down",0.6,0.0001,"Down",0.35,0.125,0.875,True,False,False,True,"Falling","Absent","Clustered","Local","Contained","Moderate","BreaksPriorLow;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionClustered"
9873,"2026-01-21 13:15:00",1.17645,1.1767,1.1763,1.1764,540,"LLLH","Red","Down",0.45,0.42,0.0004,"Up",0.65,0.00005,"Down",0.15,0.25,0.875,True,True,False,True,"Falling","Local","Local","Local","Contained","Moderate","BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
9874,"2026-01-21 13:20:00",1.1764,1.17645,1.1762,1.1763,1054,"LLLH","Red","Up",0.6,0.7,0.00025,"Down",0.3,0.0001,"Up",0.3,0.4,0.6,True,False,False,True,"Rising","Absent","Local","Local","Contained","Moderate","BreaksPriorLow;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionLocal"
9875,"2026-01-21 13:25:00",1.17635,1.17665,1.17555,1.1757,1969,"OutsideBar","Red","Up",0.85,0.9,0.0011,"Up",0.95,0.00065,"Up",0.9,0.136364,0.227273,False,False,True,True,"Peak","Climactic","Absent","Absent","Accepted","Structural","VolumePeak20;RangePeak20;RangeClimactic20;BreaksPriorHigh;BreaksPriorLow;AcceptanceAccepted"
9876,"2026-01-21 13:30:00",1.1757,1.17595,1.1757,1.1759,650,"InsideBar","Black","Down",0.5,0.58,0.00025,"Down",0.3,0.0002,"Down",0.6,0.8,1,True,True,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CloseInsidePriorBody;CompressionClustered"
9877,"2026-01-21 13:35:00",1.1759,1.17625,1.1759,1.1762,516,"HHHL","Black","Down",0.2,0.36,0.00035,"Up",0.4,0.0003,"Up",0.75,0.857143,0.142857,False,False,True,False,"Falling","Local","Absent","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
9878,"2026-01-21 13:40:00",1.17625,1.1765,1.17615,1.17615,434,"HHHL","Red","Down",0.2,0.24,0.00035,"Flat",0.4,0.0001,"Down",0.25,0,0.285714,True,True,True,False,"Falling","Absent","Local","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
9879,"2026-01-21 13:45:00",1.17615,1.1764,1.17615,1.1764,452,"InsideBar","Black","Up",0.25,0.28,0.00025,"Down",0.15,0.00025,"Up",0.6,1,1,True,False,False,False,"Rising","Absent","Clustered","Local","Unresolved","Minor","CloseInsidePriorRange;DissipationLocal;CompressionClustered"
9880,"2026-01-21 13:50:00",1.17635,1.17655,1.1763,1.17635,396,"HHHL","Neutral","Down",0.15,0.24,0.00025,"Up",0.3,0,"Down",0.05,0.2,0.4,True,True,True,False,"Falling","Local","Local","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
9881,"2026-01-21 13:55:00",1.1764,1.17685,1.1764,1.1768,296,"HHHL","Black","Down",0.05,0.14,0.00045,"Up",0.6,0.0004,"Up",0.75,0.888889,0.333333,False,False,True,False,"Falling","Local","Absent","Local","Accepted","Moderate","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
9882,"2026-01-21 14:00:00",1.1768,1.17685,1.17655,1.1766,741,"InsideBar","Red","Up",0.5,0.72,0.0003,"Down",0.25,0.0002,"Down",0.45,0.166667,1,True,True,False,False,"Rising","Absent","Clustered","Local","Unresolved","Minor","CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;CompressionClustered"
9883,"2026-01-21 14:05:00",1.17665,1.17665,1.17645,1.17645,291,"LLLH","Red","Down",0.05,0.14,0.0002,"Down",0.05,0.0002,"Flat",0.5,0,0.5,False,False,False,True,"Falling","Absent","Absent","Local","Accepted","Minor","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
9884,"2026-01-21 14:10:00",1.17645,1.1765,1.17635,1.1765,102,"LLLH","Black","Down",0.05,0.02,0.00015,"Down",0.05,0.00005,"Down",0.15,1,0.333333,True,True,False,True,"Falling","Absent","Local","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
9885,"2026-01-21 14:15:00",1.17655,1.17665,1.1765,1.1765,128,"HHHL","Red","Up",0.1,0.04,0.00015,"Down",0.05,0.00005,"Down",0.1,0,0,True,True,True,False,"Rising","Absent","Local","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
9886,"2026-01-21 14:20:00",1.1765,1.1766,1.1765,1.1766,131,"InsideBar","Black","Up",0.15,0.06,0.0001,"Down",0.05,0.0001,"Up",0.35,1,1,True,False,False,False,"Rising","Absent","Clustered","Local","Unresolved","Minor","CloseInsidePriorRange;DissipationLocal;CompressionClustered"
9887,"2026-01-21 14:25:00",1.1766,1.1766,1.1764,1.1765,489,"OutsideBar","Red","Up",0.45,0.5,0.0002,"Up",0.25,0.0001,"Flat",0.4,0.5,0.5,True,True,False,True,"Rising","Local","Local","Absent","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;AcceptanceContained;CompressionLocal"
9888,"2026-01-21 14:30:00",1.17645,1.17655,1.1763,1.17635,200,"LLLH","Red","Down",0.2,0.12,0.00025,"Up",0.5,0.0001,"Flat",0.45,0.2,0.6,False,False,False,True,"Falling","Local","Absent","Local","Accepted","Minor","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
9889,"2026-01-21 14:35:00",1.17635,1.17685,1.17635,1.17675,214,"HHHL","Black","Up",0.25,0.14,0.0005,"Up",0.85,0.0004,"Up",0.8,0.8,0.4,False,False,True,False,"Rising","Strong","Absent","Absent","Accepted","Major","RangePeak20;LowVolumeHighRange;BreaksPriorHigh;AcceptanceAccepted"
9890,"2026-01-21 14:40:00",1.17685,1.17685,1.17675,1.1768,59,"InsideBar","Red","Down",0.05,0.02,0.0001,"Down",0.1,0.00005,"Down",0.15,0.5,1,True,False,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CompressionClustered"
9891,"2026-01-21 14:45:00",1.1767,1.17675,1.17665,1.17675,87,"LLLH","Black","Up",0.1,0.04,0.0001,"Flat",0.15,0.00005,"Flat",0.2,1,0,True,False,False,True,"Rising","Absent","Local","Absent","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;AcceptanceContained;CompressionLocal"
9892,"2026-01-21 14:50:00",1.17675,1.17685,1.17675,1.17675,51,"HHHL","Neutral","Down",0.05,0.02,0.0001,"Flat",0.2,0,"Down",0.1,0,0,True,True,True,False,"Falling","Absent","Local","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
9893,"2026-01-21 14:55:00",1.17675,1.17675,1.1766,1.17665,250,"LLLH","Red","Up",0.45,0.24,0.00015,"Up",0.3,0.0001,"Up",0.6,0.333333,0,False,False,False,True,"Rising","Local","Absent","Absent","Accepted","Minor","BreaksPriorLow;AcceptanceAccepted"
9894,"2026-01-21 15:00:00",1.1766,1.1767,1.17645,1.17645,133,"LLLH","Red","Down",0.35,0.14,0.00025,"Up",0.7,0.00015,"Up",0.6,0,0.4,False,False,False,True,"Falling","Local","Absent","Local","Accepted","Moderate","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
9895,"2026-01-21 16:05:00",1.17615,1.1763,1.17615,1.1762,217,"LLLH","Black","Up",0.5,0.24,0.00015,"Down",0.35,0.00005,"Down",0.3,0.333333,0,False,False,False,True,"Rising","Absent","Absent","Local","Accepted","Minor","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
9896,"2026-01-21 16:10:00",1.1762,1.1763,1.1762,1.17625,130,"InsideBar","Black","Down",0.3,0.12,0.0001,"Down",0.25,0.00005,"Up",0.4,0.5,1,True,False,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CompressionClustered"
9897,"2026-01-21 16:15:00",1.1762,1.1762,1.1758,1.1758,281,"LLLH","Red","Up",0.65,0.34,0.0004,"Up",0.9,0.0004,"Up",0.95,0,0,False,False,False,True,"Rising","Strong","Absent","Absent","Accepted","Structural","RangePeak20;BreaksPriorLow;AcceptanceAccepted"
9898,"2026-01-21 16:20:00",1.1758,1.17585,1.17575,1.1758,84,"LLLH","Neutral","Down",0.15,0.06,0.0001,"Down",0.3,0,"Down",0.15,0.5,0.5,True,True,False,True,"Falling","Absent","Local","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
9899,"2026-01-21 16:25:00",1.17585,1.17585,1.1756,1.1756,98,"OutsideBar","Red","Up",0.25,0.1,0.00025,"Up",0.8,0.00025,"Up",0.85,0,0.4,False,False,False,True,"Rising","Strong","Absent","Absent","Accepted","Major","RangePeak20;LowVolumeHighRange;BreaksPriorLow;AcceptanceAccepted"
9900,"2026-01-21 16:30:00",1.17565,1.1757,1.1754,1.17545,230,"LLLH","Red","Up",0.7,0.32,0.0003,"Up",0.85,0.0002,"Down",0.8,0.166667,0.333333,False,False,False,True,"Rising","Strong","Absent","Absent","Accepted","Major","RangePeak20;BreaksPriorLow;AcceptanceAccepted"
9901,"2026-01-21 16:35:00",1.1754,1.17545,1.17465,1.1752,1759,"LLLH","Red","Up",1,0.88,0.0008,"Up",1,0.0002,"Flat",0.85,0.6875,0.0625,False,False,False,True,"Peak","Climactic","Absent","Absent","Accepted","Structural","VolumePeak20;RangePeak20;RangeClimactic20;BreaksPriorLow;AcceptanceAccepted"
9902,"2026-01-21 16:40:00",1.17525,1.17535,1.17495,1.1753,195,"InsideBar","Black","Down",0.55,0.24,0.0004,"Down",0.9,0.00005,"Down",0.45,0.875,1,True,True,False,False,"Falling","Strong","Clustered","Absent","Unresolved","Structural","RangePeak20;CloseInsidePriorRange;CloseInsidePriorBody;CompressionClustered"
9903,"2026-01-21 16:45:00",1.1753,1.1754,1.1752,1.1752,169,"HHHL","Red","Down",0.55,0.22,0.0002,"Down",0.55,0.0001,"Up",0.7,0,0.75,True,False,True,False,"Falling","Absent","Local","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionLocal"
9904,"2026-01-21 16:50:00",1.17525,1.17525,1.175,1.175,111,"LLLH","Red","Down",0.3,0.14,0.00025,"Up",0.6,0.00025,"Up",0.85,0,0.2,False,False,False,True,"Falling","Local","Absent","Local","Accepted","Moderate","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
