APVA Minimal Engine Study v0.1 - Aggregate
====================================================================================================
Instruments: 6E, CL, NQ

Aggregate Transition Hazard Table
State | AgeBucket | Horizon | Count_6E | ExitRate_6E | Entropy_6E | DominantDestination_6E | DominantProbability_6E | Count_CL | ExitRate_CL | Entropy_CL | DominantDestination_CL | DominantProbability_CL | Count_NQ | ExitRate_NQ | Entropy_NQ | DominantDestination_NQ | DominantProbability_NQ | ValidInstrumentCount | MeanExitRate | MeanEntropy | MeanDominantProbability
ExhaustionPersistence | 2 | t+1 | 304 | 23.03% | 0.5803 | ExhaustionPersistence | 76.97% | 31 | 32.26% | 0.7337 | ExhaustionPersistence | 67.74% | 19 | 26.32% | 0.5763 | ExhaustionPersistence | 73.68% | 2 | 27.64% | 0.6570 | 72.36%
ExhaustionPersistence | 2 | t+2 | 304 | 52.96% | 1.1055 | ExhaustionPersistence | 47.04% | 31 | 48.39% | 1.0183 | ExhaustionPersistence | 51.61% | 19 | 42.11% | 0.9592 | ExhaustionPersistence | 57.89% | 2 | 50.67% | 1.0619 | 49.33%
ExhaustionPersistence | 2 | t+3 | 304 | 80.59% | 1.7013 | RecoveryResolution | 26.32% | 31 | 74.19% | 1.5439 | NeutralProcessing | 29.03% | 19 | 68.42% | 1.4586 | ExhaustionPersistence | 31.58% | 2 | 77.39% | 1.6226 | 27.67%
ExhaustionPersistence | 2 | t+5 | 304 | 90.13% | 1.6998 | NeutralProcessing | 39.80% | 31 | 87.10% | 1.4569 | NeutralProcessing | 45.16% | 19 | 89.47% | 1.4071 | CompressionProcessing | 47.37% | 2 | 88.61% | 1.5784 | 42.48%
ExhaustionPersistence | 3 | t+1 | 234 | 38.89% | 0.9008 | ExhaustionPersistence | 61.11% | 21 | 23.81% | 0.5489 | ExhaustionPersistence | 76.19% | 14 | 21.43% | 0.5196 | ExhaustionPersistence | 78.57% | 2 | 31.35% | 0.7249 | 68.65%
ExhaustionPersistence | 3 | t+2 | 234 | 75.21% | 1.7214 | NeutralProcessing | 26.07% | 21 | 61.90% | 1.4764 | ExhaustionPersistence | 38.10% | 14 | 57.14% | 1.2964 | ExhaustionPersistence | 42.86% | 2 | 68.56% | 1.5989 | 32.08%
ExhaustionPersistence | 3 | t+3 | 234 | 87.61% | 1.7563 | NeutralProcessing | 38.46% | 21 | 95.24% | 1.4610 | NeutralProcessing | 47.62% | 14 | 71.43% | 1.7105 | ExhaustionPersistence | 28.57% | 2 | 91.42% | 1.6087 | 43.04%
ExhaustionPersistence | 3 | t+5 | 234 | 93.59% | 1.7048 | NeutralProcessing | 43.16% | 21 | 85.71% | 1.8604 | NeutralProcessing | 23.81% | 14 | 100.00% | 1.5367 | NeutralProcessing | 42.86% | 2 | 89.65% | 1.7826 | 33.49%
ExhaustionPersistence | 4 | t+1 | 143 | 59.44% | 1.5370 | ExhaustionPersistence | 40.56% | 16 | 50.00% | 1.4402 | ExhaustionPersistence | 50.00% | 11 | 45.45% | 1.2945 | ExhaustionPersistence | 54.55% | 1 | 59.44% | 1.5370 | 40.56%
ExhaustionPersistence | 4 | t+2 | 143 | 86.01% | 1.8601 | NeutralProcessing | 31.47% | 16 | 93.75% | 1.5481 | NeutralProcessing | 37.50% | 11 | 63.64% | 1.4681 | ExhaustionPersistence | 36.36% | 1 | 86.01% | 1.8601 | 31.47%
ExhaustionPersistence | 4 | t+3 | 143 | 88.11% | 1.9413 | NeutralProcessing | 29.37% | 16 | 87.50% | 1.1034 | NeutralProcessing | 56.25% | 11 | 81.82% | 1.4681 | CompressionProcessing | 36.36% | 1 | 88.11% | 1.9413 | 29.37%
ExhaustionPersistence | 4 | t+5 | 143 | 96.50% | 1.5491 | NeutralProcessing | 51.05% | 16 | 87.50% | 1.6021 | NeutralProcessing | 37.50% | 11 | 90.91% | 1.4681 | NeutralProcessing | 36.36% | 1 | 96.50% | 1.5491 | 51.05%
ExhaustionPersistence | 5 | t+1 | 58 | 68.97% | 1.6524 | ExhaustionPersistence | 31.03% | 8 | 87.50% | 1.4942 | NeutralProcessing | 37.50% | 6 | 33.33% | 0.8676 | ExhaustionPersistence | 66.67% | 1 | 68.97% | 1.6524 | 31.03%
ExhaustionPersistence | 5 | t+2 | 58 | 79.31% | 1.8323 | NeutralProcessing | 27.59% | 8 | 87.50% | 1.0735 | NeutralProcessing | 62.50% | 6 | 66.67% | 1.3297 | CompressionProcessing | 33.33% | 1 | 79.31% | 1.8323 | 27.59%
ExhaustionPersistence | 5 | t+3 | 58 | 94.83% | 1.7684 | NeutralProcessing | 41.38% | 8 | 75.00% | 1.3209 | NeutralProcessing | 37.50% | 6 | 100.00% | 1.3297 | DecayToNeutral | 33.33% | 1 | 94.83% | 1.7684 | 41.38%
ExhaustionPersistence | 5 | t+5 | 58 | 93.10% | 1.4226 | NeutralProcessing | 55.17% | 8 | 87.50% | 1.2130 | NeutralProcessing | 50.00% | 6 | 100.00% | 0.4506 | NeutralProcessing | 83.33% | 1 | 93.10% | 1.4226 | 55.17%
ExhaustionPersistence | 6-10 | t+1 | 29 | 62.07% | 1.3934 | ExhaustionPersistence | 37.93% | 3 | 33.33% | 0.6365 | ExhaustionPersistence | 66.67% | 6 | 66.67% | 1.3297 | DestructiveRotation | 33.33% | 1 | 62.07% | 1.3934 | 37.93%
ExhaustionPersistence | 6-10 | t+2 | 29 | 93.10% | 1.4941 | NeutralProcessing | 44.83% | 3 | 66.67% | 1.0986 | ExhaustionPersistence | 33.33% | 6 | 100.00% | 1.0114 | DecayToNeutral | 50.00% | 1 | 93.10% | 1.4941 | 44.83%
ExhaustionPersistence | 6-10 | t+3 | 29 | 96.55% | 1.6611 | NeutralProcessing | 41.38% | 3 | 100.00% | 0.6365 | MixedStructure | 66.67% | 6 | 100.00% | 0.8676 | NeutralProcessing | 66.67% | 1 | 96.55% | 1.6611 | 41.38%
ExhaustionPersistence | 6-10 | t+5 | 29 | 89.66% | 1.4621 | NeutralProcessing | 48.28% | 3 | 100.00% | 0.6365 | NeutralProcessing | 66.67% | 6 | 100.00% | 0.6365 | NeutralProcessing | 66.67% | 1 | 89.66% | 1.4621 | 48.28%
MixedStructure | 1 | t+1 | 3264 | 89.12% | 1.7605 | NeutralProcessing | 37.35% | 279 | 89.96% | 1.7186 | NeutralProcessing | 41.22% | 183 | 85.25% | 1.7607 | NeutralProcessing | 35.52% | 3 | 88.11% | 1.7466 | 38.03%
MixedStructure | 1 | t+2 | 3264 | 79.01% | 1.6611 | NeutralProcessing | 42.28% | 279 | 83.15% | 1.6795 | NeutralProcessing | 45.16% | 183 | 79.78% | 1.7302 | NeutralProcessing | 40.98% | 3 | 80.65% | 1.6903 | 42.81%
MixedStructure | 1 | t+3 | 3263 | 83.11% | 1.8570 | NeutralProcessing | 33.77% | 279 | 81.36% | 1.9172 | NeutralProcessing | 32.62% | 183 | 82.51% | 1.8960 | NeutralProcessing | 34.97% | 3 | 82.33% | 1.8901 | 33.79%
MixedStructure | 1 | t+5 | 3263 | 90.13% | 1.5762 | NeutralProcessing | 48.18% | 279 | 90.32% | 1.5297 | NeutralProcessing | 52.69% | 183 | 89.07% | 1.6074 | NeutralProcessing | 48.09% | 3 | 89.84% | 1.5711 | 49.65%
MixedStructure | 2 | t+1 | 355 | 88.17% | 1.6819 | NeutralProcessing | 31.27% | 28 | 82.14% | 1.6485 | DecayToNeutral | 28.57% | 27 | 85.19% | 1.5968 | NeutralProcessing | 33.33% | 3 | 85.17% | 1.6424 | 31.06%
