APVA Loop Closure Study v0.1 - Aggregate
================================================================================================
Instrument: Aggregate
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv, .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv, .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Loop candidates: 2342

1. Loop Inventory
Instrument | CompleteLoopCount | IncompleteNoExcursionCount | IncompleteNoReturnCount | CompletionRate | MeanLoopDuration | MedianLoopDuration | MaxLoopDuration
6E | 2052 | 4 | 5 | 99.56% | 10.8762 | 9.0000 | 50
CL | 166 | 1 | 0 | 99.40% | 9.6747 | 8.0000 | 37
NQ | 113 | 1 | 0 | 99.12% | 11.1504 | 10.0000 | 30
Aggregate | 2331 | 6 | 5 | 99.53% | 10.8039 | 9.0000 | 50

2. Phase Duration Table
LoopPhase | MeanDuration | MedianDuration | MaxDuration | PercentOfLoop
NeutralStart -> Age5 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 5 | 0.21% | 3 | 11.2000
NeutralStart -> Age4 -> RecoveryResolution -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 5 | 0.21% | 1 | 13.4000
NeutralStart -> Age2 -> CompressionProcessing -> CompressionProcessing -> MixedStructure -> MixedStructure -> NeutralStart | 5 | 0.21% | 2 | 9.4000
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 5 | 0.21% | 2 | 11.8000
NeutralStart -> Age3 -> CompressionProcessing -> CompressionProcessing -> MixedStructure -> MixedStructure -> NeutralStart | 4 | 0.17% | 1 | 9.0000
NeutralStart -> Age6-10 -> ConstructiveEmergence -> ConstructiveEmergence -> ConstructiveEmergence -> NeutralStart | 4 | 0.17% | 3 | 10.7500
NeutralStart -> Age5 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 4 | 0.17% | 2 | 9.7500
NeutralStart -> Age3 -> CompressionProcessing -> CompressionProcessing -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 4 | 0.17% | 2 | 5.0000
NeutralStart -> Age11-20 -> CompressionProcessing -> CompressionProcessing -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 4 | 0.17% | 2 | 29.0000
NeutralStart -> Age3 -> MixedStructure -> MixedStructure -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 4 | 0.17% | 2 | 5.5000
NeutralStart -> Age2 -> ConstructiveEmergence -> ConstructiveEmergence -> ConstructiveEmergence -> NeutralStart | 4 | 0.17% | 2 | 6.7500
NeutralStart -> Age21+ -> CompressionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 4 | 0.17% | 1 | 27.7500
NeutralStart -> Age6-10 -> ExhaustionPersistence -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 4 | 0.17% | 2 | 17.0000
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> ReassertionProcessing -> MixedStructure -> MixedStructure -> NeutralStart | 4 | 0.17% | 2 | 16.2500
NeutralStart -> Age2 -> CompressionProcessing -> CompressionProcessing -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 4 | 0.17% | 2 | 10.2500
