APVA Destination Robustness Study v0.1 - Aggregate
================================================================================================
Instrument: Aggregate
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv, .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv, .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Destination event count: 868

1. Baseline Signature Table
DestinationFamily | Signal | Horizon | EffectSize | ReplicationCount | Direction | Rank
ExhaustionPersistence | VolumeRelativeToPrevious | t-1 | 0.8671 | 3 | Positive | 6
ExhaustionPersistence | EfficiencyRatio | t-1 | 0.7579 | 3 | Positive | 7
ExhaustionPersistence | EfficiencyRatio | t-2 | -0.5334 | 3 | Negative | 8
ExhaustionPersistence | MemoryStrength | t-5 | -0.3818 | 2 | Negative | 9
ExhaustionPersistence | VolumeRelativeToPrevious | t-3 | -0.3422 | 2 | Negative | 10
ExhaustionPersistence | BodyRelativeToPrevious | t-2 | -0.3272 | 3 | Negative | 11
ExhaustionPersistence | BranchEntropy | t-5 | 0.3060 | 2 | Positive | 12
ExhaustionPersistence | EfficiencyRatio | t-3 | -0.2757 | 1 | Negative | 13
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-2 | -0.2550 | 2 | Negative | 14
ExhaustionPersistence | RangeRelativeToPrevious | t-3 | -0.2343 | 1 | Negative | 15
ExhaustionPersistence | RangeRelativeToPrevious | t-2 | -0.2164 | 2 | Negative | 16
ExhaustionPersistence | BranchEntropy | t-2 | -0.2161 | 1 | Negative | 17
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-3 | -0.2160 | 1 | Negative | 18
ExhaustionPersistence | MemoryStrength | t-1 | -0.1971 | 0 | Negative | 19
ExhaustionPersistence | VolumeRelativeToSessionMean | t-2 | -0.1970 | 2 | Negative | 20
ExhaustionPersistence | BranchEntropy | t-1 | 0.1965 | 0 | Positive | 21
ExhaustionPersistence | CloseLocation | t-2 | -0.1855 | 1 | Negative | 22
ExhaustionPersistence | PolarityFlipFlag | t-2 | 0.1765 | 2 | Positive | 23
ExhaustionPersistence | VolumeRelativeToPrevious | t-2 | -0.1740 | 1 | Negative | 24
ExhaustionPersistence | MemoryStrength | t-2 | 0.1682 | 1 | Positive | 25
ExhaustionPersistence | CloseLocation | t-5 | -0.1659 | 0 | Negative | 26
ExhaustionPersistence | VolumeRelativeToPrevious | t-5 | -0.1535 | 1 | Negative | 27
ExhaustionPersistence | VolumeRelativeToSessionMean | t-3 | -0.1521 | 2 | Negative | 28
ExhaustionPersistence | BodyRelativeToPrevious | t-3 | -0.1383 | 2 | Negative | 29
ExhaustionPersistence | VolumeRelativeToRollingMean | t-2 | -0.1341 | 2 | Negative | 30
ExhaustionPersistence | CloseLocation | t-1 | 0.1208 | 2 | Positive | 31
ExhaustionPersistence | VolumeRelativeToRollingMean | t-3 | -0.1027 | 1 | Negative | 32
ExhaustionPersistence | PolarityFlipFlag | t-1 | 0.0952 | 2 | Positive | 33
ExhaustionPersistence | VolumeRelativeToRollingMean | t-5 | 0.0817 | 0 | Positive | 34
ExhaustionPersistence | RangeRelativeToPrevious | t-5 | -0.0750 | 1 | Negative | 35
ExhaustionPersistence | BranchEntropy | t-3 | -0.0735 | 0 | Negative | 36
ExhaustionPersistence | PolarityFlipFlag | t-5 | 0.0694 | 1 | Positive | 37
ExhaustionPersistence | EfficiencyRatio | t-5 | 0.0690 | 1 | Positive | 38
ExhaustionPersistence | PolarityFlipFlag | t-3 | 0.0506 | 0 | Positive | 39
ExhaustionPersistence | BodyRelativeToPrevious | t-5 | 0.0414 | 0 | Positive | 40
ExhaustionPersistence | VolumeRelativeToSessionMean | t-5 | -0.0285 | 0 | Negative | 41
ExhaustionPersistence | MemoryStrength | t-3 | 0.0284 | 0 | Positive | 42
ExhaustionPersistence | CloseLocation | t-3 | 0.0261 | 1 | Positive | 43
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-5 | -0.0176 | 1 | Negative | 44
MixedStructure | VolumeRelativeToRollingMean | t-3 | 0.4263 | 3 | Positive | 1
MixedStructure | VolumeRelativeToRollingMean | t-2 | 0.3618 | 3 | Positive | 2
MixedStructure | RangeRelativeToPrevious | t-3 | 0.2993 | 2 | Positive | 3
MixedStructure | TrueRangeRelativeToPrevious | t-3 | 0.2763 | 2 | Positive | 4
MixedStructure | BodyRelativeToPrevious | t-1 | -0.2591 | 3 | Negative | 5
MixedStructure | VolumeRelativeToSessionMean | t-3 | 0.2550 | 2 | Positive | 6
MixedStructure | VolumeRelativeToPrevious | t-1 | -0.2532 | 2 | Negative | 7
