ValidationMode,Cohort,Proxy,Count,AvailableCount,Mean,Median,Std,Q25,Q75,PositiveFraction
Spacing_20,Base_NotPriorSlope_Q3,VolumeZScore,1625,638,-0.12757854387805642,-0.3736287302,1.0197854431204072,-0.8288836347749999,0.35259811795,0.3605015673981191
Spacing_20,Base_NotPriorSlope_Q3,SignedVolume,1625,638,-198.4153605015674,0.0,13370.430777844542,-2942.75,3822.5,0.49843260188087773
Spacing_20,Base_NotPriorSlope_Q3,UpVolume,1625,638,3382.094043887147,0.0,7605.05905632353,0.0,3822.5,0.49843260188087773
Spacing_20,Base_NotPriorSlope_Q3,DownVolume,1625,638,3580.5094043887148,0.0,9832.305736203401,0.0,2942.75,0.42946708463949845
Spacing_20,Base_NotPriorSlope_Q3,FlatVolume,1625,638,310.98275862068965,0.0,1943.906907253142,0.0,0.0,0.07210031347962383
Spacing_20,Base_NotPriorSlope_Q3,UpDownVolumeDelta,1625,638,-198.4153605015674,0.0,13370.430777844542,-2942.75,3822.5,0.49843260188087773
Spacing_20,Base_NotPriorSlope_Q3,SpyderDominantVolume,1625,638,4800.900331372194,2202.0576923077,8785.81913026042,290.941176470575,5695.232142857175,1.0
Spacing_20,Base_NotPriorSlope_Q3,SpyderNonDominantVolume,1625,638,2472.68587552436,1343.3541666666501,3659.2714389771213,100.974285714275,3212.9294871795,0.9561128526645768
Spacing_20,Base_NotPriorSlope_Q3,SpyderDominantVolumeShare,1625,638,0.6252857411844828,0.6,0.1457714633470165,0.529871323525,0.70890151515,1.0
Spacing_20,Base_NotPriorSlope_Q3,SpyderNonDominantVolumeShare,1625,638,0.37471425881551723,0.4,0.1457714633470165,0.29109848485,0.470128676475,0.9561128526645768
