DataScope,Analysis,ValidationMode,Regime,Instrument,Field,Count,PearsonCorrelation,SpearmanCorrelation
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,NQ,VolumeZScore,137,-0.08385210702069873,-0.019108047033742255
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,NQ,SignedVolume,137,-0.10148904426089989,0.0004357251466440078
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,NQ,UpVolume,137,-0.11812186801145666,-0.01248963420936471
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,NQ,DownVolume,137,0.03615772933534024,-0.07657139809797715
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,NQ,FlatVolume,137,0.05214405090185054,0.062282216147642684
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,NQ,UpDownVolumeDelta,137,-0.10148904426089989,0.0004357251466440078
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,NQ,SpyderDominantVolume,137,-0.007984797349541231,-0.11446562717931501
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,NQ,SpyderNonDominantVolume,137,-0.10056152343813231,-0.11108948137451301
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,NQ,SpyderDominantVolumeShare,137,-0.003191343758971079,0.017542386468378444
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,NQ,SpyderNonDominantVolumeShare,137,0.00319134375897106,-0.017542386468378444
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,ES,Volume,45,0.11151940916115197,0.15324703526643357
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,ES,VolumeSMA,45,-0.07307504507945803,-0.03035838980893095
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,ES,RelativeVolume,45,0.18690720360425633,0.11111567511765576
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,ES,VolumeZScore,45,0.24716842326494814,0.06051835876943752
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,ES,SignedVolume,45,0.007791924834286629,-0.03320351564762829
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,ES,UpVolume,45,0.0656046218199713,-0.022668156734203016
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,ES,DownVolume,45,0.06712550665479014,0.1097812916703783
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,ES,FlatVolume,45,-0.0913248793115045,-0.036299891607642305
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,ES,UpDownVolumeDelta,45,0.007791924834286629,-0.03320351564762829
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,ES,SpyderDominantVolume,45,0.12796717631334578,0.2330122163330365
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,ES,SpyderNonDominantVolume,45,0.029967246989182,0.09286095706261233
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,ES,SpyderDominantVolumeShare,45,0.2553545414215952,0.2554445672034546
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,ES,SpyderNonDominantVolumeShare,45,-0.2553545414215953,-0.2554445672034546
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,NQ,Volume,36,0.1360825924470408,-0.009932305215103944
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,NQ,VolumeSMA,36,-0.22914583939278063,-0.26262562880456664
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,NQ,RelativeVolume,36,0.28368884700014646,0.2636575566191229
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,NQ,VolumeZScore,36,0.16628660635763845,0.20032298700073276
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,NQ,SignedVolume,36,0.0027128884625037893,0.08049036953538781
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,NQ,UpVolume,36,0.08480893524991327,0.07875754694897723
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,NQ,DownVolume,36,0.05844730712650946,-0.09162664207315811
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,NQ,FlatVolume,36,,
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2019 | 2019 observed regime,NQ,UpDownVolumeDelta,36,0.0027128884625037893,0.08049036953538781
