Analysis,ValidationMode,Instrument,Proxy,Count,PearsonCorrelation,SpearmanCorrelation
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,VolumeSMA,15,-0.038091287182539936,-0.04110814867583197
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,RelativeVolume,15,-0.08171899020295495,-0.0017873108119926943
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,VolumeZScore,15,0.04170119554933565,0.1858803244472402
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,SignedVolume,15,0.19190552932615237,0.18945494607122562
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,UpVolume,15,0.15493412794562267,0.15874969354762608
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,DownVolume,15,-0.16511794453019657,0.11279021326966071
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,FlatVolume,15,-0.26656212164013054,-0.3095713135288532
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,UpDownVolumeDelta,15,0.19190552932615237,0.18945494607122562
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,SpyderDominantVolume,15,-0.14570452764260172,-0.06970512166771509
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,SpyderNonDominantVolume,15,0.06791868655711474,0.064343189231737
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,SpyderDominantVolumeShare,15,-0.06732722480615405,-0.022361359570661894
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,SpyderNonDominantVolumeShare,15,0.06732722480615398,0.022361359570661894
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,DominantPressureValue,364,0.056695917190153315,0.09770853930303354
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,PriorSlope_DominantPressureValue,364,0.01939190149801,0.011254598240687221
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,RollingEntropy,364,0.018158551588556386,0.010622613510776464
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,RollingDirectionalPresence,364,,
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,SponsorConfidence,364,-0.054284882297433605,-0.03279186375389172
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,DominanceScore,364,0.001366455990216974,0.030585294017302155
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,DegradationScore,364,-0.05931827310577759,-0.08063118195412314
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,BalanceScore,364,-0.049978628758536835,-0.07423116305893837
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,TransitionScore,364,-0.01560153004369653,-0.027765809352208962
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,AmbiguityScore,364,-0.05690278505727558,-0.06521518829999212
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,Volume,17,-0.10411369378749519,-0.059187314755747386
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,VolumeSMA,17,-0.12731175687170868,0.0912471102484439
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,RelativeVolume,17,-0.07347982850961593,-0.13440452725784302
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,VolumeZScore,17,-0.0996715440585101,-0.1898926348413562
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,SignedVolume,17,-0.03556771446463443,-0.06288652192798161
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,UpVolume,17,-0.06923111966220097,-0.038702376998204786
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,DownVolume,17,-0.08131270975233125,-0.008415060327783734
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,FlatVolume,17,,
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,UpDownVolumeDelta,17,-0.03556771446463443,-0.06288652192798161
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,SpyderDominantVolume,17,-0.017812461752819978,0.029593657377873693
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,SpyderNonDominantVolume,17,-0.436177102250484,-0.35019161230483875
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,SpyderDominantVolumeShare,17,0.028842117052011448,0.06909421733690706
OutcomeWithinPriorSlope_Q3,Spacing_20,NQ,SpyderNonDominantVolumeShare,17,-0.028842117052011465,-0.06909421733690706
