APVA Family B Resolution Study v0.1B - Aggregate
================================================
Instruments: 6E, NQ, CL
Family B resolution uses the existing Study 30 family projection.

Aggregate Resolution Counts
===========================
Resolution           6E_Count     6E_Pct    6E_Med     NQ_Count     NQ_Pct    NQ_Med     CL_Count     CL_Pct    CL_Med ValidN    MeanPct  MeanMedian
B->A                       25     0.81%    1.0000            0     0.00%    0.0000            4     2.07%    1.0000      1     0.81%      1.0000
B->C                      853    27.79%    1.0000           18    20.45%    1.0000           53    27.46%    1.0000      2    27.63%      1.0000
B->D                      468    15.25%    1.0000           16    18.18%    1.0000           28    14.51%    1.0000      2    14.88%      1.0000
B->N                     1722    56.11%    1.0000           54    61.36%    1.0000          108    55.96%    1.0000      3    57.81%      1.0000
B->B_Persist                1     0.03%    5.0000            0     0.00%    0.0000            0     0.00%    0.0000      0     0.00%      0.0000

Aggregate Branch Predictors
===========================
Category                 Feature                                     6E_Effect    NQ_Effect    CL_Effect ValidN  PosN  NegN  MeanEffect
B->D                     DissipationState_Unknown                     0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     ExpansionOn                                 -0.300655    -0.279137     0.014511      2     1     1   -0.143072
B->D                     ExpansionState_Absent                        0.300655     0.279137    -0.014511      2     1     1    0.143072
B->D                     ExpansionState_Climactic                    -0.217279    -0.350097     0.127362      2     1     1   -0.044959
B->D                     ExpansionState_Failed                        0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     ExpansionState_Local                         0.003705    -0.438922     0.237299      2     2     0    0.120502
B->D                     ExpansionState_Strong                       -0.170646     0.283704    -0.222698      2     0     2   -0.196672
B->D                     ExpansionState_Unknown                       0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     FamilyBRunLengthSoFar                        0.018226    -0.027238    -0.052422      2     1     1   -0.017098
B->D                     FamilyBTotalRunLength                        0.025355    -0.040014    -0.078129      2     1     1   -0.026387
B->D                     ParticipationState_Climactic                 0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     ParticipationState_Falling                   0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     ParticipationState_Normal                    0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     ParticipationState_Peak                      0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     ParticipationState_Rising                    0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     ParticipationState_Silent                    0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     PositionInRun_First                          0.054933    -0.027238     0.009932      2     2     0    0.032432
B->D                     PositionInRun_Last                           0.054933    -0.027238     0.009932      2     2     0    0.032432
B->D                     PositionInRun_Middle                        -0.014324     0.000000    -0.119178      2     0     2   -0.066751
B->D                     PositionInRun_Only                          -0.075929     0.040014     0.011387      2     1     1   -0.032271
B->D                     Prev10AcceptedCount                         -0.073614    -0.157200    -0.118573      2     0     2   -0.096094
B->D                     Prev10ClimacticCount                         0.098411     0.281144    -0.179314      2     1     1   -0.040451
B->D                     Prev10CompressedCount                        0.067027     0.181021     0.106569      2     2     0    0.086798
B->D                     Prev10DissipatingCount                       0.035125     0.210969    -0.313228      2     1     1   -0.139051
B->D                     Prev10Dominance                             -0.041739    -0.061576    -0.221856      2     0     2   -0.131797
B->D                     Prev10ExpandingCount                        -0.005558     0.071883    -0.023844      2     0     2   -0.014701
B->D                     Prev10NetAcceptance                         -0.023640     0.359856    -0.234881      2     0     2   -0.129261
B->D                     Prev10PeakCount                             -0.033010    -0.603348     0.203086      2     1     1    0.085038
B->D                     Prev20AcceptedCount                         -0.085497    -0.105655    -0.151240      2     0     2   -0.118368
B->D                     Prev20ClimacticCount                         0.121459     0.440129    -0.401057      2     1     1   -0.139799
B->D                     Prev20CompressedCount                        0.068416     0.062756     0.103757      2     2     0    0.086086
B->D                     Prev20DissipatingCount                      -0.025410     0.095116    -0.001253      2     0     2   -0.013332
B->D                     Prev20Dominance                             -0.073968    -0.036525    -0.101901      2     0     2   -0.087934
B->D                     Prev20ExpandingCount                         0.012375    -0.333830    -0.254962      2     1     1   -0.121294
B->D                     Prev20NetAcceptance                         -0.056795     0.424032    -0.092660      2     0     2   -0.074727
B->D                     Prev20PeakCount                             -0.003433    -0.729574    -0.024296      2     0     2   -0.013864
B->D                     Prev5AcceptedCount                          -0.086634    -0.056049    -0.466379      2     0     2   -0.276507
B->D                     Prev5ClimacticCount                          0.053184     0.299780    -0.284740      2     1     1   -0.115778
B->D                     Prev5CompressedCount                         0.083198     0.063447     0.476958      2     2     0    0.280078
B->D                     Prev5DissipatingCount                        0.058354    -0.076080    -0.170993      2     1     1   -0.056319
B->D                     Prev5Dominance                              -0.045656    -0.082584    -0.498066      2     0     2   -0.271861
B->D                     Prev5ExpandingCount                         -0.018897     0.362013    -0.087687      2     0     2   -0.053292
B->D                     Prev5NetAcceptance                          -0.069444     0.287052    -0.302554      2     0     2   -0.185999
B->D                     Prev5PeakCount                               0.012127    -0.430928    -0.029266      2     1     1   -0.008570
B->D                     VolumePolarity_Black                         0.001973    -0.224260     0.224079      2     2     0    0.113026
B->D                     VolumePolarity_Neutral                       0.097876     0.325032     0.031019      2     2     0    0.064447
B->D                     VolumePolarity_Red                          -0.077266     0.127048    -0.233727      2     0     2   -0.155496
B->N                     AcceptanceState_Accepted                     0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     AcceptanceState_Contained                    0.130676     0.320057    -0.229450      3     2     1    0.073761
B->N                     AcceptanceState_Rejected                     0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     AcceptanceState_Unknown                      0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     AcceptanceState_Unresolved                  -0.130676    -0.320057     0.229450      3     1     2   -0.073761
B->N                     CompressionOn                                0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     CompressionState_Absent                      0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     CompressionState_Clustered                  -0.126428    -0.184524    -0.108394      3     0     3   -0.139782
B->N                     CompressionState_FailedResolution            0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     CompressionState_Lateral                     0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     CompressionState_Local                       0.126428     0.184524     0.108394      3     3     0    0.139782
B->N                     CompressionState_Resolving                   0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     CompressionState_Unknown                     0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     CurrentFlag_Accepted                         0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     CurrentFlag_Climactic                        0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     CurrentFlag_Compressed                       0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     CurrentFlag_Dissipating                     -0.124294    -0.097050    -0.198412      3     0     3   -0.139918
B->N                     CurrentFlag_Expanding                        0.205454     0.389575     0.306251      3     3     0    0.300427
B->N                     CurrentFlag_Peak                             0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     DissipationOn                               -0.124294    -0.097050    -0.198412      3     0     3   -0.139918
B->N                     DissipationState_Absent                      0.124294     0.097050     0.198412      3     3     0    0.139918
B->N                     DissipationState_Climactic                   0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     DissipationState_Local                      -0.124294    -0.097050    -0.198412      3     0     3   -0.139918
B->N                     DissipationState_Repeated                    0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     DissipationState_Strong                      0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     DissipationState_Unknown                     0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     ExpansionOn                                  0.205454     0.389575     0.306251      3     3     0    0.300427
B->N                     ExpansionState_Absent                       -0.205454    -0.389575    -0.306251      3     0     3   -0.300427
B->N                     ExpansionState_Climactic                     0.119404     0.100355     0.219501      3     3     0    0.146420
B->N                     ExpansionState_Failed                        0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     ExpansionState_Local                        -0.009992     0.437341    -0.152522      3     1     2    0.091609
B->N                     ExpansionState_Strong                        0.145298     0.013270     0.267602      3     3     0    0.142057
B->N                     ExpansionState_Unknown                       0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     FamilyBRunLengthSoFar                       -0.059852    -0.320057    -0.071485      3     0     3   -0.150465
B->N                     FamilyBTotalRunLength                       -0.093011    -0.477071    -0.106601      3     0     3   -0.225561
B->N                     ParticipationState_Climactic                 0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     ParticipationState_Falling                   0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     ParticipationState_Normal                    0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     ParticipationState_Peak                      0.000000     0.000000     0.000000      3     0     0    0.000000
B->N                     ParticipationState_Rising                    0.000000     0.000000     0.000000      3     0     0    0.000000
