BarIndex,Time,ResolvedArchetype,Quadruplet,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,RollingMeanFailure,RollingMeanContinuation,RollingMeanMigrationProbability,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue
1243,2026-04-23 12:40:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,1.2954618442339936,0.2222222222222222,0.6,0.0,0.0,8.421,0.0,0.7551389286808258,0.10984398032861264,0.057852777777777774,0.6968114125131533,0.3787456117595194,CompressionPressure,0.6968114125131533
1244,2026-04-23 12:45:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,0.8812908992278072,0.1111111111111111,0.7,0.0,0.0,2.105,0.0,0.7935787641355866,0.1653733877500932,0.02140674603174603,0.7921415410204843,0.2374561937298923,CompressionPressure,0.7921415410204843
1245,2026-04-23 12:50:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,0.7219280948844771,0.1111111111111111,0.8,0.0,0.0,0.0,0.0,0.829142966230599,0.18924126912429612,0.013888888888888888,0.8437683829586091,0.199588437422646,CompressionPressure,0.8437683829586091
1246,2026-04-23 12:55:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,0.4689955935863958,0.1111111111111111,0.9,0.0,0.0,0.0,0.0,0.8647071683256116,0.2202730804215971,0.013888888888888888,0.9012433309564057,0.14425945276369073,CompressionPressure,0.9012433309564057
1247,2026-04-23 13:00:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.0,0.0,0.9002713704206242,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999
1248,2026-04-23 13:05:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.0,0.0,0.9002713704206242,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999
1249,2026-04-23 13:10:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.0,0.0,0.9002713704206242,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999
1250,2026-04-23 13:15:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.0,0.0,0.9002713704206242,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999
1251,2026-04-23 13:20:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.0,0.0,0.9002713704206242,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999
1252,2026-04-23 13:25:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.0,0.0,0.9002713704206242,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999
