Instrument,HorizonBars,ResolvedArchetype,DominantPressure,WalkForwardSplitMode,Count_Train,MeanSignedReturn_Train,MedianSignedReturn_Train,StdSignedReturn_Train,DirectionalHitRate_Train,MeanDirectionalMFE_Train,MeanDirectionalMAE_Train,Count_Validation,MeanSignedReturn_Validation,MedianSignedReturn_Validation,StdSignedReturn_Validation,DirectionalHitRate_Validation,MeanDirectionalMFE_Validation,MeanDirectionalMAE_Validation,Supported,ReturnSignAgreement,HitRateDelta,ReturnDelta,ValidationRetainsPositiveEdge,ValidationFlipsNegative,TrainTStat,ValidationTStat,GeneralizationClass
ES,20,Unstable Rotational Balance,RotationalPressure,BarIndexFallback,203,-0.05763915339643397,-0.0673076923076923,5.496356127388897,0.49261083743842365,2.9447456587668093,-3.2117078632645972,111,0.905290781915705,0.5218800648298217,4.3431219213411865,0.6126126126126126,3.3432318154192218,-2.278450570428729,True,False,0.12000177517418892,0.962929935312139,False,False,-0.1494138126216068,2.196077014795808,FailedNegative
NQ,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,BarIndexFallback,224,0.26033666015746104,0.2017215477547378,1.4102100712346692,0.5758928571428571,1.3334379732015196,-0.9489383887672797,128,-0.1539557520261757,-0.4050627248161206,1.6156834802694546,0.4296875,1.1340355715356012,-1.2547524404955956,True,False,-0.1462053571428571,-0.41429241218363677,False,True,2.762965908117176,-1.0780641885845395,FailedPositive
NQ,5,Directional Continuation / Sponsor Release,RotationalPressure,BarIndexFallback,138,0.0817403555462548,-0.0273899609030142,1.6009860379517644,0.4927536231884058,1.3058436002033975,-1.2253863257253108,102,-0.044221813206076564,-0.15011796788822157,1.3107749751371678,0.46078431372549017,1.1185167442611406,-1.1758442942349203,True,False,-0.03196930946291565,-0.12596216875233138,False,True,0.5997752233526682,-0.3407285226904478,FailedPositive
NQ,5,Pure Unresolved Compression Equilibrium,CompressionPressure,BarIndexFallback,2279,0.027523285149355814,0.0844730490748189,1.845060358909915,0.5197368421052632,1.2765047162407988,-1.2255859860278369,1527,-0.14055519674288583,-0.0663956639566395,1.6692504380888802,0.4793713163064833,1.1722329975431958,-1.3136557649714549,True,False,-0.04036552579877989,-0.16807848189224164,False,True,0.7121342178833191,-3.290371441082295,FailedPositive
NQ,5,Pure Unresolved Compression Equilibrium,RotationalPressure,BarIndexFallback,113,-0.18034688384548941,-0.1596244131455399,1.3774013155838007,0.4247787610619469,1.2919766629154485,-1.22233500365483,80,0.21803198023809958,0.14724093770897206,1.5360948140803574,0.5875,1.2546010744157752,-1.100032588079148,True,False,0.16272123893805313,0.398378864083589,False,False,-1.3918337745577933,1.2695422824486593,FailedNegative
NQ,5,Sponsor Exhaustion Collapse,CompressionPressure,BarIndexFallback,69,-0.3768568294115905,-0.1658206429780034,1.4656253336782565,0.42028985507246375,1.015856500560713,-1.4231809199792658,75,0.057653288324216484,-0.1458333333333333,2.1138166505266653,0.44,1.4411234922259917,-1.2479321122786773,True,False,0.019710144927536255,0.43451011773580694,False,False,-2.1358855228284224,0.23620408273366658,FailedNegative
NQ,5,Sponsor Exhaustion Collapse,RotationalPressure,BarIndexFallback,733,-0.09643400923665549,-0.059322033898305,1.5708278368323665,0.4747612551159618,1.1641928400559354,-1.2546448722830041,478,-0.020787793816612738,-0.0194870334973633,1.5379032873574228,0.4916317991631799,1.221665381600765,-1.160871105684201,True,True,0.016870544047218106,0.07564621542004275,False,False,-1.662086497447308,-0.2955243859875503,NegativeButWeak
NQ,5,Stable Compression Basin,CompressionPressure,BarIndexFallback,1166,-0.058764396963782606,-0.0198323286421529,1.9996453067187228,0.48346055979643765,1.1724536408523831,-1.3128568187092968,758,0.15449318042014842,0.11780795269997435,1.515536160064865,0.5329815303430079,1.3227881824149172,-1.097028429018875,True,False,0.04952097054657023,0.21325757738393103,False,False,-1.0034843201673136,2.80658121213886,FailedNegative
NQ,5,Stable Compression Basin,RotationalPressure,BarIndexFallback,353,-0.07936401114544966,-0.0783216783216783,1.8735996572985605,0.45609065155807366,1.1724072062183224,-1.3773021996512003,234,0.16240407220718434,0.07526103146980795,1.5249729954006965,0.5213675213675214,1.3065107250646033,-1.0652366286194521,True,False,0.06527686980944775,0.241768083352634,False,False,-0.795855393499257,1.6290810442589685,FailedNegative
NQ,5,Unstable Rotational Balance,RotationalPressure,BarIndexFallback,670,-0.044985764630754065,0.0364556758897792,2.5518598157364276,0.5134328358208955,1.2938350073674414,-1.3120583422105143,451,0.10654819638062138,0.0705882352941176,1.538616142042986,0.5277161862527716,1.2984730596923644,-1.1218445159867794,True,False,0.014283350431876118,0.15153396101137545,False,False,-0.45630549096842365,1.4706322617489078,FailedNegative
NQ,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,BarIndexFallback,224,0.335483951996924,0.13236664276783144,2.333264070037856,0.5580357142857143,1.9297504001039891,-1.4807048421900046,128,-0.3450539274109705,-0.5530909889999682,2.566314193449781,0.4296875,1.630452019662461,-1.973580060012553,True,False,-0.1283482142857143,-0.6805378794078945,False,True,2.151948462675361,-1.521185348669179,FailedPositive
NQ,10,Directional Continuation / Sponsor Release,RotationalPressure,BarIndexFallback,138,0.30506734252648293,0.31763381187919726,2.333101172961653,0.5869565217391305,1.985261946066056,-1.6967206189838937,102,-0.08426560993540229,-0.07264154641311221,2.243397468364916,0.45098039215686275,1.7552689138369078,-1.7256337450819261,True,False,-0.13597612958226774,-0.3893329524618852,False,True,1.5360370459107866,-0.3793536168590593,FailedPositive
NQ,10,Pure Unresolved Compression Equilibrium,CompressionPressure,BarIndexFallback,2279,0.012436195695718676,0.0973574408901251,2.81298432954666,0.5210526315789473,1.858783960601851,-1.8333363303425496,1522,-0.09658553211849229,-0.03368187286018315,2.312503466492064,0.4908015768725361,1.7120769858642872,-1.8737899179567552,True,False,-0.030251054706411207,-0.10902172781421096,False,True,0.21105342155518017,-1.6294348872596112,FailedPositive
