Instrument,HorizonBars,ResolvedArchetype,DominantPressure,WalkForwardSplit,Count,MeanSignedReturn,MedianSignedReturn,StdSignedReturn,DirectionalHitRate,MeanDirectionalMFE,MeanDirectionalMAE
ES,5,Sponsor Exhaustion Collapse,CompressionPressure,Validation,33,0.20464912923381318,0.1189801699716713,1.5239872998933017,0.5454545454545454,1.4137382779550614,-1.0614646179654144
ES,5,Sponsor Exhaustion Collapse,DirectionalReleasePressure,Train,12,-0.17277051212887296,-0.1538009101648365,1.0299349824314468,0.4166666666666667,0.8376403425577531,-1.0026168343793296
ES,5,Sponsor Exhaustion Collapse,DirectionalReleasePressure,Validation,8,0.09089446398448067,0.21279820457890664,1.1784095668556478,0.625,0.841098468026522,-1.1614878057408407
ES,5,Sponsor Exhaustion Collapse,RotationalPressure,Train,165,-0.017402324775439026,0.0806916426512968,1.4835214352852824,0.5178571428571429,1.169876859476757,-1.2651587880723008
ES,5,Sponsor Exhaustion Collapse,RotationalPressure,Validation,132,-0.039149441834290255,0.0315030658395752,1.1576412564655298,0.5075757575757576,1.0217105070675265,-1.0329651170610143
ES,5,Stable Compression Basin,CompressionPressure,Train,307,0.30992465902770217,-0.0371352785145888,2.615636313592148,0.4840764331210191,1.5070468231429608,-1.0733455406280175
ES,5,Stable Compression Basin,CompressionPressure,Validation,235,0.36745534210934583,0.21875,3.08877924526321,0.5659574468085107,1.5293582065694653,-1.156577484309509
ES,5,Stable Compression Basin,RotationalPressure,Train,118,-0.026785975598212844,-0.12221494927116634,1.884102707319712,0.4067796610169492,1.1598202278956176,-1.0913785498116482
ES,5,Stable Compression Basin,RotationalPressure,Validation,63,0.31335442300746846,0.1734513274336283,2.885415713665073,0.5555555555555556,1.5214788163255908,-0.8499118065385273
ES,5,Unstable Rotational Balance,CompressionPressure,Train,2,0.05778985507246376,0.05778985507246376,0.16422298794948434,0.5,0.9666666666666666,-0.7121376811594203
ES,5,Unstable Rotational Balance,CompressionPressure,Validation,8,0.3889288616166129,0.9998041933942683,2.27898662312671,0.625,1.500525670189526,-1.3885681969318
ES,5,Unstable Rotational Balance,RotationalPressure,Train,203,-0.13165809860370134,-0.1944444444444444,1.9374314820576364,0.4482758620689655,1.2222020405019256,-1.325121496184948
ES,5,Unstable Rotational Balance,RotationalPressure,Validation,119,0.23410157375489066,-0.0481927710843373,3.3094042936226225,0.46218487394957986,1.5954409432146084,-1.2841192353982136
ES,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,Train,77,0.07545793505632999,0.330188679245283,2.638300183473475,0.5061728395061729,1.8020187957003782,-1.7096276408867963
ES,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,Validation,50,1.6371413215107395,0.8788461538461538,4.009720307144555,0.62,2.8915285565127085,-1.0815666492218898
ES,10,Directional Continuation / Sponsor Release,RotationalPressure,Train,49,0.240135715800571,0.1568627450980392,3.7258648804834316,0.5714285714285714,1.8326395645471716,-1.6899493646109933
ES,10,Directional Continuation / Sponsor Release,RotationalPressure,Validation,32,0.25692756895136293,0.14066193853427894,1.6528931716448247,0.53125,1.5666954946511362,-1.1438485916649257
ES,10,Pure Unresolved Compression Equilibrium,CompressionPressure,Train,849,0.05751894588138799,-0.2304526748971193,3.519040283832084,0.4499411071849234,1.9352243669247322,-1.857258874271534
ES,10,Pure Unresolved Compression Equilibrium,CompressionPressure,Validation,559,0.13843225325655598,0.053639846743295,3.082299060016814,0.5026833631484794,1.8821987527320034,-1.800379102257023
ES,10,Pure Unresolved Compression Equilibrium,RotationalPressure,Train,45,-0.1342106550432666,0.358974358974359,2.344588317067359,0.5555555555555556,1.929456400280602,-1.6262444260551876
ES,10,Pure Unresolved Compression Equilibrium,RotationalPressure,Validation,21,-0.39267519016454516,0.1145662847790507,2.16986583620776,0.5238095238095238,1.7395717618668545,-2.030317305917342
ES,10,Sponsor Exhaustion Collapse,CompressionPressure,Train,39,-0.13212796552001543,-0.417910447761194,1.6147652838935393,0.3333333333333333,1.5525236388329793,-1.595923338230346
ES,10,Sponsor Exhaustion Collapse,CompressionPressure,Validation,33,0.3996181243165955,0.8521739130434782,2.2443675687379625,0.6666666666666666,2.002061702887406,-1.5723529760686696
ES,10,Sponsor Exhaustion Collapse,DirectionalReleasePressure,Train,12,-0.3779730494325022,-0.5319264155451142,1.7368459873895632,0.3333333333333333,1.3356793992502567,-1.525744251415959
