Quadruplet,TrajectoryCluster,Archetype,ExpectancyFamily,Count,ConditionalProbability,FinalTransition,MeanNextRunLength,ImmediateFailurePct,DirectionalContinuationPct,UnresolvedCount,DirectionalCount,DegradingCount,BalanceCount,StateChanges,EndsDirectional,EndsDegrading,EndsBalance,EndsUnresolved,PersistentUnresolved,PersistentDirectional,PersistentDegrading,PersistentBalance,UnresolvedToDirectional,DirectionalToDegrading,BalanceUnresolvedLoop,DegradingUnresolvedLoop
Directional->Degrading->Balance->Degrading,0,Sponsor Exhaustion Collapse,DegradationCycle,1,50.0,Balance->Degrading,1.5,50.0,0.0,0,1,2,1,3,0,1,0,0,0,0,0,0,0,1,0,0
Unresolved->Directional->Degrading->Degrading,0,Sponsor Exhaustion Collapse,DegradationCycle,1,50.0,Degrading->Degrading,0.0,0.0,0.0,1,1,2,0,2,0,1,0,0,0,0,0,0,1,1,0,0
Degrading->Degrading->Balance->Degrading,0,Sponsor Exhaustion Collapse,DegradationCycle,1,50.0,Balance->Degrading,1.5,50.0,0.0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0
Degrading->Balance->Unresolved->Balance,1,Unstable Rotational Balance,ImmediateFailure,1,50.0,Unresolved->Balance,1.63,63.16,0.0,1,0,1,2,3,0,0,1,0,0,0,0,0,0,0,1,0
Degrading->Directional->Degrading->Balance,1,Unstable Rotational Balance,ImmediateFailure,1,50.0,Degrading->Balance,1.0,100.0,0.0,0,1,2,1,3,0,0,1,0,0,0,0,0,0,1,0,0
Unresolved->Directional->Degrading->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,1,50.0,Degrading->Unresolved,5.53,29.41,0.0,2,1,1,0,3,0,0,0,1,0,0,0,0,1,1,0,1
Degrading->Directional->Degrading->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,1,50.0,Degrading->Unresolved,5.53,29.41,0.0,1,1,2,0,3,0,0,0,1,0,0,0,0,0,1,0,1
Degrading->Degrading->Balance->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,1,50.0,Balance->Unresolved,7.26,21.05,0.0,1,0,2,1,2,0,0,0,1,0,0,0,0,0,0,1,0
Directional->Degrading->Balance->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,1,50.0,Balance->Unresolved,7.26,21.05,0.0,1,1,1,1,3,0,0,0,1,0,0,0,0,0,1,1,0
Degrading->Balance->Unresolved->Unresolved,2,Stable Compression Basin,RotationalChurn,1,50.0,Unresolved->Unresolved,0.0,0.0,0.0,2,0,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0
Degrading->Unresolved->Degrading->Degrading,0,Sponsor Exhaustion Collapse,DegradationCycle,1,33.33,Degrading->Degrading,0.0,0.0,0.0,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,1
Balance->Unresolved->Balance->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,1,33.33,Balance->Unresolved,7.26,21.05,0.0,2,0,0,2,3,0,0,0,1,0,0,0,0,0,0,1,0
Degrading->Balance->Degrading->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,1,33.33,Degrading->Unresolved,5.53,29.41,0.0,1,0,2,1,3,0,0,0,1,0,0,0,0,0,0,0,1
Directional->Degrading->Unresolved->Directional,3,Directional Continuation / Sponsor Release,DirectionalContinuation,1,25.0,Unresolved->Directional,3.13,25.0,75.0,1,2,1,0,3,1,0,0,0,0,0,0,0,1,1,0,1
Directional->Degrading->Unresolved->Degrading,0,Sponsor Exhaustion Collapse,ImmediateFailure,1,25.0,Unresolved->Degrading,1.82,63.64,0.0,1,1,2,0,3,0,1,0,0,0,0,0,0,0,1,0,1
