Instrument,HorizonBars,ResolvedArchetype,DominantPressure,Count,FutureDirectionalProbability,MeanDirectionalReleasePressure,MeanExhaustionPressure,MeanCompressionPressure,MeanRotationalPressure,BaselineFutureDirectionalProbability,DirectionalLift,DirectionalEdge,ForecastQuality
6E,20,Directional Continuation / Sponsor Release,DirectionalReleasePressure,156,0.0897435897435897,0.555293120146759,0.2181668447293447,0.3602212747776716,0.2283548117824228,0.04828840747478085,1.858491394450299,0.04145518226880885,ModeratePositiveLift
6E,20,Pure Unresolved Compression Equilibrium,CompressionPressure,2641,0.0583112457402499,0.1764159836928135,0.0225451217972989,0.8049052965196303,0.2320710179051361,0.04828840747478085,1.2075619965455184,0.010022838265469049,Neutral
6E,20,Unstable Rotational Balance,RotationalPressure,432,0.0462962962962962,0.0673005268934871,0.0612268518518518,0.1299214468354344,0.7516020965698066,0.04828840747478085,0.9587455606291209,-0.0019921111784846554,Neutral
6E,20,Directional Continuation / Sponsor Release,RotationalPressure,137,0.0437956204379562,0.2318150706290807,0.2532238442822384,0.1325780285217602,0.4901739804658098,0.04828840747478085,0.9069593040695936,-0.0044927870368246525,Neutral
6E,20,Stable Compression Basin,RotationalPressure,344,0.0436046511627907,0.0449663027855593,0.0802487080103358,0.51932583639012,0.5804781126862599,0.04828840747478085,0.9030045396623134,-0.004683756311990153,Neutral
6E,20,Stable Compression Basin,CompressionPressure,1297,0.0400925212027756,0.0919386877082183,0.0512186241754475,0.6335175994226357,0.4429835275240729,0.04828840747478085,0.8302721770999459,-0.008195886272005251,Neutral
6E,20,Pure Unresolved Compression Equilibrium,RotationalPressure,120,0.0333333333333333,0.038373587693417,0.0746527777777777,0.51979561580415,0.5702986780188083,0.04828840747478085,0.6902968036529677,-0.014955074141447554,Neutral
6E,20,Sponsor Exhaustion Collapse,DirectionalReleasePressure,30,0.0333333333333333,0.3897818706796255,0.1305555555555554,0.3237792395284377,0.3098282172060235,0.04828840747478085,0.6902968036529677,-0.014955074141447554,Unsupported
6E,20,Sponsor Exhaustion Collapse,RotationalPressure,726,0.0275482093663911,0.0878618820247817,0.1553455277887095,0.1428624796712791,0.4814240174132949,0.04828840747478085,0.5704932261594763,-0.020740198108389753,ModerateNegativeLift
6E,20,Sponsor Exhaustion Collapse,CompressionPressure,139,0.014388489208633,0.1982777187951547,0.1157873701039168,0.4012427127442461,0.1889158930849865,0.04828840747478085,0.29796984330343773,-0.033899918266147855,StrongNegativeLift
6E,20,Directional Continuation / Sponsor Release,CompressionPressure,2,0.0,0.2747519510494643,0.2138888888888889,0.294871143402319,0.2540621092029942,0.04828840747478085,0.0,-0.04828840747478085,Unsupported
ES,5,Unstable Rotational Balance,CompressionPressure,10,0.2,0.2381911562951179,0.0097222222222221,0.480870331669484,0.3509816169345835,0.06815286624203817,2.9345794392523383,0.13184713375796184,Unsupported
ES,5,Directional Continuation / Sponsor Release,RotationalPressure,81,0.1975308641975308,0.2422630639520636,0.251954732510288,0.1314755138628471,0.4882410512742737,0.06815286624203817,2.8983500634590986,0.12937799795549262,StrongPositiveLift
ES,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,131,0.1526717557251908,0.5777225704857408,0.2196576245001817,0.3639332991195866,0.2280887127849888,0.06815286624203817,2.2401369765285017,0.08451888948315261,StrongPositiveLift
ES,5,Pure Unresolved Compression Equilibrium,CompressionPressure,1408,0.0901988636363636,0.1935709720787437,0.0186631944444444,0.8360563854863585,0.1941220557851186,0.06815286624203817,1.3234786533559901,0.02204599739432543,Neutral
ES,5,Sponsor Exhaustion Collapse,DirectionalReleasePressure,20,0.05,0.385627380944826,0.129861111111111,0.3205097789088664,0.3118963293745229,0.06815286624203817,0.7336448598130846,-0.01815286624203817,Unsupported
ES,5,Stable Compression Basin,CompressionPressure,549,0.0455373406193078,0.0957659408028469,0.0500151791135397,0.6351231515799122,0.4370947739633251,0.06815286624203817,0.6681647174982551,-0.02261552562273037,ModerateNegativeLift
ES,5,Stable Compression Basin,RotationalPressure,181,0.0331491712707182,0.0467584068148836,0.0797421731123388,0.5172649533336109,0.5793977093728775,0.06815286624203817,0.48639438219651976,-0.03500369497131997,StrongNegativeLift
ES,5,Pure Unresolved Compression Equilibrium,RotationalPressure,66,0.0303030303030303,0.0418153618624542,0.0757996632996632,0.5124033875438712,0.5747910055493132,0.06815286624203817,0.44463324837156637,-0.03784983593900787,StrongNegativeLift
ES,5,Sponsor Exhaustion Collapse,CompressionPressure,72,0.0277777777777777,0.2033252855984555,0.1150462962962963,0.397338951962458,0.1885382051684338,0.06815286624203817,0.40758047767393474,-0.040375088464260474,StrongNegativeLift
