Instrument,HorizonBars,ResolvedArchetype,DominantPressure,Count,FutureDirectionalProbability,MeanDirectionalReleasePressure,MeanExhaustionPressure,MeanCompressionPressure,MeanRotationalPressure
NQ,20,Pure Unresolved Compression Equilibrium,CompressionPressure,3859,0.07307592640580461,0.1852626367512442,0.020504016584607373,0.8194182727307068,0.21402511860483103
NQ,20,Stable Compression Basin,RotationalPressure,597,0.06867671691792294,0.04266504999471497,0.07942490228922386,0.5170602256754585,0.5786895451442704
NQ,20,Stable Compression Basin,CompressionPressure,1965,0.059541984732824425,0.09474660486289857,0.05169635284139095,0.6352859505250055,0.4407379348249069
NQ,20,Unstable Rotational Balance,RotationalPressure,1145,0.05327510917030567,0.0799073803199555,0.058791848617176075,0.15222967871336618,0.7251146106749796
NQ,20,Directional Continuation / Sponsor Release,RotationalPressure,243,0.04938271604938271,0.23356008425695474,0.2528692272519433,0.13491797780938164,0.48933828937269674
NQ,20,Unstable Rotational Balance,CompressionPressure,41,0.04878048780487805,0.2421243924624762,0.008807588075880703,0.4873738196308915,0.3414816041916087
NQ,20,Pure Unresolved Compression Equilibrium,RotationalPressure,193,0.046632124352331605,0.041534608612288845,0.07390616004605638,0.5192499924380745,0.5671601444863134
NQ,20,Sponsor Exhaustion Collapse,RotationalPressure,1223,0.044971381847914965,0.08832750936063741,0.15640047242663754,0.14184293003052045,0.4833205725483068
NQ,20,Sponsor Exhaustion Collapse,CompressionPressure,144,0.027777777777777776,0.2041412948240749,0.11784336419753084,0.4000586533711269,0.1911238027072285
NQ,20,Sponsor Exhaustion Collapse,DirectionalReleasePressure,39,0.02564102564102564,0.38886894332759947,0.1295584045584045,0.320255391847769,0.3119408863675661
NQ,20,Directional Continuation / Sponsor Release,CompressionPressure,2,0.0,0.30581220875694826,0.2138888888888889,0.3185063422114016,0.2442555800378718
