Instrument,HorizonBars,NonOverlapOffset,ResolvedArchetype,DominantPressure,Count,MeanSignedReturn,MedianSignedReturn,StdSignedReturn,DirectionalHitRate,MeanDirectionalMFE,MeanDirectionalMAE,TStat
NQ,20,3,Unstable Rotational Balance,RotationalPressure,57,-0.210493465000366,0.0145530145530145,3.022213515199019,0.5087719298245614,2.4527555597660875,-2.6773884741719582,-0.5258367095729735
NQ,20,4,Directional Continuation / Sponsor Release,DirectionalReleasePressure,18,0.21969906446033705,1.0949702265491739,2.5655946937053473,0.6111111111111112,2.182810367874581,-2.261896615575061,0.3633092132940459
NQ,20,4,Directional Continuation / Sponsor Release,RotationalPressure,12,0.30407038954690757,1.0776022957182376,2.349252808204997,0.6666666666666666,2.6460235323198726,-1.6959636762559498,0.4483684020153758
NQ,20,4,Pure Unresolved Compression Equilibrium,CompressionPressure,190,0.18204441693826173,0.06062456424274905,3.3729733572274205,0.5105263157894737,2.739493495943951,-2.460559509742525,0.7439457275125017
NQ,20,4,Pure Unresolved Compression Equilibrium,RotationalPressure,5,-2.0221586573441095,-0.967741935483871,2.5328344583572604,0.2,1.2883291493424696,-3.4530128878956203,-1.7852269042659015
NQ,20,4,Sponsor Exhaustion Collapse,CompressionPressure,9,-0.3813691840872615,0.1809885931558935,2.8937555366110637,0.5555555555555556,1.8612677630885213,-2.615292493346451,-0.395371183842873
NQ,20,4,Sponsor Exhaustion Collapse,DirectionalReleasePressure,3,1.893488128028448,-0.3136200716845878,4.108934819120115,0.3333333333333333,2.395957082611537,-3.408727210031957,0.7981673561753042
NQ,20,4,Sponsor Exhaustion Collapse,RotationalPressure,65,-0.20193332415979984,-0.3220447284345047,3.5538260731227442,0.4307692307692308,2.4336171053454527,-2.9353156649384493,-0.45810866200226635
NQ,20,4,Stable Compression Basin,CompressionPressure,98,-0.06325736616346718,0.1070707845402384,4.093435338494114,0.5151515151515151,2.805110461079693,-2.815195520822296,-0.1529805467182498
NQ,20,4,Stable Compression Basin,RotationalPressure,32,-0.4766809119418446,-0.3661801468553401,3.5074451755960157,0.4375,2.354386256230237,-3.0544837121158737,-0.7687973175266841
NQ,20,4,Unstable Rotational Balance,CompressionPressure,2,-1.7018641036612796,-1.7018641036612796,1.8278814641633225,0.0,0.7452519666897074,-4.817160944888801,-1.3167151940103397
NQ,20,4,Unstable Rotational Balance,RotationalPressure,48,-0.26738892102840195,-0.2441958506506779,3.675541746643996,0.4375,3.137171412849978,-2.8687948763610804,-0.5040140784961374
NQ,20,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,16,1.4057410197766704,0.8731732243229433,2.9293089311021387,0.5625,3.148124837262347,-1.3164163763139227,1.9195531135021213
NQ,20,5,Directional Continuation / Sponsor Release,RotationalPressure,13,-0.7219644831098917,-0.7095890410958904,2.654775300208659,0.46153846153846156,2.2762369236735536,-2.996655191777585,-0.9805274151495885
NQ,20,5,Pure Unresolved Compression Equilibrium,CompressionPressure,188,-0.00015791553141845553,-0.22878993797721708,3.3958083190340123,0.4734042553191489,2.589915229936011,-2.565035716392738,-0.0006376180500975248
NQ,20,5,Pure Unresolved Compression Equilibrium,RotationalPressure,6,-0.6910222859288989,-0.5878553756296855,2.4944951065949477,0.3333333333333333,1.5753198206527088,-3.1303475823380005,-0.6785549496338509
NQ,20,5,Sponsor Exhaustion Collapse,CompressionPressure,8,-1.3166366102224183,0.16970765403671795,3.605313252213312,0.625,2.0072105583243784,-3.301355112230797,-1.0329229227171273
NQ,20,5,Sponsor Exhaustion Collapse,DirectionalReleasePressure,4,-2.7592852692543453,-2.3342568130184937,2.966131789409767,0.25,1.2915393921582736,-3.518169833185081,-1.8605277615148836
NQ,20,5,Sponsor Exhaustion Collapse,RotationalPressure,56,-0.5516285144376216,-1.109899953700908,3.205373789130825,0.4107142857142857,2.090234348538958,-3.3404544702675056,-1.2878403840447838
NQ,20,5,Stable Compression Basin,CompressionPressure,105,-2.903972320590312e-07,0.5790944661822247,3.964962504013844,0.5660377358490566,2.7702105194637103,-2.715398265924312,-7.504954048033154e-07
NQ,20,5,Stable Compression Basin,RotationalPressure,26,-0.012768035852832342,-0.6237496154938242,3.4137142886469536,0.4230769230769231,2.857943427920169,-2.526973443719657,-0.01907144490104617
NQ,20,5,Unstable Rotational Balance,CompressionPressure,3,0.6783005098618564,1.0440677966101697,1.8198681162729482,0.6666666666666666,2.254406906454503,-2.4258655506407223,0.6455692780016827
NQ,20,5,Unstable Rotational Balance,RotationalPressure,57,-0.691911793317636,-0.5771144278606966,3.775326676966962,0.38596491228070173,2.2759954168934318,-3.5405563647736193,-1.3836735017474462
NQ,20,6,Directional Continuation / Sponsor Release,DirectionalReleasePressure,13,-0.9661757758876752,0.1023655913978494,3.485158445451014,0.5384615384615384,1.9531600753651819,-2.4957624205068543,-0.9995517723508851
NQ,20,6,Directional Continuation / Sponsor Release,RotationalPressure,10,0.4631887156128266,0.1004230698262909,2.8263613375759657,0.6,2.741126088765742,-2.7634164104529146,0.5182392316053813
NQ,20,6,Pure Unresolved Compression Equilibrium,CompressionPressure,190,0.17634993699423532,0.2364548466299761,3.5895658590833506,0.5578947368421052,2.8111931536961157,-2.5730622871207856,0.6771894497507072
NQ,20,6,Pure Unresolved Compression Equilibrium,RotationalPressure,8,-3.033524638863814,-2.3590298525443334,5.089962386330627,0.375,2.200918887514808,-5.131089887207451,-1.685690918893751
NQ,20,6,Sponsor Exhaustion Collapse,CompressionPressure,8,-2.899985518646556,-2.2441476254480284,3.958045359258363,0.125,1.4247210239505355,-4.856457809776392,-2.072335447880766
NQ,20,6,Sponsor Exhaustion Collapse,DirectionalReleasePressure,5,0.931310566516353,-0.375886524822695,5.486364418147181,0.4,4.777136519202719,-2.192041665095744,0.37957262335805325
NQ,20,6,Sponsor Exhaustion Collapse,RotationalPressure,60,-0.09875160295927206,-0.22057138506633162,2.9104850369607767,0.45,2.4208582994034518,-2.403407719311844,-0.26281757769964587
NQ,20,6,Stable Compression Basin,CompressionPressure,99,0.11210046993219626,-0.0466666666666666,3.3944256696146726,0.5,2.799936603733492,-2.366224494654287,0.32859331778782264
NQ,20,6,Stable Compression Basin,RotationalPressure,31,-0.7118281389952862,-1.4219895287958118,4.258890525562652,0.3870967741935484,2.366574685133121,-4.255030440249281,-0.9305924444333937
NQ,20,6,Unstable Rotational Balance,CompressionPressure,1,1.1587837837837838,1.1587837837837838,,1.0,4.398648648648649,-0.9932432432432432,0.0
NQ,20,6,Unstable Rotational Balance,RotationalPressure,57,-0.2556456472067839,-0.1643192488262911,2.5331915082487777,0.45614035087719296,2.339969786373985,-2.5245162781048696,-0.7619172511134545
NQ,20,7,Directional Continuation / Sponsor Release,DirectionalReleasePressure,20,-0.9027517579375743,-0.1705987925399766,4.019351825066067,0.5,1.9650715092984339,-2.8507049828229882,-1.004447674854973
NQ,20,7,Directional Continuation / Sponsor Release,RotationalPressure,11,0.7734841479408701,0.5379803395889187,1.6741385163563038,0.6363636363636364,2.805520607652064,-1.772567976751188,1.532344352002014
NQ,20,7,Pure Unresolved Compression Equilibrium,CompressionPressure,191,0.11306380083842346,0.060475161987041,3.956574616535974,0.5235602094240838,2.7647443301664376,-2.614506910007866,0.39493070829546084
NQ,20,7,Pure Unresolved Compression Equilibrium,RotationalPressure,7,1.3905827779348319,1.411522633744856,1.5832655267063929,0.7142857142857143,2.808924707046443,-1.7266786250536945,2.323764489155833
NQ,20,7,Sponsor Exhaustion Collapse,CompressionPressure,7,-0.612201803786851,-1.181019332161687,2.1508694065755694,0.42857142857142855,2.303632127576878,-3.80307182302479,-0.7530600045048621
NQ,20,7,Sponsor Exhaustion Collapse,DirectionalReleasePressure,2,1.1361993922969533,1.1361993922969533,4.226207146914326,0.5,3.128644165229532,-1.9578098053707809,0.38020582860440516
NQ,20,7,Sponsor Exhaustion Collapse,RotationalPressure,59,-0.11189982997495637,-0.1443298969072164,2.7828051558992124,0.4406779661016949,2.3524323722332894,-2.499377188226402,-0.30886779887455634
NQ,20,7,Stable Compression Basin,CompressionPressure,92,0.3626666228281767,-0.06393057534734585,3.376234655498223,0.4731182795698925,2.720957457209829,-2.442102192674963,1.0303122855399227
NQ,20,7,Stable Compression Basin,RotationalPressure,31,0.003810839718690458,0.0470114170584284,4.267314514457469,0.5161290322580645,3.211534598199928,-3.504674934704904,0.004972180397366252
