TrajectoryCluster,Quadruplet,PC1,PC2,PC3,Count,ConditionalProbability,UnresolvedCount,DirectionalCount,DegradingCount,BalanceCount,StateChanges,EndsDirectional,EndsDegrading,EndsBalance,EndsUnresolved,PersistentUnresolved,PersistentDirectional,PersistentDegrading,PersistentBalance,UnresolvedToDirectional,DirectionalToDegrading,BalanceUnresolvedLoop,DegradingUnresolvedLoop,FinalTransition,Occurrences,MeanNextRunLength,ImmediateFailurePct,DirectionalContinuationPct,ExpectancyFamily
2,Unresolved->Unknown->Unknown->Unknown,-0.3495471909660302,0.7674560621882969,-0.4352711470546943,1,100.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Unknown->Unknown,0.0,0.0,0.0,0.0,Mixed
2,Balance->Degrading->Unresolved->Unresolved,-0.9948047876212514,0.4117336746619667,1.4416723941579148,1,100.0,2,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,Unresolved->Unresolved,0.0,0.0,0.0,0.0,DegradationCycle
2,Directional->Directional->Unresolved->Unresolved,-0.4129108404753716,1.9007442130816832,-0.2154941654545301,1,100.0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Unresolved->Unresolved,0.0,0.0,0.0,0.0,Mixed
3,Degrading->Unresolved->Directional->Directional,2.254608915039636,1.9252652877221696,-1.014288940072156,1,100.0,1,2,1,0,2,1,0,0,0,0,0,0,0,1,0,0,1,Directional->Directional,0.0,0.0,0.0,0.0,DegradationCycle
3,Degrading->Degrading->Directional->Directional,1.8922659751380444,1.2448164624260527,-1.563015913106914,1,100.0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Directional->Directional,0.0,0.0,0.0,0.0,Mixed
3,Degrading->Directional->Directional->Directional,1.9940815553728948,1.7288612042303928,-2.150107929767316,1,100.0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Directional->Directional,0.0,0.0,0.0,0.0,Mixed
0,Unresolved->Directional->Degrading->Degrading,2.697314865389312,-0.0822558696150165,0.1467716297593765,1,50.0,1,1,2,0,2,0,1,0,0,0,0,0,0,1,1,0,0,Degrading->Degrading,0.0,0.0,0.0,0.0,DegradationCycle
2,Degrading->Balance->Unresolved->Unresolved,-1.909948429933977,-0.0851302302888829,0.2824105665285537,1,50.0,2,0,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,Unresolved->Unresolved,0.0,0.0,0.0,0.0,RotationalChurn
0,Degrading->Unresolved->Degrading->Degrading,1.3489957045175371,-1.3251458191528909,1.877447913720324,1,33.33,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,1,Degrading->Degrading,0.0,0.0,0.0,0.0,DegradationCycle
2,Directional->Directional->Directional->Unresolved,0.3422159217387217,1.320258641711668,-0.8596744413316322,1,8.33,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Directional->Unresolved,1.0,2.0,0.0,0.0,Mixed
2,Unresolved->Unresolved->Unresolved->Unknown,-0.8181441744743329,0.7139578267449364,-0.1298174561787971,1,0.48,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Unresolved->Unknown,1.0,3.0,0.0,0.0,Mixed
