Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection
ES,xApvaV01StateLog_ES092020.csv,2986,2020-09-04 06:50:00,Directional,Unresolved->Unresolved->Unresolved->Directional,Directional Continuation / Sponsor Release,Exact,1.0,1.2954618442339936,0.2222222222222222,0.6,0.3,1.0,0.37383994379603613,0.2277777777777778,0.2468114125131532,0.3667156117595194,DirectionalReleasePressure,0.37383994379603613,3461.25,3463.0,3445.75,3447.75,Down,-1,3461.0,17.25,8.767857142857142,5,3421.25,-26.5,-3.0224032586558045,26.5,3.0224032586558045,27.25,-5.25,3.107942973523422,-0.5987780040733198,1,1
ES,xApvaV01StateLog_ES092020.csv,2987,2020-09-04 06:55:00,Directional,Unresolved->Unresolved->Directional->Directional,Directional Continuation / Sponsor Release,Exact,1.0,1.3709505944503406,0.2222222222222222,0.6,0.3,1.0,0.35732677968621024,0.2277777777777778,0.2420933656246315,0.3832287758693453,RotationalPressure,0.3832287758693453,3447.75,3453.0,3435.0,3436.5,Down,-1,3447.75,18.0,9.285714285714286,5,3403.0,-33.5,-3.6076923076923073,33.5,3.6076923076923073,34.5,-10.0,3.715384615384615,-1.0769230769230769,1,1
ES,xApvaV01StateLog_ES092020.csv,2988,2020-09-04 07:00:00,Directional,Unresolved->Directional->Directional->Directional,Directional Continuation / Sponsor Release,Exact,1.0,1.2954618442339936,0.2222222222222222,0.6,0.3,1.0,0.37383994379603613,0.2277777777777778,0.2468114125131532,0.3667156117595194,DirectionalReleasePressure,0.37383994379603613,3436.5,3439.5,3429.75,3434.75,Down,-1,3436.5,9.75,8.982142857142858,5,3404.0,-30.75,-3.423459244532803,30.75,3.423459244532803,36.0,-11.75,4.007952286282306,-1.3081510934393636,1,1
ES,xApvaV01StateLog_ES092020.csv,2989,2020-09-04 07:05:00,Directional,Directional->Directional->Directional->Directional,Directional Continuation / Sponsor Release,Exact,1.0,0.9709505944517833,0.1111111111111111,0.6,0.4,1.0,0.49954900190811685,0.2138888888888889,0.29487114340231907,0.2540621092029942,DirectionalReleasePressure,0.49954900190811685,3434.75,3446.5,3433.0,3441.0,Down,-1,3434.75,13.5,9.517857142857142,5,3391.5,-49.5,-5.200750469043152,49.5,5.200750469043152,51.25,-0.75,5.384615384615385,-0.07879924953095685,1,1
ES,xApvaV01StateLog_ES092020.csv,2990,2020-09-04 07:10:00,Degrading,Directional->Directional->Directional->Degrading,Sponsor Exhaustion Collapse,Exact,1.0,1.360964047439353,0.2222222222222222,0.5,0.5,0.0,0.12816230122903563,0.12777777777777777,0.20105085814615156,0.3810442187106918,RotationalPressure,0.3810442187106918,3441.0,3441.75,3434.5,3437.5,Down,-1,3441.0,7.25,9.410714285714286,5,3386.5,-51.0,-5.419354838709677,51.0,5.419354838709677,51.5,-2.0,5.472485768500948,-0.21252371916508536,1,1
ES,xApvaV01StateLog_ES092020.csv,2991,2020-09-04 07:15:00,Unresolved,Directional->Directional->Degrading->Unresolved,Stable Compression Basin,Exact,1.0,1.7219280948815914,0.3333333333333333,0.4,0.6,0.0,0.09304166666666668,0.041666666666666664,0.5666666666666667,0.475,CompressionPressure,0.5666666666666667,3437.5,3439.5,3420.5,3421.25,Down,-1,3437.5,19.0,10.392857142857142,5,3376.5,-44.75,-4.305841924398625,44.75,4.305841924398625,60.25,-5.75,5.79725085910653,-0.5532646048109966,1,1
ES,xApvaV01StateLog_ES092020.csv,2992,2020-09-04 07:20:00,Directional,Directional->Degrading->Unresolved->Directional,Directional Continuation / Sponsor Release,Exact,1.0,1.6854752972215634,0.4444444444444444,0.5,0.7,1.0,0.28444444444444444,0.25555555555555554,0.13055555555555556,0.5166666666666666,RotationalPressure,0.5166666666666666,3421.25,3427.0,3402.0,3403.0,Down,-1,3421.25,25.0,12.0,5,3350.5,-52.5,-4.375,52.5,4.375,55.25,-12.0,4.604166666666667,-1.0,1,1
ES,xApvaV01StateLog_ES092020.csv,2993,2020-09-04 07:25:00,Degrading,Degrading->Unresolved->Directional->Degrading,Sponsor Exhaustion Collapse,Soft,0.5,1.7609640474379105,0.5555555555555556,0.5,0.8,1.0,0.21577777777777782,0.16944444444444445,0.10277777777777777,0.5583333333333333,RotationalPressure,0.5583333333333333,3403.0,3415.0,3398.75,3404.0,Down,-1,3403.0,16.25,12.964285714285714,5,3372.75,-31.25,-2.4104683195592287,31.25,2.4104683195592287,56.25,-7.0,4.338842975206612,-0.5399449035812672,1,1
ES,xApvaV01StateLog_ES092020.csv,2994,2020-09-04 07:30:00,Directional,Unresolved->Directional->Degrading->Directional,Directional Continuation / Sponsor Release,Soft,0.5,1.5709505944488977,0.6666666666666666,0.6,0.9,1.0,0.294687890797637,0.2833333333333333,0.11848225451361057,0.5936454425356963,RotationalPressure,0.5936454425356963,3404.0,3411.0,3389.75,3391.5,Down,-1,3404.0,21.25,14.321428571428571,5,3375.5,-16.0,-1.1172069825436408,16.0,1.1172069825436408,43.75,-9.0,3.054862842892768,-0.628428927680798,1,1
ES,xApvaV01StateLog_ES092020.csv,2995,2020-09-04 07:35:00,Degrading,Directional->Degrading->Directional->Degrading,Sponsor Exhaustion Collapse,Exact,1.0,1.2954618442339936,0.6666666666666666,0.6,1.0,1.0,0.29996084392571787,0.18333333333333335,0.1357003014020421,0.533382278426186,RotationalPressure,0.533382278426186,3391.5,3400.5,3386.0,3386.5,Down,-1,3391.5,14.5,15.071428571428571,5,3383.25,-3.25,-0.2156398104265403,3.25,0.2156398104265403,38.75,-4.25,2.571090047393365,-0.28199052132701424,1,1
ES,xApvaV01StateLog_ES092020.csv,2996,2020-09-04 07:40:00,Degrading,Degrading->Directional->Degrading->Degrading,Sponsor Exhaustion Collapse,Soft,0.5,1.360964047439353,0.6666666666666666,0.5,1.0,1.0,0.2618312916981133,0.18333333333333335,0.08993974703504046,0.5477108853773585,RotationalPressure,0.5477108853773585,3386.5,3390.75,3361.0,3376.5,Down,-1,3386.5,29.75,17.035714285714285,5,3380.5,4.0,0.2348008385744235,-4.0,-0.2348008385744235,28.75,-12.25,1.6876310272536688,-0.7190775681341719,0,1
ES,xApvaV01StateLog_ES092020.csv,2997,2020-09-04 07:45:00,Degrading,Directional->Degrading->Degrading->Degrading,Sponsor Exhaustion Collapse,Exact,1.0,1.360964047439353,0.6666666666666666,0.5,1.0,0.0,0.11455119011792456,0.18333333333333335,0.08993974703504046,0.5477108853773585,RotationalPressure,0.5477108853773585,3376.25,3377.25,3347.75,3350.5,Down,-1,3376.5,29.5,17.589285714285715,5,3370.25,19.75,1.1228426395939086,-19.75,-1.1228426395939086,0.5,-38.25,0.02842639593908629,-2.1746192893401015,0,1
ES,xApvaV01StateLog_ES092020.csv,2998,2020-09-04 07:50:00,Degrading,Degrading->Degrading->Degrading->Degrading,Sponsor Exhaustion Collapse,Exact,1.0,1.2954618442339936,0.6666666666666666,0.6,0.9,0.0,0.12423286921750154,0.18333333333333335,0.1357003014020421,0.533382278426186,RotationalPressure,0.533382278426186,3350.25,3374.25,3350.0,3372.75,Down,-1,3350.5,24.25,18.321428571428573,5,3378.0,5.25,0.28654970760233917,-5.25,-0.28654970760233917,12.25,-16.0,0.668615984405458,-0.8732943469785575,0,1
ES,xApvaV01StateLog_ES092020.csv,2999,2020-09-04 07:55:00,Unresolved,Degrading->Degrading->Degrading->Unresolved,Stable Compression Basin,Exact,1.0,1.3709505944503406,0.6666666666666666,0.6,0.8,0.0,0.11145326177906248,0.08333333333333333,0.5809822545135204,0.549895442536012,CompressionPressure,0.5809822545135204,3372.75,3375.5,3360.5,3375.5,Up,1,3372.75,15.0,18.589285714285715,5,3375.5,0.0,0.0,0.0,0.0,13.25,-9.25,0.712776176753122,-0.49759846301633043,0,1
ES,xApvaV01StateLog_ES092020.csv,3000,2020-09-04 08:00:00,Balance,Degrading->Degrading->Unresolved->Balance,Unstable Rotational Balance,Exact,1.0,1.7609640474379105,0.6666666666666666,0.5,0.7,0.0,0.07525,0.08333333333333333,0.07500000000000001,0.85,RotationalPressure,0.85,3375.25,3388.75,3372.5,3383.25,Up,1,3375.5,16.25,18.517857142857142,5,3364.25,-19.0,-1.026036644165863,-19.0,-1.026036644165863,3.75,-20.0,0.2025072324011572,-1.0800385728061717,0,1
ES,xApvaV01StateLog_ES092020.csv,3001,2020-09-04 08:05:00,Balance,Degrading->Unresolved->Balance->Balance,Unstable Rotational Balance,Soft,0.4142135623730951,1.7609640474379105,0.5555555555555556,0.5,0.6,0.0,0.08040277777777777,0.06944444444444445,0.10277777777777777,0.8083333333333333,RotationalPressure,0.8083333333333333,3383.0,3387.0,3370.25,3380.5,Up,1,3383.25,16.75,18.428571428571427,5,3363.0,-17.5,-0.9496124031007753,-17.5,-0.9496124031007753,1.75,-27.75,0.09496124031007752,-1.5058139534883723,0,1
ES,xApvaV01StateLog_ES092020.csv,3002,2020-09-04 08:10:00,Unresolved,Unresolved->Balance->Balance->Unresolved,Stable Compression Basin,Exact,1.0,1.7609640474379105,0.5555555555555556,0.5,0.5,0.0,0.07340277777777778,0.06944444444444445,0.5527777777777778,0.5583333333333333,RotationalPressure,0.5583333333333333,3380.75,3382.25,3367.25,3370.25,Down,-1,3380.5,15.0,18.803571428571427,5,3376.5,6.25,0.33238366571699907,-6.25,-0.33238366571699907,17.5,-11.5,0.9306742640075975,-0.6115859449192783,0,1
ES,xApvaV01StateLog_ES092020.csv,3003,2020-09-04 08:15:00,Balance,Balance->Balance->Unresolved->Balance,Unstable Rotational Balance,Soft,1.0,1.8464393446652445,0.5555555555555556,0.4,0.4,0.0,0.05473611111111112,0.06944444444444445,0.061111111111111116,0.8083333333333333,RotationalPressure,0.8083333333333333,3370.0,3379.25,3366.25,3378.0,Down,-1,3370.25,13.0,18.767857142857142,5,3380.0,2.0,0.1065651760228354,-2.0,-0.1065651760228354,25.25,-3.75,1.3453853472882968,-0.19980970504281637,0,1
