Instrument,HorizonBars,ResolvedArchetype,FutureArchetype,Count,Total,Probability
6E,20,Pure Unresolved Compression Equilibrium,Sponsor Exhaustion Collapse,414,2761,0.14994567185802246
6E,20,Pure Unresolved Compression Equilibrium,Stable Compression Basin,689,2761,0.24954726548352046
6E,20,Pure Unresolved Compression Equilibrium,Unstable Rotational Balance,196,2761,0.07098877218399131
6E,20,Sponsor Exhaustion Collapse,Directional Continuation / Sponsor Release,23,895,0.02569832402234637
6E,20,Sponsor Exhaustion Collapse,Pure Unresolved Compression Equilibrium,426,895,0.4759776536312849
6E,20,Sponsor Exhaustion Collapse,Sponsor Exhaustion Collapse,121,895,0.13519553072625698
6E,20,Sponsor Exhaustion Collapse,Stable Compression Basin,252,895,0.28156424581005585
6E,20,Sponsor Exhaustion Collapse,Unstable Rotational Balance,73,895,0.08156424581005586
6E,20,Stable Compression Basin,Directional Continuation / Sponsor Release,67,1641,0.04082876294942109
6E,20,Stable Compression Basin,Pure Unresolved Compression Equilibrium,714,1641,0.4351005484460695
6E,20,Stable Compression Basin,Sponsor Exhaustion Collapse,265,1641,0.1614868982327849
6E,20,Stable Compression Basin,Stable Compression Basin,470,1641,0.28641072516758076
6E,20,Stable Compression Basin,Unstable Rotational Balance,125,1641,0.07617306520414381
6E,20,Unstable Rotational Balance,Directional Continuation / Sponsor Release,24,455,0.05274725274725275
6E,20,Unstable Rotational Balance,Pure Unresolved Compression Equilibrium,187,455,0.41098901098901097
6E,20,Unstable Rotational Balance,Sponsor Exhaustion Collapse,58,455,0.12747252747252746
6E,20,Unstable Rotational Balance,Stable Compression Basin,147,455,0.3230769230769231
6E,20,Unstable Rotational Balance,Unstable Rotational Balance,39,455,0.08571428571428572
ES,5,Directional Continuation / Sponsor Release,Directional Continuation / Sponsor Release,36,212,0.16981132075471697
ES,5,Directional Continuation / Sponsor Release,Pure Unresolved Compression Equilibrium,31,212,0.14622641509433962
ES,5,Directional Continuation / Sponsor Release,Sponsor Exhaustion Collapse,57,212,0.2688679245283019
ES,5,Directional Continuation / Sponsor Release,Stable Compression Basin,59,212,0.2783018867924528
ES,5,Directional Continuation / Sponsor Release,Unstable Rotational Balance,29,212,0.13679245283018868
ES,5,Pure Unresolved Compression Equilibrium,Directional Continuation / Sponsor Release,129,1474,0.08751696065128901
ES,5,Pure Unresolved Compression Equilibrium,Pure Unresolved Compression Equilibrium,971,1474,0.658751696065129
ES,5,Pure Unresolved Compression Equilibrium,Sponsor Exhaustion Collapse,131,1474,0.08887381275440977
ES,5,Pure Unresolved Compression Equilibrium,Stable Compression Basin,173,1474,0.11736770691994572
ES,5,Pure Unresolved Compression Equilibrium,Unstable Rotational Balance,70,1474,0.04748982360922659
ES,5,Sponsor Exhaustion Collapse,Directional Continuation / Sponsor Release,8,392,0.02040816326530612
ES,5,Sponsor Exhaustion Collapse,Pure Unresolved Compression Equilibrium,88,392,0.22448979591836735
ES,5,Sponsor Exhaustion Collapse,Sponsor Exhaustion Collapse,84,392,0.21428571428571427
ES,5,Sponsor Exhaustion Collapse,Stable Compression Basin,162,392,0.413265306122449
