Quadruplet,Count,FirstState,SecondState,ThirdState,FourthState,UnresolvedCount,DirectionalCount,DegradingCount,BalanceCount,UnknownCount,StateChanges,EndsDirectional,EndsDegrading,EndsBalance,EndsUnresolved,PersistentUnresolved,PersistentDirectional,PersistentDegrading,PersistentBalance,UnresolvedToDirectional,DirectionalToDegrading,BalanceUnresolvedLoop,DegradingUnresolvedLoop,ConditionalProbability,TrajectoryCluster,PC1,PC2,PC3
Degrading->Unresolved->Balance->Unresolved,1,Degrading,Unresolved,Balance,Unresolved,2,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,1,1,100.0,2,-1.7364541062850314,-0.2532670180791029,1.4131762867400208
Degrading->Degrading->Unresolved->Balance,1,Degrading,Degrading,Unresolved,Balance,1,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,16.67,1,-1.2377309610717222,-2.0867092588968674,-0.24215072837514112
Balance->Unresolved->Balance->Unresolved,1,Balance,Unresolved,Balance,Unresolved,2,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,1,0,33.33,2,-2.4167206377007973,-0.5381137650891706,-0.08129015540045373
Unresolved->Degrading->Unresolved->Degrading,1,Unresolved,Degrading,Unresolved,Degrading,2,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,16.67,0,0.8958001347682223,-1.2006091022137402,2.0195848600949646
Degrading->Degrading->Degrading->Balance,1,Degrading,Degrading,Degrading,Balance,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.14,1,-0.0794859059627488,-1.832532069507805,-0.9785970427011235
Degrading->Unresolved->Degrading->Degrading,1,Degrading,Unresolved,Degrading,Degrading,1,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,33.33,0,1.3489957045175371,-1.3251458191528909,1.8774479137203237
Degrading->Balance->Unresolved->Balance,1,Degrading,Balance,Unresolved,Balance,1,0,1,2,0,3,0,0,1,0,0,0,0,0,0,0,1,0,50.0,1,-1.9460223627218358,-2.076519583455262,-1.358862649712088
Degrading->Degrading->Balance->Unresolved,1,Degrading,Degrading,Balance,Unresolved,1,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,50.0,2,-1.3570243166798348,-0.6062188796940925,0.35411961816622445
Balance->Balance->Balance->Degrading,1,Balance,Balance,Balance,Degrading,0,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,20.0,0,-0.13126663012104228,-1.62982611861678,-0.8626850300002699
Balance->Balance->Degrading->Balance,1,Balance,Balance,Degrading,Balance,0,0,1,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,100.0,1,-1.31271522485883,-1.6925679129882114,-1.7659396364096995
Balance->Degrading->Balance->Degrading,1,Balance,Degrading,Balance,Degrading,0,0,2,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,100.0,0,0.550606352076033,-1.6947696267510282,0.3017554236433064
Degrading->Balance->Degrading->Unresolved,1,Degrading,Balance,Degrading,Unresolved,1,0,2,1,0,3,0,0,0,1,0,0,0,0,0,0,0,1,33.33,2,-0.28738658807901263,-0.8023781366747204,1.6569628696197558
Balance->Degrading->Unresolved->Unresolved,1,Balance,Degrading,Unresolved,Unresolved,2,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,100.0,2,-0.9948047876212514,0.4117336746619667,1.4416723941579148
Directional->Directional->Directional->Unresolved,1,Directional,Directional,Directional,Unresolved,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8.33,2,0.34221592173872173,1.320258641711668,-0.8596744413316322
Directional->Directional->Unresolved->Unresolved,1,Directional,Directional,Unresolved,Unresolved,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,100.0,2,-0.41291084047537163,1.9007442130816832,-0.21549416545453018
Directional->Unresolved->Unresolved->Directional,1,Directional,Unresolved,Unresolved,Directional,2,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,100.0,3,1.5549201997670954,2.6131152002932683,-1.9092597152010922
Degrading->Degrading->Degrading->Directional,1,Degrading,Degrading,Degrading,Directional,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.14,3,1.8921406229146784,0.21027545251215848,-1.1063931697740625
Degrading->Degrading->Directional->Directional,1,Degrading,Degrading,Directional,Directional,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,100.0,3,1.8922659751380444,1.2448164624260527,-1.5630159131069141
Degrading->Directional->Directional->Directional,1,Degrading,Directional,Directional,Directional,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,100.0,3,1.9940815553728948,1.7288612042303928,-2.1501079297673162
Directional->Directional->Degrading->Directional,1,Directional,Directional,Degrading,Directional,0,3,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,16.67,3,2.8913250976115616,0.8064248721885652,-1.9335988776506563
Directional->Degrading->Directional->Degrading,1,Directional,Degrading,Directional,Degrading,0,2,2,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,100.0,0,2.6917661428669617,-0.7445842125973469,0.378971832912559
Degrading->Directional->Degrading->Balance,1,Degrading,Directional,Degrading,Balance,0,1,2,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,50.0,1,0.8628678910575883,-1.820626659415208,-0.9346282619264933
Directional->Degrading->Balance->Unresolved,1,Directional,Degrading,Balance,Unresolved,1,1,1,1,0,3,0,0,0,1,0,0,0,0,0,1,1,0,50.0,2,-0.44921919700835344,-0.550610318934712,0.10061617705975165
Degrading->Balance->Unresolved->Unresolved,1,Degrading,Balance,Unresolved,Unresolved,2,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,50.0,2,-1.909948429933977,-0.08513023028888299,0.28241056652855373
Unresolved->Directional->Degrading->Degrading,1,Unresolved,Directional,Degrading,Degrading,1,1,2,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,50.0,0,2.697314865389312,-0.08225586961501659,0.14677162975937658
Balance->Balance->Balance->Unresolved,1,Balance,Balance,Balance,Unresolved,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,20.0,1,-2.6186792794363822,-0.5990232161289873,-1.0803495085936532
Unresolved->Degrading->Degrading->Balance,1,Unresolved,Degrading,Degrading,Balance,1,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,25.0,1,-0.4237194439171901,-1.6701138074732702,0.0353025889919115
Degrading->Degrading->Balance->Degrading,1,Degrading,Degrading,Balance,Degrading,0,0,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,50.0,0,1.130388332635505,-1.6370217821818853,0.5717840967596068
