Instrument,HorizonBars,ResolvedArchetype,DominantPressure,Count,FutureDirectionalProbability,MeanDirectionalReleasePressure,MeanExhaustionPressure,MeanCompressionPressure,MeanRotationalPressure,BaselineFutureDirectionalProbability,DirectionalLift,DirectionalEdge,ForecastQuality,ObservedSuccesses,ExpectedSuccesses,ZScore,PValue,WilsonCILow,WilsonCIHigh,SignificanceClass
NQ,10,Sponsor Exhaustion Collapse,CompressionPressure,144,0.0347222222222222,0.2041412948240749,0.1178433641975308,0.4000586533711269,0.1911238027072285,0.0622710622710622,0.5575980392156864,-0.02754884004884,ModerateNegativeLift,5,8.967032967032956,-1.3680525099705627,0.17129564027609234,0.014920522321761262,0.0787040055513137,WeakEvidence
NQ,5,Pure Unresolved Compression Equilibrium,RotationalPressure,193,0.0310880829015544,0.0415346086122888,0.0739061600460563,0.5192499924380745,0.5671601444863134,0.062239397945693,0.4994920247891907,-0.0311513150441386,StrongNegativeLift,6,12.012203803518748,-1.7913331238318275,0.07323985368656194,0.01432407677048586,0.06615484638396928,WeakEvidence
NQ,10,Pure Unresolved Compression Equilibrium,RotationalPressure,193,0.0310880829015544,0.0415346086122888,0.0739061600460563,0.5192499924380745,0.5671601444863134,0.0622710622710622,0.4992380371837858,-0.0311829793695078,StrongNegativeLift,6,12.018315018315006,-1.7927282639996271,0.07301638484552075,0.01432407677048586,0.06615484638396928,WeakEvidence
ES,5,Stable Compression Basin,RotationalPressure,181,0.0331491712707182,0.0467584068148836,0.0797421731123388,0.5172649533336109,0.5793977093728775,0.0681528662420381,0.4863943821965197,-0.0350036949713199,StrongNegativeLift,6,12.335668789808897,-1.8686965276454526,0.061665047394968475,0.015279205399379953,0.07042444572677346,WeakEvidence
NQ,20,Sponsor Exhaustion Collapse,CompressionPressure,144,0.0277777777777777,0.2041412948240749,0.1178433641975308,0.4000586533711269,0.1911238027072285,0.0623344876756976,0.4456245461147411,-0.0345567098979199,StrongNegativeLift,4,8.976166225300455,-1.7152422455118124,0.08630082245880866,0.010853942365456264,0.0692425933863213,WeakEvidence
ES,5,Pure Unresolved Compression Equilibrium,RotationalPressure,66,0.0303030303030303,0.0418153618624542,0.0757996632996632,0.5124033875438712,0.5747910055493132,0.0681528662420381,0.4446332483715663,-0.0378498359390078,StrongNegativeLift,2,4.498089171974515,-1.2201734466216425,0.22239913061129712,0.008349735075946503,0.10392718870586834,WeakEvidence
ES,20,Sponsor Exhaustion Collapse,CompressionPressure,72,0.0277777777777777,0.2033252855984555,0.1150462962962963,0.397338951962458,0.1885382051684338,0.0671999999999999,0.4133597883597874,-0.0394222222222222,StrongNegativeLift,2,4.838399999999993,-1.3360676379547312,0.18152716651561174,0.007650861466140468,0.09574358168906721,WeakEvidence
ES,5,Sponsor Exhaustion Collapse,CompressionPressure,72,0.0277777777777777,0.2033252855984555,0.1150462962962963,0.397338951962458,0.1885382051684338,0.0681528662420381,0.4075804776739347,-0.0403750884642604,StrongNegativeLift,2,4.907006369426743,-1.3594565628234656,0.1740019579175316,0.007650861466140468,0.09574358168906721,WeakEvidence
6E,10,Pure Unresolved Compression Equilibrium,RotationalPressure,120,0.0166666666666666,0.038373587693417,0.0746527777777777,0.51979561580415,0.5702986780188083,0.0482086841670794,0.3457191780821904,-0.0315420175004128,StrongNegativeLift,2,5.7850421000495285,-1.6130453721588656,0.10673465074581268,0.004582468541151394,0.058737126812913806,WeakEvidence
6E,20,Sponsor Exhaustion Collapse,CompressionPressure,139,0.014388489208633,0.1982777187951547,0.1157873701039168,0.4012427127442461,0.1889158930849865,0.0482884074747808,0.2979698433034377,-0.0338999182661478,StrongNegativeLift,2,6.712088638994532,-1.8643692450800353,0.06226986874086782,0.003954669579790876,0.050942503232611104,WeakEvidence
