Instrument,HorizonBars,ResolvedArchetype,DominantPressure,InSampleSupport,InSampleMeanReturn,InSampleMedianReturn,InSampleHitRate,InSampleMFE,InSampleMAE,InSampleTStat,InSampleSignificance,WFTrainSupport,WFTrainMeanReturn,WFTrainHitRate,WFTrainTStat,WFValidationSupport,WFValidationMeanReturn,WFValidationHitRate,WFValidationTStat,WFGeneralizationClass,ValidationRetainsPositiveEdge,ValidationFlipsNegative,NOOffsetCount,NOTotalSupport,NOMeanReturn,NOMedianReturn,NOMeanTStat,NOMaxTStat,NOMinTStat,NOHitRate,NOMFE,NOMAE,NOPositiveOffsetFraction,NONegativeOffsetFraction,NORobustnessClass,InSampleComponent,WalkForwardComponent,NonOverlapComponent,FailurePenalty,SurvivorshipScore,SurvivorshipClass
ES,20,Stable Compression Basin,RotationalPressure,181,0.2049830840791661,-0.185022026431718,0.4585635359116022,2.731655147682778,-2.4990878804152805,0.6175619103707839,NotSignificant,118.0,0.1492807367950624,0.4661016949152542,0.3291463968249894,63.0,0.3093144647065349,0.4444444444444444,0.7065846184938561,PositiveButWeak,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missing,0.5729473720184696,2.022288062835675,0.0,0.0,0.8223902963961801,WeakCandidatePositive
6E,20,Directional Continuation / Sponsor Release,RotationalPressure,135,0.2922737437917733,-0.0,0.4962962962962963,3.2032843550508536,-2.367902846413297,0.9840922369828082,NotSignificant,76.0,0.3549594714733877,0.5263157894736842,0.8739746467271351,59.0,0.2115260267781682,0.4576271186440678,0.4835707851692009,PositiveButWeak,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missing,0.6411466046219115,1.9003995134805012,0.0,0.0,0.7933691506425578,WeakCandidatePositive
NQ,5,Stable Compression Basin,CompressionPressure,1924,0.0252528814442318,0.0252587911134464,0.5028394424367578,1.2316810745864792,-1.2278267150786628,0.6063240691155771,NotSignificant,1166.0,-0.0587643969637826,0.4834605597964376,-1.0034843201673136,758.0,0.1544931804201484,0.5329815303430079,2.80658121213886,FailedNegative,False,False,5.0,1924.0,0.0257087147662007,0.0175263885810799,0.3161215758678058,1.226521476205816,-0.3240438813857853,0.5027481738839683,1.2317641328108149,-1.227343760571411,0.8,0.2,NotRobust,0.6515810172788943,3.40329060606943,0.9870911819008543,-1.0,0.7656589474354636,WeakCandidatePositive
ES,10,Unstable Rotational Balance,RotationalPressure,320,0.2147919305325064,0.05419973495734,0.503125,2.1995234029326767,-1.8930704117232149,1.0549271999668806,WeakEvidence,203.0,-0.0619627399330049,0.4679802955665024,-0.2607255997528354,117.0,0.6949731109128382,0.5641025641025641,1.8706115150799,FailedNegative,False,False,10.0,320.0,0.231089162884565,0.2492411758078686,0.3135687969723612,1.8009545300597043,-1.5693064625876008,0.4993748031745103,2.214124809007689,-1.8684683684445,0.6,0.4,NotRobust,1.2279272974451327,2.7027155864549797,0.4851765977292709,-1.0,0.4098653837264412,NeutralOrUnproven
ES,10,Sponsor Exhaustion Collapse,RotationalPressure,297,0.0766176495338905,0.1222707423580786,0.53,1.6692071325957685,-1.6552717271535031,0.6181129090756283,NotSignificant,165.0,-0.1121199511285912,0.4821428571428571,-0.6451020799865115,132.0,0.3125396503619928,0.5909090909090909,1.8021111298662256,FailedNegative,False,False,10.0,297.0,0.0970544294777548,0.1049314787792875,0.2528117650722419,2.6107315448254864,-1.6200765561039807,0.5338782812169909,1.6854710593222346,-1.644563494322902,0.6,0.4,NotRobust,0.6127439637871981,2.6877145632197075,0.4396088238041814,-1.0,0.2610728605962187,NeutralOrUnproven
NQ,20,Stable Compression Basin,CompressionPressure,1924,0.056141172587429,0.0751454203708939,0.5110996386164172,2.769079740325704,-2.617012146141928,0.6764110805355514,NotSignificant,1166.0,-0.0287175568486562,0.5114503816793893,-0.2543563958368707,758.0,0.1866758408228847,0.5105540897097626,1.5662990464225068,FailedNegative,False,False,20.0,1924.0,0.0457807133166361,0.0691560353464762,0.1187054878540895,2.256462190819002,-1.4536475170917755,0.508955586151942,2.7615786085525875,-2.6213376321617874,0.6,0.4,NotRobust,0.6691027701338879,2.7831495232112533,0.33902911589056717,-1.0,0.26048598930147127,NeutralOrUnproven
NQ,5,Unstable Rotational Balance,RotationalPressure,1121,0.015979281235553,0.0563758389261744,0.5191793041926851,1.2957009855998591,-1.2355316378154169,0.243023698828586,NotSignificant,670.0,-0.044985764630754,0.5134328358208955,-0.4563054909684236,451.0,0.1065481963806213,0.5277161862527716,1.4706322617489078,FailedNegative,False,False,5.0,1121.0,0.0167990553233288,0.0381942274421438,0.1425835333551507,0.6560909547231059,-0.5860075932254791,0.5200942697815318,1.2974194872081708,-1.2355939833425875,0.6,0.4,NotRobust,0.5607559247071465,2.7187598428325477,0.356937650016363,-1.0,0.22433907244018436,NeutralOrUnproven
NQ,5,Stable Compression Basin,RotationalPressure,587,0.0170137256595185,-0.0347394540942928,0.4821124361158432,1.2258658491655623,-1.2529012735499585,0.2361345388727093,NotSignificant,353.0,-0.0793640111454496,0.4560906515580736,-0.795855393499257,234.0,0.1624040722071843,0.5213675213675214,1.6290810442589685,FailedNegative,False,False,5.0,587.0,0.0139978510739198,0.0386573578248284,0.1063307041709857,0.8406169890398894,-0.596273149120944,0.4809375310503644,1.2254622748782402,-1.2598450091032944,0.6,0.4,NotRobust,0.5590336347181774,2.6927665871831157,0.3297480281282392,-1.0,0.2026616451154335,NeutralOrUnproven
6E,20,Directional Continuation / Sponsor Release,DirectionalReleasePressure,141,0.048747997021181,-0.1686746987947746,0.5,2.690185699170144,-2.6955020320576653,0.1478720657511728,NotSignificant,109.0,-0.6695930969550149,0.4561403508771929,-2.119084923290059,32.0,2.495597348377598,0.65625,2.925043655175031,FailedNegative,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missing,0.4355638882862939,3.024968201800658,0.0,-1.0,0.14585164828748898,NeutralOrUnproven
NQ,5,Sponsor Exhaustion Collapse,DirectionalReleasePressure,38,0.3927057706081043,0.2068137470699294,0.5789473684210527,1.559070799760878,-0.9698554775861492,1.2731340922046794,Unsupported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missing,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missing,0.6129428264201187,0.0,0.0,0.0,0.12258856528402373,NeutralOrUnproven
