Instrument,HorizonBars,ResolvedArchetype,DominantPressure,OffsetCount,TotalSupport,MeanOfOffsetReturns,MedianOfOffsetReturns,StdOfOffsetReturns,MeanOffsetTStat,MaxOffsetTStat,MinOffsetTStat,MeanDirectionalHitRate,MeanDirectionalMFE,MeanDirectionalMAE,PositiveOffsetFraction,NegativeOffsetFraction,NonOverlapRobustnessClass
NQ,5,Pure Unresolved Compression Equilibrium,RotationalPressure,5,193,-0.009781274994469957,-0.04624297219761433,0.24480920638350576,-0.05827316894088948,1.349261816838381,-1.448487597427698,0.48920727205610925,1.278387447799542,-1.1700308039659586,0.4,0.6,NotRobust
NQ,5,Sponsor Exhaustion Collapse,CompressionPressure,5,144,-0.20111688332499153,-0.03606073514466231,0.5994153049376851,-0.6061481424069488,1.4886110748608714,-2.615021109487766,0.4122356282176372,1.208374186414045,-1.3599391933561045,0.4,0.6,NotRobust
NQ,5,Sponsor Exhaustion Collapse,RotationalPressure,5,1211,-0.06513890693782773,-0.06360980003350761,0.09901644093614058,-0.6135774276578541,0.537945180660647,-1.819136476911505,0.4819353520965903,1.1865884853134139,-1.2152087549307773,0.4,0.6,NotRobust
NQ,5,Stable Compression Basin,CompressionPressure,5,1924,0.025708714766200715,0.017526388581079994,0.05189313260198853,0.3161215758678058,1.226521476205816,-0.3240438813857853,0.5027481738839683,1.2317641328108149,-1.227343760571411,0.8,0.2,NotRobust
NQ,5,Stable Compression Basin,RotationalPressure,5,587,0.013997851073919895,0.03865735782482848,0.09385432494662693,0.1063307041709857,0.8406169890398894,-0.596273149120944,0.4809375310503644,1.2254622748782402,-1.2598450091032944,0.6,0.4,NotRobust
NQ,5,Unstable Rotational Balance,RotationalPressure,5,1121,0.016799055323328878,0.03819422744214382,0.07293764338784979,0.14258353335515075,0.6560909547231059,-0.5860075932254791,0.5200942697815318,1.2974194872081708,-1.2355939833425875,0.6,0.4,NotRobust
NQ,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,10,352,0.08957672641614337,0.0983928337572689,0.28550676270337433,0.18434870899973424,1.2900939123679631,-1.3583741832017189,0.5204666863548588,1.820064185909611,-1.650036112991645,0.5,0.5,NotRobust
NQ,10,Directional Continuation / Sponsor Release,RotationalPressure,10,240,0.14098421960688962,0.1473959159170879,0.42894256926716406,0.3028637658305883,2.1011751231635656,-1.1183721835026292,0.528598502946329,1.8880114649155382,-1.7153840859429361,0.7,0.3,NotRobust
NQ,10,Pure Unresolved Compression Equilibrium,CompressionPressure,10,3801,-0.03025321054976246,-0.03441042333481531,0.12521659682711822,-0.24113917355832443,1.1567741499477455,-1.655464407568659,0.5090771019554732,1.8006230083149852,-1.8485975758852313,0.5,0.5,NotRobust
NQ,10,Pure Unresolved Compression Equilibrium,RotationalPressure,5,116,-0.17632442175719776,-0.22676334535087223,0.3363541806251408,-0.3868809643733238,0.6287053351299746,-1.505250053881617,0.4785159368367764,1.827403733895153,-1.5485689172756143,0.4,0.6,NotRobust
NQ,10,Sponsor Exhaustion Collapse,CompressionPressure,1,22,0.09545879052934758,0.09545879052934758,,0.1845304581090074,0.1845304581090074,0.1845304581090074,0.5454545454545454,2.019605962386352,-1.8267056993211106,1.0,0.0,Unsupported
NQ,10,Sponsor Exhaustion Collapse,RotationalPressure,10,1211,-0.09882448136753083,-0.11289022330438811,0.18277601869805302,-0.45649036661536674,0.8096866504965751,-1.8414371969150536,0.4718153081941656,1.7055022389298493,-1.7924639076345792,0.3,0.7,NotRobust
NQ,10,Stable Compression Basin,CompressionPressure,10,1924,-0.014091815447707911,-0.005920366209955867,0.13214159631384054,-0.07470477260837913,0.9962864517591068,-1.597623357345789,0.5101739755168132,1.8316217735548388,-1.742592893726099,0.4,0.6,NotRobust
NQ,10,Stable Compression Basin,RotationalPressure,10,587,0.0315270339415403,-0.023117737359955717,0.28062749714951507,0.0648422466254214,1.730773545183432,-1.1305808810805666,0.5002535407268275,1.770249154863419,-1.8003714855921444,0.4,0.6,NotRobust
NQ,10,Unstable Rotational Balance,RotationalPressure,10,1121,-0.048081846535230593,-0.048318337137306544,0.10485263314921929,-0.15510560026826412,0.5167833384798246,-0.7054908354631504,0.5136625602529431,1.9122761771867673,-1.8550548399798579,0.2,0.8,NotRobust
NQ,20,Directional Continuation / Sponsor Release,DirectionalReleasePressure,8,179,-0.37882177666665745,-0.1640144601608829,0.43710329271255843,-0.49262932631640083,0.0367102710817004,-1.569309324970542,0.47414137492941844,2.427204330752105,-2.6628600266662135,0.125,0.875,NotRobust
NQ,20,Pure Unresolved Compression Equilibrium,CompressionPressure,20,3791,0.09407421438273392,0.10924174964577074,0.2326900540082172,0.36052549946470336,1.762233755628691,-1.0827665921304608,0.5187035459915765,2.7081141076547257,-2.6035709226995456,0.65,0.35,NotRobust
NQ,20,Sponsor Exhaustion Collapse,RotationalPressure,20,1211,-0.14155128797649272,-0.12790294006090616,0.23857663920728975,-0.3563091834014826,0.8284481021011186,-1.665151220575563,0.4839961576899025,2.477672832918643,-2.6403802936463916,0.2,0.8,NotRobust
NQ,20,Stable Compression Basin,CompressionPressure,20,1924,0.04578071331663611,0.06915603534647621,0.31178420485291486,0.11870548785408952,2.256462190819002,-1.4536475170917755,0.508955586151942,2.7615786085525875,-2.6213376321617874,0.6,0.4,NotRobust
