Threshold,Mode,RegimeWeek,Count,MeanSignedReturn,MedianSignedReturn,TStat,PositiveRowFraction
0.48,le,2026-W16,103,3.6771844660194173,1.0,2.7404290133903655,0.5436893203883495
0.48,le,2026-W17,88,-0.5852272727272727,-0.125,-0.5433843889699658,0.4772727272727273
0.48,le,2026-W18,139,-0.10611510791366907,-1.0,-0.1254921051839276,0.43884892086330934
0.48,le,2026-W19,76,-2.3453947368421053,-0.5,-1.528171276715829,0.4605263157894737
0.48,le,2026-W20,134,0.30783582089552236,-0.25,0.40473022158234045,0.4626865671641791
0.48,le,2026-W21,118,-1.7605932203389831,-0.625,-1.8020095900918567,0.4661016949152542
0.5,le,2026-W15,138,-0.8115942028985508,-0.75,-0.8875940043374294,0.463768115942029
0.5,le,2026-W16,103,3.6771844660194173,1.0,2.7404290133903655,0.5436893203883495
0.5,le,2026-W17,88,-0.5852272727272727,-0.125,-0.5433843889699658,0.4772727272727273
0.5,le,2026-W18,139,-0.10611510791366907,-1.0,-0.1254921051839276,0.43884892086330934
0.5,le,2026-W19,76,-2.3453947368421053,-0.5,-1.528171276715829,0.4605263157894737
0.5,le,2026-W20,134,0.30783582089552236,-0.25,0.40473022158234045,0.4626865671641791
0.5,le,2026-W21,118,-1.7605932203389831,-0.625,-1.8020095900918567,0.4661016949152542
0.52,le,2026-W15,138,-0.8115942028985508,-0.75,-0.8875940043374294,0.463768115942029
0.52,le,2026-W16,103,3.6771844660194173,1.0,2.7404290133903655,0.5436893203883495
0.52,le,2026-W17,88,-0.5852272727272727,-0.125,-0.5433843889699658,0.4772727272727273
0.52,le,2026-W18,139,-0.10611510791366907,-1.0,-0.1254921051839276,0.43884892086330934
0.52,le,2026-W19,76,-2.3453947368421053,-0.5,-1.528171276715829,0.4605263157894737
0.52,le,2026-W20,134,0.30783582089552236,-0.25,0.40473022158234045,0.4626865671641791
0.52,le,2026-W21,118,-1.7605932203389831,-0.625,-1.8020095900918567,0.4661016949152542
0.54,le,2026-W15,138,-0.8115942028985508,-0.75,-0.8875940043374294,0.463768115942029
0.54,le,2026-W16,103,3.6771844660194173,1.0,2.7404290133903655,0.5436893203883495
0.54,le,2026-W17,88,-0.5852272727272727,-0.125,-0.5433843889699658,0.4772727272727273
0.54,le,2026-W18,139,-0.10611510791366907,-1.0,-0.1254921051839276,0.43884892086330934
0.54,le,2026-W19,76,-2.3453947368421053,-0.5,-1.528171276715829,0.4605263157894737
0.54,le,2026-W20,134,0.30783582089552236,-0.25,0.40473022158234045,0.4626865671641791
0.54,le,2026-W21,118,-1.7605932203389831,-0.625,-1.8020095900918567,0.4661016949152542
0.56,le,2026-W15,138,-0.8115942028985508,-0.75,-0.8875940043374294,0.463768115942029
0.56,le,2026-W16,103,3.6771844660194173,1.0,2.7404290133903655,0.5436893203883495
0.56,le,2026-W17,88,-0.5852272727272727,-0.125,-0.5433843889699658,0.4772727272727273
0.56,le,2026-W18,139,-0.10611510791366907,-1.0,-0.1254921051839276,0.43884892086330934
0.56,le,2026-W19,76,-2.3453947368421053,-0.5,-1.528171276715829,0.4605263157894737
0.56,le,2026-W20,134,0.30783582089552236,-0.25,0.40473022158234045,0.4626865671641791
0.56,le,2026-W21,118,-1.7605932203389831,-0.625,-1.8020095900918567,0.4661016949152542
0.58,le,2026-W15,138,-0.8115942028985508,-0.75,-0.8875940043374294,0.463768115942029
0.58,le,2026-W16,103,3.6771844660194173,1.0,2.7404290133903655,0.5436893203883495
0.58,le,2026-W17,88,-0.5852272727272727,-0.125,-0.5433843889699658,0.4772727272727273
0.58,le,2026-W18,139,-0.10611510791366907,-1.0,-0.1254921051839276,0.43884892086330934
0.58,le,2026-W19,76,-2.3453947368421053,-0.5,-1.528171276715829,0.4605263157894737
0.58,le,2026-W20,134,0.30783582089552236,-0.25,0.40473022158234045,0.4626865671641791
0.58,le,2026-W21,118,-1.7605932203389831,-0.625,-1.8020095900918567,0.4661016949152542
0.6,le,2026-W15,138,-0.8115942028985508,-0.75,-0.8875940043374294,0.463768115942029
0.6,le,2026-W16,103,3.6771844660194173,1.0,2.7404290133903655,0.5436893203883495
0.6,le,2026-W17,88,-0.5852272727272727,-0.125,-0.5433843889699658,0.4772727272727273
0.6,le,2026-W18,139,-0.10611510791366907,-1.0,-0.1254921051839276,0.43884892086330934
0.6,le,2026-W19,76,-2.3453947368421053,-0.5,-1.528171276715829,0.4605263157894737
0.6,le,2026-W20,134,0.30783582089552236,-0.25,0.40473022158234045,0.4626865671641791
0.6,le,2026-W21,118,-1.7605932203389831,-0.625,-1.8020095900918567,0.4661016949152542
0.62,le,2026-W15,138,-0.8115942028985508,-0.75,-0.8875940043374294,0.463768115942029
0.62,le,2026-W16,103,3.6771844660194173,1.0,2.7404290133903655,0.5436893203883495
0.62,le,2026-W17,88,-0.5852272727272727,-0.125,-0.5433843889699658,0.4772727272727273
0.62,le,2026-W18,139,-0.10611510791366907,-1.0,-0.1254921051839276,0.43884892086330934
