APVA Excursion Destinations Study v0.1 - CL
================================================================================================
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Destination event count: 64

1. Destination Inventory
DestinationFamily | Count | Count_6E | Count_CL | Count_NQ | Probability | ReplicationCount
RecoveryResolution | PolarityFlipFlag | t-2 | 1.0000 | 1.0000 | 0.0000
RecoveryResolution | PolarityFlipFlag | t-3 | 0.0000 | 0.0000 | 0.0000
RecoveryResolution | PolarityFlipFlag | t-5 | 1.0000 | 1.0000 | 0.0000
ExhaustionPersistence | RangeRelativeToPrevious | t-1 | 3.2138 | 2.7262 | 2.0629
ExhaustionPersistence | RangeRelativeToPrevious | t-2 | 1.0080 | 0.9946 | 0.2811
ExhaustionPersistence | RangeRelativeToPrevious | t-3 | 1.0224 | 0.9671 | 0.3320
ExhaustionPersistence | RangeRelativeToPrevious | t-5 | 1.0825 | 1.0833 | 0.3012
ExhaustionPersistence | BodyRelativeToPrevious | t-1 | 5.4074 | 4.6667 | 3.4870
ExhaustionPersistence | BodyRelativeToPrevious | t-2 | 0.6490 | 0.7980 | 0.3839
ExhaustionPersistence | BodyRelativeToPrevious | t-3 | 0.6482 | 0.6964 | 0.2894
ExhaustionPersistence | BodyRelativeToPrevious | t-5 | 1.3342 | 1.0724 | 0.7314
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-1 | 3.2138 | 2.7262 | 2.0629
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-2 | 1.0080 | 0.9946 | 0.2811
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-3 | 1.0224 | 0.9671 | 0.3320
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-5 | 1.0825 | 1.0833 | 0.3012
ExhaustionPersistence | VolumeRelativeToPrevious | t-1 | 2.9372 | 2.7980 | 1.0030
ExhaustionPersistence | VolumeRelativeToPrevious | t-2 | 0.9946 | 0.8546 | 0.2578
ExhaustionPersistence | VolumeRelativeToPrevious | t-3 | 1.1424 | 1.0605 | 0.3261
ExhaustionPersistence | VolumeRelativeToPrevious | t-5 | 0.8298 | 0.8873 | 0.1425
ExhaustionPersistence | VolumeRelativeToRollingMean | t-1 | 2.1356 | 1.3954 | 1.4180
ExhaustionPersistence | VolumeRelativeToRollingMean | t-2 | 0.6712 | 0.6393 | 0.2922
ExhaustionPersistence | VolumeRelativeToRollingMean | t-3 | 0.6277 | 0.6514 | 0.1780
ExhaustionPersistence | VolumeRelativeToRollingMean | t-5 | 0.6962 | 0.7926 | 0.2418
ExhaustionPersistence | VolumeRelativeToSessionMean | t-1 | 1.6211 | 1.0698 | 1.2227
ExhaustionPersistence | VolumeRelativeToSessionMean | t-2 | 0.5901 | 0.5512 | 0.3358
ExhaustionPersistence | VolumeRelativeToSessionMean | t-3 | 0.5576 | 0.6158 | 0.2318
ExhaustionPersistence | VolumeRelativeToSessionMean | t-5 | 0.6481 | 0.7411 | 0.2768
ExhaustionPersistence | EfficiencyRatio | t-1 | 0.6354 | 0.6431 | 0.0825
ExhaustionPersistence | EfficiencyRatio | t-2 | 0.2701 | 0.3095 | 0.1687
ExhaustionPersistence | EfficiencyRatio | t-3 | 0.3598 | 0.3875 | 0.2116
ExhaustionPersistence | EfficiencyRatio | t-5 | 0.4428 | 0.4071 | 0.1636
ExhaustionPersistence | CloseLocation | t-1 | 0.4339 | 0.4608 | 0.3256
ExhaustionPersistence | CloseLocation | t-2 | 0.4663 | 0.4563 | 0.1122
ExhaustionPersistence | CloseLocation | t-3 | 0.5089 | 0.5417 | 0.1546
ExhaustionPersistence | CloseLocation | t-5 | 0.5684 | 0.5600 | 0.3156
ExhaustionPersistence | MemoryStrength | t-1 | 0.2169 | 0.2169 | 0.0000
ExhaustionPersistence | MemoryStrength | t-2 | 0.2466 | 0.2169 | 0.0514
ExhaustionPersistence | MemoryStrength | t-3 | 0.2740 | 0.2717 | 0.0572
ExhaustionPersistence | MemoryStrength | t-5 | 0.3239 | 0.3357 | 0.0298
ExhaustionPersistence | BranchEntropy | t-1 | 1.1917 | 1.1917 | 0.0000
ExhaustionPersistence | BranchEntropy | t-2 | 1.0826 | 1.1917 | 0.1891
ExhaustionPersistence | BranchEntropy | t-3 | 0.9007 | 0.9734 | 0.3086
ExhaustionPersistence | BranchEntropy | t-5 | 0.8801 | 0.7772 | 0.1918
ExhaustionPersistence | PolarityFlipFlag | t-1 | 1.0000 | 1.0000 | 0.0000
ExhaustionPersistence | PolarityFlipFlag | t-2 | 0.7500 | 1.0000 | 0.4330
ExhaustionPersistence | PolarityFlipFlag | t-3 | 0.5000 | 0.5000 | 0.5000
ExhaustionPersistence | PolarityFlipFlag | t-5 | 0.5000 | 0.5000 | 0.5000
ConstructiveEmergence | RangeRelativeToPrevious | t-1 | 2.3143 | 2.3143 | 0.0000
ConstructiveEmergence | RangeRelativeToPrevious | t-2 | 0.8140 | 0.8140 | 0.0000
ConstructiveEmergence | RangeRelativeToPrevious | t-3 | 0.0000 | 0.0000 | 0.0000
