APVA State Transition Model Study v0.1
========================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
State counts: RecoveryResolution=160, ExhaustionPersistence=176, CompressionProcessing=350, NeutralProcessing=1278, ReassertionProcessing=207, DecayToNeutral=103, DestructiveRotation=84, ConstructiveEmergence=12, MixedStructure=314
State-age counts: 35

1. Transition Matrix
State | AgeBucket | NextState | Count | TransitionCount | TransitionProbability
DecayToNeutral | 1 | 103 | NeutralProcessing | 61.17% | MixedStructure | 25.24% | 35.92%
DestructiveRotation | 1 | 71 | NeutralProcessing | 35.21% | DecayToNeutral | 28.17% | 7.04%
DestructiveRotation | 2 | 12 | DecayToNeutral | 33.33% | ExhaustionPersistence | 25.00% | 8.33%
DestructiveRotation | 3 | 1 | CompressionProcessing | 100.00% | N/A | 0.00% | 100.00%
ExhaustionPersistence | 1 | 97 | ExhaustionPersistence | 31.96% | RecoveryResolution | 29.90% | 2.06%
ExhaustionPersistence | 2 | 31 | ExhaustionPersistence | 67.74% | RecoveryResolution | 29.03% | 38.71%
ExhaustionPersistence | 3 | 21 | ExhaustionPersistence | 76.19% | NeutralProcessing | 23.81% | 52.38%
ExhaustionPersistence | 4 | 16 | ExhaustionPersistence | 50.00% | NeutralProcessing | 18.75% | 31.25%
ExhaustionPersistence | 5 | 8 | NeutralProcessing | 37.50% | DecayToNeutral | 25.00% | 12.50%
ExhaustionPersistence | 6-10 | 3 | ExhaustionPersistence | 66.67% | NeutralProcessing | 33.33% | 33.33%
MixedStructure | 1 | 279 | NeutralProcessing | 41.22% | DecayToNeutral | 15.77% | 25.45%
MixedStructure | 2 | 28 | DecayToNeutral | 28.57% | NeutralProcessing | 25.00% | 3.57%
MixedStructure | 3 | 5 | ConstructiveEmergence | 40.00% | MixedStructure | 40.00% | 0.00%
MixedStructure | 4 | 2 | NeutralProcessing | 100.00% | N/A | 0.00% | 100.00%
NeutralProcessing | 1 | 445 | NeutralProcessing | 56.85% | MixedStructure | 14.83% | 42.02%
NeutralProcessing | 11-20 | 30 | NeutralProcessing | 63.33% | MixedStructure | 13.33% | 50.00%
