APVA Phase Transition Matrix Study v0.1 - CL
=============================================
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Structural state counts: {'MixedStructure': 314, 'NeutralProcessing': 1278, 'ReassertionProcessing': 207, 'CompressionProcessing': 350, 'DecayToNeutral': 103, 'ExhaustionPersistence': 176, 'DestructiveRotation': 84, 'RecoveryResolution': 160, 'ConstructiveEmergence': 12}
Lifecycle phase counts: {'Terminal': 542, 'Maturity': 256, 'Insufficient': 79, 'Birth': 988, 'Growth': 516, 'Decay': 303}
Valid phase observations: 2605

Section 1 - Phase Counts
========================
Phase              Count  Frequency
Birth                988     36.81%
Growth               516     19.23%
Maturity             256      9.54%
Decay                303     11.29%
Terminal             542     20.19%
Insufficient          79      2.94%

Section 2 - Phase -> NextState Tables
=====================================
Phase           H NextState                        Count  Probability      Lift
MixedStructure               Terminal        1 CompressionProcessing                5        1.79%     0.137
MixedStructure               Terminal        1 NeutralProcessing                  115       41.22%     0.865
MixedStructure               Terminal        1 ReassertionProcessing               17        6.09%     0.790
MixedStructure               Terminal        1 DecayToNeutral                      44       15.77%     4.108
MixedStructure               Terminal        1 DestructiveRotation                  3        1.08%     0.343
MixedStructure               Terminal        1 ConstructiveEmergence                3        1.08%     2.404
MixedStructure               Terminal        1 MixedStructure                      28       10.04%     0.860
MixedStructure               Insufficient    1 RecoveryResolution                   1       14.29%     2.396
MixedStructure               Insufficient    1 NeutralProcessing                    2       28.57%     0.600
MixedStructure               Insufficient    1 ConstructiveEmergence                2       28.57%    63.881
MixedStructure               Insufficient    1 MixedStructure                       2       28.57%     2.449
RecoveryResolution           Birth           2 RecoveryResolution                  30       31.91%     5.350
RecoveryResolution           Birth           2 ExhaustionPersistence                3        3.19%     0.486
RecoveryResolution           Birth           2 CompressionProcessing               34       36.17%     2.772
RecoveryResolution           Birth           2 NeutralProcessing                   27       28.72%     0.603
RecoveryResolution           Maturity        2 RecoveryResolution                   1        2.63%     0.441
RecoveryResolution           Maturity        2 ExhaustionPersistence                4       10.53%     1.604
RecoveryResolution           Maturity        2 CompressionProcessing               21       55.26%     4.235
RecoveryResolution           Maturity        2 NeutralProcessing                   12       31.58%     0.663
RecoveryResolution           Terminal        2 RecoveryResolution                   1        3.70%     0.621
RecoveryResolution           Terminal        2 ExhaustionPersistence                3       11.11%     1.693
RecoveryResolution           Terminal        2 CompressionProcessing               18       66.67%     5.109
RecoveryResolution           Terminal        2 NeutralProcessing                    5       18.52%     0.389
RecoveryResolution           Insufficient    2 CompressionProcessing                1      100.00%     7.663
ExhaustionPersistence        Birth           2 RecoveryResolution                  38       39.18%     6.567
ExhaustionPersistence        Birth           2 ExhaustionPersistence               21       21.65%     3.299
ExhaustionPersistence        Birth           2 CompressionProcessing                4        4.12%     0.316
ExhaustionPersistence        Birth           2 NeutralProcessing                   20       20.62%     0.433
ExhaustionPersistence        Birth           2 DecayToNeutral                       1        1.03%     0.268
ExhaustionPersistence        Birth           2 DestructiveRotation                 13       13.40%     4.279
ExhaustionPersistence        Growth          2 RecoveryResolution                   9       29.03%     4.867
ExhaustionPersistence        Growth          2 ExhaustionPersistence               16       51.61%     7.865
ExhaustionPersistence        Growth          2 NeutralProcessing                    6       19.35%     0.406
ExhaustionPersistence        Maturity        2 RecoveryResolution                   1        4.76%     0.798
ExhaustionPersistence        Maturity        2 ExhaustionPersistence                8       38.10%     5.805
ExhaustionPersistence        Maturity        2 CompressionProcessing                1        4.76%     0.365
ExhaustionPersistence        Maturity        2 NeutralProcessing                    6       28.57%     0.600
ExhaustionPersistence        Maturity        2 DecayToNeutral                       1        4.76%     1.240
ExhaustionPersistence        Maturity        2 DestructiveRotation                  4       19.05%     6.082
ExhaustionPersistence        Insufficient    2 ExhaustionPersistence                3       11.11%     1.693
ExhaustionPersistence        Insufficient    2 CompressionProcessing                3       11.11%     0.851
ExhaustionPersistence        Insufficient    2 NeutralProcessing                   12       44.44%     0.933
ExhaustionPersistence        Insufficient    2 DecayToNeutral                       4       14.81%     3.858
ExhaustionPersistence        Insufficient    2 DestructiveRotation                  2        7.41%     2.365
ExhaustionPersistence        Insufficient    2 MixedStructure                       3       11.11%     0.955
CompressionProcessing        Birth           2 RecoveryResolution                   8        4.55%     0.762
CompressionProcessing        Birth           2 ExhaustionPersistence               13        7.39%     1.126
CompressionProcessing        Birth           2 CompressionProcessing               66       37.50%     2.874
CompressionProcessing        Birth           2 NeutralProcessing                   66       37.50%     0.787
CompressionProcessing        Birth           2 ReassertionProcessing                9        5.11%     0.663
CompressionProcessing        Birth           2 DecayToNeutral                       3        1.70%     0.444
CompressionProcessing        Birth           2 DestructiveRotation                  3        1.70%     0.544
CompressionProcessing        Birth           2 ConstructiveEmergence                1        0.57%     1.270
CompressionProcessing        Birth           2 MixedStructure                       7        3.98%     0.342
CompressionProcessing        Growth          2 RecoveryResolution                   3        3.26%     0.547
CompressionProcessing        Growth          2 ExhaustionPersistence               10       10.87%     1.656
CompressionProcessing        Growth          2 CompressionProcessing               39       42.39%     3.248
CompressionProcessing        Growth          2 NeutralProcessing                   36       39.13%     0.821
CompressionProcessing        Growth          2 ReassertionProcessing                1        1.09%     0.141
CompressionProcessing        Growth          2 MixedStructure                       3        3.26%     0.280
CompressionProcessing        Maturity        2 RecoveryResolution                   4        6.35%     1.064
CompressionProcessing        Maturity        2 ExhaustionPersistence                9       14.29%     2.177
CompressionProcessing        Maturity        2 CompressionProcessing               23       36.51%     2.798
CompressionProcessing        Maturity        2 NeutralProcessing                   16       25.40%     0.533
CompressionProcessing        Maturity        2 ReassertionProcessing                2        3.17%     0.411
CompressionProcessing        Maturity        2 DecayToNeutral                       3        4.76%     1.240
CompressionProcessing        Maturity        2 DestructiveRotation                  3        4.76%     1.520
CompressionProcessing        Maturity        2 MixedStructure                       3        4.76%     0.409
CompressionProcessing        Insufficient    2 RecoveryResolution                   2       11.11%     1.862
CompressionProcessing        Insufficient    2 ExhaustionPersistence                3       16.67%     2.540
CompressionProcessing        Insufficient    2 CompressionProcessing                4       22.22%     1.703
CompressionProcessing        Insufficient    2 NeutralProcessing                    5       27.78%     0.583
CompressionProcessing        Insufficient    2 DecayToNeutral                       1        5.56%     1.447
CompressionProcessing        Insufficient    2 MixedStructure                       3       16.67%     1.433
NeutralProcessing            Birth           2 RecoveryResolution                  10        2.25%     0.377
NeutralProcessing            Birth           2 ExhaustionPersistence               28        6.29%     0.959
NeutralProcessing            Birth           2 CompressionProcessing               45       10.11%     0.775
NeutralProcessing            Birth           2 NeutralProcessing                  193       43.37%     0.910
NeutralProcessing            Birth           2 ReassertionProcessing               40        8.99%     1.165
NeutralProcessing            Birth           2 DecayToNeutral                      21        4.72%     1.229
NeutralProcessing            Birth           2 DestructiveRotation                 15        3.37%     1.076
NeutralProcessing            Birth           2 MixedStructure                      93       20.90%     1.796
NeutralProcessing            Growth          2 RecoveryResolution                  13        3.31%     0.554
NeutralProcessing            Growth          2 ExhaustionPersistence                6        1.53%     0.233
NeutralProcessing            Growth          2 CompressionProcessing               13        3.31%     0.253
NeutralProcessing            Growth          2 NeutralProcessing                  294       74.81%     1.570
NeutralProcessing            Growth          2 ReassertionProcessing               32        8.14%     1.055
NeutralProcessing            Growth          2 DestructiveRotation                  1        0.25%     0.081
NeutralProcessing            Growth          2 ConstructiveEmergence                2        0.51%     1.137
NeutralProcessing            Growth          2 MixedStructure                      32        8.14%     0.700
NeutralProcessing            Maturity        2 RecoveryResolution                   4        3.77%     0.633
NeutralProcessing            Maturity        2 ExhaustionPersistence                1        0.94%     0.144
NeutralProcessing            Maturity        2 CompressionProcessing                3        2.83%     0.217
NeutralProcessing            Maturity        2 NeutralProcessing                   81       76.42%     1.604
NeutralProcessing            Maturity        2 ReassertionProcessing                6        5.66%     0.733
NeutralProcessing            Maturity        2 DestructiveRotation                  1        0.94%     0.301
NeutralProcessing            Maturity        2 MixedStructure                      10        9.43%     0.811
NeutralProcessing            Decay           2 RecoveryResolution                   8        2.64%     0.443
NeutralProcessing            Decay           2 ExhaustionPersistence               10        3.30%     0.503
NeutralProcessing            Decay           2 CompressionProcessing               15        4.95%     0.379
NeutralProcessing            Decay           2 NeutralProcessing                  181       59.74%     1.254
NeutralProcessing            Decay           2 ReassertionProcessing               38       12.54%     1.625
NeutralProcessing            Decay           2 DecayToNeutral                       8        2.64%     0.687
NeutralProcessing            Decay           2 ConstructiveEmergence                2        0.66%     1.475
NeutralProcessing            Decay           2 MixedStructure                      41       13.53%     1.163
NeutralProcessing            Terminal        2 ExhaustionPersistence                1        3.33%     0.508
NeutralProcessing            Terminal        2 CompressionProcessing                3       10.00%     0.766
NeutralProcessing            Terminal        2 NeutralProcessing                   14       46.67%     0.979
NeutralProcessing            Terminal        2 ReassertionProcessing                4       13.33%     1.728
NeutralProcessing            Terminal        2 DecayToNeutral                       2        6.67%     1.736
NeutralProcessing            Terminal        2 ConstructiveEmergence                1        3.33%     7.450
NeutralProcessing            Terminal        2 MixedStructure                       5       16.67%     1.433
ReassertionProcessing        Terminal        2 RecoveryResolution                   5        2.43%     0.407
ReassertionProcessing        Terminal        2 ExhaustionPersistence                6        2.91%     0.444
ReassertionProcessing        Terminal        2 CompressionProcessing                8        3.88%     0.298
ReassertionProcessing        Terminal        2 NeutralProcessing                  101       49.03%     1.029
ReassertionProcessing        Terminal        2 ReassertionProcessing               41       19.90%     2.579
ReassertionProcessing        Terminal        2 DecayToNeutral                      10        4.85%     1.264
ReassertionProcessing        Terminal        2 DestructiveRotation                 23       11.17%     3.565
ReassertionProcessing        Terminal        2 MixedStructure                      12        5.83%     0.501
ReassertionProcessing        Insufficient    2 DestructiveRotation                  1      100.00%    31.929
DecayToNeutral               Birth           2 RecoveryResolution                   2        1.94%     0.325
DecayToNeutral               Birth           2 ExhaustionPersistence                7        6.80%     1.036
DecayToNeutral               Birth           2 CompressionProcessing                5        4.85%     0.372
DecayToNeutral               Birth           2 NeutralProcessing                   30       29.13%     0.611
DecayToNeutral               Birth           2 ReassertionProcessing                5        4.85%     0.629
DecayToNeutral               Birth           2 DecayToNeutral                      18       17.48%     4.550
DecayToNeutral               Birth           2 DestructiveRotation                  9        8.74%     2.790
DecayToNeutral               Birth           2 ConstructiveEmergence                2        1.94%     4.340
DecayToNeutral               Birth           2 MixedStructure                      25       24.27%     2.086
DestructiveRotation          Birth           2 RecoveryResolution                   1        1.41%     0.236
DestructiveRotation          Birth           2 ExhaustionPersistence                9       12.68%     1.932
DestructiveRotation          Birth           2 CompressionProcessing                4        5.63%     0.432
DestructiveRotation          Birth           2 NeutralProcessing                   29       40.85%     0.857
DestructiveRotation          Birth           2 ReassertionProcessing                8       11.27%     1.460
DestructiveRotation          Birth           2 DecayToNeutral                       4        5.63%     1.467
DestructiveRotation          Birth           2 DestructiveRotation                  3        4.23%     1.349
DestructiveRotation          Birth           2 MixedStructure                      13       18.31%     1.574
DestructiveRotation          Insufficient    2 ExhaustionPersistence                2       15.38%     2.344
DestructiveRotation          Insufficient    2 CompressionProcessing                4       30.77%     2.358
DestructiveRotation          Insufficient    2 NeutralProcessing                    4       30.77%     0.646
DestructiveRotation          Insufficient    2 DecayToNeutral                       1        7.69%     2.003
DestructiveRotation          Insufficient    2 DestructiveRotation                  1        7.69%     2.456
DestructiveRotation          Insufficient    2 ConstructiveEmergence                1        7.69%    17.192
ConstructiveEmergence        Insufficient    2 NeutralProcessing                    4       33.33%     0.700
ConstructiveEmergence        Insufficient    2 DecayToNeutral                       3       25.00%     6.510
ConstructiveEmergence        Insufficient    2 MixedStructure                       5       41.67%     3.582
MixedStructure               Maturity        2 RecoveryResolution                   3       10.71%     1.796
MixedStructure               Maturity        2 ExhaustionPersistence                1        3.57%     0.544
MixedStructure               Maturity        2 CompressionProcessing                5       17.86%     1.368
MixedStructure               Maturity        2 NeutralProcessing                    7       25.00%     0.525
MixedStructure               Maturity        2 ReassertionProcessing                2        7.14%     0.925
MixedStructure               Maturity        2 ConstructiveEmergence                2        7.14%    15.964
MixedStructure               Maturity        2 MixedStructure                       8       28.57%     2.456
MixedStructure               Terminal        2 RecoveryResolution                  17        6.09%     1.021
MixedStructure               Terminal        2 ExhaustionPersistence               12        4.30%     0.655
MixedStructure               Terminal        2 CompressionProcessing               30       10.75%     0.824
MixedStructure               Terminal        2 NeutralProcessing                  126       45.16%     0.948
MixedStructure               Terminal        2 ReassertionProcessing               18        6.45%     0.836
MixedStructure               Terminal        2 DecayToNeutral                      23        8.24%     2.147
MixedStructure               Terminal        2 DestructiveRotation                  5        1.79%     0.572
MixedStructure               Terminal        2 ConstructiveEmergence                1        0.36%     0.801
MixedStructure               Terminal        2 MixedStructure                      47       16.85%     1.448
MixedStructure               Insufficient    2 CompressionProcessing                1       14.29%     1.095
MixedStructure               Insufficient    2 NeutralProcessing                    3       42.86%     0.899
MixedStructure               Insufficient    2 ReassertionProcessing                1       14.29%     1.851
MixedStructure               Insufficient    2 MixedStructure                       2       28.57%     2.456
RecoveryResolution           Birth           3 RecoveryResolution                   4        4.26%     0.713
RecoveryResolution           Birth           3 ExhaustionPersistence               10       10.64%     1.621
RecoveryResolution           Birth           3 CompressionProcessing               53       56.38%     4.319
RecoveryResolution           Birth           3 NeutralProcessing                   27       28.72%     0.603
RecoveryResolution           Maturity        3 RecoveryResolution                   1        2.63%     0.441
RecoveryResolution           Maturity        3 ExhaustionPersistence                3        7.89%     1.203
RecoveryResolution           Maturity        3 CompressionProcessing               23       60.53%     4.636
RecoveryResolution           Maturity        3 NeutralProcessing                   11       28.95%     0.607
RecoveryResolution           Terminal        3 RecoveryResolution                   2        7.41%     1.241
RecoveryResolution           Terminal        3 ExhaustionPersistence                3       11.11%     1.693
RecoveryResolution           Terminal        3 CompressionProcessing                6       22.22%     1.702
RecoveryResolution           Terminal        3 NeutralProcessing                   13       48.15%     1.010
RecoveryResolution           Terminal        3 DecayToNeutral                       1        3.70%     0.964
RecoveryResolution           Terminal        3 MixedStructure                       2        7.41%     0.639
RecoveryResolution           Insufficient    3 CompressionProcessing                1      100.00%     7.660
ExhaustionPersistence        Birth           3 RecoveryResolution                  31       31.96%     5.355
ExhaustionPersistence        Birth           3 ExhaustionPersistence               19       19.59%     2.984
ExhaustionPersistence        Birth           3 CompressionProcessing                1        1.03%     0.079
ExhaustionPersistence        Birth           3 NeutralProcessing                   26       26.80%     0.562
ExhaustionPersistence        Birth           3 DecayToNeutral                       7        7.22%     1.878
ExhaustionPersistence        Birth           3 DestructiveRotation                 13       13.40%     4.277
ExhaustionPersistence        Growth          3 RecoveryResolution                   8       25.81%     4.324
ExhaustionPersistence        Growth          3 ExhaustionPersistence                8       25.81%     3.931
ExhaustionPersistence        Growth          3 CompressionProcessing                1        3.23%     0.247
ExhaustionPersistence        Growth          3 NeutralProcessing                    9       29.03%     0.609
ExhaustionPersistence        Growth          3 DecayToNeutral                       1        3.23%     0.840
ExhaustionPersistence        Growth          3 DestructiveRotation                  4       12.90%     4.118
ExhaustionPersistence        Maturity        3 ExhaustionPersistence                1        4.76%     0.725
ExhaustionPersistence        Maturity        3 CompressionProcessing                3       14.29%     1.094
ExhaustionPersistence        Maturity        3 NeutralProcessing                   10       47.62%     0.999
ExhaustionPersistence        Maturity        3 DecayToNeutral                       4       19.05%     4.958
ExhaustionPersistence        Maturity        3 DestructiveRotation                  1        4.76%     1.520
ExhaustionPersistence        Maturity        3 MixedStructure                       2        9.52%     0.821
ExhaustionPersistence        Insufficient    3 ExhaustionPersistence                4       14.81%     2.257
ExhaustionPersistence        Insufficient    3 NeutralProcessing                   13       48.15%     1.010
ExhaustionPersistence        Insufficient    3 DestructiveRotation                  2        7.41%     2.364
ExhaustionPersistence        Insufficient    3 MixedStructure                       8       29.63%     2.554
CompressionProcessing        Birth           3 RecoveryResolution                   9        5.11%     0.857
CompressionProcessing        Birth           3 ExhaustionPersistence               16        9.09%     1.385
CompressionProcessing        Birth           3 CompressionProcessing               62       35.23%     2.698
CompressionProcessing        Birth           3 NeutralProcessing                   60       34.09%     0.715
CompressionProcessing        Birth           3 ReassertionProcessing                3        1.70%     0.221
CompressionProcessing        Birth           3 DecayToNeutral                       5        2.84%     0.739
CompressionProcessing        Birth           3 DestructiveRotation                  4        2.27%     0.725
CompressionProcessing        Birth           3 MixedStructure                      17        9.66%     0.833
CompressionProcessing        Growth          3 RecoveryResolution                   7        7.61%     1.275
CompressionProcessing        Growth          3 ExhaustionPersistence               10       10.87%     1.656
CompressionProcessing        Growth          3 CompressionProcessing               29       31.52%     2.415
CompressionProcessing        Growth          3 NeutralProcessing                   34       36.96%     0.775
CompressionProcessing        Growth          3 ReassertionProcessing                4        4.35%     0.563
CompressionProcessing        Growth          3 DecayToNeutral                       3        3.26%     0.849
CompressionProcessing        Growth          3 MixedStructure                       5        5.43%     0.469
CompressionProcessing        Maturity        3 RecoveryResolution                   9       14.29%     2.394
CompressionProcessing        Maturity        3 ExhaustionPersistence               11       17.46%     2.660
CompressionProcessing        Maturity        3 CompressionProcessing               12       19.05%     1.459
CompressionProcessing        Maturity        3 NeutralProcessing                   18       28.57%     0.599
CompressionProcessing        Maturity        3 DecayToNeutral                       2        3.17%     0.826
CompressionProcessing        Maturity        3 DestructiveRotation                  5        7.94%     2.533
CompressionProcessing        Maturity        3 MixedStructure                       6        9.52%     0.821
CompressionProcessing        Insufficient    3 RecoveryResolution                   3       16.67%     2.793
CompressionProcessing        Insufficient    3 ExhaustionPersistence                2       11.11%     1.693
CompressionProcessing        Insufficient    3 CompressionProcessing                3       16.67%     1.277
CompressionProcessing        Insufficient    3 NeutralProcessing                    5       27.78%     0.583
CompressionProcessing        Insufficient    3 ReassertionProcessing                1        5.56%     0.720
CompressionProcessing        Insufficient    3 DecayToNeutral                       1        5.56%     1.446
CompressionProcessing        Insufficient    3 DestructiveRotation                  1        5.56%     1.773
CompressionProcessing        Insufficient    3 MixedStructure                       2       11.11%     0.958
NeutralProcessing            Birth           3 RecoveryResolution                  21        4.72%     0.791
NeutralProcessing            Birth           3 ExhaustionPersistence               13        2.92%     0.445
NeutralProcessing            Birth           3 CompressionProcessing               31        6.97%     0.534
NeutralProcessing            Birth           3 NeutralProcessing                  273       61.35%     1.287
NeutralProcessing            Birth           3 ReassertionProcessing               41        9.21%     1.193
NeutralProcessing            Birth           3 DecayToNeutral                       8        1.80%     0.468
NeutralProcessing            Birth           3 DestructiveRotation                 11        2.47%     0.789
NeutralProcessing            Birth           3 ConstructiveEmergence                2        0.45%     1.004
NeutralProcessing            Birth           3 MixedStructure                      45       10.11%     0.872
NeutralProcessing            Growth          3 RecoveryResolution                  12        3.06%     0.513
NeutralProcessing            Growth          3 ExhaustionPersistence                7        1.79%     0.272
NeutralProcessing            Growth          3 CompressionProcessing               17        4.34%     0.332
NeutralProcessing            Growth          3 NeutralProcessing                  282       71.94%     1.509
NeutralProcessing            Growth          3 ReassertionProcessing               37        9.44%     1.222
NeutralProcessing            Growth          3 DestructiveRotation                  4        1.02%     0.326
NeutralProcessing            Growth          3 ConstructiveEmergence                1        0.26%     0.570
NeutralProcessing            Growth          3 MixedStructure                      32        8.16%     0.704
NeutralProcessing            Maturity        3 RecoveryResolution                   1        0.94%     0.158
NeutralProcessing            Maturity        3 ExhaustionPersistence                2        1.89%     0.287
NeutralProcessing            Maturity        3 CompressionProcessing                6        5.66%     0.434
NeutralProcessing            Maturity        3 NeutralProcessing                   68       64.15%     1.346
NeutralProcessing            Maturity        3 ReassertionProcessing               14       13.21%     1.711
NeutralProcessing            Maturity        3 DecayToNeutral                       3        2.83%     0.737
NeutralProcessing            Maturity        3 MixedStructure                      12       11.32%     0.976
NeutralProcessing            Decay           3 RecoveryResolution                  11        3.63%     0.608
NeutralProcessing            Decay           3 ExhaustionPersistence               11        3.63%     0.553
NeutralProcessing            Decay           3 CompressionProcessing               26        8.58%     0.657
NeutralProcessing            Decay           3 NeutralProcessing                  153       50.50%     1.059
NeutralProcessing            Decay           3 ReassertionProcessing               38       12.54%     1.624
NeutralProcessing            Decay           3 DecayToNeutral                      10        3.30%     0.859
NeutralProcessing            Decay           3 DestructiveRotation                  8        2.64%     0.843
NeutralProcessing            Decay           3 ConstructiveEmergence                4        1.32%     2.949
NeutralProcessing            Decay           3 MixedStructure                      42       13.86%     1.195
NeutralProcessing            Terminal        3 RecoveryResolution                   1        3.33%     0.559
NeutralProcessing            Terminal        3 ExhaustionPersistence                2        6.67%     1.016
NeutralProcessing            Terminal        3 CompressionProcessing                2        6.67%     0.511
NeutralProcessing            Terminal        3 NeutralProcessing                   14       46.67%     0.979
NeutralProcessing            Terminal        3 ReassertionProcessing                3       10.00%     1.295
NeutralProcessing            Terminal        3 DecayToNeutral                       1        3.33%     0.868
NeutralProcessing            Terminal        3 MixedStructure                       7       23.33%     2.011
ReassertionProcessing        Terminal        3 RecoveryResolution                   5        2.43%     0.407
ReassertionProcessing        Terminal        3 ExhaustionPersistence                8        3.88%     0.592
ReassertionProcessing        Terminal        3 CompressionProcessing               15        7.28%     0.558
ReassertionProcessing        Terminal        3 NeutralProcessing                   83       40.29%     0.845
ReassertionProcessing        Terminal        3 ReassertionProcessing               31       15.05%     1.949
ReassertionProcessing        Terminal        3 DecayToNeutral                      15        7.28%     1.895
ReassertionProcessing        Terminal        3 DestructiveRotation                 16        7.77%     2.479
ReassertionProcessing        Terminal        3 MixedStructure                      33       16.02%     1.381
ReassertionProcessing        Insufficient    3 ExhaustionPersistence                1      100.00%    15.233
DecayToNeutral               Birth           3 RecoveryResolution                   5        4.85%     0.813
DecayToNeutral               Birth           3 ExhaustionPersistence               11       10.68%     1.627
DecayToNeutral               Birth           3 CompressionProcessing                9        8.74%     0.669
DecayToNeutral               Birth           3 NeutralProcessing                   46       44.66%     0.937
DecayToNeutral               Birth           3 ReassertionProcessing                2        1.94%     0.251
DecayToNeutral               Birth           3 DecayToNeutral                       7        6.80%     1.769
DecayToNeutral               Birth           3 DestructiveRotation                  2        1.94%     0.620
DecayToNeutral               Birth           3 MixedStructure                      21       20.39%     1.758
DestructiveRotation          Birth           3 RecoveryResolution                   5        7.04%     1.180
DestructiveRotation          Birth           3 ExhaustionPersistence                8       11.27%     1.716
DestructiveRotation          Birth           3 CompressionProcessing                6        8.45%     0.647
DestructiveRotation          Birth           3 NeutralProcessing                   27       38.03%     0.798
DestructiveRotation          Birth           3 ReassertionProcessing                6        8.45%     1.095
DestructiveRotation          Birth           3 DecayToNeutral                       7        9.86%     2.566
DestructiveRotation          Birth           3 DestructiveRotation                  1        1.41%     0.450
DestructiveRotation          Birth           3 ConstructiveEmergence                1        1.41%     3.147
DestructiveRotation          Birth           3 MixedStructure                      10       14.08%     1.214
DestructiveRotation          Insufficient    3 RecoveryResolution                   2       15.38%     2.578
DestructiveRotation          Insufficient    3 ExhaustionPersistence                2       15.38%     2.344
DestructiveRotation          Insufficient    3 CompressionProcessing                2       15.38%     1.178
DestructiveRotation          Insufficient    3 NeutralProcessing                    3       23.08%     0.484
DestructiveRotation          Insufficient    3 ReassertionProcessing                1        7.69%     0.996
DestructiveRotation          Insufficient    3 DecayToNeutral                       2       15.38%     4.004
DestructiveRotation          Insufficient    3 MixedStructure                       1        7.69%     0.663
ConstructiveEmergence        Insufficient    3 ExhaustionPersistence                2       16.67%     2.539
ConstructiveEmergence        Insufficient    3 NeutralProcessing                    3       25.00%     0.524
ConstructiveEmergence        Insufficient    3 MixedStructure                       7       58.33%     5.029
MixedStructure               Maturity        3 RecoveryResolution                   2        7.14%     1.197
MixedStructure               Maturity        3 ExhaustionPersistence                3       10.71%     1.632
MixedStructure               Maturity        3 CompressionProcessing                5       17.86%     1.368
MixedStructure               Maturity        3 NeutralProcessing                    7       25.00%     0.524
MixedStructure               Maturity        3 ReassertionProcessing                1        3.57%     0.463
MixedStructure               Maturity        3 DecayToNeutral                       3       10.71%     2.789
MixedStructure               Maturity        3 MixedStructure                       7       25.00%     2.155
MixedStructure               Terminal        3 RecoveryResolution                  21        7.53%     1.261
MixedStructure               Terminal        3 ExhaustionPersistence               19        6.81%     1.037
MixedStructure               Terminal        3 CompressionProcessing               36       12.90%     0.988
MixedStructure               Terminal        3 NeutralProcessing                   91       32.62%     0.684
MixedStructure               Terminal        3 ReassertionProcessing               22        7.89%     1.021
MixedStructure               Terminal        3 DecayToNeutral                      22        7.89%     2.052
MixedStructure               Terminal        3 DestructiveRotation                 12        4.30%     1.373
MixedStructure               Terminal        3 ConstructiveEmergence                4        1.43%     3.203
MixedStructure               Terminal        3 MixedStructure                      52       18.64%     1.607
MixedStructure               Insufficient    3 CompressionProcessing                1       14.29%     1.094
MixedStructure               Insufficient    3 NeutralProcessing                    2       28.57%     0.599
MixedStructure               Insufficient    3 ReassertionProcessing                3       42.86%     5.551
MixedStructure               Insufficient    3 DecayToNeutral                       1       14.29%     3.718
RecoveryResolution           Birth           5 RecoveryResolution                  10       10.64%     1.781
RecoveryResolution           Birth           5 ExhaustionPersistence               12       12.77%     1.943
RecoveryResolution           Birth           5 CompressionProcessing               19       20.21%     1.547
RecoveryResolution           Birth           5 NeutralProcessing                   38       40.43%     0.848
RecoveryResolution           Birth           5 ReassertionProcessing                1        1.06%     0.138
RecoveryResolution           Birth           5 DecayToNeutral                       4        4.26%     1.107
RecoveryResolution           Birth           5 DestructiveRotation                  1        1.06%     0.339
RecoveryResolution           Birth           5 ConstructiveEmergence                1        1.06%     2.375
RecoveryResolution           Birth           5 MixedStructure                       8        8.51%     0.735
RecoveryResolution           Maturity        5 ExhaustionPersistence                1        2.63%     0.401
RecoveryResolution           Maturity        5 CompressionProcessing                7       18.42%     1.410
RecoveryResolution           Maturity        5 NeutralProcessing                   21       55.26%     1.159
RecoveryResolution           Maturity        5 ReassertionProcessing                3        7.89%     1.022
RecoveryResolution           Maturity        5 DecayToNeutral                       1        2.63%     0.684
RecoveryResolution           Maturity        5 MixedStructure                       5       13.16%     1.137
RecoveryResolution           Terminal        5 CompressionProcessing                5       18.52%     1.417
RecoveryResolution           Terminal        5 NeutralProcessing                   16       59.26%     1.243
RecoveryResolution           Terminal        5 ReassertionProcessing                2        7.41%     0.959
RecoveryResolution           Terminal        5 DecayToNeutral                       1        3.70%     0.963
RecoveryResolution           Terminal        5 DestructiveRotation                  1        3.70%     1.181
RecoveryResolution           Terminal        5 MixedStructure                       2        7.41%     0.640
RecoveryResolution           Insufficient    5 NeutralProcessing                    1      100.00%     2.098
ExhaustionPersistence        Birth           5 RecoveryResolution                   6        6.19%     1.036
ExhaustionPersistence        Birth           5 ExhaustionPersistence                6        6.19%     0.942
ExhaustionPersistence        Birth           5 CompressionProcessing               29       29.90%     2.288
ExhaustionPersistence        Birth           5 NeutralProcessing                   40       41.24%     0.865
ExhaustionPersistence        Birth           5 ReassertionProcessing                3        3.09%     0.400
ExhaustionPersistence        Birth           5 DecayToNeutral                       6        6.19%     1.609
ExhaustionPersistence        Birth           5 DestructiveRotation                  2        2.06%     0.658
ExhaustionPersistence        Birth           5 MixedStructure                       5        5.15%     0.445
ExhaustionPersistence        Growth          5 ExhaustionPersistence                4       12.90%     1.964
ExhaustionPersistence        Growth          5 CompressionProcessing                6       19.35%     1.481
ExhaustionPersistence        Growth          5 NeutralProcessing                   14       45.16%     0.947
ExhaustionPersistence        Growth          5 ReassertionProcessing                1        3.23%     0.417
ExhaustionPersistence        Growth          5 DestructiveRotation                  1        3.23%     1.029
ExhaustionPersistence        Growth          5 MixedStructure                       5       16.13%     1.394
ExhaustionPersistence        Maturity        5 RecoveryResolution                   3       14.29%     2.392
ExhaustionPersistence        Maturity        5 ExhaustionPersistence                3       14.29%     2.175
ExhaustionPersistence        Maturity        5 CompressionProcessing                3       14.29%     1.093
