APVA Neutral Failure Timing Study v0.1 - CL
================================================================================================
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
ReferenceFailureCount: 166
StableControlCount: 852
Purpose: Test causal NeutralFailure timing as a warning score overlay.

1. Reference Failure Inventory
FailureNode | Count | Count_6E | Count_CL | Count_NQ | Probability
3 | BodyPressure+VolumePressure+EfficiencyPressure | 3 | NeutralProcessing_Age4
3 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+PolarityInstability | 3 | NeutralProcessing_Age4
6-10 | BodyPressure+EfficiencyPressure+PolarityInstability | 3 | NeutralProcessing_Age6-10
5 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 2 | NeutralProcessing_Age6-10
2 | BodyPressure+VolumePressure+EfficiencyPressure | 2 | NeutralProcessing_Age3
3 | EfficiencyPressure+CloseExtremePressure+PolarityInstability | 2 | NeutralProcessing_Age4
3 | BodyPressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 2 | NeutralProcessing_Age4
4 | RangePressure+VolumePressure+PolarityInstability | 2 | NeutralProcessing_Age5
2 | RangePressure+VolumePressure+CloseExtremePressure+PolarityInstability | 2 | NeutralProcessing_Age3
6-10 | BodyPressure+EfficiencyPressure+CloseExtremePressure | 2 | NeutralProcessing_Age6-10
6-10 | VolumePressure+CloseExtremePressure+PolarityInstability | 2 | NeutralProcessing_Age6-10
6-10 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure | 2 | NeutralProcessing_Age11-20
2 | BodyPressure+EfficiencyPressure+PolarityInstability | 2 | NeutralProcessing_Age3
6-10 | RangePressure+VolumePressure+PolarityInstability | 2 | NeutralProcessing_Age6-10
6-10 | RangePressure+VolumePressure+CloseExtremePressure+PolarityInstability | 2 | NeutralProcessing_Age6-10
4 | BodyPressure+EfficiencyPressure+PolarityInstability | 2 | NeutralProcessing_Age5
3 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 2 | NeutralProcessing_Age4
4 | RangePressure+BodyPressure+VolumePressure | 2 | NeutralProcessing_Age5
6-10 | RangePressure+BodyPressure+EfficiencyPressure+CloseExtremePressure | 2 | NeutralProcessing_Age6-10
6-10 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 2 | NeutralProcessing_Age6-10
5 | BodyPressure+EfficiencyPressure+PolarityInstability | 2 | NeutralProcessing_Age6-10
4 | RangePressure+VolumePressure+CloseExtremePressure | 2 | NeutralProcessing_Age5
2 | VolumePressure+CloseExtremePressure+PolarityInstability | 2 | NeutralProcessing_Age3
6-10 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure | 2 | NeutralProcessing_Age6-10
