APVA Loop Closure Study v0.1 - CL
================================================================================================
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Loop candidates: 167

1. Loop Inventory
Instrument | CompleteLoopCount | IncompleteNoExcursionCount | IncompleteNoReturnCount | CompletionRate | MeanLoopDuration | MedianLoopDuration | MaxLoopDuration
CL | 166 | 1 | 0 | 99.40% | 9.6747 | 8.0000 | 37
Aggregate | 166 | 1 | 0 | 99.40% | 9.6747 | 8.0000 | 37

2. Phase Duration Table
LoopPhase | MeanDuration | MedianDuration | MaxDuration | PercentOfLoop
NeutralProcessing_Age5 | 14 | 8.43% | MixedStructure | MixedStructure
NeutralProcessing_Age4 | 8 | 4.82% | ReassertionProcessing | ReassertionProcessing
NeutralProcessing_Age11-20 | 5 | 3.01% | CompressionProcessing | CompressionProcessing

6. Destination In Loop Context Table
MaxNeutralAgeReached | FailureNode | DestinationFamily | Count | Probability
2 | NeutralProcessing_Age2 | MixedStructure | 38 | 47.50%
2 | NeutralProcessing_Age2 | ReassertionProcessing | 23 | 28.75%
6-10 | NeutralProcessing_Age6-10 | ReassertionProcessing | 21 | 52.50%
2 | NeutralProcessing_Age2 | CompressionProcessing | 17 | 21.25%
6-10 | NeutralProcessing_Age6-10 | MixedStructure | 12 | 30.00%
3 | NeutralProcessing_Age3 | MixedStructure | 12 | 63.16%
5 | NeutralProcessing_Age5 | MixedStructure | 9 | 64.29%
6-10 | NeutralProcessing_Age6-10 | CompressionProcessing | 4 | 10.00%
3 | NeutralProcessing_Age3 | ReassertionProcessing | 4 | 21.05%
4 | NeutralProcessing_Age4 | ReassertionProcessing | 3 | 37.50%
4 | NeutralProcessing_Age4 | MixedStructure | 3 | 37.50%
5 | NeutralProcessing_Age5 | ReassertionProcessing | 3 | 21.43%
3 | NeutralProcessing_Age3 | CompressionProcessing | 3 | 15.79%
2 | NeutralProcessing_Age2 | DestructiveRotation | 2 | 2.50%
6-10 | NeutralProcessing_Age6-10 | ExhaustionPersistence | 2 | 5.00%
11-20 | NeutralProcessing_Age11-20 | CompressionProcessing | 2 | 40.00%
11-20 | NeutralProcessing_Age11-20 | MixedStructure | 2 | 40.00%
4 | NeutralProcessing_Age4 | ExhaustionPersistence | 2 | 25.00%
11-20 | NeutralProcessing_Age11-20 | ReassertionProcessing | 1 | 20.00%
6-10 | NeutralProcessing_Age6-10 | ConstructiveEmergence | 1 | 2.50%
5 | NeutralProcessing_Age5 | ExhaustionPersistence | 1 | 7.14%
5 | NeutralProcessing_Age5 | CompressionProcessing | 1 | 7.14%

7. Excursion Sequence Table
ExcursionSequence | Count | Probability | ReplicationCount | MeanReturnTime
MixedStructure | 41 | 24.70% | 1 | 1.0732
ReassertionProcessing | 35 | 21.08% | 1 | 1.0857
CompressionProcessing | 20 | 12.05% | 1 | 1.6500
ReassertionProcessing -> MixedStructure | 7 | 4.22% | 1 | 2.0000
MixedStructure -> RecoveryResolution -> CompressionProcessing | 7 | 4.22% | 1 | 4.0000
MixedStructure -> RecoveryResolution | 4 | 2.41% | 1 | 2.0000
MixedStructure -> DecayToNeutral -> MixedStructure -> DecayToNeutral | 3 | 1.81% | 1 | 4.3333
ExhaustionPersistence | 3 | 1.81% | 1 | 1.0000
CompressionProcessing -> ExhaustionPersistence | 3 | 1.81% | 1 | 3.3333
ReassertionProcessing -> MixedStructure -> DecayToNeutral | 2 | 1.20% | 1 | 4.0000
MixedStructure -> ReassertionProcessing | 2 | 1.20% | 1 | 2.0000
ReassertionProcessing -> DestructiveRotation | 2 | 1.20% | 1 | 3.0000
MixedStructure -> DecayToNeutral | 2 | 1.20% | 1 | 2.0000
MixedStructure -> ExhaustionPersistence -> RecoveryResolution | 2 | 1.20% | 1 | 4.5000
CompressionProcessing -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing | 2 | 1.20% | 1 | 8.5000
ReassertionProcessing -> DestructiveRotation -> DecayToNeutral | 2 | 1.20% | 1 | 4.0000
MixedStructure -> CompressionProcessing | 2 | 1.20% | 1 | 4.0000
ReassertionProcessing -> MixedStructure -> ExhaustionPersistence -> DecayToNeutral -> DestructiveRotation -> DecayToNeutral -> MixedStructure -> DecayToNeutral | 1 | 0.60% | 1 | 8.0000
DestructiveRotation -> RecoveryResolution | 1 | 0.60% | 1 | 2.0000
ReassertionProcessing -> MixedStructure -> ExhaustionPersistence -> DecayToNeutral -> CompressionProcessing -> MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> ExhaustionPersistence | 1 | 0.60% | 1 | 17.0000
ReassertionProcessing -> CompressionProcessing | 1 | 0.60% | 1 | 2.0000
MixedStructure -> RecoveryResolution -> CompressionProcessing -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing -> ExhaustionPersistence -> CompressionProcessing | 1 | 0.60% | 1 | 12.0000
ReassertionProcessing -> ConstructiveEmergence | 1 | 0.60% | 1 | 2.0000
CompressionProcessing -> MixedStructure | 1 | 0.60% | 1 | 2.0000
ConstructiveEmergence | 1 | 0.60% | 1 | 1.0000
ReassertionProcessing -> MixedStructure -> ReassertionProcessing -> DestructiveRotation -> CompressionProcessing | 1 | 0.60% | 1 | 10.0000
MixedStructure -> ConstructiveEmergence -> MixedStructure -> DecayToNeutral | 1 | 0.60% | 1 | 4.0000
MixedStructure -> DecayToNeutral -> MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing | 1 | 0.60% | 1 | 9.0000
DestructiveRotation | 1 | 0.60% | 1 | 1.0000
