APVA Interpretation Arbitration Study v0.1
Research only. No optimization, fitting, machine learning, trading rules, or future leakage.

Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
State counts: RecoveryResolution=160, ExhaustionPersistence=176, CompressionProcessing=350, NeutralProcessing=1278, ReassertionProcessing=207, DecayToNeutral=103, DestructiveRotation=84, ConstructiveEmergence=12, MixedStructure=314
Age counts: 1=1453, 2=486, 3=236, 4=147, 5=115, 6-10=217, 11-20=30, 21+=0
Validated context counts: B=20, C=26, D=15
Candidate interpretation counts: ValidatedContext=61, PreviousDistinctContext=2680, CurrentStateAge=2684

1. Reliability tables
InterpretationType | InterpretationKey | Count | PersistenceRate_t1 | ExitRate_t1 | Entropy_t1 | NormalizedEntropy_t1 | DominantDestination | DominantProbability_t1 | ReliabilityScore
PreviousDistinctContext | ConstructiveEmergence->DecayToNeutral+Age1 | 3 | 0.00% | 100.00% | 0.6365 | 0.9183 | MixedStructure | 66.67% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->MixedStructure+Age1 | 5 | 20.00% | 80.00% | 0.9503 | 0.8650 | DecayToNeutral | 60.00% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->MixedStructure+Age2 | 1 | 100.00% | 0.00% | -0.0000 | 0.0000 | MixedStructure | 100.00% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->MixedStructure+Age3 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | ConstructiveEmergence | 100.00% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->NeutralProcessing+Age1 | 4 | 50.00% | 50.00% | 0.6931 | 1.0000 | MixedStructure | 50.00% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->NeutralProcessing+Age2 | 2 | 0.00% | 100.00% | -0.0000 | 0.0000 | MixedStructure | 100.00% | 0.0000
PreviousDistinctContext | DecayToNeutral->CompressionProcessing+Age1 | 2 | 100.00% | 0.00% | -0.0000 | 0.0000 | CompressionProcessing | 100.00% | 0.0000
PreviousDistinctContext | DecayToNeutral->CompressionProcessing+Age2 | 2 | 100.00% | 0.00% | -0.0000 | 0.0000 | CompressionProcessing | 100.00% | 0.0000
PreviousDistinctContext | DecayToNeutral->CompressionProcessing+Age3 | 2 | 100.00% | 0.00% | -0.0000 | 0.0000 | CompressionProcessing | 100.00% | 0.0000
PreviousDistinctContext | DecayToNeutral->CompressionProcessing+Age4 | 2 | 100.00% | 0.00% | -0.0000 | 0.0000 | CompressionProcessing | 100.00% | 0.0000
PreviousDistinctContext | DecayToNeutral->CompressionProcessing+Age5 | 2 | 50.00% | 50.00% | 0.6931 | 1.0000 | MixedStructure | 50.00% | 0.0000
PreviousDistinctContext | DecayToNeutral->CompressionProcessing+Age6-10 | 2 | 50.00% | 50.00% | 0.6931 | 1.0000 | CompressionProcessing | 50.00% | 0.0000
PreviousDistinctContext | DecayToNeutral->ConstructiveEmergence+Age1 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | DecayToNeutral | 100.00% | 0.0000
