APVA Minimal Engine Study v0.1
================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
State counts: RecoveryResolution=160, ExhaustionPersistence=176, CompressionProcessing=350, NeutralProcessing=1278, ReassertionProcessing=207, DecayToNeutral=103, DestructiveRotation=84, ConstructiveEmergence=12, MixedStructure=314
State-age key count: 35

1. Transition Hazard Table
State | AgeBucket | Horizon | Count | NextStateDistribution | PersistenceRate | ExitRate | Entropy | NormalizedEntropy | DominantDestination | DominantProbability
DestructiveRotation | 2 | t+3 | 12 | NeutralProcessing:25.00%, CompressionProcessing:16.67%, DecayToNeutral:16.67%, RecoveryResolution:16.67%, ExhaustionPersistence:8.33%, MixedStructure:8.33%, ReassertionProcessing:8.33% | 0.00% | 100.00% | 1.8637 | 0.9577 | NeutralProcessing | 25.00%
DestructiveRotation | 2 | t+5 | 12 | NeutralProcessing:41.67%, CompressionProcessing:16.67%, ExhaustionPersistence:16.67%, RecoveryResolution:16.67%, MixedStructure:8.33% | 0.00% | 100.00% | 1.4677 | 0.9120 | NeutralProcessing | 41.67%
DestructiveRotation | 3 | t+1 | 1 | CompressionProcessing:100.00% | 0.00% | 100.00% | -0.0000 | 0.0000 | CompressionProcessing | 100.00%
DestructiveRotation | 3 | t+2 | 1 | CompressionProcessing:100.00% | 0.00% | 100.00% | -0.0000 | 0.0000 | CompressionProcessing | 100.00%
DestructiveRotation | 3 | t+3 | 1 | ExhaustionPersistence:100.00% | 0.00% | 100.00% | -0.0000 | 0.0000 | ExhaustionPersistence | 100.00%
DestructiveRotation | 3 | t+5 | 1 | ExhaustionPersistence:100.00% | 0.00% | 100.00% | -0.0000 | 0.0000 | ExhaustionPersistence | 100.00%
ExhaustionPersistence | 1 | t+1 | 97 | ExhaustionPersistence:31.96%, RecoveryResolution:29.90%, DecayToNeutral:17.53%, NeutralProcessing:11.34%, CompressionProcessing:7.22%, DestructiveRotation:2.06% | 31.96% | 68.04% | 1.5473 | 0.8636 | ExhaustionPersistence | 31.96%
ExhaustionPersistence | 1 | t+2 | 97 | RecoveryResolution:39.18%, ExhaustionPersistence:21.65%, NeutralProcessing:20.62%, DestructiveRotation:13.40%, CompressionProcessing:4.12%, DecayToNeutral:1.03% | 21.65% | 78.35% | 1.4720 | 0.8215 | RecoveryResolution | 39.18%
ExhaustionPersistence | 1 | t+3 | 97 | RecoveryResolution:31.96%, NeutralProcessing:26.80%, ExhaustionPersistence:19.59%, DestructiveRotation:13.40%, DecayToNeutral:7.22%, CompressionProcessing:1.03% | 19.59% | 80.41% | 1.5430 | 0.8612 | RecoveryResolution | 31.96%
ExhaustionPersistence | 1 | t+5 | 97 | NeutralProcessing:41.24%, CompressionProcessing:29.90%, DecayToNeutral:6.19%, ExhaustionPersistence:6.19%, RecoveryResolution:6.19%, MixedStructure:5.15%, ReassertionProcessing:3.09%, DestructiveRotation:2.06% | 6.19% | 93.81% | 1.5831 | 0.7613 | NeutralProcessing | 41.24%
ExhaustionPersistence | 2 | t+1 | 31 | ExhaustionPersistence:67.74%, RecoveryResolution:29.03%, NeutralProcessing:3.23% | 67.74% | 32.26% | 0.7337 | 0.6678 | ExhaustionPersistence | 67.74%
