APVA Node Flow Study v0.1
========================================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Node count: 35
Category count: 4

1. Node Category Assignment
StateAgeNode | NodeCategory | ImportanceScore | ReliabilityScore
3 | Weak -> Insufficient -> Weak | 9 | 0.34%
3 | Insufficient -> Secondary -> Core | 4 | 0.15%
3 | Weak -> Insufficient -> Core | 3 | 0.11%
3 | Core -> Core -> Weak | 2 | 0.07%
3 | Core -> Insufficient -> Core | 2 | 0.07%
3 | Core -> Weak -> Insufficient | 2 | 0.07%
3 | Insufficient -> Secondary -> Secondary | 2 | 0.07%
3 | Weak -> Core -> Insufficient | 2 | 0.07%
3 | Core -> Core -> Insufficient | 1 | 0.04%
3 | Core -> Insufficient -> Secondary | 1 | 0.04%
3 | Core -> Insufficient -> Weak | 1 | 0.04%
3 | Secondary -> Core -> Insufficient | 1 | 0.04%
4 | Secondary -> Secondary -> Secondary -> Secondary | 145 | 5.41%
4 | Secondary -> Secondary -> Core -> Secondary | 114 | 4.25%
4 | Core -> Secondary -> Core -> Core | 106 | 3.95%
4 | Secondary -> Core -> Secondary -> Core | 106 | 3.95%
4 | Secondary -> Core -> Core -> Secondary | 103 | 3.84%
4 | Core -> Secondary -> Secondary -> Secondary | 95 | 3.54%
4 | Core -> Core -> Secondary -> Secondary | 94 | 3.51%
4 | Core -> Secondary -> Secondary -> Core | 85 | 3.17%
4 | Core -> Secondary -> Core -> Secondary | 80 | 2.98%
4 | Secondary -> Core -> Secondary -> Secondary | 72 | 2.69%
4 | Weak -> Core -> Secondary -> Core | 60 | 2.24%
4 | Secondary -> Weak -> Core -> Secondary | 58 | 2.16%
4 | Secondary -> Weak -> Secondary -> Insufficient | 45 | 1.68%
4 | Weak -> Secondary -> Insufficient -> Insufficient | 42 | 1.57%
4 | Secondary -> Core -> Secondary -> Weak | 40 | 1.49%
4 | Weak -> Core -> Secondary -> Secondary | 40 | 1.49%
4 | Secondary -> Secondary -> Secondary -> Weak | 39 | 1.45%
4 | Core -> Secondary -> Weak -> Core | 38 | 1.42%
4 | Secondary -> Insufficient -> Core -> Secondary | 35 | 1.31%
4 | Secondary -> Secondary -> Weak -> Secondary | 34 | 1.27%
4 | Secondary -> Secondary -> Secondary -> Core | 32 | 1.19%
4 | Weak -> Secondary -> Core -> Secondary | 30 | 1.12%
4 | Core -> Secondary -> Weak -> Secondary | 28 | 1.04%
4 | Secondary -> Insufficient -> Insufficient -> Weak | 27 | 1.01%
4 | Secondary -> Secondary -> Secondary -> Insufficient | 26 | 0.97%
4 | Insufficient -> Weak -> Core -> Secondary | 25 | 0.93%
4 | Weak -> Core -> Secondary -> Weak | 25 | 0.93%
4 | Core -> Weak -> Core -> Secondary | 23 | 0.86%
4 | Insufficient -> Core -> Secondary -> Core | 23 | 0.86%
4 | Insufficient -> Insufficient -> Insufficient -> Insufficient | 23 | 0.86%
4 | Secondary -> Insufficient -> Insufficient -> Insufficient | 22 | 0.82%
4 | Secondary -> Secondary -> Insufficient -> Weak | 21 | 0.78%
4 | Secondary -> Secondary -> Weak -> Core | 21 | 0.78%
4 | Secondary -> Weak -> Secondary -> Weak | 21 | 0.78%
4 | Weak -> Weak -> Core -> Secondary | 21 | 0.78%
4 | Core -> Secondary -> Secondary -> Insufficient | 20 | 0.75%
4 | Insufficient -> Insufficient -> Weak -> Secondary | 20 | 0.75%
4 | Secondary -> Weak -> Secondary -> Core | 20 | 0.75%
4 | Weak -> Secondary -> Insufficient -> Core | 20 | 0.75%
4 | Weak -> Secondary -> Weak -> Secondary | 19 | 0.71%
4 | Core -> Secondary -> Secondary -> Weak | 18 | 0.67%
4 | Insufficient -> Insufficient -> Core -> Secondary | 16 | 0.60%
4 | Secondary -> Weak -> Weak -> Core | 16 | 0.60%
4 | Weak -> Insufficient -> Insufficient -> Insufficient | 16 | 0.60%
4 | Insufficient -> Insufficient -> Insufficient -> Weak | 15 | 0.56%
4 | Secondary -> Weak -> Core -> Weak | 15 | 0.56%
4 | Insufficient -> Core -> Secondary -> Weak | 14 | 0.52%
4 | Secondary -> Insufficient -> Weak -> Core | 14 | 0.52%
4 | Core -> Secondary -> Weak -> Weak | 13 | 0.48%
4 | Insufficient -> Insufficient -> Insufficient -> Core | 13 | 0.48%
4 | Insufficient -> Weak -> Secondary -> Insufficient | 13 | 0.48%
4 | Secondary -> Core -> Weak -> Secondary | 13 | 0.48%
4 | Insufficient -> Core -> Secondary -> Secondary | 12 | 0.45%
4 | Insufficient -> Insufficient -> Core -> Weak | 12 | 0.45%
4 | Secondary -> Insufficient -> Weak -> Secondary | 12 | 0.45%
4 | Core -> Weak -> Secondary -> Core | 11 | 0.41%
4 | Insufficient -> Core -> Weak -> Core | 11 | 0.41%
4 | Insufficient -> Secondary -> Weak -> Secondary | 11 | 0.41%
4 | Insufficient -> Weak -> Secondary -> Weak | 11 | 0.41%
4 | Weak -> Secondary -> Weak -> Core | 11 | 0.41%
4 | Weak -> Secondary -> Weak -> Weak | 11 | 0.41%
4 | Insufficient -> Insufficient -> Insufficient -> Secondary | 10 | 0.37%
4 | Insufficient -> Insufficient -> Weak -> Core | 10 | 0.37%
4 | Secondary -> Core -> Secondary -> Insufficient | 10 | 0.37%
4 | Secondary -> Insufficient -> Insufficient -> Core | 10 | 0.37%
4 | Secondary -> Secondary -> Insufficient -> Core | 10 | 0.37%
4 | Secondary -> Secondary -> Insufficient -> Insufficient | 10 | 0.37%
4 | Core -> Weak -> Secondary -> Insufficient | 9 | 0.34%
4 | Core -> Weak -> Secondary -> Weak | 9 | 0.34%
4 | Secondary -> Weak -> Insufficient -> Insufficient | 9 | 0.34%
4 | Weak -> Core -> Weak -> Core | 9 | 0.34%
4 | Weak -> Insufficient -> Secondary -> Insufficient | 9 | 0.34%
4 | Weak -> Secondary -> Core -> Weak | 9 | 0.34%
4 | Core -> Secondary -> Insufficient -> Core | 8 | 0.30%
4 | Core -> Secondary -> Insufficient -> Weak | 8 | 0.30%
4 | Insufficient -> Secondary -> Insufficient -> Insufficient | 8 | 0.30%
4 | Insufficient -> Weak -> Secondary -> Core | 8 | 0.30%
4 | Secondary -> Insufficient -> Secondary -> Weak | 8 | 0.30%
4 | Secondary -> Weak -> Weak -> Weak | 8 | 0.30%
4 | Weak -> Core -> Weak -> Secondary | 8 | 0.30%
4 | Weak -> Secondary -> Insufficient -> Weak | 8 | 0.30%
4 | Weak -> Weak -> Core -> Weak | 8 | 0.30%
4 | Core -> Secondary -> Core -> Weak | 7 | 0.26%
4 | Insufficient -> Core -> Secondary -> Insufficient | 7 | 0.26%
4 | Insufficient -> Core -> Weak -> Secondary | 7 | 0.26%
4 | Insufficient -> Insufficient -> Secondary -> Weak | 7 | 0.26%
4 | Insufficient -> Insufficient -> Weak -> Insufficient | 7 | 0.26%
4 | Insufficient -> Weak -> Insufficient -> Insufficient | 7 | 0.26%
4 | Secondary -> Insufficient -> Core -> Weak | 7 | 0.26%
4 | Secondary -> Insufficient -> Weak -> Weak | 7 | 0.26%
4 | Secondary -> Secondary -> Weak -> Weak | 7 | 0.26%
4 | Weak -> Core -> Weak -> Weak | 7 | 0.26%
4 | Weak -> Secondary -> Secondary -> Weak | 7 | 0.26%
4 | Weak -> Weak -> Secondary -> Insufficient | 7 | 0.26%
4 | Weak -> Weak -> Weak -> Secondary | 7 | 0.26%
4 | Insufficient -> Insufficient -> Weak -> Weak | 6 | 0.22%
4 | Insufficient -> Weak -> Weak -> Core | 6 | 0.22%
4 | Secondary -> Insufficient -> Weak -> Insufficient | 6 | 0.22%
4 | Secondary -> Secondary -> Insufficient -> Secondary | 6 | 0.22%
4 | Secondary -> Weak -> Secondary -> Secondary | 6 | 0.22%
4 | Weak -> Secondary -> Weak -> Insufficient | 6 | 0.22%
4 | Weak -> Weak -> Insufficient -> Insufficient | 6 | 0.22%
4 | Weak -> Weak -> Secondary -> Weak | 6 | 0.22%
4 | Weak -> Weak -> Weak -> Weak | 6 | 0.22%
4 | Core -> Core -> Secondary -> Weak | 5 | 0.19%
4 | Core -> Secondary -> Weak -> Insufficient | 5 | 0.19%
4 | Core -> Weak -> Weak -> Core | 5 | 0.19%
4 | Insufficient -> Weak -> Weak -> Weak | 5 | 0.19%
4 | Secondary -> Secondary -> Core -> Weak | 5 | 0.19%
4 | Secondary -> Weak -> Weak -> Secondary | 5 | 0.19%
4 | Weak -> Insufficient -> Insufficient -> Core | 5 | 0.19%
4 | Weak -> Weak -> Insufficient -> Weak | 5 | 0.19%
4 | Weak -> Weak -> Weak -> Insufficient | 5 | 0.19%
4 | Core -> Core -> Secondary -> Core | 4 | 0.15%
4 | Insufficient -> Secondary -> Core -> Secondary | 4 | 0.15%
4 | Insufficient -> Secondary -> Insufficient -> Core | 4 | 0.15%
4 | Insufficient -> Secondary -> Weak -> Core | 4 | 0.15%
4 | Insufficient -> Weak -> Insufficient -> Secondary | 4 | 0.15%
4 | Insufficient -> Weak -> Insufficient -> Weak | 4 | 0.15%
4 | Secondary -> Core -> Weak -> Core | 4 | 0.15%
4 | Secondary -> Insufficient -> Insufficient -> Secondary | 4 | 0.15%
4 | Secondary -> Weak -> Insufficient -> Secondary | 4 | 0.15%
4 | Weak -> Secondary -> Insufficient -> Secondary | 4 | 0.15%
4 | Core -> Weak -> Weak -> Insufficient | 3 | 0.11%
4 | Insufficient -> Insufficient -> Secondary -> Core | 3 | 0.11%
4 | Secondary -> Core -> Weak -> Weak | 3 | 0.11%
4 | Secondary -> Weak -> Weak -> Insufficient | 3 | 0.11%
4 | Weak -> Insufficient -> Core -> Secondary | 3 | 0.11%
4 | Weak -> Insufficient -> Weak -> Insufficient | 3 | 0.11%
4 | Weak -> Weak -> Secondary -> Secondary | 3 | 0.11%
4 | Core -> Insufficient -> Core -> Secondary | 2 | 0.07%
4 | Core -> Secondary -> Insufficient -> Insufficient | 2 | 0.07%
4 | Core -> Weak -> Insufficient -> Core | 2 | 0.07%
4 | Core -> Weak -> Weak -> Secondary | 2 | 0.07%
4 | Insufficient -> Insufficient -> Secondary -> Insufficient | 2 | 0.07%
