APVA Stage + Alignment + Breakout Type Study v0.1 - CL
======================================================
Instrument: CL
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_OPEN_apva_bar_evidence_v01.csv
Total rows: 2677
Total stage-alignment-breakout observations: 2247
Breakout, SequenceStage, alignment, event, and DRFwd logic are reused from prior studies.
This is a descriptive decomposition of the prior Stage x Alignment result.

Observation Counts by BreakoutType
==================================
IBSYM             495
Lateral          1752

Observation Counts by Stage
===========================
Stage0       170
Stage1       591
Stage2       506
Stage3       367
Stage4       613

Observation Counts by Alignment
===============================
Aligned          1136
Opposed          1111

Event x Stage x Alignment x BreakoutType
========================================
Event                    Type       Stage Alignment    Count   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
ClimacticContained       IBSYM     Stage2 Aligned         1     0.880000     0.880000   100.00%     0.00%     0.00%
ClimacticContained       IBSYM     Stage2 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       IBSYM     Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       IBSYM     Stage3 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       IBSYM     Stage4 Aligned         2    -0.440000    -0.440000    50.00%    50.00%     0.00%
ClimacticContained       IBSYM     Stage4 Opposed         1     0.260000     0.260000   100.00%     0.00%     0.00%
ClimacticContained       Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       Lateral   Stage0 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       Lateral   Stage1 Aligned         3     6.946667     0.390000   100.00%     0.00%     0.00%
ClimacticContained       Lateral   Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       Lateral   Stage2 Aligned         1     0.880000     0.880000   100.00%     0.00%     0.00%
ClimacticContained       Lateral   Stage2 Opposed         6    -0.078333    -0.155000    50.00%    50.00%     0.00%
ClimacticContained       Lateral   Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       Lateral   Stage3 Opposed         2    -1.365000    -1.365000     0.00%   100.00%     0.00%
ClimacticContained       Lateral   Stage4 Aligned         5     1.212000     0.030000    60.00%    40.00%     0.00%
ClimacticContained       Lateral   Stage4 Opposed         3    -0.573333    -0.480000    33.33%    66.67%     0.00%
ClimacticAccepted        IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted        IBSYM     Stage0 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted        IBSYM     Stage1 Aligned         6    -0.690000    -0.250000    33.33%    66.67%     0.00%
ClimacticAccepted        IBSYM     Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted        IBSYM     Stage2 Aligned         2    -1.210000    -1.210000    50.00%    50.00%     0.00%
ClimacticAccepted        IBSYM     Stage2 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted        IBSYM     Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted        IBSYM     Stage3 Opposed         1     0.920000     0.920000   100.00%     0.00%     0.00%
ClimacticAccepted        IBSYM     Stage4 Aligned         6    -0.538333     0.220000    50.00%    50.00%     0.00%
ClimacticAccepted        IBSYM     Stage4 Opposed         4     2.562500     2.540000    75.00%    25.00%     0.00%
ClimacticAccepted        Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted        Lateral   Stage0 Opposed         2    -0.490000    -0.490000    50.00%    50.00%     0.00%
ClimacticAccepted        Lateral   Stage1 Aligned        28    -0.119643     0.100000    57.14%    42.86%     0.00%
ClimacticAccepted        Lateral   Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted        Lateral   Stage2 Aligned         6    -0.508333     0.110000    50.00%    50.00%     0.00%
ClimacticAccepted        Lateral   Stage2 Opposed        18     0.133333     0.205000    61.11%    38.89%     0.00%
ClimacticAccepted        Lateral   Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted        Lateral   Stage3 Opposed         6    -1.968333    -0.320000    33.33%    66.67%     0.00%
ClimacticAccepted        Lateral   Stage4 Aligned        23    -0.013913    -0.090000    43.48%    56.52%     0.00%
ClimacticAccepted        Lateral   Stage4 Opposed         8    -0.340000    -0.320000    37.50%    62.50%     0.00%

Mature Aligned versus Mature Opposed by BreakoutType
====================================================
Event                    Type     LeftCount  LeftCont5 RightCount  RightCont5 DeltaCont5  DeltaMean5
AllBars                  IBSYM           96    46.88%         54     53.70%    -6.83%   -0.527870
AllBars                  Lateral        271    49.45%        192     46.88%     2.57%    0.208360
DissipationAny           IBSYM           43    53.49%         30     50.00%     3.49%   -0.489054
DissipationAny           Lateral        113    51.33%         92     45.65%     5.68%    0.293961
DissipationContained     IBSYM           18    55.56%         17     58.82%    -3.27%   -0.160196
