Path,Candidate,AvailableForCheck,Count,ES_Count,NQ_Count,BothESAndNQNonzero
outputs/excursion_profile_es_compression_entropy_mid_presence_zero/tail_event_examples.csv,Base_ES_NQ,True,0,0,0,False
outputs/excursion_profile_es_compression_entropy_mid_presence_zero/tail_event_examples.csv,CCRRR,True,0,0,0,False
outputs/excursion_profile_es_compression_entropy_mid_presence_zero/tail_event_examples.csv,PriorSlope_DominantPressureValue_Q3,False,0,0,0,False
outputs/excursion_profile_es_compression_entropy_mid_presence_zero/tail_event_examples.csv,RRCCC,True,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_curve.csv,Base_ES_NQ,True,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_curve.csv,CCRRR,True,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_curve.csv,PriorSlope_DominantPressureValue_Q3,False,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_curve.csv,RRCCC,True,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_entries.csv,Base_ES_NQ,True,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_entries.csv,CCRRR,True,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_entries.csv,PriorSlope_DominantPressureValue_Q3,True,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_entries.csv,RRCCC,True,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_entry_paths.csv,Base_ES_NQ,True,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_entry_paths.csv,CCRRR,True,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_entry_paths.csv,PriorSlope_DominantPressureValue_Q3,False,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_entry_paths.csv,RRCCC,True,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_rows.csv,Base_ES_NQ,True,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_rows.csv,CCRRR,True,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_rows.csv,PriorSlope_DominantPressureValue_Q3,True,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_rows.csv,RRCCC,True,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_scorecard.csv,Base_ES_NQ,True,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_scorecard.csv,CCRRR,True,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_scorecard.csv,PriorSlope_DominantPressureValue_Q3,False,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_scorecard.csv,RRCCC,True,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_state_evolution.csv,Base_ES_NQ,True,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_state_evolution.csv,CCRRR,True,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_state_evolution.csv,PriorSlope_DominantPressureValue_Q3,False,0,0,0,False
outputs/expansion_followthrough_es_compression_precursor/followthrough_state_evolution.csv,RRCCC,True,0,0,0,False
