Path,Location,RowCount,RequiredColumnsPresent,MissingRequiredColumns,OptionalTimePresent,OptionalDominantPressureValuePresent,InstrumentList,ES_RowCount,NQ_RowCount,TimeMin,TimeMax,BarIndexMin,BarIndexMax,HorizonBarsValues,DominantPressureValues,SignedNormalizedReturnExists,DirectionalNormalizedMAEExists,BaseCandidateRowsPresent,CCRRRCandidateRowsPresent,RRCCCCandidateRowsPresent,PriorSlopeQ3CandidateRowsPresent,AnyNonBaseFrozenCandidateRowsPresent,AnyCandidateBothESAndNQNonzero,DuplicateRowKeyCount,DerivedOutputExcluded,IntendedExtensionOverride,IndependenceStatus,ReadinessStatus,ReadinessReason
outputs/state_entry_transition_es_compression_entropy_mid_presence_zero/selected_state_entry_rows.csv,outputs,377.0,True,,True,True,ES,377,0,2026-04-06 10:40:00,2026-05-22 13:25:00,49.0,3142.0,5,CompressionPressure,True,True,False,False,False,False,False,False,0.0,True,False,ExcludedDerivedOutput,NOT_READY,no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/state_entry_transition_es_compression_entropy_mid_presence_zero/state_run_summary.csv,outputs,375.0,False,"Instrument,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/state_surface_es_compression_entropy_x_directional_presence/column_mapping.csv,outputs,1.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/state_surface_es_compression_entropy_x_directional_presence/selected_state_surface_rows.csv,outputs,2039.0,True,,True,True,ES,2039,0,2026-04-06 06:55:00,2026-05-22 13:25:00,4.0,3142.0,5,CompressionPressure,True,True,True,False,False,True,True,False,0.0,True,False,ExcludedDerivedOutput,NOT_READY,not independent of reference; prior output artifact excluded from readiness
outputs/state_surface_es_compression_entropy_x_directional_presence/state_surface_cells.csv,outputs,22.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/state_surface_es_compression_entropy_x_directional_presence/state_surface_scorecard.csv,outputs,23.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/state_surface_es_compression_entropy_x_directional_presence/state_surface_week_cells.csv,outputs,65.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/state_surface_es_compression_entropy_x_directional_presence/x_bin_metadata.csv,outputs,5.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/state_surface_es_compression_entropy_x_directional_presence/y_bin_metadata.csv,outputs,5.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/state_surface_neighborhood_es_compression_entropy_x_directional_presence/neighborhood_cells.csv,outputs,22.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
