return,pressure,source_file,archetype,time
-2.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-15 07:30:00
6.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-15 08:00:00
-1.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-15 08:15:00
0.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-15 08:20:00
0.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-15 08:25:00
-1.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-15 08:30:00
1.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-15 08:35:00
-0.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-15 08:40:00
0.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-15 08:45:00
-0.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-15 08:50:00
3.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-15 08:55:00
-7.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-15 09:00:00
-3.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-15 09:05:00
7.25,DirectionalReleasePressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-15 11:15:00
5.5,DirectionalReleasePressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-15 11:20:00
8.0,DirectionalReleasePressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-15 11:25:00
10.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-15 11:30:00
5.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-15 11:35:00
7.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-15 11:40:00
-9.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-15 11:45:00
-2.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-15 12:25:00
-1.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-15 12:30:00
-1.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-15 12:35:00
-5.25,DirectionalReleasePressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-16 07:20:00
-9.25,DirectionalReleasePressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-16 07:25:00
15.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-16 07:50:00
13.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-16 07:55:00
16.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-16 08:00:00
2.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-16 08:05:00
1.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-16 08:10:00
2.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-16 08:15:00
0.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-16 08:20:00
-3.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-16 08:25:00
9.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-16 08:30:00
11.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-16 08:35:00
7.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-16 08:40:00
-8.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-16 09:15:00
0.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-16 10:00:00
-1.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-16 10:05:00
-2.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-16 10:10:00
-9.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-16 10:15:00
-1.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-16 10:35:00
-2.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-16 10:40:00
-11.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-16 10:45:00
-9.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-16 10:50:00
-7.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-16 10:55:00
7.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-16 11:00:00
10.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-17 07:00:00
4.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-17 07:05:00
10.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-17 07:10:00
12.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-17 07:15:00
-20.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 07:25:00
0.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-17 07:45:00
-10.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-17 07:50:00
-7.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-17 07:55:00
-0.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-17 08:00:00
0.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-17 08:05:00
4.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 08:10:00
10.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-17 08:15:00
-3.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-17 08:20:00
-3.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-17 08:25:00
4.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Pure Unresolved Compression Equilibrium,2026-04-17 08:30:00
-5.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-17 08:35:00
-0.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-17 08:40:00
7.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-17 08:45:00
5.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-17 08:50:00
2.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Pure Unresolved Compression Equilibrium,2026-04-17 08:55:00
8.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 09:00:00
3.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-17 09:05:00
8.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-17 09:10:00
7.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-17 09:15:00
7.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 09:25:00
5.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-17 09:30:00
-0.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 09:35:00
0.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 09:40:00
-8.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 09:45:00
-10.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 09:50:00
12.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-17 10:15:00
-9.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 10:25:00
-6.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-17 10:30:00
-4.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-17 10:35:00
3.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Pure Unresolved Compression Equilibrium,2026-04-17 10:45:00
9.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Pure Unresolved Compression Equilibrium,2026-04-17 10:50:00
-9.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Pure Unresolved Compression Equilibrium,2026-04-17 10:55:00
-6.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 11:15:00
-4.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 11:20:00
1.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 11:25:00
-2.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 11:30:00
-6.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 11:35:00
-4.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 11:40:00
7.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 11:45:00
7.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 11:50:00
-4.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 12:05:00
-5.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 12:25:00
-9.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 12:30:00
-1.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-17 13:20:00
-0.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-17 13:25:00
-3.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-17 13:30:00
-1.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 13:35:00
-13.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 13:40:00
-16.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 13:45:00
13.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-17 13:50:00
2.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-20 06:55:00
-8.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-20 08:15:00
6.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-20 08:20:00
-1.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-20 08:25:00
-7.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-20 08:30:00
0.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-20 08:35:00
-0.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-20 08:50:00
-0.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-20 08:55:00
1.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-20 09:25:00
1.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-20 09:30:00
-9.5,DirectionalReleasePressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-20 12:35:00
-8.0,DirectionalReleasePressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-20 12:40:00
-9.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-20 12:45:00
-6.75,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-20 12:50:00
5.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-20 12:55:00
-0.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Sponsor Exhaustion Collapse,2026-04-20 13:00:00
-0.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-20 13:05:00
-8.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Stable Compression Basin,2026-04-20 13:10:00
-12.25,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-20 13:15:00
-11.5,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-20 13:20:00
-5.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-20 13:25:00
-6.0,RotationalPressure,tables\apva_forward_signed_return_dataset_v1.csv,Unstable Rotational Balance,2026-04-20 13:30:00
12.5,DirectionalReleasePressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-21 07:50:00
12.25,DirectionalReleasePressure,tables\apva_forward_signed_return_dataset_v1.csv,Directional Continuation / Sponsor Release,2026-04-21 07:55:00
