APVA Interpretation Arbitration Study v0.1
Research only. No optimization, fitting, machine learning, trading rules, or future leakage.

Diagnostics
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
State counts: RecoveryResolution=68, ExhaustionPersistence=107, CompressionProcessing=205, NeutralProcessing=976, ReassertionProcessing=179, DecayToNeutral=86, DestructiveRotation=79, ConstructiveEmergence=14, MixedStructure=216
Age counts: 1=976, 2=327, 3=175, 4=114, 5=94, 6-10=207, 11-20=37, 21+=0
Validated context counts: B=11, C=13, D=23
Candidate interpretation counts: ValidatedContext=47, PreviousDistinctContext=1926, CurrentStateAge=1930

1. Reliability tables
InterpretationType | InterpretationKey | Count | PersistenceRate_t1 | ExitRate_t1 | Entropy_t1 | NormalizedEntropy_t1 | DominantDestination | DominantProbability_t1 | ReliabilityScore
PreviousDistinctContext | DestructiveRotation->ReassertionProcessing+Age1 | 5 | 20.00% | 80.00% | 1.0549 | 0.9602 | DestructiveRotation | 40.00% | 0.0000
PreviousDistinctContext | DestructiveRotation->ReassertionProcessing+Age2 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | DestructiveRotation | 100.00% | 0.0000
PreviousDistinctContext | DestructiveRotation->RecoveryResolution+Age1 | 3 | 0.00% | 100.00% | -0.0000 | 0.0000 | CompressionProcessing | 100.00% | 0.0000
PreviousDistinctContext | ExhaustionPersistence->CompressionProcessing+Age1 | 5 | 40.00% | 60.00% | 1.3322 | 0.9610 | CompressionProcessing | 40.00% | 0.0000
PreviousDistinctContext | ExhaustionPersistence->CompressionProcessing+Age2 | 2 | 100.00% | 0.00% | -0.0000 | 0.0000 | CompressionProcessing | 100.00% | 0.0000
PreviousDistinctContext | ExhaustionPersistence->CompressionProcessing+Age3 | 2 | 50.00% | 50.00% | 0.6931 | 1.0000 | CompressionProcessing | 50.00% | 0.0000
PreviousDistinctContext | ExhaustionPersistence->CompressionProcessing+Age4 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | DecayToNeutral | 100.00% | 0.0000
PreviousDistinctContext | ExhaustionPersistence->DecayToNeutral+Age1 | 12 | 0.00% | 100.00% | 0.6365 | 0.9183 | NeutralProcessing | 66.67% | -0.2516
PreviousDistinctContext | ExhaustionPersistence->DestructiveRotation+Age1 | 8 | 25.00% | 75.00% | 0.9003 | 0.8194 | DecayToNeutral | 62.50% | 0.0000
PreviousDistinctContext | ExhaustionPersistence->DestructiveRotation+Age2 | 2 | 0.00% | 100.00% | 0.6931 | 1.0000 | DecayToNeutral | 50.00% | 0.0000
PreviousDistinctContext | ExhaustionPersistence->NeutralProcessing+Age1 | 11 | 54.55% | 45.45% | 0.9165 | 0.8342 | NeutralProcessing | 54.55% | 0.2567
PreviousDistinctContext | ExhaustionPersistence->NeutralProcessing+Age2 | 6 | 50.00% | 50.00% | 1.0114 | 0.9206 | NeutralProcessing | 50.00% | 0.0000
PreviousDistinctContext | ExhaustionPersistence->NeutralProcessing+Age3 | 3 | 100.00% | 0.00% | -0.0000 | 0.0000 | NeutralProcessing | 100.00% | 0.0000
PreviousDistinctContext | ExhaustionPersistence->NeutralProcessing+Age4 | 3 | 100.00% | 0.00% | -0.0000 | 0.0000 | NeutralProcessing | 100.00% | 0.0000
PreviousDistinctContext | ExhaustionPersistence->NeutralProcessing+Age5 | 3 | 100.00% | 0.00% | -0.0000 | 0.0000 | NeutralProcessing | 100.00% | 0.0000
PreviousDistinctContext | ExhaustionPersistence->NeutralProcessing+Age6-10 | 6 | 50.00% | 50.00% | 1.0114 | 0.9206 | NeutralProcessing | 50.00% | 0.0000
PreviousDistinctContext | ExhaustionPersistence->RecoveryResolution+Age1 | 15 | 86.67% | 13.33% | 0.3927 | 0.5665 | RecoveryResolution | 86.67% | 1.1668
PreviousDistinctContext | ExhaustionPersistence->RecoveryResolution+Age2 | 13 | 69.23% | 30.77% | 0.6172 | 0.8905 | RecoveryResolution | 69.23% | 0.4941
PreviousDistinctContext | ExhaustionPersistence->RecoveryResolution+Age3 | 9 | 0.00% | 100.00% | 0.5297 | 0.7642 | CompressionProcessing | 77.78% | 0.0000
PreviousDistinctContext | MixedStructure->CompressionProcessing+Age1 | 4 | 50.00% | 50.00% | 0.6931 | 1.0000 | CompressionProcessing | 50.00% | 0.0000
PreviousDistinctContext | MixedStructure->CompressionProcessing+Age2 | 2 | 100.00% | 0.00% | -0.0000 | 0.0000 | CompressionProcessing | 100.00% | 0.0000
PreviousDistinctContext | MixedStructure->CompressionProcessing+Age3 | 2 | 0.00% | 100.00% | 0.6931 | 1.0000 | NeutralProcessing | 50.00% | 0.0000
PreviousDistinctContext | MixedStructure->ConstructiveEmergence+Age1 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | MixedStructure | 100.00% | 0.0000
PreviousDistinctContext | MixedStructure->DecayToNeutral+Age1 | 43 | 0.00% | 100.00% | 0.6467 | 0.9330 | NeutralProcessing | 65.12% | -0.2819
PreviousDistinctContext | MixedStructure->DestructiveRotation+Age1 | 5 | 60.00% | 40.00% | 0.9503 | 0.8650 | DestructiveRotation | 60.00% | 0.0000
PreviousDistinctContext | MixedStructure->DestructiveRotation+Age2 | 3 | 33.33% | 66.67% | 1.0986 | 1.0000 | DestructiveRotation | 33.33% | 0.0000
PreviousDistinctContext | MixedStructure->DestructiveRotation+Age3 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | DecayToNeutral | 100.00% | 0.0000
PreviousDistinctContext | MixedStructure->ExhaustionPersistence+Age1 | 24 | 33.33% | 66.67% | 1.5313 | 0.9514 | ExhaustionPersistence | 33.33% | -0.2848
PreviousDistinctContext | MixedStructure->ExhaustionPersistence+Age2 | 8 | 87.50% | 12.50% | 0.3768 | 0.5436 | ExhaustionPersistence | 87.50% | 0.0000
PreviousDistinctContext | MixedStructure->ExhaustionPersistence+Age3 | 7 | 85.71% | 14.29% | 0.4101 | 0.5917 | ExhaustionPersistence | 85.71% | 0.0000
PreviousDistinctContext | MixedStructure->ExhaustionPersistence+Age4 | 6 | 33.33% | 66.67% | 1.3297 | 0.9591 | DestructiveRotation | 33.33% | 0.0000
PreviousDistinctContext | MixedStructure->ExhaustionPersistence+Age5 | 2 | 50.00% | 50.00% | 0.6931 | 1.0000 | ExhaustionPersistence | 50.00% | 0.0000
PreviousDistinctContext | MixedStructure->ExhaustionPersistence+Age6-10 | 2 | 50.00% | 50.00% | 0.6931 | 1.0000 | ExhaustionPersistence | 50.00% | 0.0000
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age1 | 75 | 50.67% | 49.33% | 1.1968 | 0.7436 | NeutralProcessing | 50.67% | 0.2697
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age11-20 | 9 | 77.78% | 22.22% | 0.5297 | 0.7642 | NeutralProcessing | 77.78% | 0.0000
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age2 | 38 | 55.26% | 44.74% | 1.0662 | 0.7691 | NeutralProcessing | 55.26% | 0.3361
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age3 | 21 | 66.67% | 33.33% | 0.8642 | 0.7866 | NeutralProcessing | 66.67% | 0.5467
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age4 | 14 | 100.00% | 0.00% | -0.0000 | 0.0000 | NeutralProcessing | 100.00% | 2.0000
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age5 | 14 | 78.57% | 21.43% | 0.6560 | 0.5971 | NeutralProcessing | 78.57% | 0.9743
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age6-10 | 28 | 71.43% | 28.57% | 0.8555 | 0.6171 | NeutralProcessing | 71.43% | 0.8115
PreviousDistinctContext | MixedStructure->ReassertionProcessing+Age1 | 15 | 33.33% | 66.67% | 0.8532 | 0.7766 | MixedStructure | 60.00% | 0.1567
PreviousDistinctContext | MixedStructure->ReassertionProcessing+Age2 | 5 | 0.00% | 100.00% | -0.0000 | 0.0000 | DestructiveRotation | 100.00% | 0.0000
PreviousDistinctContext | MixedStructure->RecoveryResolution+Age1 | 16 | 0.00% | 100.00% | 0.5623 | 0.8113 | CompressionProcessing | 75.00% | -0.0613
PreviousDistinctContext | NeutralProcessing->CompressionProcessing+Age1 | 39 | 56.41% | 43.59% | 1.1605 | 0.7210 | CompressionProcessing | 56.41% | 0.4072
PreviousDistinctContext | NeutralProcessing->CompressionProcessing+Age2 | 22 | 40.91% | 59.09% | 1.0825 | 0.7809 | NeutralProcessing | 45.45% | 0.0828
PreviousDistinctContext | NeutralProcessing->CompressionProcessing+Age3 | 9 | 55.56% | 44.44% | 1.1491 | 0.8289 | CompressionProcessing | 55.56% | 0.0000
PreviousDistinctContext | NeutralProcessing->CompressionProcessing+Age4 | 5 | 80.00% | 20.00% | 0.5004 | 0.7219 | CompressionProcessing | 80.00% | 0.0000
PreviousDistinctContext | NeutralProcessing->CompressionProcessing+Age5 | 4 | 25.00% | 75.00% | 1.3863 | 1.0000 | ReassertionProcessing | 25.00% | 0.0000
PreviousDistinctContext | NeutralProcessing->CompressionProcessing+Age6-10 | 2 | 50.00% | 50.00% | 0.6931 | 1.0000 | CompressionProcessing | 50.00% | 0.0000
PreviousDistinctContext | NeutralProcessing->ConstructiveEmergence+Age1 | 10 | 0.00% | 100.00% | 0.9433 | 0.8587 | MixedStructure | 50.00% | -0.3587
PreviousDistinctContext | NeutralProcessing->DestructiveRotation+Age1 | 15 | 6.67% | 93.33% | 1.4898 | 0.9256 | NeutralProcessing | 33.33% | -0.5256
PreviousDistinctContext | NeutralProcessing->DestructiveRotation+Age2 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | ExhaustionPersistence | 100.00% | 0.0000
PreviousDistinctContext | NeutralProcessing->ExhaustionPersistence+Age1 | 8 | 62.50% | 37.50% | 0.9003 | 0.8194 | ExhaustionPersistence | 62.50% | 0.0000
PreviousDistinctContext | NeutralProcessing->ExhaustionPersistence+Age2 | 5 | 80.00% | 20.00% | 0.5004 | 0.7219 | ExhaustionPersistence | 80.00% | 0.0000
