APVA Loop Closure Study v0.1 - NQ
================================================================================================
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Loop candidates: 114

1. Loop Inventory
Instrument | CompleteLoopCount | IncompleteNoExcursionCount | IncompleteNoReturnCount | CompletionRate | MeanLoopDuration | MedianLoopDuration | MaxLoopDuration
NQ | 113 | 1 | 0 | 99.12% | 11.1504 | 10.0000 | 30
Aggregate | 113 | 1 | 0 | 99.12% | 11.1504 | 10.0000 | 30

2. Phase Duration Table
LoopPhase | MeanDuration | MedianDuration | MaxDuration | PercentOfLoop
MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing -> MixedStructure -> DecayToNeutral -> MixedStructure -> ExhaustionPersistence -> DecayToNeutral -> DestructiveRotation -> ExhaustionPersistence -> DecayToNeutral -> DestructiveRotation -> DecayToNeutral -> MixedStructure | 1 | 0.88% | 1 | 19.0000
MixedStructure -> ExhaustionPersistence -> DestructiveRotation -> ExhaustionPersistence -> DecayToNeutral | 1 | 0.88% | 1 | 6.0000
MixedStructure -> RecoveryResolution -> CompressionProcessing -> MixedStructure -> DecayToNeutral | 1 | 0.88% | 1 | 9.0000
MixedStructure -> ReassertionProcessing -> DestructiveRotation -> ReassertionProcessing -> DestructiveRotation -> ReassertionProcessing -> MixedStructure | 1 | 0.88% | 1 | 8.0000
DestructiveRotation | 1 | 0.88% | 1 | 1.0000
MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing -> RecoveryResolution -> CompressionProcessing | 1 | 0.88% | 1 | 9.0000
ReassertionProcessing -> ConstructiveEmergence -> MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing | 1 | 0.88% | 1 | 8.0000
MixedStructure -> RecoveryResolution | 1 | 0.88% | 1 | 2.0000
ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing -> DecayToNeutral | 1 | 0.88% | 1 | 9.0000
ReassertionProcessing -> MixedStructure -> ReassertionProcessing -> MixedStructure -> ReassertionProcessing -> MixedStructure | 1 | 0.88% | 1 | 6.0000
ExhaustionPersistence -> DecayToNeutral | 1 | 0.88% | 1 | 8.0000
