APVA Excursion Destinations Study v0.1 - NQ
================================================================================================
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
Destination event count: 57

1. Destination Inventory
DestinationFamily | Count | Count_6E | Count_CL | Count_NQ | Probability | ReplicationCount
RecoveryResolution | VolumeRelativeToSessionMean | t-2 | 0.4621 | 0.4621 | 0.1194
RecoveryResolution | VolumeRelativeToSessionMean | t-3 | 0.5544 | 0.5544 | 0.1835
RecoveryResolution | VolumeRelativeToSessionMean | t-5 | 0.5571 | 0.5571 | 0.0700
RecoveryResolution | EfficiencyRatio | t-1 | 0.6252 | 0.6252 | 0.1319
RecoveryResolution | EfficiencyRatio | t-2 | 0.1690 | 0.1690 | 0.0701
RecoveryResolution | EfficiencyRatio | t-3 | 0.1029 | 0.1029 | 0.1029
RecoveryResolution | EfficiencyRatio | t-5 | 0.3319 | 0.3319 | 0.0422
RecoveryResolution | CloseLocation | t-1 | 0.3046 | 0.3046 | 0.1751
RecoveryResolution | CloseLocation | t-2 | 0.4373 | 0.4373 | 0.0242
RecoveryResolution | CloseLocation | t-3 | 0.2755 | 0.2755 | 0.0922
RecoveryResolution | CloseLocation | t-5 | 0.5096 | 0.5096 | 0.1545
RecoveryResolution | MemoryStrength | t-1 | 0.1972 | 0.1972 | 0.0000
RecoveryResolution | MemoryStrength | t-2 | 0.2501 | 0.2501 | 0.0529
RecoveryResolution | MemoryStrength | t-3 | 0.2848 | 0.2848 | 0.0876
RecoveryResolution | MemoryStrength | t-5 | 0.2995 | 0.2995 | 0.0035
RecoveryResolution | BranchEntropy | t-1 | 1.2412 | 1.2412 | 0.0000
RecoveryResolution | BranchEntropy | t-2 | 0.8679 | 0.8679 | 0.3733
RecoveryResolution | BranchEntropy | t-3 | 0.7182 | 0.7182 | 0.5230
RecoveryResolution | BranchEntropy | t-5 | 0.7803 | 0.7803 | 0.2856
RecoveryResolution | PolarityFlipFlag | t-1 | 0.5000 | 0.5000 | 0.5000
