APVA Minimal Engine Study v0.1
================================================================================
Diagnostics
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
State counts: RecoveryResolution=68, ExhaustionPersistence=107, CompressionProcessing=205, NeutralProcessing=976, ReassertionProcessing=179, DecayToNeutral=86, DestructiveRotation=79, ConstructiveEmergence=14, MixedStructure=216
State-age key count: 34

1. Transition Hazard Table
State | AgeBucket | Horizon | Count | NextStateDistribution | PersistenceRate | ExitRate | Entropy | NormalizedEntropy | DominantDestination | DominantProbability
ExhaustionPersistence | 2 | t+3 | 19 | ExhaustionPersistence:31.58%, DestructiveRotation:26.32%, RecoveryResolution:26.32%, NeutralProcessing:10.53%, CompressionProcessing:5.26% | 31.58% | 68.42% | 1.4586 | 0.9063 | ExhaustionPersistence | 31.58%
ExhaustionPersistence | 2 | t+5 | 19 | CompressionProcessing:47.37%, NeutralProcessing:26.32%, ExhaustionPersistence:10.53%, DestructiveRotation:5.26%, MixedStructure:5.26%, RecoveryResolution:5.26% | 10.53% | 89.47% | 1.4071 | 0.7853 | CompressionProcessing | 47.37%
ExhaustionPersistence | 3 | t+1 | 14 | ExhaustionPersistence:78.57%, NeutralProcessing:21.43% | 78.57% | 21.43% | 0.5196 | 0.7496 | ExhaustionPersistence | 78.57%
ExhaustionPersistence | 3 | t+2 | 14 | ExhaustionPersistence:42.86%, DestructiveRotation:35.71%, CompressionProcessing:7.14%, NeutralProcessing:7.14%, RecoveryResolution:7.14% | 42.86% | 57.14% | 1.2964 | 0.8055 | ExhaustionPersistence | 42.86%
ExhaustionPersistence | 3 | t+3 | 14 | ExhaustionPersistence:28.57%, CompressionProcessing:21.43%, DecayToNeutral:14.29%, MixedStructure:14.29%, NeutralProcessing:14.29%, RecoveryResolution:7.14% | 28.57% | 71.43% | 1.7105 | 0.9546 | ExhaustionPersistence | 28.57%
ExhaustionPersistence | 3 | t+5 | 14 | NeutralProcessing:42.86%, CompressionProcessing:21.43%, DecayToNeutral:14.29%, DestructiveRotation:7.14%, MixedStructure:7.14%, RecoveryResolution:7.14% | 0.00% | 100.00% | 1.5367 | 0.8577 | NeutralProcessing | 42.86%
ExhaustionPersistence | 4 | t+1 | 11 | ExhaustionPersistence:54.55%, DestructiveRotation:18.18%, CompressionProcessing:9.09%, NeutralProcessing:9.09%, RecoveryResolution:9.09% | 54.55% | 45.45% | 1.2945 | 0.8043 | ExhaustionPersistence | 54.55%
ExhaustionPersistence | 4 | t+2 | 11 | ExhaustionPersistence:36.36%, CompressionProcessing:27.27%, DecayToNeutral:18.18%, NeutralProcessing:9.09%, RecoveryResolution:9.09% | 36.36% | 63.64% | 1.4681 | 0.9122 | ExhaustionPersistence | 36.36%
ExhaustionPersistence | 4 | t+3 | 11 | CompressionProcessing:36.36%, NeutralProcessing:27.27%, ExhaustionPersistence:18.18%, DestructiveRotation:9.09%, MixedStructure:9.09% | 18.18% | 81.82% | 1.4681 | 0.9122 | CompressionProcessing | 36.36%
ExhaustionPersistence | 4 | t+5 | 11 | NeutralProcessing:36.36%, MixedStructure:27.27%, DecayToNeutral:18.18%, CompressionProcessing:9.09%, ExhaustionPersistence:9.09% | 9.09% | 90.91% | 1.4681 | 0.9122 | NeutralProcessing | 36.36%
ExhaustionPersistence | 5 | t+1 | 6 | ExhaustionPersistence:66.67%, CompressionProcessing:16.67%, RecoveryResolution:16.67% | 66.67% | 33.33% | 0.8676 | 0.7897 | ExhaustionPersistence | 66.67%
ExhaustionPersistence | 5 | t+2 | 6 | CompressionProcessing:33.33%, ExhaustionPersistence:33.33%, DestructiveRotation:16.67%, NeutralProcessing:16.67% | 33.33% | 66.67% | 1.3297 | 0.9591 | CompressionProcessing | 33.33%
ExhaustionPersistence | 5 | t+3 | 6 | DecayToNeutral:33.33%, NeutralProcessing:33.33%, CompressionProcessing:16.67%, DestructiveRotation:16.67% | 0.00% | 100.00% | 1.3297 | 0.9591 | DecayToNeutral | 33.33%
ExhaustionPersistence | 5 | t+5 | 6 | NeutralProcessing:83.33%, CompressionProcessing:16.67% | 0.00% | 100.00% | 0.4506 | 0.6500 | NeutralProcessing | 83.33%
ExhaustionPersistence | 6-10 | t+1 | 6 | DestructiveRotation:33.33%, ExhaustionPersistence:33.33%, DecayToNeutral:16.67%, NeutralProcessing:16.67% | 33.33% | 66.67% | 1.3297 | 0.9591 | DestructiveRotation | 33.33%
ExhaustionPersistence | 6-10 | t+2 | 6 | DecayToNeutral:50.00%, NeutralProcessing:33.33%, DestructiveRotation:16.67% | 0.00% | 100.00% | 1.0114 | 0.9206 | DecayToNeutral | 50.00%
ExhaustionPersistence | 6-10 | t+3 | 6 | NeutralProcessing:66.67%, DecayToNeutral:16.67%, MixedStructure:16.67% | 0.00% | 100.00% | 0.8676 | 0.7897 | NeutralProcessing | 66.67%
ExhaustionPersistence | 6-10 | t+5 | 6 | NeutralProcessing:66.67%, MixedStructure:33.33% | 0.00% | 100.00% | 0.6365 | 0.9183 | NeutralProcessing | 66.67%
MixedStructure | 1 | t+1 | 183 | NeutralProcessing:35.52%, DecayToNeutral:19.13%, MixedStructure:14.75%, ExhaustionPersistence:13.11%, ReassertionProcessing:7.10%, RecoveryResolution:6.56%, CompressionProcessing:2.19%, DestructiveRotation:1.09%, ConstructiveEmergence:0.55% | 14.75% | 85.25% | 1.7607 | 0.8013 | NeutralProcessing | 35.52%
