APVA Stage + Alignment + Breakout Type Study v0.1 - NQ
======================================================
Instrument: NQ
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
Total stage-alignment-breakout observations: 1514
Breakout, SequenceStage, alignment, event, and DRFwd logic are reused from prior studies.
This is a descriptive decomposition of the prior Stage x Alignment result.

Observation Counts by BreakoutType
==================================
IBSYM             458
Lateral          1056

Observation Counts by Stage
===========================
Stage0       128
Stage1       394
Stage2       277
Stage3       257
Stage4       458

Observation Counts by Alignment
===============================
Aligned           757
Opposed           757

Event x Stage x Alignment x BreakoutType
========================================
Event                    Type       Stage Alignment    Count   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
DissipationAny           Lateral        109    49.54%         71     52.11%    -2.57%   -7.086833
DissipationContained     IBSYM           26    61.54%         22     40.91%    20.63%    2.176573
DissipationContained     Lateral         71    53.52%         41     46.34%     7.18%   -4.350395
DissipationAccepted      IBSYM           24    50.00%         21     57.14%    -7.14%   -9.147321
DissipationAccepted      Lateral         38    42.11%         29     62.07%   -19.96%  -12.638612
ParticipationPeak        IBSYM           14    78.57%          6     50.00%    28.57%   26.773810
ParticipationPeak        Lateral         29    62.07%         13     30.77%    31.30%   23.353448
ParticipationClimactic   IBSYM            2   100.00%          2     50.00%    50.00%   55.625000
ParticipationClimactic   Lateral          5    40.00%          6     50.00%   -10.00%  -65.775000
PeakContained            IBSYM            6   100.00%          3    100.00%     0.00%  -16.750000
PeakContained            Lateral         17    70.59%          3     66.67%     3.92%  -24.186275
PeakAccepted             IBSYM            8    62.50%          3      0.00%    62.50%   74.656250
PeakAccepted             Lateral         12    50.00%          9     22.22%    27.78%   23.840278
ClimacticContained       IBSYM            0     0.00%          1      0.00%     0.00%   66.500000
ClimacticContained       Lateral          3    66.67%          4     25.00%    41.67%   11.750000
ClimacticAccepted        IBSYM            2   100.00%          1    100.00%     0.00%   -5.875000
ClimacticAccepted        Lateral          2     0.00%          2    100.00%  -100.00% -192.000000

Immature Aligned versus Immature Opposed by BreakoutType
========================================================
Event                    Type     LeftCount  LeftCont5 RightCount  RightCont5 DeltaCont5  DeltaMean5
AllBars                  IBSYM           70    41.43%         73     53.42%   -12.00%  -27.028131
AllBars                  Lateral        232    49.14%        142     42.96%     6.18%   -4.427529
DissipationAny           IBSYM           42    40.48%         55     50.91%   -10.43%  -27.709307
DissipationAny           Lateral        128    47.66%         94     43.62%     4.04%   -1.033078
DissipationContained     IBSYM           17    29.41%         29     72.41%   -43.00%  -97.425456
DissipationContained     Lateral         60    55.00%         56     46.43%     8.57%  -10.115774
DissipationAccepted      IBSYM           25    48.00%         25     28.00%    20.00%   38.180000
DissipationAccepted      Lateral         66    42.42%         36     38.89%     3.54%   14.239899
ParticipationPeak        IBSYM            9    44.44%          3     66.67%   -22.22%  -47.583333
ParticipationPeak        Lateral         49    61.22%          8     25.00%    36.22%   40.812500
ParticipationClimactic   IBSYM           14    50.00%         11     18.18%    31.82%   69.766234
ParticipationClimactic   Lateral         17    52.94%          9     44.44%     8.50%   49.937908
PeakContained            IBSYM            1   100.00%          1    100.00%     0.00%  -65.250000
PeakContained            Lateral          9    88.89%          1      0.00%    88.89%   58.277778
PeakAccepted             IBSYM            8    37.50%          2     50.00%   -12.50%  -23.781250
PeakAccepted             Lateral         39    53.85%          7     28.57%    25.27%   34.549451
ClimacticContained       IBSYM            3   100.00%          1      0.00%   100.00%  197.416667
ClimacticContained       Lateral          5   100.00%          1      0.00%   100.00%  160.150000
ClimacticAccepted        IBSYM           11    36.36%         10     20.00%    16.36%   42.481818
ClimacticAccepted        Lateral         11    36.36%          6     33.33%     3.03%   53.435606

Mature Aligned versus Immature Aligned by BreakoutType
======================================================
Event                    Type     LeftCount  LeftCont5 RightCount  RightCont5 DeltaCont5  DeltaMean5
AllBars                  IBSYM           82    53.66%         70     41.43%    12.23%   27.353223
AllBars                  Lateral        188    49.47%        232     49.14%     0.33%    6.399509
DissipationAny           IBSYM           50    56.00%         42     40.48%    15.52%   26.224762
DissipationAny           Lateral        109    49.54%        128     47.66%     1.89%    1.844395
DissipationContained     IBSYM           26    61.54%         17     29.41%    32.13%   61.411199
DissipationContained     Lateral         71    53.52%         60     55.00%    -1.48%    2.108040
DissipationAccepted      IBSYM           24    50.00%         25     48.00%     2.00%    0.297917
DissipationAccepted      Lateral         38    42.11%         66     42.42%    -0.32%    2.165072
ParticipationPeak        IBSYM           14    78.57%          9     44.44%    34.13%   43.898810
ParticipationPeak        Lateral         29    62.07%         49     61.22%     0.84%   -8.646552
ParticipationClimactic   IBSYM            2   100.00%         14     50.00%    50.00%   53.017857
ParticipationClimactic   Lateral          5    40.00%         17     52.94%   -12.94%  -52.032353
