APVA Destination Robustness Study v0.1 - NQ
================================================================================================
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Destination event count: 57

1. Baseline Signature Table
DestinationFamily | Signal | Horizon | EffectSize | ReplicationCount | Direction | Rank
DecayToNeutral | EfficiencyRatio | t-3 | 0.0000 | 0 | Flat | 27
DecayToNeutral | EfficiencyRatio | t-5 | 0.0000 | 0 | Flat | 28
DecayToNeutral | CloseLocation | t-1 | 0.0000 | 0 | Flat | 29
DecayToNeutral | CloseLocation | t-2 | 0.0000 | 0 | Flat | 30
DecayToNeutral | CloseLocation | t-3 | 0.0000 | 0 | Flat | 31
DecayToNeutral | CloseLocation | t-5 | 0.0000 | 0 | Flat | 32
DecayToNeutral | MemoryStrength | t-1 | 0.0000 | 0 | Flat | 33
DecayToNeutral | MemoryStrength | t-2 | 0.0000 | 0 | Flat | 34
DecayToNeutral | MemoryStrength | t-3 | 0.0000 | 0 | Flat | 35
DecayToNeutral | MemoryStrength | t-5 | 0.0000 | 0 | Flat | 36
DecayToNeutral | BranchEntropy | t-1 | 0.0000 | 0 | Flat | 37
DecayToNeutral | BranchEntropy | t-2 | 0.0000 | 0 | Flat | 38
DecayToNeutral | BranchEntropy | t-3 | 0.0000 | 0 | Flat | 39
DecayToNeutral | BranchEntropy | t-5 | 0.0000 | 0 | Flat | 40
DecayToNeutral | PolarityFlipFlag | t-1 | 0.0000 | 0 | Flat | 41
DecayToNeutral | PolarityFlipFlag | t-2 | 0.0000 | 0 | Flat | 42
DecayToNeutral | PolarityFlipFlag | t-3 | 0.0000 | 0 | Flat | 43
DecayToNeutral | PolarityFlipFlag | t-5 | 0.0000 | 0 | Flat | 44
DestructiveRotation | RangeRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 1
DestructiveRotation | RangeRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 2
DestructiveRotation | RangeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 3
DestructiveRotation | RangeRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 4
DestructiveRotation | BodyRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 5
DestructiveRotation | BodyRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 6
DestructiveRotation | BodyRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 7
DestructiveRotation | BodyRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 8
DestructiveRotation | TrueRangeRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 9
DestructiveRotation | TrueRangeRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 10
DestructiveRotation | TrueRangeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 11
DestructiveRotation | TrueRangeRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 12
DestructiveRotation | VolumeRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 13
DestructiveRotation | VolumeRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 14
DestructiveRotation | VolumeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 15
DestructiveRotation | VolumeRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 16
DestructiveRotation | VolumeRelativeToRollingMean | t-1 | 0.0000 | 0 | Flat | 17
DestructiveRotation | VolumeRelativeToRollingMean | t-2 | 0.0000 | 0 | Flat | 18
DestructiveRotation | VolumeRelativeToRollingMean | t-3 | 0.0000 | 0 | Flat | 19
DestructiveRotation | VolumeRelativeToRollingMean | t-5 | 0.0000 | 0 | Flat | 20
DestructiveRotation | VolumeRelativeToSessionMean | t-1 | 0.0000 | 0 | Flat | 21
DestructiveRotation | VolumeRelativeToSessionMean | t-2 | 0.0000 | 0 | Flat | 22
DestructiveRotation | VolumeRelativeToSessionMean | t-3 | 0.0000 | 0 | Flat | 23
DestructiveRotation | VolumeRelativeToSessionMean | t-5 | 0.0000 | 0 | Flat | 24
DestructiveRotation | EfficiencyRatio | t-1 | 0.0000 | 0 | Flat | 25
DestructiveRotation | EfficiencyRatio | t-2 | 0.0000 | 0 | Flat | 26
