Candidate,ValidationMode,Dataset,DatasetCode,DatasetType,VolumeCoverageGroup,ExplicitVolumeAvailable,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,ValidationPass,ValidationStatus,ContributionRankBestToWorst
PriorSlope_DominantPressureValue_Q3,Spacing_10,tables/apva_forward_signed_return_dataset_es_nq_062023_generated.csv,062023,Generated Regime,VolumeEnabled,True,34,0.4708896453264021,-0.0126126126126126,1.9036447451217011,16.01024794109767,0.47058823529411764,0.09357400407811992,0.0654619984385025,False,fail,5
PriorSlope_DominantPressureValue_Q3,Spacing_10,tables/apva_forward_signed_return_dataset_es_nq_092024_generated.csv,092024,Generated Regime,LegacyOrNoExplicitVolume,False,66,0.1699019707632406,0.1709605361131794,1.4270824009288734,11.21353007037388,0.5909090909090909,0.06553895432448534,0.0458493891323577,False,fail,6
PriorSlope_DominantPressureValue_Q3,Spacing_10,tables/apva_forward_signed_return_dataset_es_nq_122022_generated.csv,122022,Generated Regime,LegacyOrNoExplicitVolume,False,62,0.142187640336798,-0.0976595176648571,1.2005442057892017,8.815633700881477,0.45161290322580644,0.05152413297485374,0.03604497579829159,False,fail,7
PriorSlope_DominantPressureValue_Q3,Spacing_10,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,032024,Generated Regime,VolumeEnabled,True,71,0.09265357961850677,0.128440366972477,1.1392625397030103,6.578404152913981,0.5211267605633803,0.0384483500378627,0.026897489905853937,False,fail,8
PriorSlope_DominantPressureValue_Q3,Spacing_10,tables/apva_forward_signed_return_dataset_generated.csv,LegacyGenerated,Legacy Generated,LegacyOrNoExplicitVolume,False,36,0.020130440485681984,0.2554338043939805,1.0395065855825165,0.7246958574845515,0.5833333333333334,0.004235580446545336,0.0029631045856114598,False,fail,9
PriorSlope_DominantPressureValue_Q3,Spacing_10,tables/apva_forward_signed_return_dataset_es_nq_062019_generated.csv,062019,Generated Regime,VolumeEnabled,True,74,-0.07785221831952284,0.0236486486486486,0.8658193441968889,-5.76106415564469,0.5,-0.03367129870679859,0.023555586031422143,False,fail,10
PriorSlope_DominantPressureValue_Q3,Spacing_10,tables/apva_forward_signed_return_dataset_es_nq_122017_generated.csv,122017,Generated Regime,VolumeEnabled,True,161,-0.05920696427855145,0.0,0.9081550104410345,-9.532321248846783,0.45962732919254656,-0.055712907801000834,0.03897533635975223,False,fail,11
PriorSlope_DominantPressureValue_Q3,Spacing_10,tables/apva_forward_signed_return_dataset_es_nq_122023_generated.csv,122023,Generated Regime,VolumeEnabled,True,71,-0.3020367186044254,-0.3083700440528634,0.5378805720797574,-21.4446070209142,0.4225352112676056,-0.12533583191286463,0.08768176710829498,False,fail,12
PriorSlope_DominantPressureValue_Q3,Spacing_20,tables/apva_forward_signed_return_dataset_v1.csv,CanonicalOriginal,Canonical/Original,LegacyOrNoExplicitVolume,False,223,0.2813658202526897,0.1132686084142395,1.574406707077572,62.7445779163498,0.5381165919282511,0.41905583862368906,0.28454125924548945,False,fail,1
PriorSlope_DominantPressureValue_Q3,Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_092022_generated.csv,092022,Generated Regime,LegacyOrNoExplicitVolume,False,57,0.7288547941253873,0.3333333333333333,2.2602154901187594,41.54472326514708,0.5789473684210527,0.2774671441965149,0.18840174347224356,False,fail,2
PriorSlope_DominantPressureValue_Q3,Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_092020_generated.csv,092020,Generated Regime,LegacyOrNoExplicitVolume,False,50,0.5237359725209948,0.316951192961336,2.3840463247227777,26.18679862604974,0.58,0.17489528535420173,0.11875487737917556,False,fail,3
PriorSlope_DominantPressureValue_Q3,Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,062021,Generated Regime,LegacyOrNoExplicitVolume,False,55,0.29610208707455016,0.0534351145038167,1.6424018820285473,16.285614789100258,0.5454545454545454,0.10876767665960237,0.07385386105960334,False,fail,4
