Candidate,ValidationMode,AttributionScope,RegimeCode,RegimeYear,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,ContributionRankBestToWorst,ContributionStatus,PassFailApplicability
PriorSlope_DominantPressureValue_Q3,Reference,YearAggregate,2016,2016,84,-0.027821256624953425,-0.2024597116200169,0.9560451749139554,-2.3369855564960877,0.4523809523809524,-0.011812002423687086,0.009420465041422363,7,Negative,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Reference,YearAggregate,2023,2023,117,-0.05396725323411785,-0.1176470588235294,0.9156165010583959,-6.314168628391789,0.4358974358974359,-0.031914178902310915,0.02545261979222259,8,Negative,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Reference,YearAggregate,2017,2017,180,-0.036820500278090015,-0.03553299492385785,0.9412174308146745,-6.627690050056202,0.45555555555555555,-0.03349883387901106,0.026716434874141597,9,Negative,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Reference,YearAggregate,2019,2019,81,-0.12141556989132347,-0.0408163265306122,0.7935491137933453,-9.834661161197202,0.48148148148148145,-0.04970806993192346,0.03964384007670165,10,Negative,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_10,DatasetRegime,CanonicalOriginal,CanonicalOriginal,257,0.27542394601508324,0.0816326530612244,1.5466293159178857,70.78395412587639,0.5291828793774319,0.4091989896867659,0.28720525416088233,1,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_10,DatasetRegime,092022,2022,61,0.7832902248091478,0.4768856447688564,2.44937739900325,47.780703713358015,0.6065573770491803,0.2762181899482396,0.19386977350229934,2,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_10,DatasetRegime,092020,2020,56,0.4405783046474218,0.2821399839098955,1.9855280009203298,24.67238506025562,0.5535714285714286,0.1426299952368542,0.10010797940709332,3,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_10,DatasetRegime,062021,2021,60,0.3542602472082953,0.1479856584093872,1.7945688047892505,21.255614832497717,0.5666666666666667,0.12287779373220219,0.0862444650867792,4,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_10,DatasetRegime,062023,2023,34,0.4708896453264021,-0.0126126126126126,1.9036447451217011,16.01024794109767,0.47058823529411764,0.09255455368431886,0.06496143632954707,5,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_10,DatasetRegime,092024,2024,66,0.1699019707632406,0.1709605361131794,1.4270824009288734,11.21353007037388,0.5909090909090909,0.06482493429879929,0.04549879691907579,6,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_10,DatasetRegime,122022,2022,62,0.142187640336798,-0.0976595176648571,1.2005442057892017,8.815633700881477,0.45161290322580644,0.0509627986794054,0.03576935407067522,7,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Spacing_10,DatasetRegime,032024,2024,71,0.09265357961850677,0.128440366972477,1.1392625397030103,6.578404152913981,0.5211267605633803,0.038029471034305505,0.02669181539859718,8,Positive,Descriptive contribution only
