Candidate,ValidationMode,DatasetCode,RegimeYear,TimeBlock,RegimeWeek,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,NegativeBlock,ContributionRankBestToWorst
CCRRR,Spacing_20,122022,2022,B01_2022-W42,2022-W42,1,-2.0,-2.0,0.0,-2.0,0.0,-0.0954060636055084,0.017652097075189777,True,45
CCRRR,Spacing_20,122022,2022,B03_2022-W44,2022-W44,1,-2.0,-2.0,0.0,-2.0,0.0,-0.0954060636055084,0.017652097075189777,True,45
CCRRR,Spacing_20,062023,2023,B04_2023-W22,2023-W22,2,-1.426374926079243,-1.426374926079243,0.0,-2.852749852158486,0.0,-0.13608481692281862,0.025178508660767443,True,50
CCRRR,Spacing_20,122017,2017,B04_2017-W45,2017-W45,3,-1.2880258899676376,-2.0,0.03398058252427182,-3.8640776699029127,0.3333333333333333,-0.18432821997569102,0.034104537067599666,True,51
CCRRR,Spacing_20,062021,2021,B04_2021-W19,2021-W19,2,-1.9444444444444444,-1.9444444444444444,0.0,-3.888888888888889,0.0,-0.18551179034404414,0.03432352209064679,True,52
CCRRR,Spacing_20,122023,2023,B07_2023-W48,2023-W48,2,-2.0,-2.0,0.0,-4.0,0.0,-0.1908121272110168,0.03530419415037955,True,53
CCRRR,Spacing_20,CanonicalOriginal,CanonicalOriginal,B04_2026-W17,2026-W17,17,-0.329866507063403,-0.3795180722891566,0.5476161458666228,-5.6077306200778505,0.35294117647058826,-0.26750575211085226,0.04949410263856419,True,54
CCRRR,Spacing_20,CanonicalOriginal,CanonicalOriginal,B07_2026-W20,2026-W20,15,-0.4638956998773162,-0.1818181818181818,0.38242445372663536,-6.958435498159743,0.4666666666666667,-0.331938469866128,0.06141548945248116,True,55
PriorSlope_DominantPressureValue_Q3,Reference,CanonicalOriginal,CanonicalOriginal,B02_2026-W15,2026-W15,55,0.6654556959153837,0.3100775193798449,2.4158371038634723,36.6000632753461,0.5636363636363636,0.18499046128623883,0.07093681418814325,False,1
PriorSlope_DominantPressureValue_Q3,Reference,092022,2022,B05_2022-W33,2022-W33,9,3.6536497824115637,0.4768856447688564,6.221263033648957,32.88284804170407,0.5555555555555556,0.166202259867066,0.06373225270029959,False,2
PriorSlope_DominantPressureValue_Q3,Reference,CanonicalOriginal,CanonicalOriginal,B05_2026-W18,2026-W18,58,0.5635373843029753,0.45438007060135005,2.3612772384562986,32.685168289572566,0.6551724137931034,0.16520311218093645,0.06334911751989795,False,3
PriorSlope_DominantPressureValue_Q3,Reference,092024,2024,B02_2024-W30,2024-W30,17,1.0924371495149663,0.3875432525951557,4.926787563147903,18.57143154175443,0.7647058823529411,0.0938669876554324,0.035994423795782333,False,4
PriorSlope_DominantPressureValue_Q3,Reference,062023,2023,B01_2023-W19,2023-W19,9,1.5610424174152655,-0.0585774058577405,3.9013268201557345,14.04938175673739,0.4444444444444444,0.07101085023850252,0.027229963392093222,False,5
PriorSlope_DominantPressureValue_Q3,Reference,062016,2016,B05_2016-W20,2016-W20,13,1.0232112241790774,0.6322580645161291,2.860868478464979,13.301745914328006,0.6153846153846154,0.06723201799111128,0.025780924781574892,False,6
PriorSlope_DominantPressureValue_Q3,Reference,CanonicalOriginal,CanonicalOriginal,B07_2026-W20,2026-W20,54,0.22606956548201393,0.43646180785040134,1.4302590170386018,12.207756536028752,0.5740740740740741,0.06170258493490816,0.023660597265515903,False,7
PriorSlope_DominantPressureValue_Q3,Reference,122022,2022,B01_2022-W42,2022-W42,9,1.2902221509788525,0.1926140477914554,3.4573028115370015,11.611999358809673,0.6666666666666666,0.05869140448422893,0.0225059239562457,False,8
PriorSlope_DominantPressureValue_Q3,Reference,CanonicalOriginal,CanonicalOriginal,B08_2026-W21,2026-W21,48,0.21793212339536563,-0.1544728091620827,1.3586357130369506,10.460741922977551,0.4583333333333333,0.05287251716396424,0.02027460172617316,False,9
PriorSlope_DominantPressureValue_Q3,Reference,092022,2022,B06_2022-W34,2022-W34,14,0.6493630739702131,0.7908617547513669,2.854525211196396,9.091083035582983,0.7142857142857143,0.04594974690868463,0.017619982326602498,False,10
PriorSlope_DominantPressureValue_Q3,Reference,CanonicalOriginal,CanonicalOriginal,B03_2026-W16,2026-W16,50,0.17501869420807503,-0.085967521626954,1.3466825288298743,8.750934710403751,0.48,0.044230509564550484,0.016960720118280013,False,11
PriorSlope_DominantPressureValue_Q3,Reference,122017,2017,B03_2017-W44,2017-W44,25,0.3202201488314245,0.0,1.7020471734559728,8.005503720785613,0.48,0.040462821470978114,0.015515954867389185,False,12
PriorSlope_DominantPressureValue_Q3,Reference,LegacyGenerated,LegacyGenerated,B02_2024-W30,2024-W30,8,0.9881612064543688,0.4594415515419712,4.952644825817474,7.90528965163495,0.875,0.03995630194012146,0.015321723869784138,False,13
PriorSlope_DominantPressureValue_Q3,Reference,062021,2021,B05_2021-W20,2021-W20,9,0.7931268760304213,0.3373493975903615,6.73228460855861,7.138141884273792,0.7777777777777778,0.036078849098272324,0.013834868007848942,False,14
PriorSlope_DominantPressureValue_Q3,Reference,092020,2020,B14_2020-W34,2020-W34,7,0.984972486612166,1.222707423580786,8.641321196423215,6.894807406285162,0.5714285714285714,0.034848945286595455,0.013363246619634688,False,15
PriorSlope_DominantPressureValue_Q3,Reference,092022,2022,B02_2022-W30,2022-W30,6,1.0696037028164411,1.5560999685915555,4.208811108449323,6.417622216898647,0.8333333333333334,0.03243707218027122,0.012438384909473476,False,16
PriorSlope_DominantPressureValue_Q3,Reference,062021,2021,B02_2021-W17,2021-W17,17,0.36766757596636523,0.1346153846153846,1.766695064100525,6.250348791428209,0.5882352941176471,0.031591609485141135,0.012114182084687555,False,17
PriorSlope_DominantPressureValue_Q3,Reference,062021,2021,B01_2021-W16,2021-W16,3,1.946383370959553,0.1613559322033898,96.1990009474682,5.839150112878659,0.6666666666666666,0.0295132569792204,0.011317212854464178,False,18
PriorSlope_DominantPressureValue_Q3,Reference,092022,2022,B03_2022-W31,2022-W31,9,0.5950447870863856,1.2156862745098038,2.856800339265911,5.355403083777471,0.7777777777777778,0.027068217871335686,0.010379633242667925,False,19
PriorSlope_DominantPressureValue_Q3,Reference,062023,2023,B03_2023-W21,2023-W21,6,0.8735442471665328,0.7960486822206574,7.888520349084658,5.2412654829991965,0.8333333333333334,0.026491323584043557,0.01015841619947929,False,20
PriorSlope_DominantPressureValue_Q3,Reference,092020,2020,B13_2020-W33,2020-W33,4,1.2563336874324846,1.0369655172413792,6.373069966787144,5.0253347497299385,0.75,0.025399928586913513,0.00973990767974816,False,21
PriorSlope_DominantPressureValue_Q3,Reference,032024,2024,B03_2024-W05,2024-W05,11,0.44033923253899315,0.9640062597809076,1.8072885929881541,4.843731557928924,0.7272727272727273,0.02448203787263837,0.00938793146113217,False,22
PriorSlope_DominantPressureValue_Q3,Reference,062019,2019,B03_2019-W18,2019-W18,18,0.25961050864462515,0.19504252942692665,1.5127118668940234,4.672989155603252,0.5555555555555556,0.02361904166605468,0.009057005200795018,False,23
PriorSlope_DominantPressureValue_Q3,Reference,092020,2020,B12_2020-W32,2020-W32,6,0.7308228421233576,-0.09893581642833393,2.20152229976213,4.3849370527401454,0.5,0.02216311818903131,0.008498713857318893,False,24
PriorSlope_DominantPressureValue_Q3,Reference,062021,2021,B08_2021-W23,2021-W23,4,1.0740578127489,0.32253051911482145,4.191441622305918,4.2962312509956,0.5,0.02171476576242382,0.008326787734447904,False,25
PriorSlope_DominantPressureValue_Q3,Reference,092020,2020,B16_2020-W36,2020-W36,4,1.0574487978962912,1.1158209341920202,inf,4.229795191585165,1.0,0.021378972974747,0.008198023957010258,False,26
PriorSlope_DominantPressureValue_Q3,Reference,062021,2021,B06_2021-W21,2021-W21,9,0.4660709971570766,0.3010752688172043,2.0244477383635364,4.19463897441369,0.6666666666666666,0.021201280253761702,0.00812988554898923,False,27
PriorSlope_DominantPressureValue_Q3,Reference,032024,2024,B08_2024-W10,2024-W10,8,0.503435336061063,0.43882978723404253,2.5547245575308013,4.027482688488504,0.625,0.02035640962587337,0.007805909759498115,False,28
PriorSlope_DominantPressureValue_Q3,Reference,092024,2024,B01_2024-W29,2024-W29,5,0.7480309228777384,0.9406392694063926,inf,3.740154614388692,1.0,0.018904145662056265,0.007249021700313121,False,29
PriorSlope_DominantPressureValue_Q3,Reference,LegacyGenerated,LegacyGenerated,B01_2024-W29,2024-W29,5,0.7480309228777384,0.9406392694063926,inf,3.740154614388692,1.0,0.018904145662056265,0.007249021700313121,False,29
PriorSlope_DominantPressureValue_Q3,Reference,092020,2020,B15_2020-W35,2020-W35,5,0.7333092657819363,0.3368983957219251,2.833273164454841,3.6665463289096816,0.8,0.01853210175101681,0.0071063569942318725,False,31
PriorSlope_DominantPressureValue_Q3,Reference,122017,2017,B05_2017-W46,2017-W46,23,0.15632123395756864,0.375,1.2701974134525282,3.5953883810240788,0.5652173913043478,0.01817244276615361,0.0069684414368407265,False,32
PriorSlope_DominantPressureValue_Q3,Reference,092020,2020,B02_2020-W13,2020-W13,4,0.8912394548765686,-0.3221865291664451,2.2598136360103283,3.5649578195062746,0.5,0.018018635283089234,0.0069094621101715445,False,33
PriorSlope_DominantPressureValue_Q3,Reference,062019,2019,B06_2019-W21,2019-W21,13,0.25169141976612264,0.3853211009174311,1.869110851531669,3.2719884569595945,0.6153846153846154,0.01653785812944009,0.00634164032589087,False,34
PriorSlope_DominantPressureValue_Q3,Reference,122022,2022,B07_2022-W48,2022-W48,13,0.22468842039962458,0.2349650349650349,1.2841001679246473,2.9209494651951196,0.5384615384615384,0.014763575267483689,0.005661270252641203,False,35
PriorSlope_DominantPressureValue_Q3,Reference,092020,2020,B03_2020-W14,2020-W14,7,0.38079658287449397,-0.0120793787748058,2.170781271365131,2.6655760801214576,0.42857142857142855,0.01347282229939177,0.005166315524577383,False,36
PriorSlope_DominantPressureValue_Q3,Reference,122017,2017,B04_2017-W45,2017-W45,28,0.08701274161743286,-0.4636015325670497,1.1137922079922942,2.43635676528812,0.42857142857142855,0.012314261821839324,0.00472205159469454,False,37
PriorSlope_DominantPressureValue_Q3,Reference,122022,2022,B04_2022-W45,2022-W45,14,0.16550073477408547,0.18077254768255754,1.3071684395625465,2.3170102868371965,0.5,0.011711039911116664,0.004490738908096395,False,38
PriorSlope_DominantPressureValue_Q3,Reference,092024,2024,B05_2024-W33,2024-W33,8,0.28943950089017145,0.30209771893899706,3.8413711637231622,2.3155160071213716,0.75,0.011703487260405612,0.004487842753470947,False,39
PriorSlope_DominantPressureValue_Q3,Reference,092020,2020,B06_2020-W17,2020-W17,3,0.7585178040350455,2.061007957559682,2.137776706052568,2.2755534121051366,0.6666666666666666,0.011501501301238481,0.004410388811497786,False,40
PriorSlope_DominantPressureValue_Q3,Reference,062023,2023,B04_2023-W22,2023-W22,9,0.23034222680703254,0.1264516129032258,1.4520407797886492,2.073080041263293,0.5555555555555556,0.0104781248663829,0.004017962826400385,False,41
PriorSlope_DominantPressureValue_Q3,Reference,092022,2022,B01_2022-W29,2022-W29,11,0.18792644679194204,0.3333333333333333,1.3257777533570765,2.0671909147113623,0.5454545454545454,0.010448359009717058,0.004006548751162265,False,42
PriorSlope_DominantPressureValue_Q3,Reference,LegacyGenerated,LegacyGenerated,B05_2024-W33,2024-W33,4,0.5160891269844801,0.4203653004141258,15.308939680735412,2.0643565079379202,0.75,0.010434032853706147,0.004001055214577133,False,43
PriorSlope_DominantPressureValue_Q3,Reference,092020,2020,B08_2020-W19,2020-W19,4,0.4643032081250491,-0.7406973812182559,1.533468037735656,1.8572128325001964,0.25,0.009387050945957268,0.0035995774273878175,False,44
PriorSlope_DominantPressureValue_Q3,Reference,092020,2020,B04_2020-W15,2020-W15,3,0.5821806556898478,0.0411764705882352,6.073288571011531,1.7465419670695435,0.6666666666666666,0.008827678840697701,0.0033850794753478427,False,45
PriorSlope_DominantPressureValue_Q3,Reference,122023,2023,B05_2023-W46,2023-W46,6,0.29106500259741547,0.15960856684959446,4.305666815213504,1.7463900155844927,0.8333333333333334,0.008826910820842073,0.003384784968909983,False,46
PriorSlope_DominantPressureValue_Q3,Reference,LegacyGenerated,LegacyGenerated,B06_2024-W34,2024-W34,6,0.28441461296252496,0.22189622121502234,1.6642142567008875,1.7064876777751496,0.5,0.008625229424222142,0.0033074478151034607,False,47
PriorSlope_DominantPressureValue_Q3,Reference,092024,2024,B04_2024-W32,2024-W32,9,0.17709712161974964,0.2322606436138317,1.4710371868561962,1.5938740945777468,0.6666666666666666,0.008056038093976094,0.0030891845633096797,False,48
PriorSlope_DominantPressureValue_Q3,Reference,092020,2020,B10_2020-W30,2020-W30,2,0.7941646191646193,0.7941646191646193,4.565637065637066,1.5883292383292387,0.5,0.008028012308680024,0.0030784377393372375,False,49
PriorSlope_DominantPressureValue_Q3,Reference,062016,2016,B06_2016-W21,2016-W21,16,0.0855777763368287,0.0,1.156403781031972,1.3692444213892592,0.4375,0.006920675388477534,0.002653816097735233,False,50
