Candidate,ValidationMode,AttributionScope,RegimeCode,RegimeYear,Instrument,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,NegativeCell,ContributionRankBestToWorst
CCRRR,Spacing_10,YearAggregate,2016,2016,ES,4,-0.2570707559339525,-0.328125,0.34807499642192646,-1.02828302373581,0.25,-0.04213146551603043,0.01845692683528045,True,13
CCRRR,Spacing_10,YearAggregate,2019,2019,NQ,4,-0.33728849786340714,-0.42891583054626525,0.42340723283470705,-1.3491539914536286,0.25,-0.05527839471688814,0.024216325598101014,True,14
CCRRR,Spacing_10,YearAggregate,2022,2022,NQ,4,-0.37704027105077664,-0.7615571776155718,0.6229597289492234,-1.5081610842031066,0.5,-0.06179333436904763,0.027070386405703903,True,15
CCRRR,Spacing_10,YearAggregate,2021,2021,NQ,4,-0.6046530945934251,-0.6928588207657975,0.37807110270390565,-2.4186123783737004,0.5,-0.09909692337999379,0.04341232003263736,True,16
CCRRR,Spacing_10,YearAggregate,2024,2024,ES,6,-0.48134754063020085,-0.6082465450211413,0.4463550140046681,-2.8880852437812052,0.3333333333333333,-0.11833246396858384,0.05183901397580415,True,17
CCRRR,Spacing_10,YearAggregate,2017,2017,NQ,13,-0.2649742822489356,-0.3442622950819672,0.6780722569708637,-3.4446656692361626,0.38461538461538464,-0.1411370308637559,0.0618292247966051,True,18
CCRRR,Spacing_20,DatasetRegime,CanonicalOriginal,CanonicalOriginal,ES,18,0.7931229082118346,0.1799604482531311,3.0161462114035165,14.276212347813024,0.6111111111111112,0.6810186116505969,0.21656625976982333,False,1
CCRRR,Spacing_20,DatasetRegime,122023,2023,NQ,3,2.338881409966555,2.0267260579064588,inf,7.016644229899665,1.0,0.33471520284751544,0.1064405852185062,False,2
CCRRR,Spacing_20,DatasetRegime,CanonicalOriginal,CanonicalOriginal,NQ,73,0.07846063322544977,0.0,1.1337567805367919,5.727626225457834,0.4931506849315068,0.273225135987304,0.08688653256106635,False,3
CCRRR,Spacing_20,DatasetRegime,092024,2024,NQ,2,2.3745810777766607,2.3745810777766607,inf,4.749162155553321,1.0,0.22654943334279676,0.07204349865432844,False,4
CCRRR,Spacing_20,DatasetRegime,LegacyGenerated,LegacyGenerated,NQ,2,2.3745810777766607,2.3745810777766607,inf,4.749162155553321,1.0,0.22654943334279676,0.07204349865432844,False,4
CCRRR,Spacing_20,DatasetRegime,092022,2022,NQ,2,1.2459194578984467,1.2459194578984467,inf,2.4918389157968934,1.0,0.11886827104759974,0.03780051884880332,False,6
CCRRR,Spacing_20,DatasetRegime,092020,2020,ES,3,0.8214864204957326,1.2119402985074628,2.5576236024984027,2.464459261487198,0.6666666666666666,0.11756217852731592,0.037385176937154756,False,7
CCRRR,Spacing_20,DatasetRegime,092022,2022,ES,2,0.9773655913978495,0.9773655913978495,inf,1.954731182795699,1.0,0.09324660377873856,0.029652740572912336,False,8
CCRRR,Spacing_20,DatasetRegime,062021,2021,ES,2,0.0060287081339713,0.0060287081339713,1.0338345864661656,0.0120574162679426,0.5,0.0005751753116887117,0.00018290772650465413,False,9
CCRRR,Spacing_20,DatasetRegime,122017,2017,ES,6,-0.019898586440239147,-0.0842127479949346,0.9155174120369627,-0.11939151864143488,0.5,-0.005695337410731489,0.0018111368765382368,True,10
CCRRR,Spacing_20,DatasetRegime,122022,2022,ES,2,-0.10465116279069775,-0.10465116279069775,0.8953488372093023,-0.2093023255813955,0.5,-0.009984355493599722,0.0031750593720492265,True,11
CCRRR,Spacing_20,DatasetRegime,062019,2019,ES,3,-0.29434202161474887,0.5384615384615384,0.5584869675778767,-0.8830260648442466,0.6666666666666666,-0.042123020453925984,0.013395265318526807,True,12
CCRRR,Spacing_20,DatasetRegime,092024,2024,ES,3,-0.3042928774036524,-0.4684014869888475,0.24958173648217954,-0.9128786322109572,0.3333333333333333,-0.04354707842441404,0.013848120648892188,True,13
CCRRR,Spacing_20,DatasetRegime,122023,2023,ES,4,-0.24928263988522226,-1.2058823529411764,0.7739837398373984,-0.997130559540889,0.25,-0.04756615079327712,0.015126199479306714,True,14
CCRRR,Spacing_20,DatasetRegime,062016,2016,NQ,2,-0.5082570100042272,-0.5082570100042272,0.0,-1.0165140200084544,0.0,-0.04849080062440882,0.015420241304448095,True,15
CCRRR,Spacing_20,DatasetRegime,062016,2016,ES,4,-0.2570707559339525,-0.328125,0.34807499642192646,-1.02828302373581,0.25,-0.04905221778350159,0.015598773891128272,True,16
CCRRR,Spacing_20,DatasetRegime,062019,2019,NQ,4,-0.33728849786340714,-0.42891583054626525,0.42340723283470705,-1.3491539914536286,0.25,-0.0643587357611252,0.02046629923008954,True,17
CCRRR,Spacing_20,DatasetRegime,062023,2023,NQ,3,-0.5957838389477951,-0.8527498521584861,0.37346363702691454,-1.7873515168433851,0.3333333333333333,-0.08526208625068095,0.027113636549122157,True,18
CCRRR,Spacing_20,DatasetRegime,032024,2024,ES,3,-0.6584022038567493,-2.0,0.506198347107438,-1.9752066115702478,0.3333333333333333,-0.09422334380874589,0.029963347260376378,True,19
CCRRR,Spacing_20,DatasetRegime,032024,2024,NQ,1,-2.0,-2.0,0.0,-2.0,0.0,-0.09540606360550839,0.030339456221803698,True,20
