Candidate,ValidationMode,Breakdown,VolumeCoverageGroup,ExplicitVolumeAvailable,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,Instrument,DatasetCode,RegimeYear
PriorSlope_DominantPressureValue_Q3,Spacing_10,ByDataset,LegacyOrNoExplicitVolume,False,66,0.1699019707632406,0.1709605361131794,1.4270824009288734,11.21353007037388,0.5909090909090909,0.06482493429879929,0.04549879691907579,All,092024,2024
PriorSlope_DominantPressureValue_Q3,Spacing_10,ByDataset,LegacyOrNoExplicitVolume,False,62,0.142187640336798,-0.0976595176648571,1.2005442057892017,8.815633700881477,0.45161290322580644,0.0509627986794054,0.03576935407067522,All,122022,2022
PriorSlope_DominantPressureValue_Q3,Spacing_10,ByDataset,LegacyOrNoExplicitVolume,False,257,0.27542394601508324,0.0816326530612244,1.5466293159178857,70.78395412587639,0.5291828793774319,0.4091989896867659,0.28720525416088233,All,CanonicalOriginal,CanonicalOriginal
PriorSlope_DominantPressureValue_Q3,Spacing_10,ByDataset,LegacyOrNoExplicitVolume,False,36,0.020130440485681984,0.2554338043939805,1.0395065855825165,0.7246958574845515,0.5833333333333334,0.00418943553486023,0.0029404468923572187,All,LegacyGenerated,LegacyGenerated
PriorSlope_DominantPressureValue_Q3,Spacing_10,ByInstrument,LegacyOrNoExplicitVolume,False,210,0.6146223541114758,0.21375291375291372,2.2012950022944118,129.07069436340993,0.5619047619047619,0.7461521242194772,0.6007882222140385,ES,,
PriorSlope_DominantPressureValue_Q3,Spacing_10,ByInstrument,LegacyOrNoExplicitVolume,False,388,0.14478304896215907,0.1204424416222859,1.28755136064689,56.175822997317724,0.5360824742268041,0.3247500128976497,0.26148284857710263,NQ,,
PriorSlope_DominantPressureValue_Q3,Spacing_10,AllInstruments,VolumeEnabled,True,482,-0.02544559170403336,-0.02599693383632195,0.9595269145531024,-12.26477520134408,0.470954356846473,-0.07090213711712676,0.06209657707287616,All,,
PriorSlope_DominantPressureValue_Q3,Spacing_10,ByDataset,VolumeEnabled,True,71,0.09265357961850677,0.128440366972477,1.1392625397030103,6.578404152913981,0.5211267605633803,0.038029471034305505,0.02669181539859718,All,032024,2024
PriorSlope_DominantPressureValue_Q3,Spacing_10,ByDataset,VolumeEnabled,True,71,0.02654317084577377,0.0,1.0419226328639812,1.8845651300499375,0.4647887323943662,0.010894589836617086,0.007646605983556689,All,062016,2016
PriorSlope_DominantPressureValue_Q3,Spacing_10,ByDataset,VolumeEnabled,True,74,-0.07785221831952284,0.0236486486486486,0.8658193441968889,-5.76106415564469,0.5,-0.0333044637181218,0.023375465746328088,All,062019,2019
PriorSlope_DominantPressureValue_Q3,Spacing_10,ByDataset,VolumeEnabled,True,34,0.4708896453264021,-0.0126126126126126,1.9036447451217011,16.01024794109767,0.47058823529411764,0.09255455368431886,0.06496143632954707,All,062023,2023
PriorSlope_DominantPressureValue_Q3,Spacing_10,ByDataset,VolumeEnabled,True,161,-0.05920696427855145,0.0,0.9081550104410345,-9.532321248846783,0.45962732919254656,-0.055105938521903666,0.03867730731953261,All,122017,2017
PriorSlope_DominantPressureValue_Q3,Spacing_10,ByDataset,VolumeEnabled,True,71,-0.3020367186044254,-0.3083700440528634,0.5378805720797574,-21.4446070209142,0.4225352112676056,-0.12397034943234278,0.08701129918327587,All,122023,2023
PriorSlope_DominantPressureValue_Q3,Spacing_10,ByInstrument,VolumeEnabled,True,204,-0.10258296928315747,-0.11740093526950525,0.8305319545823082,-20.926925733764122,0.44607843137254904,-0.12097765621115247,0.0974090251083174,ES,,
