APVA Age Transition Matrix Study v0.1 - Aggregate
==========================================================

Instruments: 6E, CL, NQ

Aggregate Transition Matrix Lag 1
========================================
State                        Age    NextState                        6E_N    6E_Prob    6E_Lift     CL_N    CL_Prob    CL_Lift     NQ_N    NQ_Prob    NQ_Lift  ValidN   MeanProb   MeanLift
NeutralProcessing            1      ConstructiveEmergence              20      0.35%      1.498        3      0.67%      1.507        4      1.35%      1.856       3      0.79%      1.620
NeutralProcessing            1      DestructiveRotation               237      4.18%      1.554       15      3.37%      1.077       13      4.38%      1.069       3      3.98%      1.233
NeutralProcessing            1      MixedStructure                    845     14.90%      1.431       66     14.83%      1.271       39     13.13%      1.178       3     14.29%      1.294
NeutralProcessing            1      NeutralProcessing                3205     56.51%      1.173      253     56.85%      1.194      175     58.92%      1.165       3     57.43%      1.177
NeutralProcessing            1      ReassertionProcessing             530      9.34%      1.638       63     14.16%      1.835       45     15.15%      1.633       3     12.88%      1.702
NeutralProcessing            11-20  CompressionProcessing              46      5.16%      0.281        2      6.67%      0.511        2      5.41%      0.509       3      5.74%      0.433
NeutralProcessing            11-20  ConstructiveEmergence               1      0.11%      0.477        0      0.00%        N/A        1      2.70%      3.724       2      1.41%      2.100
NeutralProcessing            11-20  ExhaustionPersistence               7      0.79%      0.147        1      3.33%      0.508        1      2.70%      0.487       3      2.27%      0.381
NeutralProcessing            11-20  MixedStructure                     79      8.87%      0.852        4     13.33%      1.143        4     10.81%      0.970       3     11.00%      0.988
NeutralProcessing            11-20  NeutralProcessing                 688     77.22%      1.602       19     63.33%      1.330       25     67.57%      1.335       3     69.37%      1.422
NeutralProcessing            11-20  ReassertionProcessing              61      6.85%      1.200        4     13.33%      1.728        4     10.81%      1.165       3     10.33%      1.365
NeutralProcessing            2      CompressionProcessing             425     13.26%      0.721       24      9.49%      0.727        5      2.86%      0.269       3      8.53%      0.572
NeutralProcessing            2      ConstructiveEmergence               7      0.22%      0.928        0      0.00%        N/A        2      1.14%      1.575       2      0.68%      1.251
NeutralProcessing            2      DestructiveRotation                40      1.25%      0.464        5      1.98%      0.631        2      1.14%      0.279       3      1.46%      0.458
