APVA Neutral Failure Timing Study v0.1 - Aggregate
================================================================================================
Instrument: ALL
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv; .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv; .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
ReferenceFailureCount: 2331
StableControlCount: 16494
Purpose: Test causal NeutralFailure timing as a warning score overlay.

1. Reference Failure Inventory
FailureNode | Count | Count_6E | Count_CL | Count_NQ | Probability
NeutralProcessing_Age2 | 1051 | 931 | 80 | 40 | 45.09%
NeutralProcessing_Age6-10 | 586 | 507 | 40 | 39 | 25.14%
NeutralProcessing_Age3 | 276 | 242 | 19 | 15 | 11.84%
NeutralProcessing_Age5 | 166 | 145 | 14 | 7 | 7.12%
NeutralProcessing_Age11-20 | 141 | 126 | 5 | 10 | 6.05%
NeutralProcessing_Age4 | 100 | 90 | 8 | 2 | 4.29%
NeutralProcessing_Age21+ | 11 | 11 | 0 | 0 | 0.47%

2. Warning Window Signal Table
FailureNode | AgeBucket | Horizon | Signal | FailureMean | ControlMean | EffectSize | ReplicationCount
AllFailureNodes | 11-20 | t-2 | PolarityFlipFlag | 0.6312 | 0.7034 | -0.1537 | 0
AllFailureNodes | 4 | t-1 | PolarityFlipFlag | 0.7000 | 0.6280 | 0.1530 | 0
AllFailureNodes | 11-20 | t-2 | RangeRelativeToPrevious | 1.3106 | 1.1193 | 0.1523 | 2
AllFailureNodes | 21+ | t-0 | CloseLocation | 0.5561 | 0.5031 | 0.1522 | 0
AllFailureNodes | 3 | t-2 | VolumeRelativeToPrevious | 0.8384 | 0.9292 | -0.1519 | 2
AllFailureNodes | 11-20 | t-5 | CloseLocation | 0.4426 | 0.4926 | -0.1497 | 1
AllFailureNodes | 2 | t-0 | BodyRelativeToPrevious | 0.9269 | 1.0970 | -0.1492 | 1

3. Warning Score Distribution
Score | FailureCount | ControlCount | FailurePercent | ControlPercent
0 | 132 | 99 | 5.66% | 4.78%
1 | 400 | 324 | 17.16% | 15.65%
2 | 547 | 489 | 23.47% | 23.62%
3 | 567 | 563 | 24.32% | 27.20%
4 | 375 | 366 | 16.09% | 17.68%
5 | 236 | 178 | 10.12% | 8.60%
6 | 74 | 51 | 3.17% | 2.46%

4. Threshold Performance Table
Threshold | DetectionAtFailure | EarlyDetection1 | EarlyDetection2 | EarlyDetection3 | FalsePositiveRate | Precision | Recall
>=1 | 94.34% | 99.91% | 100.00% | 100.00% | 40.24% | 29.87% | 94.34%
>=2 | 77.18% | 97.04% | 99.74% | 100.00% | 33.75% | 29.35% | 77.18%
>=3 | 53.71% | 82.20% | 94.29% | 99.27% | 23.84% | 29.04% | 53.71%
>=4 | 29.39% | 52.72% | 72.16% | 89.62% | 12.74% | 29.53% | 29.39%

5. Warning Score by Neutral Age Table
AgeBucket | Threshold | DetectionRate | FalsePositiveRate | Precision | Recall
2 | >=1 | 93.53% | 62.81% | 30.11% | 93.53%
2 | >=2 | 75.64% | 51.58% | 29.79% | 75.64%
2 | >=3 | 49.86% | 35.04% | 29.16% | 49.86%
2 | >=4 | 21.98% | 15.85% | 28.62% | 21.98%
3 | >=1 | 95.65% | 80.51% | 14.05% | 95.65%
3 | >=2 | 75.36% | 67.95% | 13.24% | 75.36%
3 | >=3 | 50.36% | 47.21% | 12.80% | 50.36%
3 | >=4 | 21.74% | 23.18% | 11.43% | 21.74%
4 | >=1 | 100.00% | 90.07% | 6.89% | 100.00%
4 | >=2 | 99.00% | 76.62% | 7.93% | 99.00%
4 | >=3 | 91.00% | 54.50% | 10.01% | 91.00%
4 | >=4 | 75.00% | 31.45% | 13.71% | 75.00%
5 | >=1 | 95.18% | 85.59% | 11.90% | 95.18%
5 | >=2 | 82.53% | 75.05% | 11.78% | 82.53%
5 | >=3 | 64.46% | 57.35% | 12.01% | 64.46%
5 | >=4 | 48.80% | 37.97% | 13.50% | 48.80%
6-10 | >=1 | 93.69% | 55.94% | 23.01% | 93.69%
6-10 | >=2 | 75.26% | 46.59% | 22.37% | 75.26%
6-10 | >=3 | 52.73% | 32.86% | 22.26% | 52.73%
6-10 | >=4 | 30.55% | 19.37% | 21.96% | 30.55%
11-20 | >=1 | 95.74% | 49.06% | 22.31% | 95.74%
11-20 | >=2 | 78.01% | 41.23% | 21.78% | 78.01%
11-20 | >=3 | 54.61% | 29.85% | 21.21% | 54.61%
11-20 | >=4 | 39.72% | 16.91% | 25.69% | 39.72%
21+ | >=1 | 90.91% | 54.88% | 18.18% | 90.91%
21+ | >=2 | 81.82% | 48.78% | 18.37% | 81.82%
21+ | >=3 | 45.45% | 37.80% | 13.89% | 45.45%
21+ | >=4 | 27.27% | 20.73% | 15.00% | 27.27%

6. Hard vs Warning Table
Method | DetectionRate | FalsePositiveRate | Precision | Recall | PhaseAgreement
HardNeutralFailurePhase | 25.53% | 2.41% | 49.54% | 25.53% | 66.12%
FailureWarningScore>=3 | 53.71% | 23.84% | 29.04% | 53.71% | 66.12%

7. Destination Conditioning Table
DestinationFamily | MeanWarningScore | DetectionRate | TopSignal
CompressionProcessing | 2.8187 | 58.50% | VolumeRelativeToRollingMean
MixedStructure | 2.5756 | 51.00% | VolumeRelativeToRollingMean
ReassertionProcessing | 2.4766 | 46.56% | VolumeRelativeToRollingMean
RecoveryResolution | 4.5600 | 92.00% | VolumeRelativeToRollingMean
ExhaustionPersistence | 4.4730 | 91.89% | VolumeRelativeToRollingMean
ConstructiveEmergence | 3.4800 | 76.00% | VolumeRelativeToRollingMean
DestructiveRotation | 2.3333 | 42.86% | VolumeRelativeToRollingMean
DecayToNeutral | 0.0000 | 0.00% | N/A

8. False Positive Anatomy Table
AgeBucket | SignalPattern | Count | SubsequentPhase
2 | EfficiencyPressure+CloseExtremePressure+PolarityInstability | 57 | NeutralProcessing_Age3
2 | RangePressure+VolumePressure+PolarityInstability | 52 | NeutralProcessing_Age3
3 | RangePressure+VolumePressure+PolarityInstability | 47 | NeutralProcessing_Age4
6-10 | RangePressure+VolumePressure+PolarityInstability | 45 | NeutralProcessing_Age6-10
6-10 | BodyPressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 41 | NeutralProcessing_Age6-10
3 | EfficiencyPressure+CloseExtremePressure+PolarityInstability | 40 | NeutralProcessing_Age4
2 | BodyPressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 39 | NeutralProcessing_Age3
5 | EfficiencyPressure+CloseExtremePressure+PolarityInstability | 38 | NeutralProcessing_Age6-10
6-10 | EfficiencyPressure+CloseExtremePressure+PolarityInstability | 38 | NeutralProcessing_Age6-10
2 | BodyPressure+EfficiencyPressure+CloseExtremePressure | 36 | NeutralProcessing_Age3
6-10 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 35 | NeutralProcessing_Age6-10
6-10 | BodyPressure+EfficiencyPressure+CloseExtremePressure | 33 | NeutralProcessing_Age6-10
4 | RangePressure+VolumePressure+PolarityInstability | 33 | NeutralProcessing_Age5
2 | BodyPressure+EfficiencyPressure+PolarityInstability | 31 | NeutralProcessing_Age3
6-10 | RangePressure+VolumePressure+EfficiencyPressure+PolarityInstability | 30 | NeutralProcessing_Age6-10
6-10 | RangePressure+VolumePressure+CloseExtremePressure+PolarityInstability | 30 | NeutralProcessing_Age6-10
