Timestamp,Instrument,Open,High,Low,Close,Volume,StructuralState,AgeBucket,StateAgeNode,LoopPhase,PreviousLoopPhase,DestinationFamily,FailureWarningScore,RangePressure,BodyPressure,VolumePressure,EfficiencyPressure,CloseExtremePressure,PolarityInstability,RangeRelativeToPrevious,BodyRelativeToPrevious,VolumeRelativeToRollingMean,VolumeRelativeToPrevious,VolumeRelativeToSessionMean,EfficiencyRatio,CloseLocation,VolumePolarity,NeutralPersistenceBars,PriorNeutralPersistenceBars,DirectFormationToDestinationFlag,LateNeutralReachableFlag,NeutralExitReason,RawCandidateStructuralState,CandidateStructuralState,CandidateStateAge,ConfirmedStructuralState,CandidateConfirmedFlag,CandidateFamily,ConfirmedFamily,CompressionProcessingFamilyCandidateCount,ReassertionProcessingFamilyCandidateCount,MixedStructureFamilyCandidateCount,ExhaustionPersistenceFamilyCandidateCount,RecoveryResolutionFamilyCandidateCount,CompressionProcessingFamilyConfirmedCount,ReassertionProcessingFamilyConfirmedCount,MixedStructureFamilyConfirmedCount,ExhaustionPersistenceFamilyConfirmedCount,RecoveryResolutionFamilyConfirmedCount,SuppressedCompressionCount,SuppressedReassertionCount,DestinationCompressionCount,DestinationReassertionCount,DestinationMixedCount,DestinationExhaustionCount,DestinationRecoveryCount,ExcursionPercentWarning,NeutralProcessingPercentWarning,LateNeutralPercentWarning,DestinationCompressionZeroWarning,DestinationReassertionZeroWarning
2026-05-11 12:55:00,NQ JUN26,29401.5,29430.5,29394.5,29418.5,7407,NeutralProcessing,1,NeutralProcessing_Age1,NeutralFormation,DestinationSelection,N/A,2,true,false,true,false,false,false,1.23076923,0.83950617,2.15758812,1.86574307,1.58271866,0.47222222,0.66666667,Black,1,0,false,false,ReturnToNeutral,NeutralProcessing,,0,NeutralProcessing,true,NeutralProcessing,N/A,20,27,152,68,26,0,0,43,53,3,20,27,0,4,23,44,23,false,false,false,true,false
2026-05-11 13:00:00,NQ JUN26,29419,29431.75,29413.5,29427.25,13471,NeutralProcessing,2,NeutralProcessing_Age2,NeutralMaturation,NeutralFormation,N/A,1,false,false,true,false,false,false,0.50694444,0.48529412,3.64145053,1.81868503,2.8107751,0.45205479,0.75342466,Black,2,0,false,false,None,NeutralProcessing,,0,NeutralProcessing,false,NeutralProcessing,N/A,20,27,152,68,26,0,0,43,53,3,20,27,0,4,23,44,23,false,false,false,true,false
2026-05-11 13:05:00,NQ JUN26,29428,29430,29403.25,29405.25,5588,ExhaustionPersistence,1,ExhaustionPersistence_Age1,DestinationSelection,NeutralMaturation,ExhaustionPersistence,6,true,true,true,true,true,true,1.46575342,2.75757576,1.30725682,0.41481701,1.16351311,0.85046729,0.07476636,Red,0,2,false,false,ExtremeBreakConfirmed,ExhaustionPersistence,,0,ExhaustionPersistence,true,ExhaustionPersistence,ExhaustionPersistence,20,27,152,69,26,0,0,43,54,3,20,27,0,4,23,45,23,false,false,false,true,false
2026-05-11 13:10:00,NQ JUN26,29405.5,29406,29392.75,29401.5,2451,NeutralProcessing,1,NeutralProcessing_Age1,NeutralFormation,DestinationSelection,N/A,0,false,false,false,false,false,false,0.4953271,0.17582418,0.55771725,0.43861847,0.51348124,0.30188679,0.66037736,Red,1,0,false,false,ReturnToNeutral,NeutralProcessing,,0,NeutralProcessing,true,NeutralProcessing,N/A,20,27,152,69,26,0,0,43,54,3,20,27,0,4,23,45,23,false,false,false,true,false
2026-05-11 13:15:00,NQ JUN26,29401,29407,29314.75,29391,4651,NeutralProcessing,2,NeutralProcessing_Age2,NeutralMaturation,NeutralFormation,N/A,4,true,true,true,false,true,false,6.96226415,2.5,1.05241721,1.89759282,0.97468662,0.10840108,0.82655827,Red,2,0,false,false,BlockedEarlyExit,MixedStructure,MixedStructure,1,NeutralProcessing,false,MixedStructure,N/A,20,27,153,69,26,0,0,43,54,3,20,27,0,4,23,45,23,false,false,false,true,false
2026-05-11 13:20:00,NQ JUN26,29391,29404.5,29382,29401.25,1080,MixedStructure,1,MixedStructure_Age1,DestinationSelection,NeutralMaturation,MixedStructure,4,false,true,false,true,true,true,0.24390244,1.025,0.23871624,0.23220813,0.22848592,0.45555556,0.85555556,Black,0,2,false,false,CandidateConfirmed,MixedStructure,,0,MixedStructure,true,MixedStructure,MixedStructure,20,27,154,69,26,0,0,44,54,3,20,27,0,4,24,45,23,false,false,false,true,false
2026-05-11 13:25:00,NQ JUN26,29401.25,29401.25,29376.25,29376.25,952,MixedStructure,2,MixedStructure_Age2,Excursion,DestinationSelection,MixedStructure,5,true,true,false,true,true,true,1.11111111,2.43902439,0.21382927,0.88148148,0.20336278,1,0,Red,0,2,false,false,None,MixedStructure,,0,MixedStructure,false,MixedStructure,MixedStructure,20,27,155,69,26,0,0,44,54,3,20,27,0,4,24,45,23,false,false,false,true,false
2026-05-11 13:30:00,NQ JUN26,29376.5,29400,29376.25,29399.25,647,MixedStructure,3,MixedStructure_Age3,Excursion,Excursion,MixedStructure,3,false,false,false,true,true,true,0.95,0.91,0.14859728,0.67962185,0.13964244,0.95789474,0.96842105,Black,0,2,false,false,CandidatePending,CompressionProcessing,CompressionProcessing,1,MixedStructure,false,CompressionProcessing,MixedStructure,21,27,155,69,26,0,0,44,54,3,20,27,0,4,24,45,23,false,false,false,true,false
2026-05-11 13:35:00,NQ JUN26,29398.25,29413,29398.25,29407,1086,NeutralProcessing,1,NeutralProcessing_Age1,NeutralFormation,Excursion,N/A,1,false,false,true,false,false,false,0.62105263,0.38461538,0.25418968,1.67851623,0.2365225,0.59322034,0.59322034,Black,1,0,false,false,ReturnToNeutral,NeutralProcessing,,0,NeutralProcessing,true,NeutralProcessing,N/A,21,27,155,69,26,0,0,44,54,3,21,27,0,4,24,45,23,false,false,false,true,false
2026-05-11 13:40:00,NQ JUN26,29407.5,29408.5,29401.75,29405.5,534,NeutralProcessing,2,NeutralProcessing_Age2,NeutralMaturation,NeutralFormation,N/A,1,false,false,false,false,false,true,0.45762712,0.22857143,0.12715345,0.49171271,0.11750858,0.2962963,0.55555556,Red,2,0,false,false,None,NeutralProcessing,,0,NeutralProcessing,false,NeutralProcessing,N/A,21,27,155,69,26,0,0,44,54,3,21,27,0,4,24,45,23,false,false,false,true,false
