ValidationMode,Dataset,Regime,TimeBlock,RegimeWeek,Count,Mean,Median,TStat,WinRate,ProfitFactor,Min,Q25,Q75,Q90,Max,Sum,StopRate,ES_Count,NQ_Count,PositiveContribution,NegativeContribution,PositiveCount,NegativeCount,Top1PctWinContributionShare,Top5PctWinContributionShare,Top10PctWinContributionShare,NetContributionShare,AbsoluteNetContributionShare
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_092022_generated.csv,2022 | tightening / bear trend,B02_2022-W30,2022-W30,5,1.0425337313054261,1.907246376811594,1.3245431915691923,0.8,3.606334328263565,-2.0,1.0427163198247538,2.046511627906977,2.1483212503530744,2.216194331983806,5.21266865652713,0.2,1,4,7.21266865652713,-2.0,4,1,0.3072641261536745,0.3072641261536745,0.3072641261536745,0.03323889534265731,0.01802112218913171
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,2021 | 2021 observed regime,B06_2021-W21,2021-W21,8,0.64321099068283,0.46407220110772585,0.7978496650899156,0.75,2.6369358358388877,-2.0,-0.06481933310096433,0.657371507305819,2.194289156626505,5.739999999999999,5.14568792546264,0.125,4,4,8.289175784182287,-3.143487858719647,6,2,0.6924693298160332,0.6924693298160332,0.6924693298160332,0.03281178868069071,0.01778955789483898
Spacing_20,tables/apva_forward_signed_return_dataset_v1.csv,canonical | original regime,B08_2026-W21,2026-W21,25,0.20363353069052842,-0.078525641025641,0.6064844433894275,0.44,1.3911366754197705,-2.0,-0.7187864644107351,1.2181069958847737,2.18977037299618,5.105882352941176,5.09083826726321,0.12,8,17,18.106335373996266,-13.015497106733056,11,14,0.2819942438641714,0.4338117370625138,0.5636915997223932,0.032462036534793515,0.01759993287595229
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,2021 | 2021 observed regime,B02_2021-W17,2021-W17,13,0.3890228490639932,0.1346153846153846,0.8923067226000186,0.6153846153846154,1.9786887517166862,-2.0,-0.4890829694323144,1.9649122807017545,2.142322097378277,3.161290322580645,5.057297037831912,0.15384615384615385,7,6,10.224718272582052,-5.16742123475014,8,5,0.30918116649314026,0.30918116649314026,0.5210859455692212,0.03224815886709734,0.01748397488326494
Spacing_20,tables/apva_forward_signed_return_dataset_generated.csv,generated | legacy generated regime,B07_2024-W35,2024-W35,4,-1.2380645161290322,-2.0,-1.624894157493649,0.25,0.17462365591397852,-2.0,-2.0,-1.2380645161290322,0.13341935483871026,1.047741935483871,-4.952258064516129,0.75,0,4,1.047741935483871,-6.0,1,3,1.0,1.0,1.0,-0.031578371533392234,0.017120836479987682
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_122022_generated.csv,2022 | tightening / bear trend,B08_2022-W49,2022-W49,3,-1.632034632034632,-2.0,-4.435294117647058,0.0,0.0,-2.0,-2.0,-1.448051948051948,-1.1168831168831168,-0.8961038961038961,-4.896103896103896,0.6666666666666666,1,2,0.0,-4.896103896103896,0,3,,,,-0.031220301099628714,0.0169267015373957
Spacing_20,tables/apva_forward_signed_return_dataset_v1.csv,canonical | original regime,B06_2026-W19,2026-W19,36,-0.13264141188718714,-0.03341288782816225,-0.6080360667220254,0.4722222222222222,0.7814652790200302,-2.0,-0.9565539360387323,1.036923947098784,1.419365230270007,2.4240282685512367,-4.775090827938738,0.2222222222222222,10,26,17.075399595394995,-21.850490423333735,17,18,0.14196026599605696,0.2580592697980698,0.4401730937068589,-0.030448653988930645,0.01650833784854789
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_092020_generated.csv,2020 | COVID / crisis,B03_2020-W14,2020-W14,6,0.7775960133535763,0.32862166519427044,1.3532140522263394,0.5,17.858459491278566,-0.1906453522794553,-0.05853868144188385,0.7204243227757865,2.1365016088383078,3.5355450236966823,4.665576080121458,0.0,0,6,4.942325926839962,-0.27674984671850433,3,3,0.7153605561495716,0.7153605561495716,0.7153605561495716,0.029750326609802487,0.016129725897171335
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_092024_generated.csv,2024 | modern mixed regime,B08_2024-W36,2024-W36,4,-1.1571367156773362,-1.2629286880783885,-2.3412719393283967,0.0,0.0,-2.0,-2.0,-0.42006540375572476,-0.22963985343383014,-0.1026894865525672,-4.628546862709345,0.5,0,4,0.0,-4.628546862709345,0,4,,,,-0.029514207576869032,0.016001709309983115
Spacing_20,tables/apva_forward_signed_return_dataset_generated.csv,generated | legacy generated regime,B08_2024-W36,2024-W36,4,-1.1571367156773362,-1.2629286880783885,-2.3412719393283967,0.0,0.0,-2.0,-2.0,-0.42006540375572476,-0.22963985343383014,-0.1026894865525672,-4.628546862709345,0.5,0,4,0.0,-4.628546862709345,0,4,,,,-0.029514207576869032,0.016001709309983115
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_092020_generated.csv,2020 | COVID / crisis,B02_2020-W13,2020-W13,3,1.464902654923552,0.185377086931491,0.5967826841683362,0.6666666666666666,3.197353982385328,-2.0,-0.9073114565342544,3.197353982385328,5.00454011965763,6.2093308778391645,4.394707964770656,0.3333333333333333,0,3,6.394707964770656,-2.0,2,1,0.9710108596119229,0.9710108596119229,0.9710108596119229,0.028023119773715865,0.015193286670832947
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_092020_generated.csv,2020 | COVID / crisis,B16_2020-W36,2020-W36,4,1.0574487978962912,1.1158209341920202,4.4133570416000865,1.0,inf,0.4188034188034187,0.9187831331818673,1.254486598906444,1.449404582201201,1.5793499043977055,4.229795191585165,0.0,4,0,4.229795191585165,0.0,4,0,0.37338685039400826,0.37338685039400826,0.37338685039400826,0.02697154355244269,0.014623153897785313
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,2021 | 2021 observed regime,B08_2021-W23,2021-W23,2,2.0163285960378983,2.0163285960378983,0.80696028811177,0.5,9.3605625,-0.4823428079242032,0.7669928940568476,3.265664298018949,4.015265719207579,4.515,4.0326571920757965,0.0,0,2,4.515,-0.4823428079242032,1,1,1.0,1.0,1.0,0.025714481236473744,0.013941612788735382
Spacing_20,tables/apva_forward_signed_return_dataset_generated.csv,generated | legacy generated regime,B01_2024-W29,2024-W29,5,0.7480309228777384,0.9406392694063926,3.873082024595569,1.0,inf,0.1772899957788096,0.4298448332783097,0.955631399317406,1.1243020296916268,1.236749116607774,3.740154614388692,0.0,0,5,3.740154614388692,0.0,5,0,0.33066791192265027,0.33066791192265027,0.33066791192265027,0.023849320949520726,0.01293037938019428
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_092020_generated.csv,2020 | COVID / crisis,B15_2020-W35,2020-W35,5,0.7333092657819363,0.3368983957219251,0.841693507178367,0.8,2.833273164454841,-2.0,0.3097345132743363,1.781818181818182,2.655584415584416,3.238095238095238,3.6665463289096816,0.2,5,0,5.666546328909682,-2.0,4,1,0.5714407065861385,0.5714407065861385,0.5714407065861385,0.02337995328803976,0.012675902452126209
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,2021 | 2021 observed regime,B04_2021-W19,2021-W19,6,-0.5912001478318111,-0.5208778791829639,-1.6377032806383354,0.16666666666666666,0.16701181148398356,-2.0,-0.8432263646374076,-0.3296993441785197,0.21489843091588773,0.7112038970076549,-3.5472008869908667,0.16666666666666666,2,4,0.7112038970076549,-4.258404783998522,1,5,1.0,1.0,1.0,-0.02261893989644514,0.0122633040436619
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_092022_generated.csv,2022 | tightening / bear trend,B07_2022-W35,2022-W35,9,-0.39302524154215074,-1.8746130030959751,-0.5489976726687663,0.4444444444444444,0.6417857416011813,-2.0,-2.0,0.5799418604651162,2.085761709734131,3.976133651551313,-3.537227173879357,0.4444444444444444,3,6,6.337385829216618,-9.874613003095975,4,5,0.6274091176870659,0.6274091176870659,0.6274091176870659,-0.0225553419146559,0.01222882314443252
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_092020_generated.csv,2020 | COVID / crisis,B12_2020-W32,2020-W32,4,0.8807646499253678,-0.09893581642833393,0.6688283216412372,0.5,3.1358542760690167,-1.0,-0.7371134020618557,1.5189422355588897,3.44013503375844,4.720930232558139,3.5230585997014714,0.0,4,0,5.172543135783945,-1.6494845360824741,2,2,0.9126903553299494,0.9126903553299494,0.9126903553299494,0.022464995148865654,0.012179839864786357
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_122022_generated.csv,2022 | tightening / bear trend,B04_2022-W45,2022-W45,12,0.2283895340812168,0.18077254768255754,0.5167926577019188,0.5,1.494427573567929,-2.0,-0.6401515151515151,0.7742890454851252,2.5175362318840584,2.649462365591398,2.7406744089746016,0.16666666666666666,6,6,8.283800552197402,-5.5431261432228,6,6,0.3198365712569683,0.3198365712569683,0.6337021675635225,0.017476075279432415,0.009474998634895598
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_092024_generated.csv,2024 | modern mixed regime,B04_2024-W32,2024-W32,10,-0.2736110428415686,-0.23533901028277635,-0.6911480332462394,0.4,0.5589349707579707,-2.0,-0.8979151078157948,0.20430609311594525,1.2402408654399981,1.9536281665951047,-2.736110428415686,0.2,5,5,3.4673068615873204,-6.2034172900030065,4,6,0.5634425346768244,0.5634425346768244,0.5634425346768244,-0.01744697278277674,0.009459220142775627
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_092022_generated.csv,2022 | tightening / bear trend,B06_2022-W34,2022-W34,10,0.27239114166676925,0.3902635583840619,0.5602236980741556,0.6,1.5556612315060638,-1.9700598802395208,-0.8262458082560881,1.347826086956522,1.9933698742562356,2.594249201277955,2.7239114166676925,0.0,4,6,7.626019503792655,-4.902108087124963,6,4,0.34018391901407474,0.34018391901407474,0.34018391901407474,0.01736918505033231,0.009417045990573959
