Feature,GateType,Gate,Direction,FeatureMin,FeatureMax,FeatureMean,Count,Mean,Median,TStat,WinRate,ProfitFactor,Min,Q25,Q75,Q90,Max,Top5SharePositiveSum,Sum
DominantPressureValue,threshold,0.6690336347353755,ge,0.6690336347353755,0.7643637632427065,0.7077102200716353,103,0.3167064281814772,0.0,1.3732611493796218,0.49514563106796117,1.601735170049532,-2.0,-0.8637364103248182,1.1902807249452116,1.8891796138186612,16.06518010291595,0.4682104939725765,32.620762102692154
DominantPressureValue,threshold,0.6638123830209416,ge,0.6638123830209416,0.7643637632427065,0.6978084523158395,133,0.3111869694882265,0.0839760068551842,1.6259961854509748,0.518796992481203,1.5979318784849617,-2.0,-0.8338557993730408,1.1235955056179776,1.9532647154658538,16.06518010291595,0.4234638058885273,41.38786694193412
RollingVelocity,threshold,0.4444444444444444,le,0.1111111111111111,0.4444444444444444,0.3686868686868687,176,0.3108751142068374,0.04815753753664735,1.7359668504748307,0.5113636363636364,1.5727970374522928,-2.0,-0.9992583321304574,1.0868690256582259,1.9069605669318725,16.06518010291595,0.452450899772633,54.71402010040338
RollingEntropy,threshold,0.9709505944517832,le,0.8812908992278072,0.9709505944517832,0.9280108489632939,86,0.30332413831524396,0.125515938531877,1.5530854313387255,0.5697674418604651,1.663531332681601,-2.0,-0.6290130400485264,0.933375342876525,1.9104845765247083,10.339449541284404,0.3856049209685037,26.08587589511098
DirectionalNormalizedMFE,quantile,Q3,inside_quantile,0.9298409728718428,1.8194945848375448,1.3423866855954703,64,0.30060684277284966,0.62939790802213,2.3853613114969368,0.6875,2.000152209967658,-2.0,-0.27691615406123304,0.9966240437158471,1.3664462621018432,1.5667870036101084,0.15646551828610852,19.238837937462378
DominantPressureValue,threshold,0.6532526521315953,ge,0.6532526521315953,0.7643637632427065,0.6925000032626594,155,0.2944459721798398,0.095592799503414,1.7464586851983197,0.535483870967742,1.5835115445222905,-2.0,-0.8173008125785666,1.1582103088628004,1.9177783422233505,16.06518010291595,0.40134392079376874,45.63912568787517
RollingEntropy,threshold,0.9709505944517832,ge,0.9709505944517832,1.2954618442339936,1.1550739051996843,213,0.2831340974147743,0.0516817063166529,1.7861758847346756,0.5070422535211268,1.5013254336835486,-2.0,-1.027820710973725,0.975409836065574,1.9743021719490097,16.06518010291595,0.4423757273657449,60.30756274934693
RollingVelocity,quantile,Q4,inside_quantile,0.5555555555555556,0.6666666666666666,0.5850694444444444,64,0.28122649285019613,0.21025944559534376,1.3865244571126953,0.59375,1.5866385015837652,-2.0,-0.7482044089839104,0.9598232209737827,1.9539784946236558,5.644348452123831,0.3556103853255831,17.998495542412552
RollingVelocity,threshold,0.5555555555555556,le,0.1111111111111111,0.5555555555555556,0.41794514179451414,239,0.25936037577304094,0.0516817063166529,1.8096678482964084,0.5146443514644351,1.4672086394518633,-2.0,-1.0080966200457344,1.0178382513661204,1.9552718839246352,16.06518010291595,0.4243748120459309,61.98712980975678
RollingEntropy,threshold,1.2954618442339936,le,0.8812908992278072,1.2954618442339936,1.1097218720974587,256,0.2591099065935348,0.0696559876173154,1.91305264205348,0.51953125,1.479949676340812,-2.0,-0.9640849443028228,0.9290235604911828,1.950897974047879,16.06518010291595,0.4245081589387433,66.3321360879449
DominantPressureValue,threshold,0.6412558569575977,ge,0.6412558569575977,0.7643637632427065,0.6819206913225979,196,0.2508711291900582,0.1166855674875023,1.750401768345185,0.5408163265306123,1.481171566703468,-2.0,-0.916790889034643,1.0638567164179105,1.866547169408702,16.06518010291595,0.38984010495923255,49.17074132125141
DominantPressureValue,quantile,Q4,inside_quantile,0.6915901607987194,0.7643637632427065,0.7278642648308485,64,0.2468212811077525,0.0223166843783209,1.3405941945843523,0.5,1.5364049295050415,-2.0,-0.6479993698802773,1.373474400634547,1.865815114860975,4.864812103465105,0.31497019814904015,15.79656199089616
DominantPressureValue,threshold,0.7088082076871509,ge,0.7088082076871509,0.7643637632427065,0.7344850016569014,54,0.2455678146299696,0.064304687805913,1.4020667127338944,0.5185185185185185,1.623681953640583,-2.0,-0.6185258964143426,1.295053747345377,1.6469945180418473,3.706398996235885,0.25866455017310597,13.260661990018358
DominantPressureValue,threshold,0.633760032291208,ge,0.633760032291208,0.7643637632427065,0.6787749685191327,210,0.23817708380744712,0.11366078078553116,1.726495421470901,0.5333333333333333,1.4505762977421792,-2.0,-0.9439210542007034,0.9658243832332474,1.8605723065104667,16.06518010291595,0.40149639940109405,50.0171875995639
RollingEntropy,threshold,0.9999999999971146,ge,0.9999999999971146,1.2954618442339936,1.2016462720359182,170,0.23674270701667016,-0.02832097100472015,1.3240744631412473,0.49411764705882355,1.40696883090065,-2.0,-1.0284371204582508,0.9232788910768754,1.9591533628914755,16.06518010291595,0.4556519323685755,40.24626019283393
DominantPressureValue,threshold,0.7088082076871509,le,0.294871143402319,0.7088082076871509,0.6439044103813235,216,0.23651358143469775,0.0438551459167824,1.5214191921190683,0.5092592592592593,1.4166156442970643,-2.0,-1.0262850746506476,0.8719911743045851,1.9104845765247083,16.06518010291595,0.45993014547854244,51.08693358989471
DominantPressureValue,threshold,0.6690336347353755,le,0.294871143402319,0.6690336347353755,0.6332887960816397,180,0.22839733414229088,0.0744385855260262,1.3390436193243596,0.5222222222222223,1.4049485868224745,-2.0,-1.0280261808019002,0.8425951861707448,1.8823130979595288,16.06518010291595,0.4535406958042717,41.11152014561236
DominantPressureValue,quantile,Q1,inside_quantile,0.294871143402319,0.6412558569575977,0.5895436836378067,64,0.22227325521788993,-0.1944950480451869,0.6887432411129104,0.4375,1.3600229845564638,-2.0,-1.0621252175686207,0.8169216140924482,2.175705755573615,15.68,0.5711422035264508,14.225488333944956
DominantPressureValue,threshold,0.6532526521315953,le,0.294871143402319,0.6532526521315953,0.6100431276432792,104,0.22130568491702737,0.04679366724983255,1.0031353520868813,0.5096153846153846,1.3836487373893316,-2.0,-1.0280261808019002,0.847516874070496,1.9320971975277286,15.68,0.48176969875338466,23.015791231370848
DominantPressureValue,threshold,0.6638123830209416,le,0.294871143402319,0.6638123830209416,0.6269808833780393,153,0.2203357776813905,0.095592799503414,1.3300741044644433,0.5359477124183006,1.4013484374576755,-2.0,-1.0083752093802345,0.8936170212765958,1.9403945474557625,15.68,0.4131057498392596,33.71137398525275
RollingVelocity,threshold,0.3333333333333333,ge,0.3333333333333333,0.6666666666666666,0.46509341199606685,226,0.2154489377822103,0.0438551459167824,1.43592481098941,0.504424778761062,1.3732243711038354,-2.0,-1.0284371204582508,0.8818345501040875,1.9104845765247083,16.06518010291595,0.4639713174218636,48.69145993877953
RollingEntropy,quantile,Q1,inside_quantile,0.8812908992278072,0.9709505944517832,0.9132503114516259,64,0.20164359120644587,0.064304687805913,0.8756569681233529,0.53125,1.4106813999903034,-2.0,-0.6332819756482824,0.8645131020008677,1.7979527559055126,10.339449541284404,0.43753842643756025,12.905189837212536
DominantPressureValue,threshold,0.6412558569575977,le,0.294871143402319,0.6412558569575977,0.6064181823000545,95,0.17655464393520517,-0.0665610142630745,0.7339521916541394,0.4631578947368421,1.279582905787565,-2.0,-1.1643917511155024,0.860596662048277,1.999508790846737,15.68,0.46599874126461105,16.772691173844493
RollingVelocity,quantile,Q2,inside_quantile,0.3333333333333333,0.4444444444444444,0.40798611111111116,64,0.1649779165976519,-0.13104906494626925,0.5223259213298554,0.46875,1.2488531168247017,-2.0,-2.0,0.8509941708555774,1.633848802984696,15.68,0.5199773824832884,10.558586662249722
RollingVelocity,threshold,0.4444444444444444,ge,0.4444444444444444,0.6666666666666666,0.507472384665367,171,0.16381033320332533,0.0,1.0636992984241935,0.49707602339181284,1.2863333654826512,-2.0,-0.9961282881201623,0.8901866296402172,1.874015748031496,15.68,0.4250641595179255,28.01156697776863
RollingEntropy,threshold,1.1567796494427114,ge,1.1567796494427114,1.2954618442339936,1.2331963690215813,147,0.15327475573567143,-0.0665610142630745,0.8942376768757365,0.4897959183673469,1.2524771711495208,-2.0,-1.1643917511155024,1.0919310861423221,1.965645709630419,16.06518010291595,0.40973056984318734,22.5313890931437
RollingVelocity,threshold,0.5555555555555556,ge,0.5555555555555556,0.6666666666666666,0.5791666666666666,80,0.14522644984426897,0.09456700108800989,0.7999263467200523,0.5375,1.2721784356559829,-2.0,-0.8780812116152882,0.8719911743045851,1.9479569892473114,5.644348452123831,0.3406295703126971,11.618115987541518
DominantPressureValue,quantile,Q2,inside_quantile,0.6412558569575977,0.6638123830209416,0.650030778570263,64,0.1182483453130214,0.21322572246810725,0.6327307376601742,0.59375,1.22701134696951,-2.0,-1.0262850746506476,0.9140652249738404,1.7152723735408564,4.981731532962669,0.3384716545245101,7.56789410003337
RollingVelocity,quantile,Q3,inside_quantile,0.4444444444444444,0.5555555555555556,0.4722222222222223,64,0.08622602097097434,-0.036316402186901756,0.42583528162227435,0.46875,1.156163938056926,-2.0,-0.9943543241141398,0.9140652249738404,1.8263550135501359,4.981731532962669,0.41928965651537065,5.518465342142358
RollingEntropy,threshold,1.2954618442339936,ge,1.2954618442339936,1.2954618442339936,1.2954618442339938,81,-0.015834000425941793,-0.1858921161825726,-0.060505181169102897,0.4444444444444444,0.9776396011121649,-2.0,-1.556371263765076,0.6539923954372624,1.75,16.06518010291595,0.5356911363619021,-1.2825540345012851
DirectionalNormalizedMAE,quantile,Q2,inside_quantile,-1.5530179445350734,-0.8590694538098449,-1.1272535854257688,64,-0.021372666972671858,-0.29789418543740176,-0.1616782811406333,0.375,0.9476859444367106,-1.2704174228675138,-0.8251034278204217,0.4679514563106796,1.335378908320085,4.413793103448276,0.4396369441152275,-1.367850686250999
RollingEntropy,quantile,Q4,inside_quantile,1.2954618442339936,1.2954618442339936,1.2954618442339936,64,-0.16396596213013687,-0.20943071747766173,-0.8295831021389855,0.453125,0.76860025434935,-2.0,-1.667278447823807,0.6577297914584929,1.8263550135501359,4.981731532962669,0.4009149038623063,-10.49382157632876
DirectionalNormalizedMAE,threshold,-0.3181818181818182,le,-20.434679334916865,-0.3181818181818182,-1.5057972844295475,205,-0.2053331469812874,-0.250778816199377,-2.0855728356484198,0.4097560975609756,0.6948878893225228,-2.0,-1.2091767881241564,0.6763285024154589,1.6030292188431723,5.149425287356322,0.34921464201719826,-42.09329513116392
DirectionalNormalizedMFE,threshold,1.9966178128523115,le,-0.3904840032813781,1.9966178128523115,0.8067484322503865,205,-0.33461939921128164,-0.2304199772985244,-4.2518929831332,0.4146341463414634,0.4811374022225538,-2.0,-1.1662104028157998,0.5560747663551402,1.2295928897779191,1.736434108527132,0.2725438405940615,-68.59697683831274
DirectionalNormalizedMAE,threshold,-0.48880768987316736,le,-20.434679334916865,-0.4925496688741722,-1.6661856963732673,179,-0.4071019769617973,-0.4624624624624625,-4.025051412956694,0.3407821229050279,0.4707752310432284,-2.0,-1.9456521739130435,0.44266303019107794,1.2884273860934548,5.149425287356322,0.4047636908793916,-72.87125387616172
DirectionalNormalizedMFE,quantile,Q2,inside_quantile,0.4262820512820513,0.9204892966360856,0.6601031681784929,64,-0.4299936303008781,-0.1889303871804146,-3.9119701516130236,0.40625,0.23022853737522703,-2.0,-0.7654767949861616,0.20835552924928477,0.4442385948136759,0.8344370860927152,0.33465179652481936,-27.5195923392562
DirectionalNormalizedMFE,threshold,1.5653638747340821,le,-0.3904840032813781,1.5647058823529412,0.661607418074191,179,-0.5203940606436586,-0.3373493975903615,-6.761926771130111,0.3463687150837989,0.2734152568442375,-2.0,-1.4301950881473133,0.21881008624951925,0.7758941695247434,1.4209809264305178,0.33410862579492423,-93.15053685521488
DirectionalNormalizedMAE,threshold,-0.6487488415199258,le,-20.434679334916865,-0.6487488415199258,-1.8457202853749615,154,-0.5996317525577355,-0.6542218021424071,-5.972432948365012,0.2987012987012987,0.316755360393791,-2.0,-2.0,0.22118149023054803,1.023307074087549,4.413793103448276,0.41656572632502964,-92.34328989389127
DirectionalNormalizedMFE,threshold,1.2243346007604563,le,-0.3904840032813781,1.2243346007604563,0.5371518600929215,154,-0.6589664468728412,-0.4898814417609214,-8.590575935833995,0.2922077922077922,0.15736410545814866,-2.0,-1.859535171438671,0.10833675697883108,0.5546880444856355,0.975409836065574,0.3552674599691605,-101.48083281841755
DirectionalNormalizedMFE,threshold,0.9251651347539642,le,-0.3904840032813781,0.9204892966360856,0.4251055987244311,128,-0.8052269090677764,-0.6354865987376604,-10.05888571723112,0.2265625,0.07825080380255672,-2.0,-2.0,-0.0617256044151573,0.3076961157654226,0.8344370860927152,0.47664658260153436,-103.06904436067538
DirectionalNormalizedMAE,threshold,-0.8562470556720457,le,-20.434679334916865,-0.8590694538098449,-2.0691252205414217,128,-0.8218822333216671,-0.9706837518219119,-7.704570983146173,0.2109375,0.20172979224007695,-2.0,-2.0,-0.07553448433499937,0.6738564548441734,4.413793103448276,0.5739276384467435,-105.20092586517339
DirectionalNormalizedMFE,threshold,0.6915322580645161,le,-0.3904840032813781,0.6915322580645161,0.3285845684161328,103,-0.9708988383768934,-0.8338557993730408,-11.37706312293188,0.14563106796116504,0.03317206556993431,-2.0,-2.0,-0.1889303871804146,0.11810826713739332,0.532,0.7017752715189063,-100.00258035282002
DirectionalNormalizedMAE,threshold,-0.9924242424242424,le,-20.434679334916865,-0.9924242424242424,-2.3488564814799915,103,-1.088379716074746,-1.2091767881241564,-9.77000084952484,0.1262135922330097,0.11798046800237817,-2.0,-2.0,-0.5820306204673651,0.4286866447519292,4.413793103448276,0.774729076682822,-112.10311075569884
DirectionalNormalizedMFE,threshold,0.5091693635382957,le,-0.3904840032813781,0.5048543689320388,0.234087151741461,77,-1.112613861888464,-1.028642590286426,-11.850199706156229,0.09090909090909091,0.019037679175490273,-2.0,-2.0,-0.3660426081342802,-0.03805209513023742,0.4466019417475728,0.870306302084996,-85.67126736541172
DirectionalNormalizedMFE,quantile,Q1,inside_quantile,-0.3904840032813781,0.417910447761194,0.19010802927036918,64,-1.1804601878346745,-1.1643917511155024,-12.250948815475656,0.046875,0.006825092663797688,-2.0,-2.0,-0.5367543300671331,-0.09748618057383499,0.3552238805970149,1.0,-75.54945202141917
DirectionalNormalizedMFE,threshold,0.3333333333333333,le,-0.3904840032813781,0.3333333333333333,0.14607164644077172,52,-1.3344157625674404,-1.2872181676985321,-14.037038864226465,0.0,0.0,-2.0,-2.0,-0.755189377681041,-0.33660426081342804,0.0,,-69.3896196535069
DirectionalNormalizedMAE,threshold,-1.3811887965468368,le,-20.434679334916865,-1.40224358974359,-2.7534602771953796,77,-1.3789274052950653,-2.0,-11.305340526122773,0.07792207792207792,0.075232635652701,-2.0,-2.0,-1.027820710973725,-0.14294552611979933,4.413793103448276,0.871084890976861,-106.17741020772003
DirectionalNormalizedMAE,quantile,Q1,inside_quantile,-20.434679334916865,-1.5727659574468085,-3.010996855657075,64,-1.6223917996706623,-2.0,-18.070207422636834,0.046875,0.017097151871261672,-2.0,-2.0,-1.5751393275691759,-0.6837298331966091,0.6925795053003533,0.963147153462735,-103.83307517892239
DirectionalNormalizedMAE,threshold,-1.860541427399508,le,-20.434679334916865,-1.860541427399508,-3.310098674478188,52,-1.8644404671841768,-2.0,-29.479553612086736,0.019230769230769232,0.006239218411231532,-2.0,-2.0,-2.0,-1.7769353128313894,0.6086956521739131,-1.283917340521114,-96.9509042935772
